data_set_T,data_set_KO,data_set_NAI
0.0,0.0,0.0
1.0,3.0322165,0.070679165
2.0,3.8129456,0.14127508
3.0,4.0122919,0.21181965
4.0,4.0628548,0.28234473
5.0,4.0755968,0.35286117
6.0,4.0787439,0.42337191
7.0,4.0794587,0.49387765
8.0,4.079556,0.5643785
9.0,4.0794969,0.63487434
10.0,4.0793977,0.70536512
11.0,4.079288,0.77585071
12.0,4.079175,0.84633094
13.0,4.0790615,0.9168058
14.0,4.0789466,0.98727506
15.0,4.0788317,1.0577387
16.0,4.0787163,1.1281964
17.0,4.0786004,1.1986482
18.0,4.0784836,1.2690939
19.0,4.0783668,1.3395332
20.0,4.078249,1.4099662
21.0,4.0781307,1.4803927
22.0,4.078012,1.5508125
23.0,4.0778928,1.6212254
24.0,4.0777731,1.6916312
25.0,4.0776525,1.7620299
26.0,4.0775313,1.8324213
27.0,4.0774097,1.9028051
28.0,4.0772872,1.9731811
29.0,4.0771642,2.0435493
30.0,4.0770407,2.1139095
31.0,4.0769162,2.1842613
32.0,4.0767913,2.2546048
33.0,4.0766654,2.3249395
34.0,4.076539,2.3952653
35.0,4.0764117,2.4655824
36.0,4.0762835,2.5358899
37.0,4.0761547,2.6061878
38.0,4.0760255,2.6764762
39.0,4.0758948,2.7467546
40.0,4.0757637,2.8170228
41.0,4.0756316,2.8872807
42.0,4.0754991,2.9575279
43.0,4.0753651,3.0277641
44.0,4.0752306,3.0979891
45.0,4.0750952,3.1682029
46.0,4.0749583,3.2384048
47.0,4.074821,3.3085949
48.0,4.0746827,3.3787725
49.0,4.074543,3.4489379
50.0,4.0744028,3.5190904
51.0,4.0742612,3.5892296
52.0,4.0741186,3.6593554
53.0,4.0739751,3.7294676
54.0,4.0738301,3.7995658
55.0,4.0736847,3.8696494
56.0,4.0735373,3.9397185
57.0,4.0733891,4.0097723
58.0,4.0732398,4.0798111
59.0,4.0730891,4.1498337
60.0,4.072937,4.2198405
61.0,4.0727839,4.2898307
62.0,4.0726295,4.3598042
63.0,4.0724735,4.42976
64.0,4.0723162,4.4996986
65.0,4.0721574,4.5696187
66.0,4.0719972,4.6395206
67.0,4.071836,4.7094035
68.0,4.0716729,4.7792668
69.0,4.0715079,4.8491106
70.0,4.071342,4.9189339
71.0,4.0711741,4.9887366
72.0,4.0710049,5.0585184
73.0,4.0708337,5.1282783
74.0,4.0706611,5.1980157
75.0,4.0704865,5.2677307
76.0,4.0703101,5.3374224
77.0,4.0701318,5.4070907
78.0,4.069952,5.4767342
79.0,4.0697703,5.5463533
80.0,4.0695863,5.6159468
81.0,4.0694003,5.685514
82.0,4.0692129,5.755055
83.0,4.0690231,5.8245687
84.0,4.068831,5.8940544
85.0,4.0686369,5.9635119
86.0,4.0684404,6.0329404
87.0,4.0682421,6.1023393
88.0,4.0680413,6.1717076
89.0,4.0678382,6.2410445
90.0,4.0676327,6.3103499
91.0,4.0674248,6.3796229
92.0,4.067214,6.4488626
93.0,4.0670013,6.5180683
94.0,4.0667858,6.5872388
95.0,4.0665674,6.6563745
96.0,4.0663466,6.7254734
97.0,4.066123,6.7945352
98.0,4.0658965,6.8635588
99.0,4.0656672,6.9325442
100.0,4.0654349,7.0014892
101.0,4.0651999,7.070394
102.0,4.0649614,7.1392574
103.0,4.0647202,7.2080784
104.0,4.0644755,7.2768559
105.0,4.0642276,7.3455892
106.0,4.0639768,7.4142776
107.0,4.0637221,7.4829192
108.0,4.0634646,7.5515137
109.0,4.0632033,7.62006
110.0,4.0629382,7.6885567
111.0,4.0626698,7.7570033
112.0,4.0623975,7.825398
113.0,4.0621214,7.8937402
114.0,4.0618415,7.962029
115.0,4.0615578,8.030262
116.0,4.0612702,8.0984392
117.0,4.0609784,8.1665592
118.0,4.0606823,8.234621
119.0,4.0603824,8.3026218
120.0,4.0600777,8.3705626
121.0,4.0597687,8.4384403
122.0,4.0594554,8.5062542
123.0,4.0591373,8.5740032
124.0,4.058815,8.6416855
125.0,4.0584874,8.7093
126.0,4.0581555,8.776845
127.0,4.0578184,8.8443184
128.0,4.0574765,8.9117203
129.0,4.0571294,8.9790487
130.0,4.0567775,9.0463018
131.0,4.0564198,9.1134768
132.0,4.056057,9.1805744
133.0,4.0556889,9.247591
134.0,4.055315,9.3145266
135.0,4.0549359,9.3813782
136.0,4.0545506,9.4481449
137.0,4.0541596,9.5148249
138.0,4.0537629,9.5814161
139.0,4.0533605,9.6479158
140.0,4.0529513,9.714325
141.0,4.0525365,9.7806387
142.0,4.052115,9.8468561
143.0,4.0516872,9.9129763
144.0,4.0512528,9.9789972
145.0,4.0508118,10.044915
146.0,4.0503645,10.110729
147.0,4.0499101,10.176438
148.0,4.049449,10.242039
149.0,4.0489807,10.307528
150.0,4.0485053,10.372907
151.0,4.0480227,10.438171
152.0,4.047533,10.503319
153.0,4.0470357,10.568347
154.0,4.0465312,10.633255
155.0,4.0460186,10.698039
156.0,4.0454984,10.762697
157.0,4.044971,10.827229
158.0,4.044435,10.891629
159.0,4.0438914,10.955896
160.0,4.0433393,11.020029
161.0,4.0427794,11.084024
162.0,4.0422111,11.14788
163.0,4.0416346,11.211592
164.0,4.0410495,11.275159
165.0,4.0404553,11.338578
166.0,4.0398531,11.401848
167.0,4.0392418,11.464964
168.0,4.0386219,11.527925
169.0,4.037993,11.590727
170.0,4.0373549,11.653368
171.0,4.0367079,11.715845
172.0,4.0360518,11.778156
173.0,4.0353861,11.840299
174.0,4.0347114,11.902268
175.0,4.0340271,11.964063
176.0,4.0333333,12.02568
177.0,4.03263,12.087116
178.0,4.0319171,12.148369
179.0,4.0311947,12.209435
180.0,4.0304623,12.270311
181.0,4.0297203,12.330997
182.0,4.0289683,12.391485
183.0,4.0282063,12.451777
184.0,4.0274343,12.511866
185.0,4.0266523,12.571751
186.0,4.0258608,12.631429
187.0,4.0250587,12.690896
188.0,4.0242467,12.75015
189.0,4.0234241,12.809187
190.0,4.0225921,12.868005
191.0,4.0217495,12.9266
192.0,4.0208964,12.98497
193.0,4.0200338,13.04311
194.0,4.0191607,13.101019
195.0,4.0182772,13.158692
196.0,4.0173836,13.216128
197.0,4.01648,13.273323
198.0,4.0155663,13.330273
199.0,4.0146422,13.386976
200.0,4.0137081,13.443429
201.0,4.012764,13.499628
202.0,4.0118093,13.555571
203.0,4.0108452,13.611254
204.0,4.009871,13.666675
205.0,4.0088868,13.721829
206.0,4.0078931,13.776716
207.0,4.0068893,13.831331
208.0,4.0058761,13.885672
209.0,4.0048528,13.939735
210.0,4.0038204,13.993518
211.0,4.0027785,14.047018
212.0,4.0017271,14.100232
213.0,4.0006666,14.153157
214.0,3.9995973,14.205791
215.0,3.9985187,14.25813
216.0,3.9974313,14.310172
217.0,3.996335,14.361915
218.0,3.9952302,14.413355
219.0,3.994117,14.46449
220.0,3.9929953,14.515318
221.0,3.9918656,14.565836
222.0,3.9907279,14.616041
223.0,3.9895823,14.665932
224.0,3.9884291,14.715505
225.0,3.9872684,14.764758
226.0,3.9861004,14.81369
227.0,3.9849253,14.862298
228.0,3.9837432,14.91058
229.0,3.9825544,14.958532
230.0,3.9813592,15.006156
231.0,3.9801576,15.053446
232.0,3.97895,15.100403
233.0,3.9777365,15.147023
234.0,3.9765172,15.193306
235.0,3.9752924,15.239249
236.0,3.9740627,15.284851
237.0,3.9728277,15.330111
238.0,3.9715881,15.375025
239.0,3.9703441,15.419594
240.0,3.9690957,15.463816
241.0,3.9678433,15.507689
242.0,3.9665873,15.551214
243.0,3.9653277,15.594387
244.0,3.9640648,15.637208
245.0,3.9627991,15.679677
246.0,3.9615304,15.721791
247.0,3.9602592,15.763552
248.0,3.958986,15.804955
249.0,3.9577107,15.846004
250.0,3.9564338,15.886696
251.0,3.9551554,15.92703
252.0,3.9538758,15.967007
253.0,3.9525952,16.006624
254.0,3.9513142,16.045885
255.0,3.9500325,16.084785
256.0,3.948751,16.123327
257.0,3.9474695,16.16151
258.0,3.9461882,16.199335
259.0,3.9449079,16.236799
260.0,3.9436283,16.273905
261.0,3.9423499,16.310652
262.0,3.9410729,16.347042
263.0,3.9397976,16.383072
264.0,3.9385242,16.418747
265.0,3.9372532,16.454063
266.0,3.9359844,16.489023
267.0,3.9347184,16.523626
268.0,3.933455,16.557877
269.0,3.9321949,16.59177
270.0,3.9309382,16.625313
271.0,3.9296851,16.658501
272.0,3.9284358,16.691338
273.0,3.9271905,16.723825
274.0,3.9259496,16.755962
275.0,3.9247131,16.78775
276.0,3.9234812,16.819193
277.0,3.9222543,16.85029
278.0,3.9210324,16.881042
279.0,3.919816,16.911451
280.0,3.9186049,16.941519
281.0,3.9173994,16.971247
282.0,3.9161997,17.000637
283.0,3.9150062,17.02969
284.0,3.9138188,17.058407
285.0,3.9126377,17.086792
286.0,3.9114633,17.114845
287.0,3.9102955,17.142569
288.0,3.9091346,17.169966
289.0,3.9079807,17.197035
290.0,3.9068336,17.223782
291.0,3.9056942,17.250206
292.0,3.904562,17.276312
293.0,3.9034374,17.302097
294.0,3.9023201,17.32757
295.0,3.901211,17.352728
296.0,3.9001095,17.377573
297.0,3.8990161,17.402111
298.0,3.8979309,17.426342
299.0,3.8968537,17.450268
300.0,3.8957849,17.473892
301.0,3.8947244,17.497215
302.0,3.8936725,17.520243
303.0,3.8926289,17.542973
304.0,3.8915939,17.565411
305.0,3.8905678,17.587559
306.0,3.8895502,17.609419
307.0,3.8885415,17.630995
308.0,3.8875415,17.652287
309.0,3.8865504,17.673298
310.0,3.8855684,17.694031
311.0,3.8845954,17.714487
312.0,3.8836312,17.734673
313.0,3.8826764,17.754587
314.0,3.8817303,17.774233
315.0,3.8807936,17.793615
316.0,3.8798659,17.812733
317.0,3.8789473,17.831591
318.0,3.8780379,17.850193
319.0,3.8771377,17.868538
320.0,3.8762467,17.886631
321.0,3.8753648,17.904474
322.0,3.8744922,17.92207
323.0,3.8736286,17.939423
324.0,3.8727744,17.956532
325.0,3.8719292,17.9734
326.0,3.871093,17.990034
327.0,3.8702662,18.006432
328.0,3.8694482,18.022598
329.0,3.8686395,18.038536
330.0,3.8678398,18.054247
331.0,3.8670492,18.069733
332.0,3.8662677,18.084997
333.0,3.865495,18.100044
334.0,3.8647313,18.114874
335.0,3.8639767,18.129488
336.0,3.8632307,18.143892
337.0,3.8624938,18.158087
338.0,3.8617654,18.172075
339.0,3.8610458,18.18586
340.0,3.8603349,18.199442
341.0,3.8596327,18.212826
342.0,3.8589392,18.226011
343.0,3.8582542,18.239004
344.0,3.8575776,18.251804
345.0,3.8569095,18.264416
346.0,3.8562496,18.276838
347.0,3.8555982,18.289078
348.0,3.8549552,18.301134
349.0,3.8543203,18.313009
350.0,3.8536935,18.324709
351.0,3.8530748,18.336231
352.0,3.852464,18.34758
353.0,3.8518612,18.358759
354.0,3.8512666,18.369768
355.0,3.8506796,18.380611
356.0,3.8501003,18.391291
