Time,Ste5,Ste11,Ste5Ste11,Gbg,Ste5Ste11Gbg,Fus3,Ste5Ste11GbgFus3,Ste5Ste11GbgFus3P,Fus3PP,Ste5Ste11GbgP,Ste11Ubi,p,Kss1,Ste5Ste11GbgKss1,Ste5Ste11GbgKss1P,Kss1PP,Ste11P,Ste12Kss1,Ste12,Ste12P,s,PREP,Ste12TeSte5Kss1,Ste12TeSte5,Ste12TeSte5P,FREP,alpha,beta,alphaA,betaA,alphat,betat,alphas,betas,alphae,betae,k3,k4,k5,k6,k9,k10,k11,k12,k13,k17,k19,k20,k21,k22,k23,k25,k27,k31,k32,k33,k34,k8,k14,k15,k16,k26,k30,k7,k18,k1,k2,k24,k28,k29,alphastim,betastim,compartment,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31
0.0,42.3,13.3,5.6,53.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,54.4,0.0,0.0,0.0,0.0,35.9,0.07,0.0,0.0,0.0,13.7,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,20.0,10.0,360.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,10.0,10.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,5.625900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9,38.080000000000005,0.0,0.0,13.7,13.6,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0
0.01,42.2997428052159,13.299709572309528,5.600183116563936,52.99992592178538,3.579841851741291e-05,216.99996939222996,3.0523152332084466e-05,8.443656362766443e-08,1.8110751189029834e-10,1.4871004490139657e-10,2.7655894435226687e-12,0.0,54.39282326849451,7.650893648883317e-06,2.1164844219592042e-08,6.025170624884525e-07,3.323290914941826e-05,35.90397419531995,0.06602580467905686,1.0146484347689853e-12,0.0,2.0187352024403623e-15,13.699220066290067,0.25077993333308246,3.768408294371904e-10,7.524585210467339e-13,0.00498752080731768,0.000499875020830709,1.0,1.0,0.0,0.0,2.0,20.0,10.0,360.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,10.0,10.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,5.62574294292761,0.014803425113077242,0.00776825572256884,3.0523152332084466e-05,8.443656362766443e-08,3.22700751919202e-08,1.4871004490139657e-09,2.765589443522669e-13,0.0019471770517092417,7.650893648883317e-06,2.1164844219592042e-08,8.088759190571547e-09,0.006648192599500605,3.3232909149418264e-06,0.00018076319044904596,6.025170624993645e-08,35.90397419531995,35.91329925068078,4.097745080425954e-10,1.0146484347689853e-12,13.699220066290067,13.64062859307119,1.510991887628988e-07,4.5418129757969455e-13,3.768408294371904e-10,1.8110751189029837e-11,5.600183116563936,1.0146484347689853e-12,2.0187352024403623e-15,3.768408294371904e-10,7.524585210467339e-13
0.02,42.29948839034965,13.299355527454006,5.600215786996033,52.9997041775482,8.892386531686519e-05,216.9998345660988,0.00016446738437953028,9.6221650069326e-07,4.3002663540431845e-09,2.5308875312249946e-09,1.0122113367292065e-10,0.0,54.39319986519884,4.122526652958743e-05,2.4118818951501525e-07,4.817797641657362e-06,0.00013286299689909965,35.903991617778914,0.06600838220423057,1.686676120640505e-11,0.0,6.633783568028389e-14,13.698770614990991,0.2512293789839976,6.024964903712042e-09,2.4027039218559277e-11,0.009950166250831893,0.000999500166624978,1.0,1.0,0.0,0.0,2.0,20.0,10.0,360.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,10.0,10.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,5.625559347326733,0.029533066562830352,0.019296464062737797,0.00016446738437953028,9.6221650069326e-07,5.49202175581226e-07,2.5308875312249946e-08,1.0122113367292065e-11,0.004836853578966271,4.122526652958743e-05,2.4118818951501525e-07,1.376630713222608e-07,0.013292708065695102,1.3286299689909966e-05,0.0007226849050763375,4.817797643729144e-07,35.903991617778914,35.904071260131474,3.4640039062092735e-09,1.686676120640505e-11,13.698770614990991,13.665169823086366,1.2103723095841473e-06,1.0803532455920488e-11,6.024964903712042e-09,4.3002663540431845e-10,5.600215786996033,1.686676120640505e-11,6.633783568028389e-14,6.024964903712042e-09,2.4027039218559277e-11
0.03,42.29923552894414,13.298936743004017,5.600099979811132,52.999335510220405,0.00014294161846816497,216.9995829652395,0.00041326153633098765,3.7474549586763986e-06,2.5769166069920784e-08,1.1632407598215284e-08,7.321916343614407e-10,0.0,54.393382466581365,0.00010358820196474667,9.393354709205515e-07,1.6252588191931667e-05,0.00029878667268501435,35.90399195606235,0.06600804384827473,8.939158220356688e-11,0.0,5.217268849836206e-13,13.698512841168341,0.25148712837001413,3.046127525824936e-08,1.819806530182076e-10,0.014888060396937353,0.0014988755622891148,1.0,1.0,0.0,0.0,2.0,20.0,10.0,360.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,10.0,10.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,5.6253485757685615,0.04418799815013398,0.031018271595968178,0.00041326153633098765,3.7474549586763986e-06,2.5242275976944e-06,1.1632407598215284e-07,7.321916343614408e-11,0.0077750781237310475,0.00010358820196474667,9.393354709205515e-07,6.327259954968911e-07,0.019933451288517513,2.9878667268501437e-05,0.0016252057589652854,1.6252588233813234e-06,35.90399195606235,35.904007749100806,1.2428987784086581e-08,8.939158220356688e-11,13.698512841168341,13.679235558852424,4.087316732969295e-06,6.48061357541438e-11,3.046127525824936e-08,2.5769166069920787e-09,5.600099979811132,8.939158220356688e-11,5.217268849836206e-13,3.046127525824936e-08,1.819806530182076e-10
0.04,42.29898301995821,13.298452123289424,5.599837646721873,52.998820672319205,0.0001967594491988268,216.9992142973748,0.0007760319961671936,9.581281287959746e-06,8.934769933689824e-08,3.2487148547159765e-08,2.8175768763292693e-09,0.0,54.39341564799644,0.00019452082134270454,2.401645665763582e-06,3.850724370674851e-05,0.0005308994883366635,35.903992026214574,0.06600797348924432,2.962052957446791e-10,0.0,2.2823714954008743e-12,13.698364869863731,0.2516350340235982,9.611097517655004e-08,7.646298709276286e-10,0.019801326693244747,0.001998001332666921,1.0,1.0,0.0,0.0,2.0,20.0,10.0,360.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,10.0,10.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,5.625110005547465,0.0587673260878542,0.04269664588172965,0.0007760319961671936,9.581281287959746e-06,7.04968570949577e-06,3.248714854715976e-07,2.8175768763292695e-10,0.010702418502942627,0.00019452082134270454,2.401645665763582e-06,1.767086974143865e-06,0.026570325064739515,5.3089948833666347e-05,0.002887758979403493,3.8507244050801875e-06,35.903992026214574,35.90399138082396,3.1315511786544214e-08,2.962052957446791e-10,13.698364869863731,13.687288997243304,9.689771580302649e-06,2.2483011362570614e-10,9.611097517655004e-08,8.934769933689825e-09,5.599837646721873,2.962052957446791e-10,2.2823714954008743e-12,9.611097517655004e-08,7.646298709276286e-10
0.05,42.298729687433244,13.297900599104343,5.5994307226317614,52.9981604256439,0.0002503020966065202,216.9987290793775,0.0012510995045898721,1.9590009600198305e-05,2.3110825438643446e-07,7.01228105505425e-08,7.78247075612405e-09,0.0,54.393342663115476,0.0003136021780438606,4.91044446875097e-06,7.517567422341009e-05,0.0008290961183388958,35.90399195933989,0.06600803990235482,7.577764951963788e-10,0.0,7.233896211916583e-12,13.69827972990804,0.2517200358889978,2.341974448851517e-07,2.326260987996858e-09,0.024690087971667385,0.0024968776025399153,1.0,1.0,0.0,0.0,2.0,20.0,10.0,360.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,10.0,10.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,5.624843028518712,0.07327018846092,0.05431523684951845,0.0012510995045898721,1.9590009600198305e-05,1.5216560768941686e-05,7.012281055054249e-07,7.78247075612405e-10,0.013614767710014686,0.0003136021780438606,4.91044446875097e-06,3.8142140627763872e-06,0.033203230166705754,8.290961183388958e-05,0.00450977325800651,7.517567596078198e-06,35.90399195933989,35.903979329293854,6.487699191555614e-08,7.577764951963788e-10,13.69827972990804,13.691894167281982,1.8923223413496394e-05,5.817457808839691e-10,2.341974448851517e-07,2.3110825438643448e-08,5.5994307226317614,7.577764951963788e-10,7.233896211916583e-12,2.341974448851517e-07,2.326260987996858e-09
0.06,42.29847438018485,13.297281127412772,5.5988811256320545,52.99735554095435,0.0003035618109447772,216.99812787802017,0.0018367412298643732,3.488249268091776e-05,4.982572369591761e-07,1.2949523265526056e-07,1.754956950047377e-08,0.0,54.393186970199594,0.00046040033686080994,8.743680090319532e-06,0.00012984526648439855,0.0011932703407885957,35.903991786704246,0.06600821165142358,1.6443403683535192e-09,0.0,1.8685647890814606e-11,13.698230467108493,0.2517690482451968,4.846319306389511e-07,5.769906984306374e-09,0.029554466451491845,0.0029955044966269995,1.0,1.0,0.0,0.0,2.0,20.0,10.0,360.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,10.0,10.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,5.624547050939847,0.08769575469069171,0.06587234467027814,0.0018367412298643732,3.488249268091776e-05,2.8100223055320205e-05,1.2949523265526055e-06,1.7549569500473771e-09,0.016511694339731646,0.00046040033686080994,8.743680090319532e-06,7.043658401567084e-06,0.0398320654100783,0.00011932703407885957,0.0064906731329522965,1.2984527295403292e-05,35.903991786704246,35.903969979243904,1.1859760747443159e-07,1.6443403683535192e-09,13.698230467108493,13.694520914510191,3.2691019161920974e-05,1.2544575033049328e-09,4.846319306389511e-07,4.982572369591762e-08,5.5988811256320545,1.6443403683535192e-09,1.8685647890814606e-11,4.846319306389511e-07,5.769906984306374e-09
0.07,42.29821597150217,13.296592691058564,5.598190757002419,52.996406797655915,0.00035653538633767626,216.99741125957195,0.0025312414263113725,5.65500510701116e-05,9.489506054906755e-07,2.154827645128307e-07,3.453118125943922e-08,0.0,54.39296053729773,0.0006344850927137573,1.417490491279018e-05,0.00020609680519282728,0.0016233150192551955,35.903991526295975,0.06600847052149215,3.1825457834728865e-09,0.0,4.1879707336889545e-11,13.698201653307521,0.2517974507519465,8.959083859571927e-07,1.2428957667936016e-08,0.03439458374243354,0.003493882139585125,1.0,1.0,0.0,0.0,2.0,20.0,10.0,360.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,10.0,10.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,5.6242214933149235,0.10204322500369745,0.07736725585770711,0.0025312414263113725,5.65500510701116e-05,4.6759202070340215e-05,2.1548276451283068e-06,3.453118125943922e-09,0.019393015199215425,0.0006344850927137573,1.417490491279018e-05,1.172074550661422e-05,0.04645672772062763,0.00016233150192551955,0.00882987880351301,2.060968247503961e-05,35.903991526295975,35.90396132202903,1.986801269703279e-07,3.1825457834728865e-09,13.698201653307521,13.696008802142794,5.189465015567444e-05,2.3894334335206816e-09,8.959083859571927e-07,9.489506054906756e-08,5.598190757002419,3.1825457834728865e-09,4.1879707336889545e-11,8.959083859571927e-07,1.2428957667936016e-08
0.08,42.29795335884494,13.295834298472402,5.59736150121523,52.995314983485244,0.00040921999383369584,216.99657978640525,0.003332894912741828,8.566657439483306e-05,1.652107586160717e-06,3.3288628222164827e-07,6.162095689712583e-08,0.0,54.39266881652128,0.0008354288471029136,2.1473300423056365e-05,0.0003075043904932794,0.0021191220850685665,35.90399118516862,0.06600880916939189,5.662006164920499e-09,0.0,8.456638724425187e-11,13.698184406603485,0.2518140683318602,1.5250003696790648e-06,2.414803897547165e-08,0.03921056084767682,0.003992010656008516,1.0,1.0,0.0,0.0,2.0,20.0,10.0,360.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,10.0,10.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,5.623865790237165,0.11631182990478842,0.08879933904212585,0.003332894912741828,8.566657439483306e-05,7.223518469990972e-05,3.3288628222164826e-06,6.162095689712584e-09,0.022258567597695098,0.0008354288471029136,2.1473300423056365e-05,1.810657330244515e-05,0.05307711220002533,0.00021191220850685666,0.011526805748321125,3.075044412963131e-05,35.90399118516862,35.90395296123686,3.120336406903979e-07,5.662006164920499e-09,13.698184406603485,13.696839222115731,7.74339316000217e-05,4.160239325930594e-09,1.5250003696790648e-06,1.652107586160717e-07,5.59736150121523,5.662006164920499e-09,8.456638724425187e-11,1.5250003696790648e-06,2.414803897547165e-08
0.09,42.297685463536205,13.29500498337397,5.596395225943653,52.99408089419528,0.00046161298056281624,216.99563401676915,0.004240007371148329,0.00012328863763525928,2.687222045050453e-06,4.864297038877312e-07,1.0218550192568155e-07,0.0,54.39231359092268,0.0010628066798173547,3.090370587130748e-05,0.0004376353498424381,0.0026805825199455193,35.90399076521796,0.06600922534027424,9.441786311542769e-09,0.0,1.5765151017309243e-10,13.698173532905903,0.25182402971790074,2.4372580625134223e-06,4.3363605851604265e-08,0.04400251816690004,0.004489890170429445,1.0,1.0,0.0,0.0,2.0,20.0,10.0,360.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,10.0,10.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,5.623479390228986,0.13050082965476634,0.10016800138759885,0.004240007371148329,0.00012328863763525928,0.0001055531219997075,4.864297038877312e-06,1.0218550192568155e-08,0.025108197996413197,0.0010628066798173547,3.090370587130748e-05,2.6458036993801136e-05,0.05969311219066127,0.00026805825199455196,0.014580864313708763,4.3763546744477404e-05,35.90399076521796,35.90394484602077,4.662611497572804e-07,9.441786311542769e-09,13.698173532905903,13.69729159414589,0.00011020709734432601,6.767070841313834e-09,2.4372580625134223e-06,2.6872220450504534e-07,5.596395225943653,9.441786311542769e-09,1.5765151017309243e-10,2.4372580625134223e-06,4.3363605851604265e-08
