CD4_T_cells_4_task1,CD8_T_cells_3_task1,Circulating_lymphocytes_5_task1,IL_2_6_task1,NK_cells_2_task1,Tumor_cells_1_task1,time_task1
1000000.0,100.0,60000000000.0,100000.0,1000.0,10000000.0,0.0
915296.0055053018,2061177.0673865255,60002998200.71979,360442.7160155452,380.98431068279416,10067022.05665804,0.1
853160.6366356759,2520289.5377724366,60005992805.75655,432198.2975234005,374.048745426667,9621866.552169498,0.2
804243.2092114754,2617736.1145096673,60008983819.422516,440177.8844036536,395.4988540654002,9033159.226991603,0.3
764406.0493757307,2633287.8783929185,60011971246.02476,428292.4051837301,423.682531153385,8391228.473090885,0.4
731757.779636927,2627714.6855908553,60014955089.86516,411784.5382382516,458.0395577852358,7719391.913654238,0.5
705304.8501035838,2614408.0312929563,60017935355.24046,395817.48584403726,499.6677617934464,7029048.547007119,0.6
684413.176144447,2595983.249284614,60020912046.44225,382031.36380161066,550.185892220087,6330967.9580284925,0.7
668598.8825089263,2572324.6360150194,60023885167.75696,370846.290716049,611.5851354598497,5637516.688068479,0.8
657443.8168785711,2542468.0034502875,60026854723.46588,362265.8738252766,686.1810467533547,4962423.829653163,0.9
650559.4319972607,2505105.466800989,60029820717.84519,356155.0476789341,776.5641294304586,4319504.783849796,1.0
647572.4592243227,2458789.9312814497,60032783155.16589,352334.36041895725,885.5349614070948,3720959.9956063465,1.1
648122.4837371894,2402101.226603034,60035742039.69391,350612.4656753387,1016.0360409290051,3175846.0908189802,1.2
651866.2459687092,2333832.4934962834,60038697375.69003,350798.67232514976,1171.0958579842475,2689246.162633329,1.3
658484.4656858101,2253193.406674047,60041649167.40996,352709.57618455373,1353.7870666019824,2262319.356862557,1.4
667688.16734129,2160003.79821476,60044597419.10426,356173.79007837345,1567.202435083939,1893011.0731643767,1.5
679222.3370571886,2054833.3613742134,60047542135.018425,361035.2753188628,1814.4244521308385,1577091.3027829642,1.6
692866.8418539137,1939052.5997863591,60050483319.39283,367155.2065174288,2098.4899411917395,1309140.6179654084,1.7
708434.9991286733,1814767.4159107546,60053420976.4628,374412.3933848854,2422.3395734528503,1083327.4005661253,1.8
725770.6980780339,1684640.8468129106,60056355110.45855,382702.51293564966,2788.7581810575357,893929.2497060902,1.9
744744.7772252025,1551633.978364525,60059285725.60523,391936.5295300925,3200.3037091658794,735636.4077332882,2.0
765251.2518875704,1418720.7250908355,60062212826.12294,402038.61395880557,3659.2365910481476,603695.1445044336,2.1
787203.6405794113,1288628.0152265332,60065136416.22671,412943.8020439482,4167.4506056096525,493951.2561752697,2.2
810531.5203733994,1163646.7252923944,60068056500.12649,424595.51325847633,4726.4079863559555,402833.7862160648,2.3
835177.3487929413,1045528.8227938848,60070973082.0272,436942.9087672374,5337.083271099287,327308.391390832,2.4
861093.442977438,935467.785766988,60073886166.12874,449938.0457724368,5999.916148082512,264817.5579139977,2.5
888239.0997399609,834142.5772633116,60076795756.62593,463532.6550748863,6714.773579683252,213218.74672389214,2.6
916577.5499597456,741797.5741465528,60079701857.708595,477674.1707758363,7480.918961664896,170723.66080469821,2.7
946072.6596423191,658340.1325448559,60082604473.561516,492300.8624327533,8296.994487852939,135842.63348763782,2.8
