M_1_task1,N_2_task1,Z_3_task1,_1_task1
2.5,1.5,0.5,0.0
3.0459351321025068,1.5114012573508997,0.5056198437357516,0.25
3.1589666034845223,1.5230868299875566,0.5103976968755519,0.5
3.1791338937863554,1.5350313658182588,0.5144222814697846,0.75
3.181507422162469,1.5472120272699086,0.5177771106663941,1.0
3.180526483379346,1.559608355092023,0.5205395410152704,1.25
3.1788977168702317,1.5722021044335799,0.5227802974308022,1.5
3.1771274792494055,1.5849770662363445,0.5245633530655343,1.75
3.175312046574776,1.5979188826553956,0.5259460657262006,2.0
3.1734706147758374,1.6110148663728074,0.5269794838872408,2.25
3.1716082933515657,1.6242538244714444,0.5277087662387566,2.5
3.169727127910338,1.6376258954145073,0.5281736538021237,2.75
3.1678286775755105,1.6511223953551726,0.52840897294736,3.0
3.165914097274204,1.6647356771771304,0.5284451401124525,3.25
3.163984508721085,1.6784590076325747,0.5283086290963155,3.5
3.162040821901324,1.6922864496720915,0.5280224383238821,3.75
3.1600838503571125,1.7062127635784885,0.5276064982388806,4.0
3.158114380012927,1.7202333177401787,0.5270780471059524,4.25
3.156133000384147,1.7343440056422634,0.5264519869559131,4.5
3.1541402915341523,1.7485411764183845,0.5257411855691143,4.75
3.1521367226423465,1.7628215757338082,0.5249567371245482,5.0
3.150122873139921,1.7771822958348866,0.5241081821015415,5.25
3.1480990804158737,1.7916207181185173,0.523203760268121,5.5
3.146065738112968,1.8061344787549822,0.5222505644679412,5.75
3.1440231817260824,1.8207214306189243,0.5212547096577098,6.0
3.1419717180520115,1.8353796207907882,0.5202214305264499,6.25
3.1399116341533624,1.850107250890503,0.5191552576747008,6.5
3.137843193308217,1.8649026604469485,0.5180600905246726,6.75
3.1357666367018395,1.8797643090183302,0.5169392746357345,7.0
3.133682196813599,1.894690751043016,0.5157957121096959,7.25
3.131590084263651,1.9096806289895374,0.5146318901442505,7.5
3.1294904998379267,1.9247326548634849,0.513449960777177,7.75
3.1273836420247307,1.9398456012867324,0.5122517783736061,8.0
3.1252697099437534,1.9550182845054898,0.5110389771598192,8.25
3.1231488575869872,1.9702495735074284,0.5098129213373263,8.5
3.1210212714917644,1.9855383629898127,0.5085748295565932,8.75
3.1188871160692178,2.0008835767564137,0.5073257531334611,9.0
3.1167465544427366,2.0162841662731283,0.5060665899780828,9.25
3.114599749155617,2.031739095595306,0.5047981374855021,9.5
3.112446858584272,2.047247342876183,0.5035210908482086,9.75
3.110288038960422,2.062807897340857,0.5022360564980426,10.0
