H_1_task1,T_2_task1,_1_task1
0.5,0.0001,0.0
0.8366763617996342,0.00014916786648943125,4.0
0.8723399546110936,0.00022249967496809324,8.0
0.8744901960182917,0.00033185792088343186,12.0
0.8744491504000285,0.0004949123298647709,16.0
0.8741905182792571,0.000737963943286692,20.0
0.8737964816359391,0.0011001156024461885,24.0
0.873206718478871,0.0016394074251074766,28.0
0.872328746430293,0.002441773261278173,32.0
0.8710241219803289,0.0036339727667939986,36.0
0.8690889496234654,0.005401944859797646,40.0
0.8662264108414429,0.008016163916961487,44.0
0.8620094752567675,0.011865156001543455,48.0
0.855834729018415,0.017496503732015903,52.0
0.8468725710322633,0.0256599609252581,56.0
0.8340291367052539,0.03733765661631879,60.0
0.8159546850603173,0.05372775377626279,64.0
0.7911546672762608,0.0761287056027232,68.0
0.758275395386472,0.10565827823740356,72.0
0.7165965395247563,0.14278410029085925,76.0
0.6666273452483591,0.18677707904917662,80.0
0.6104996601621134,0.2353932667835704,84.0
0.5517776681223618,0.2851429780745083,88.0
0.4945861904636842,0.3322055739878821,92.0
0.4424796985461694,0.3735310647691722,96.0
0.3976716262449119,0.40751215513870026,100.0
0.36091406489210837,0.4339770198710846,104.0
0.3318544360577327,0.4537293668047554,108.0
0.3095270499697439,0.4680081428598809,112.0
0.29275034678907946,0.4780933826228491,116.0
0.28036869156733174,0.4851004904650907,120.0
0.27136705441765524,0.4899135361625959,124.0
0.26490677587426337,0.4931937152644426,128.0
0.26032338473127264,0.4954172056742119,132.0
0.2571041876338142,0.49691867626312247,136.0
0.25486215051305666,0.497930105995006,140.0
0.25331361342604664,0.49861044076780886,144.0
0.252249346719762,0.4990675763762395,148.0
0.2515219870852382,0.4993744862016116,152.0
0.2510283223299491,0.49958047117677423,156.0
0.25069238012125755,0.49971865667757537,160.0
0.2504675487421152,0.49981133808130074,164.0
0.2503135328121108,0.49987351357247495,168.0
0.2502105566948985,0.4999151979698897,172.0
0.25014199212344485,0.4999431489324136,176.0
0.25009493037808417,0.49996188807576464,180.0
0.25006407924934276,0.4999744478544724,184.0
0.2500414263568013,0.4999828678218924,188.0
0.2500279340258015,0.4999885137509698,192.0
0.25001934487111743,0.499992298984445,196.0
0.2500126551125656,0.49999483740923933,200.0
0.25000863122226974,0.49999653921970943,204.0
0.25000583189509984,0.4999976799293925,208.0
0.2500038370773343,0.49999844472812355,212.0
0.25000268465646214,0.49999895728269195,216.0
0.25000202246549086,0.49999930038804313,220.0
0.2500014742894773,0.49999953018474913,224.0
0.25000094518758503,0.49999968457976807,228.0
0.25000056794965625,0.49999978845735255,232.0
0.25000037663086555,0.49999985815554093,236.0
0.25000027227978117,0.49999990479050327,240.0
0.25000017535822655,0.49999993606476645,244.0
0.25000009298184933,0.49999995711055456,248.0
0.25000002744738087,0.4999999712385093,252.0
0.24999997735299323,0.4999999806151325,256.0
0.24999996609391992,0.4999999868461874,260.0
0.24999997280237504,0.4999999910126445,264.0
0.24999998878233898,0.49999999381323273,268.0
0.25000000234730346,0.49999999579903726,272.0
0.25000000736138017,0.49999999721205357,276.0
0.25000001071793104,0.49999999836316944,280.0
0.25000001002657457,0.49999999919139276,284.0
0.2500000064389307,0.49999999976659887,288.0
0.25000000331612365,0.5000000004063807,292.0
0.25000000082247503,0.5000000007039673,296.0
0.2499999981550448,0.5000000012517056,300.0
0.2499999948319129,0.5000000023810207,304.0
0.2499999921552432,0.5000000035145142,308.0
0.2499999907249049,0.5000000042670296,312.0
0.24999999120744354,0.5000000041051224,316.0
0.24999999044851837,0.500000005646514,320.0
0.24999998770034418,0.5000000093747343,324.0
0.2499999847421194,0.5000000135369106,328.0
0.24999998177019148,0.5000000176318696,332.0
0.2499999790555672,0.5000000210033748,336.0
0.2499999769439127,0.5000000228401256,340.0
0.24999997585555356,0.5000000221757578,344.0
0.24999997628547452,0.5000000178888435,348.0
0.2499999737114568,0.5000000207744348,352.0
0.24999997087912612,0.5000000244192625,356.0
0.24999996836258323,0.50000002758014,360.0
0.24999996640232006,0.500000029826719,364.0
0.24999996527654803,0.500000030661163,368.0
0.24999996530119792,0.500000029518147,372.0
0.24999996682991998,0.500000025764858,376.0
0.24999996942421898,0.500000020319963,380.0
0.2499999698113763,0.5000000196374637,384.0
0.24999997061633178,0.5000000186718213,388.0
0.24999997188874348,0.500000017407667,392.0
0.24999997368171858,0.5000000158290009,396.0
0.2499999760518133,0.5000000139191924,400.0
