Time,x1,x2,ppERKn,DUSP,pRSKn,cFOSp,cFOS,pcFOS,cFOSm,ppERKc,k7,k11,k13,L,K1,tau1,K2,tau2,compartment,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.11,0.06,1.0,1.09,3.07,2.89,472.0,1.0,0.35504885993485347,0.006122881355932204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.003544712318078007,6.122816495358949e-05,0.000222771807483985,7.726762451611725e-07,7.723795863121029e-08,2.1800595342246205e-14,5.426590009996646e-21,2.0199387651100253e-27,1.4997127254022828e-17,0.0034834841531244175,0.5,0.11,0.06,1.0,1.09,3.07,2.89,472.0,1.0,0.35389423051528407,0.006122751635243743,0.041113669512840234,0.000222771807483985,2.226559505460382e-05,1.3601115034646004e-11,1.0899097900942781e-14,4.497508119946612e-18,2.079255217321253e-24
0.02,0.007077897126598276,0.00012245503271403585,0.0007683457229392755,5.522459982017864e-06,5.518129130380625e-07,1.534074373123366e-12,1.60471115558435e-18,2.422602193781109e-24,2.1701814263475766e-15,0.00695544209388424,0.5,0.11,0.06,1.0,1.09,3.07,2.89,472.0,1.0,0.3527433559848214,0.0061226219173035725,0.06591428585708073,0.0007683457229392755,7.675180035697184e-05,4.613433209863498e-10,7.668635720475752e-13,6.505717869406466e-16,1.2276145284746505e-21
0.03,0.010599591913363678,0.0001836806033088217,0.0015083497221333045,1.678224244843071e-05,1.676212588607823e-06,1.69322602363431e-11,4.166446461554116e-17,1.4339444652609202e-22,3.6836570431148845e-14,0.010415911310054857,0.5,0.11,0.06,1.0,1.09,3.07,2.89,472.0,1.0,0.3515962241324549,0.006122492202111634,0.08082082915528734,0.0015083497221333045,0.00015058354032503927,3.2859357047507346e-09,8.463183192537058e-12,1.1038424061493155e-14,4.7728323442565425e-20
0.04,0.014109834044265628,0.00024490487676542914,0.002364924710281064,3.6074718816601464e-05,3.601608666068062e-06,8.83064925071184e-11,4.019741802517354e-16,2.488941342447469e-21,2.619051436699088e-13,0.0138649291675002,0.5,0.11,0.06,1.0,1.09,3.07,2.89,472.0,1.0,0.3504528227868842,0.006122362489667871,0.08972650760253453,0.002364924710281064,0.0002359522297281962,1.2487475865208199e-08,4.4132293842065604e-11,7.84503379284446e-14,6.129159635770802e-19
0.05,0.01760866076368058,0.00030612785311133955,0.0032908480350129993,6.430989750874863e-05,6.417727305648827e-06,3.071478333569563e-10,2.263580404436543e-15,2.2132222436846334e-20,1.1614482802828955e-12,0.01730253291056924,0.5,0.11,0.06,1.0,1.09,3.07,2.89,472.0,1.0,0.3493131398163907,0.006122232779972222,0.09499262903049074,0.0032908480350129993,0.00032812214440545263,3.38731622686748e-08,1.5348100081605553e-10,3.477511030672823e-13,4.306874123214474e-18
0.06,0.021096109194865147,0.00036734953237403374,0.004257479514618183,0.00010202616809255472,1.0177028457984681e-05,8.301180695200265e-10,9.092959589083977e-15,1.2922605389977723e-19,3.833702463230571e-12,0.020728759662491113,0.5,0.11,0.06,1.0,1.09,3.07,2.89,472.0,1.0,0.34817716312870844,0.006122103073024632,0.09805133796596904,0.004257479514618183,0.00042422139719312064,7.45939091492976e-08,4.147523385629548e-10,1.1473621254108754e-12,2.0725552344427344e-17
0.07,0.024572216340350006,0.00042856991458099206,0.005247448711130357,0.00014953655041840595,1.490937476923209e-05,1.8903720865019925e-09,2.899302539826562e-14,5.654921429524178e-19,1.0346297234894884e-11,0.024143646425769015,0.5,0.11,0.06,1.0,1.09,3.07,2.89,472.0,1.0,0.3470448806708958,0.006121973368825041,0.09977127523471474,0.005247448711130357,0.0005225084648976508,1.4273955428052902e-07,9.443583394722047e-10,3.0951142970695707e-12,7.696521392247716e-17
0.08,0.02803701908233255,0.0004897889997596941,0.006250220586528919,0.00020701737954701368,2.063092674454499e-05,3.805410762003199e-09,7.818690933685622e-14,2.0066657194258163e-18,2.413868469946611e-11,0.027547230082572857,0.5,0.11,0.06,1.0,1.09,3.07,2.89,472.0,1.0,0.3459162804292077,0.006121843667373391,0.1006793072521231,0.006250220586528919,0.0006219274196412102,2.470504840345674e-07,1.9007742862256424e-09,7.217912535832814e-12,2.367991992953557e-16
0.09,0.0314905541830682,0.0005510067879376195,0.007259406411496486,0.0002745620873251761,2.7349537074026815e-05,6.982569552136076e-09,1.8574674433528514e-13,6.0734334824389796e-18,5.045703347696859e-11,0.030939547395130582,0.5,0.11,0.06,1.0,1.09,3.07,2.89,472.0,1.0,0.3447913504289681,0.0061217139686696245,0.1010949861432553,0.007259406411496486,0.0007218382105885446,3.96728300974519e-07,3.4872482133898805e-09,1.5080754222974015e-11,6.317907425413745e-16
0.1,0.03493285828526014,0.0006122232791422462,0.008271132763452696,0.00035221382290936184,3.50680224860493e-05,1.1922976555421387e-08,3.9964261825027426e-13,1.6226594743487064e-17,9.681187420130732e-11,0.03432063500611789,0.5,0.11,0.06,1.0,1.09,3.07,2.89,472.0,1.0,0.343670078734443,0.006121584272713683,0.10121210201706787,0.008271132763452696,0.0008218530729723622,6.013142684415507e-07,5.953743327774588e-09,2.8922161689785075e-11,1.5077689054449142e-15
0.11,0.03836396791244883,0.0006734384734010522,0.00928305011851375,0.00043998528166868425,4.3786152589367476e-05,1.9224530632820192e-08,7.941885610116613e-13,3.9221630224094505e-17,1.7345367872471793e-10,0.03769052943904778,0.5,0.11,0.06,1.0,1.09,3.07,2.89,472.0,1.0,0.34255245344871377,0.006121454579505507,0.10114825398413313,0.00928305011851375,0.00092173708896297,8.706096145238538e-07,9.598389022112119e-09,5.1794556729802406e-11,3.2902800878424815e-15
