DUSP,cFOS,cFOSm,cFOSp,pRSKn,pcFOS,ppERKc,ppERKn,x1,x2,Time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.726762451611725e-07,5.426590009996646e-21,1.4997127254022828e-17,2.1800595342246205e-14,7.723795863121029e-08,2.0199387651100253e-27,0.0034834841531244175,0.000222771807483985,0.003544712318078007,6.122816495358949e-05,0.01
5.522459982017864e-06,1.60471115558435e-18,2.1701814263475766e-15,1.534074373123366e-12,5.518129130380625e-07,2.422602193781109e-24,0.00695544209388424,0.0007683457229392755,0.007077897126598276,0.00012245503271403585,0.02
1.678224244843071e-05,4.166446461554116e-17,3.6836570431148845e-14,1.69322602363431e-11,1.676212588607823e-06,1.4339444652609202e-22,0.010415911310054857,0.0015083497221333045,0.010599591913363678,0.0001836806033088217,0.03
3.6074718816601464e-05,4.019741802517354e-16,2.619051436699088e-13,8.83064925071184e-11,3.601608666068062e-06,2.488941342447469e-21,0.0138649291675002,0.002364924710281064,0.014109834044265628,0.00024490487676542914,0.04
6.430989750874863e-05,2.263580404436543e-15,1.1614482802828955e-12,3.071478333569563e-10,6.417727305648827e-06,2.2132222436846334e-20,0.01730253291056924,0.0032908480350129993,0.01760866076368058,0.00030612785311133955,0.05
0.00010202616809255472,9.092959589083977e-15,3.833702463230571e-12,8.301180695200265e-10,1.0177028457984681e-05,1.2922605389977723e-19,0.020728759662491113,0.004257479514618183,0.021096109194865147,0.00036734953237403374,0.06
0.00014953655041840595,2.899302539826562e-14,1.0346297234894884e-11,1.8903720865019925e-09,1.490937476923209e-05,5.654921429524178e-19,0.024143646425769015,0.005247448711130357,0.024572216340350006,0.00042856991458099206,0.07
0.00020701737954701368,7.818690933685622e-14,2.413868469946611e-11,3.805410762003199e-09,2.063092674454499e-05,2.0066657194258163e-18,0.027547230082572857,0.006250220586528919,0.02803701908233255,0.0004897889997596941,0.08
0.0002745620873251761,1.8574674433528514e-13,5.045703347696859e-11,6.982569552136076e-09,2.7349537074026815e-05,6.0734334824389796e-18,0.030939547395130582,0.007259406411496486,0.0314905541830682,0.0005510067879376195,0.09
0.00035221382290936184,3.9964261825027426e-13,9.681187420130732e-11,1.1922976555421387e-08,3.50680224860493e-05,1.6226594743487064e-17,0.03432063500611789,0.008271132763452696,0.03493285828526014,0.0006122232791422462,0.1
0.00043998528166868425,7.941885610116613e-13,1.7345367872471793e-10,1.9224530632820192e-08,4.3786152589367476e-05,3.9221630224094505e-17,0.03769052943904778,0.00928305011851375,0.03836396791244883,0.0006734384734010522,0.11
