data_set_value_component_environment_variable_time,data_set_value_component_Q_Ca_p_variable_Q_Ca_p,data_set_value_component_Q_P_p_variable_Q_P_p,data_set_value_component_Q_P_c_variable_Q_P_c,data_set_value_component_Q_PTH_p_variable_Q_PTH_p,data_set_value_component_Q_Ca_b_variable_Q_Ca_b,data_set_value_component_Q_P_b_variable_Q_P_b,data_set_value_component_Q_E_k_variable_Q_E_k,data_set_value_component_Q_D_p_variable_Q_D_p,data_set_value_component_Q_TCa_i_variable_Q_TCa_i,data_set_value_component_Q_C_PT_variable_Q_C_PT,data_set_value_component_Q_TP_k_variable_Q_TP_k,data_set_value_component_model_fluxes_variable_J_bp_Ca,data_set_value_component_model_fluxes_variable_J_pb_Ca,data_set_value_component_model_fluxes_variable_J_bp_P,data_set_value_component_model_fluxes_variable_J_pb_P,data_set_value_component_model_fluxes_variable_J_pu_Ca,data_set_value_component_model_fluxes_variable_J_pu_P,data_set_value_component_model_fluxes_variable_J_ip_Ca,data_set_value_component_model_fluxes_variable_J_ip_P,data_set_value_component_model_fluxes_variable_J_pc_P,data_set_value_component_model_fluxes_variable_J_cp_P,data_set_value_component_model_fluxes_variable_S_PTH,data_set_value_component_model_fluxes_variable_J_P_ing,data_set_value_component_model_fluxes_variable_Stoic_Ca_P,data_set_value_component_model_fluxes_variable_k_Ca_i,data_set_value_component_model_parameters_variable_k1_D,data_set_value_component_model_parameters_variable_k2_D,data_set_value_component_model_parameters_variable_k3_D,data_set_value_component_model_parameters_variable_k4_D,data_set_value_component_model_parameters_variable_k1_P,data_set_value_component_model_parameters_variable_k2_P,data_set_value_component_model_parameters_variable_k3_P,data_set_value_component_model_parameters_variable_k4_P,data_set_value_component_model_parameters_variable_k_PTH,data_set_value_component_model_parameters_variable_k_E,data_set_value_component_model_parameters_variable_k_D,data_set_value_component_model_parameters_variable_k_Ca_b,data_set_value_component_model_parameters_variable_C_Ca_p,data_set_value_component_model_parameters_variable_C_Ca_i,data_set_value_component_model_parameters_variable_C_P_p,data_set_value_component_model_parameters_variable_C_PTH_p,data_set_value_component_model_parameters_variable_C_D_p,data_set_value_component_model_parameters_variable_Y_Ca_i_2plus,data_set_value_component_model_parameters_variable_Y_Ca_p_1minus,data_set_value_component_model_parameters_variable_S_E,data_set_value_component_model_parameters_variable_Ca_thr,data_set_value_component_model_parameters_variable_Ca_T,data_set_value_component_model_parameters_variable_P_thr,data_set_value_component_model_parameters_variable_P_T,data_set_value_component_model_parameters_variable_Y_i_D_p_1plus,data_set_value_component_model_parameters_variable_Y_PT_D_p_1plus,data_set_value_component_model_parameters_variable_Y_k_Jext_1plus,data_set_value_component_model_parameters_variable_Y_PTH_p_2plus,data_set_value_component_model_parameters_variable_Y_PTH_p_2minus,data_set_value_component_model_parameters_variable_Y_i_D_p_1minus,data_set_value_component_model_parameters_variable_Y_PT_D_p_1minus,data_set_value_component_model_parameters_variable_Y_Ca_i_2plus_Max,data_set_value_component_model_parameters_variable_Y_PTH_p_2plus_Max,data_set_value_component_model_parameters_variable_Y_PTH_p_2minus_Max,data_set_value_component_model_parameters_variable_Y_Ca_p_1plus_minus_Max,data_set_value_component_model_parameters_variable_Y_i_D_p_1plus_minus_Max,data_set_value_component_model_parameters_variable_Y_PT_D_p_1plus_minus_Max,data_set_value_component_model_parameters_variable_Y_k_Jext_1plus_minus_Max,data_set_value_component_model_parameters_variable_X_R_PTH_Ca,data_set_value_component_model_parameters_variable_X_R_i_Ca,data_set_value_component_model_parameters_variable_X_R_PTH_D,data_set_value_component_model_parameters_variable_X_R_E_PTH,data_set_value_component_model_parameters_variable_X_R_i_D,data_set_value_component_model_parameters_variable_X_R_P_k_PTH,data_set_value_component_model_parameters_variable_b_PTH_Ca,data_set_value_component_model_parameters_variable_b_PTH_D,data_set_value_component_model_parameters_variable_b_E_PTH,data_set_value_component_model_parameters_variable_b_i_D,data_set_value_component_model_parameters_variable_a,data_set_value_component_model_parameters_variable_d
0.0,1.0,1.0,3226.0,1.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3,100.0,1.5312,46.400000000000006,0.21,1.27,-1.42,1.0,62.16,3226.0,-0.00018811939864620707,1.0,0.464,1.0,0.02,0.02,0.01,0.01,0.0023740893607261566,1.0,1.0,51.8,100.0,0.05,0.1,1.0,2.4,1.0,1.2,3.85,90.0,0.5,0.018811939864620708,1.0,1.9910229088971763,0.8295928787071568,0.9589770911028237,0.7991475759190197,0.02,0.01,0.0023740893607261566,0.041022908897176344,0.9589770911028237,0.02,0.01,1.0,1.0,1.0,0.02,0.02,0.01,0.01,1.0,1.0,90.0,3.85,90.0,90.0,0.05,0.03,0.55,0.03,0.85,0.15
0.1,-9.333028762582135,297.3331805108364,2924.9209247531808,-37.50001879314046,110.1700317585864,5.718894735984084,1.094762895317632,1.0942778162396574,0.9980039946723325,0.9990009993337428,0.9048485595440056,3.3,110.1700317585864,1.5312,51.11889473598409,0.21,1.27,-1.41994011984017,1.0,62.16,2924.9209247531808,-0.0001877435358370401,1.0,0.464,1.0,0.02,0.02,0.01,0.01,0.0023740893607261566,1.0,1.0,51.8,100.0,0.05,0.1,1.0,2.4,1.0,1.2,3.85,90.0,0.5,0.018811939864620708,1.0,1.9910229088971763,0.8295928787071568,0.8677290395200906,0.7231075329334089,0.02,0.01,0.0023740893607261566,0.041022908897176344,0.9589770911028237,0.02,0.01,1.0,1.0,1.0,0.02,0.02,0.01,0.01,1.0,1.0,90.0,3.85,90.0,90.0,0.05,0.03,0.55,0.03,0.85,0.15
0.2,-20.735640937054377,564.51870789103,2652.4932131609958,-76.00003754873222,121.40965290511856,10.934078947975003,1.1890531587434188,1.1970230448263022,0.9960159574188774,0.9980039946720725,0.8187723821439817,3.3,121.40965290511856,1.5312,56.334078947975016,0.21,1.27,-1.419880478722566,1.0,62.16,2652.4932131609958,-0.00018736842400223833,1.0,0.464,1.0,0.02,0.02,0.01,0.01,0.0023740893607261566,1.0,1.0,51.8,100.0,0.05,0.1,1.0,2.4,1.0,1.2,3.85,90.0,0.5,0.018811939864620708,1.0,1.9910229088971763,0.8295928787071568,0.7851839573037651,0.6543199644198043,0.02,0.01,0.0023740893607261566,0.041022908897176344,0.9589770911028237,0.02,0.01,1.0,1.0,1.0,0.02,0.02,0.01,0.01,1.0,1.0,90.0,3.85,90.0,90.0,0.05,0.03,0.55,0.03,0.85,0.15
0.30000000000000004,-33.32032884163915,805.2309219350236,2405.990329004418,-114.5000562668503,133.83135573396265,16.697749060558664,1.2828731475206852,1.3081045239172417,0.9940358564312989,0.9970089820270436,0.7409058935204547,3.3,133.83135573396265,1.5312,62.09774906055868,0.21,1.27,-1.4198210756929388,1.0,62.16,2405.990329004418,-0.00018699406164138197,1.0,0.464,1.0,0.02,0.02,0.01,0.01,0.0023740893607261566,1.0,1.0,51.8,100.0,0.05,0.1,1.0,2.4,1.0,1.2,3.85,90.0,0.5,0.018811939864620708,1.0,1.9910229088971763,0.8295928787071568,0.710511778549184,0.5920931487909867,0.02,0.01,0.0023740893607261566,0.041022908897176344,0.9589770911028237,0.02,0.01,1.0,1.0,1.0,0.02,0.02,0.01,0.01,1.0,1.0,90.0,3.85,90.0,90.0,0.05,0.03,0.55,0.03,0.85,0.15
0.4,-47.21141698442032,1021.8791286768239,2182.9452796887163,-153.0000749475695,147.55946472944134,23.067591634460772,1.3762252071508558,1.4273926307243383,0.9920636600279731,0.996015957418606,0.670466100888092,3.3,147.55946472944134,1.5312,68.46759163446079,0.21,1.27,-1.4197619098008392,1.0,62.16,2182.9452796887163,-0.00018662044725702167,1.0,0.464,1.0,0.02,0.02,0.01,0.01,0.0023740893607261566,1.0,1.0,51.8,100.0,0.05,0.1,1.0,2.4,1.0,1.2,3.85,90.0,0.5,0.018811939864620708,1.0,1.9910229088971763,0.8295928787071568,0.6429616311127148,0.5358013592605957,0.02,0.01,0.0023740893607261566,0.041022908897176344,0.9589770911028237,0.02,0.01,1.0,1.0,1.0,0.02,0.02,0.01,0.01,1.0,1.0,90.0,3.85,90.0,90.0,0.05,0.03,0.55,0.03,0.85,0.15
0.5,-62.54631657221262,1216.6321469672362,1981.1254875741026,-191.5000935909646,162.7313910747029,30.10736545866215,1.4691116714421908,1.5547592642609638,0.9900993366536962,0.9950249168746593,0.6067445795944673,3.3,162.7313910747029,1.5312,75.50736545866215,0.21,1.27,-1.4197029800996108,1.0,62.16,1981.1254875741026,-0.0001862475793546991,1.0,0.464,1.0,0.02,0.02,0.01,0.01,0.0023740893607261566,1.0,1.0,51.8,100.0,0.05,0.1,1.0,2.4,1.0,1.2,3.85,90.0,0.5,0.018811939864620708,1.0,1.9910229088971763,0.8295928787071568,0.5818541519819079,0.4848784599849233,0.02,0.01,0.0023740893607261566,0.041022908897176344,0.9589770911028237,0.02,0.01,1.0,1.0,1.0,0.02,0.02,0.01,0.01,1.0,1.0,90.0,3.85,90.0,90.0,0.05,0.03,0.55,0.03,0.85,0.15
0.6000000000000001,-79.4768496050356,1391.4389434048035,1798.5115406649631,-230.00011219711024,179.49895674619506,37.88751593023453,1.5615348625596353,1.690077830513909,0.9881428548792661,0.9940358564310402,0.5491006982963456,3.3,179.49895674619506,1.5312,83.28751593023452,0.21,1.27,-1.419644285646378,1.0,62.16,1798.5115406649631,-0.00018587545644294237,1.0,0.464,1.0,0.02,0.02,0.01,0.01,0.0023740893607261566,1.0,1.0,51.8,100.0,0.05,0.1,1.0,2.4,1.0,1.2,3.85,90.0,0.5,0.018811939864620708,1.0,1.9910229088971763,0.8295928787071568,0.5265749903747586,0.43881249197896555,0.02,0.01,0.0023740893607261566,0.041022908897176344,0.9589770911028237,0.02,0.01,1.0,1.0,1.0,0.02,0.02,0.01,0.01,1.0,1.0,90.0,3.85,90.0,90.0,0.05,0.03,0.55,0.03,0.85,0.15
0.7000000000000001,-98.17081612774851,1548.049166106025,1633.2759316348777,-268.5001307660807,198.02996176529925,46.48590225909888,1.6534970910874465,1.8332232253432796,0.9861941834009353,0.9930487721315057,0.4969548419912909,3.3,198.02996176529925,1.5312,91.88590225909886,0.21,1.27,-1.419585825502028,1.0,62.16,1633.2759316348777,-0.00018550407703325924,1.0,0.464,1.0,0.02,0.02,0.01,0.01,0.0023740893607261566,1.0,1.0,51.8,100.0,0.05,0.1,1.0,2.4,1.0,1.2,3.85,90.0,0.5,0.018811939864620708,1.0,1.9910229088971763,0.8295928787071568,0.4765683087822715,0.3971402573185596,0.02,0.01,0.0023740893607261566,0.041022908897176344,0.9589770911028237,0.02,0.01,1.0,1.0,1.0,0.02,0.02,0.01,0.01,1.0,1.0,90.0,3.85,90.0,90.0,0.05,0.03,0.55,0.03,0.85,0.15
0.8,-118.81370308444298,1688.0309157162515,1483.7644939072868,-307.0001492979504,218.509893052723,55.98859037646348,1.7450006560871947,1.9840718183310684,0.9842532910399091,0.9920636600277172,0.44978249626914957,3.3,218.509893052723,1.5312,101.38859037646347,0.21,1.27,-1.419527598731197,1.0,62.16,1483.7644939072868,-0.00018513343964013168,1.0,0.464,1.0,0.02,0.02,0.01,0.01,0.0023740893607261566,1.0,1.0,51.8,100.0,0.05,0.1,1.0,2.4,1.0,1.2,3.85,90.0,0.5,0.018811939864620708,1.0,1.9910229088971763,0.8295928787071568,0.4313311099011557,0.3594425915842964,0.02,0.01,0.0023740893607261566,0.041022908897176344,0.9589770911028237,0.02,0.01,1.0,1.0,1.0,0.02,0.02,0.01,0.01,1.0,1.0,90.0,3.85,90.0,90.0,0.05,0.03,0.55,0.03,0.85,0.15
0.9,-141.61047931826988,1812.7853784310644,1348.480935754194,-345.50016779279326,241.14371942832636,66.49068581474344,1.8360478451525832,2.14250143772809,0.9823201467418701,0.9910805161792249,0.4071093202182143,3.3,241.14371942832636,1.5312,111.89068581474343,0.21,1.27,-1.419469604402256,1.0,62.16,1348.480935754194,-0.00018476354278100954,1.0,0.464,1.0,0.02,0.02,0.01,0.01,0.0023740893607261566,1.0,1.0,51.8,100.0,0.05,0.1,1.0,2.4,1.0,1.2,3.85,90.0,0.5,0.018811939864620708,1.0,1.9910229088971763,0.8295928787071568,0.3904085116637111,0.3253404263864259,0.02,0.01,0.0023740893607261566,0.041022908897176344,0.9589770911028237,0.02,0.01,1.0,1.0,1.0,0.02,0.02,0.01,0.01,1.0,1.0,90.0,3.85,90.0,90.0,0.05,0.03,0.55,0.03,0.85,0.15
