T,X,Y
0.0,-0.81770003,-3.865
1.0,-0.80104393,-3.744607
2.0,-0.78475744,-3.6221218
3.0,-0.76770675,-3.4975688
4.0,-0.74976063,-3.3708246
5.0,-0.73096001,-3.2417555
6.0,-0.71124661,-3.1102357
7.0,-0.69045568,-2.9761233
8.0,-0.66844183,-2.8392775
9.0,-0.64503074,-2.6995409
10.0,-0.61992091,-2.5567174
11.0,-0.59296495,-2.4106541
12.0,-0.56381869,-2.261086
13.0,-0.53228343,-2.1078455
14.0,-0.49740592,-1.9506507
15.0,-0.45871291,-1.7892781
16.0,-0.41480953,-1.6235162
17.0,-0.36291593,-1.4531378
18.0,-0.3013421,-1.2778292
19.0,-0.22379708,-1.0977829
20.0,-0.11543089,-0.91426778
21.0,0.075745404,-0.73416775
22.0,0.86906946,-0.65468335
23.0,3.2176549,-4.4936004
24.0,2.4736338,-8.3234282
25.0,-1.1471612,-8.8139515
26.0,-1.2719163,-8.7189903
27.0,-1.2663658,-8.63727
28.0,-1.2603114,-8.5554466
29.0,-1.2542613,-8.4734516
30.0,-1.2481731,-8.3912773
31.0,-1.2419571,-8.3085346
32.0,-1.2356783,-8.2254601
33.0,-1.2293996,-8.1423855
34.0,-1.2230607,-8.0590477
35.0,-1.2165787,-7.9750829
36.0,-1.2100967,-7.891118
37.0,-1.2036099,-7.8071322
38.0,-1.1968837,-7.7220912
39.0,-1.1901574,-7.6370502
40.0,-1.1834311,-7.5520086
41.0,-1.1764802,-7.4659986
42.0,-1.1694518,-7.3796549
43.0,-1.1624236,-7.2933111
44.0,-1.1553156,-7.2065787
45.0,-1.1480708,-7.1191778
46.0,-1.1407628,-7.0314689
47.0,-1.1333916,-6.9434519
48.0,-1.1259573,-6.8551264
49.0,-1.1183772,-6.7662129
50.0,-1.1106236,-6.6766176
51.0,-1.1027519,-6.5865283
52.0,-1.094762,-6.495944
53.0,-1.0866541,-6.4048657
54.0,-1.0783769,-6.3130126
55.0,-1.0699282,-6.2203703
56.0,-1.0613321,-6.1270733
57.0,-1.0525889,-6.0331216
58.0,-1.0436984,-5.9385157
59.0,-1.0346047,-5.8429327
60.0,-1.0253172,-5.7464275
61.0,-1.0158545,-5.649107
62.0,-1.0062168,-5.5509715
63.0,-0.99640375,-5.4520206
64.0,-0.98630732,-5.3518395
65.0,-0.97596478,-5.2505713
66.0,-0.96539932,-5.148304
67.0,-0.95461094,-5.0450387
68.0,-0.94359964,-4.9407749
69.0,-0.93217283,-4.8349323
70.0,-0.92042434,-4.7277942
71.0,-0.90837693,-4.6194282
72.0,-0.8960306,-4.5098352
73.0,-0.88338536,-4.3990145
74.0,-0.8701238,-4.2861342
75.0,-0.85643834,-4.1716986
76.0,-0.84234101,-4.0557394
77.0,-0.8278318,-3.9382563
78.0,-0.81289428,-3.8192132
79.0,-0.79703718,-3.6975222
80.0,-0.78059322,-3.5739202
81.0,-0.76356256,-3.4484072
82.0,-0.7459451,-3.3209832
83.0,-0.72710299,-3.1916614
84.0,-0.70332098,-3.0597081
85.0,-0.6820612,-2.9245863
86.0,-0.65961123,-2.7866387
87.0,-0.63556796,-2.6457431
88.0,-0.60959595,-2.5014129
89.0,-0.58181763,-2.3537939
90.0,-0.55180544,-2.2027128
91.0,-0.51892996,-2.0478704
92.0,-0.48268485,-1.8889918
93.0,-0.44184071,-1.725812
94.0,-0.39507923,-1.5580262
95.0,-0.34050053,-1.3856081
96.0,-0.27364236,-1.2083733
97.0,-0.18670283,-1.0266833
98.0,-0.056988496,-0.84292161
99.0,0.21976273,-0.67262655
100.0,2.6892612,-1.2212679
101.0,2.9764459,-6.3064008
102.0,1.8980134,-9.0126247
103.0,-1.2744466,-8.7815866
104.0,-1.2709218,-8.699892
105.0,-1.2649289,-8.6181335
106.0,-1.2588193,-8.5356817
107.0,-1.2526931,-8.4531441
108.0,-1.2465667,-8.3706055
109.0,-1.2404404,-8.2880669
110.0,-1.2341141,-8.2046843
111.0,-1.2277622,-8.1211939
112.0,-1.2214104,-8.0377026
113.0,-1.2150586,-7.9542122
114.0,-1.2084318,-7.8696055
115.0,-1.2017717,-7.7848635
116.0,-1.1951115,-7.7001214
117.0,-1.1884514,-7.6153793
118.0,-1.1815386,-7.5293012
119.0,-1.1745964,-7.4430685
120.0,-1.1676544,-7.3568363
121.0,-1.1607122,-7.2706037
122.0,-1.1535373,-7.1833754
123.0,-1.1462698,-7.0957513
124.0,-1.1389318,-7.0078254
125.0,-1.1315231,-6.9195976
126.0,-1.1240438,-6.831068
127.0,-1.1164941,-6.7422366
128.0,-1.1087824,-6.6527181
129.0,-1.1008615,-6.5623136
130.0,-1.0928154,-6.4713759
