data_generator_T_morris_lecar_with_snic_figure_11,data_generator_V_morris_lecar_with_snic_figure_11
0.0,-60.898998
10.0,-47.726067
20.0,-41.199005
30.0,-37.568806
40.0,-35.29361
50.0,-33.712799
60.0,-32.52655
70.0,-31.57155
80.0,-30.740467
90.0,-29.974819
100.0,-29.235708
110.0,-28.470617
120.0,-27.592152
130.0,-26.47929
140.0,-24.899738
150.0,-22.053352
160.0,-12.786539
170.0,27.080141
180.0,-9.4939699
190.0,-45.426014
200.0,-43.888016
210.0,-39.973724
220.0,-37.157566
230.0,-35.248898
240.0,-33.902325
250.0,-32.899727
260.0,-32.109718
270.0,-31.456322
280.0,-30.89854
290.0,-30.389061
300.0,-29.9182
310.0,-29.458704
320.0,-28.978844
330.0,-28.49177
340.0,-27.919836
350.0,-27.250528
360.0,-26.415098
370.0,-25.185999
380.0,-23.172184
390.0,-18.309759
400.0,21.74287
410.0,7.9719577
420.0,-39.949059
430.0,-45.639187
440.0,-41.649368
450.0,-38.427357
460.0,-36.274525
470.0,-34.81691
480.0,-33.78413
490.0,-33.014957
500.0,-32.424026
510.0,-31.954363
520.0,-31.567255
530.0,-31.234911
540.0,-30.942661
550.0,-30.682758
560.0,-30.448889
570.0,-30.23455
580.0,-30.034864
590.0,-29.843214
600.0,-29.653564
610.0,-29.463541
620.0,-29.266033
630.0,-29.0555
640.0,-28.830639
650.0,-28.585226
660.0,-28.314552
670.0,-28.01231
680.0,-27.670488
690.0,-27.248068
700.0,-26.720148
710.0,-26.001356
720.0,-24.928463
730.0,-23.047026
740.0,-18.373442
750.0,20.261173
760.0,8.6771002
770.0,-39.40519
780.0,-45.696171
790.0,-41.849789
800.0,-38.694096
810.0,-36.610043
820.0,-35.226231
830.0,-34.272301
840.0,-33.587086
850.0,-33.080421
860.0,-32.696217
870.0,-32.3969
880.0,-32.161091
890.0,-31.974289
900.0,-31.822365
910.0,-31.69141
920.0,-31.573828
930.0,-31.471292
940.0,-31.389807
950.0,-31.333191
960.0,-31.296066
970.0,-31.263309
980.0,-31.220764
990.0,-31.16197
1000.0,-31.094343
1010.0,-31.037712
1020.0,-31.013439
1030.0,-31.026621
1040.0,-31.056215
1050.0,-31.062754
1060.0,-31.014694
1070.0,-30.914265
1080.0,-30.802906
1090.0,-30.744392
1100.0,-30.736343
1110.0,-30.741812
1120.0,-30.74251
1130.0,-30.740814
1140.0,-30.740553
1150.0,-30.740961
1160.0,-30.74044
1170.0,-30.73897
1180.0,-30.736904
1190.0,-30.733696
1200.0,-30.730152
1210.0,-30.726894
1220.0,-30.72295
1230.0,-30.718735
1240.0,-30.714729
1250.0,-30.710737
1260.0,-30.706375
1270.0,-30.701988
1280.0,-30.697557
1290.0,-30.692728
1300.0,-30.687811
1310.0,-30.68281
1320.0,-30.677723
1330.0,-30.672548
1340.0,-30.66729
1350.0,-30.661945
1360.0,-30.656513
1370.0,-30.651003
1380.0,-30.64546
1390.0,-30.639845
1400.0,-30.634153
1410.0,-30.628389
1420.0,-30.622551
1430.0,-30.616638
1440.0,-30.610651
1450.0,-30.604589
1460.0,-30.598467
1470.0,-30.592363
1480.0,-30.586208
1490.0,-30.58
1500.0,-30.573738
1510.0,-30.567425
1520.0,-30.561056
1530.0,-30.554636
1540.0,-30.548161
1550.0,-30.541639
1560.0,-30.535116
1570.0,-30.528555
1580.0,-30.521952
1590.0,-30.515312
1600.0,-30.508633
1610.0,-30.501917
1620.0,-30.495163
1630.0,-30.488373
1640.0,-30.481546
1650.0,-30.474686
1660.0,-30.467789
1670.0,-30.460857
1680.0,-30.453894
1690.0,-30.446896
1700.0,-30.439863
1710.0,-30.432781
1720.0,-30.42565
1730.0,-30.418482
1740.0,-30.41128
1750.0,-30.404041
1760.0,-30.396769
1770.0,-30.38946
1780.0,-30.382118
1790.0,-30.374743
1800.0,-30.367334
1810.0,-30.359892
1820.0,-30.352417
1830.0,-30.344912
1840.0,-30.337374
1850.0,-30.329805
1860.0,-30.322205
1870.0,-30.314573
1880.0,-30.306913
1890.0,-30.299223
1900.0,-30.291504
1910.0,-30.283756
1920.0,-30.275978
1930.0,-30.268173
1940.0,-30.260342
1950.0,-30.252481
1960.0,-30.24427
1970.0,-30.236
1980.0,-30.227671
1990.0,-30.219284
2000.0,-30.210842
2010.0,-30.202341
2020.0,-30.193783
2030.0,-30.185165
2040.0,-30.176491
2050.0,-30.167759
2060.0,-30.158968
2070.0,-30.150118
2080.0,-30.141211
2090.0,-30.132244
2100.0,-30.123219
2110.0,-30.114132
2120.0,-30.104988
2130.0,-30.095785
2140.0,-30.086523
2150.0,-30.0772
2160.0,-30.067818
2170.0,-30.058376
2180.0,-30.048874
2190.0,-30.03931
2200.0,-30.029688
2210.0,-30.020004
2220.0,-30.01026
2230.0,-30.000454
2240.0,-29.990589
2250.0,-29.980661
2260.0,-29.970673
2270.0,-29.960623
2280.0,-29.950512
2290.0,-29.940338
2300.0,-29.930103
2310.0,-29.919806
2320.0,-29.909447
2330.0,-29.899023
2340.0,-29.88854
2350.0,-29.877604
2360.0,-29.866447
2370.0,-29.855074
2380.0,-29.843475
2390.0,-29.83164
2400.0,-29.819561
2410.0,-29.807226
2420.0,-29.794628
2430.0,-29.781757
2440.0,-29.768633
2450.0,-29.755354
2460.0,-29.741817
2470.0,-29.728024
2480.0,-29.713964
2490.0,-29.699635
2500.0,-29.68503
2510.0,-29.670145
2520.0,-29.654976
2530.0,-29.639515
2540.0,-29.623686
2550.0,-29.60743
2560.0,-29.590816
2570.0,-29.573832
2580.0,-29.556469
2590.0,-29.538715
2600.0,-29.520565
2610.0,-29.502005
2620.0,-29.483027
2630.0,-29.463617
2640.0,-29.443316
2650.0,-29.422201
2660.0,-29.400417
2670.0,-29.377932
2680.0,-29.354721
2690.0,-29.330753
2700.0,-29.306002
2710.0,-29.280436
2720.0,-29.254028
2730.0,-29.226753
2740.0,-29.197319
2750.0,-29.166506
2760.0,-29.134308
2770.0,-29.100664
2780.0,-29.065506
2790.0,-29.028772
2800.0,-28.990395
2810.0,-28.950312
2820.0,-28.908455
2830.0,-28.864508
2840.0,-28.816303
2850.0,-28.763639
2860.0,-28.706215
2870.0,-28.643621
2880.0,-28.574789
2890.0,-28.497465
2900.0,-28.411642
2910.0,-28.316572
2920.0,-28.207056
2930.0,-28.077522
2940.0,-27.928583
2950.0,-27.758001
2960.0,-27.558451
2970.0,-27.314074
2980.0,-27.001455
2990.0,-26.589518
3000.0,-26.005646
3010.0,-25.163404
3020.0,-23.726095
3030.0,-20.671558
3040.0,-6.6759014
3050.0,21.085901
3060.0,-22.778273
3070.0,-46.259815
3080.0,-43.4007
3090.0,-39.847015
3100.0,-37.445393
3110.0,-35.880623
3120.0,-34.831226
3130.0,-34.102318
3140.0,-33.577675
3150.0,-33.191704
3160.0,-32.897747
3170.0,-32.673512
3180.0,-32.50412
3190.0,-32.365562
3200.0,-32.253777
3210.0,-32.169209
3220.0,-32.08823
3230.0,-32.026535
3240.0,-31.999664
3250.0,-31.959452
3260.0,-31.929401
3270.0,-31.931078
3280.0,-31.874798
3290.0,-31.822081
3300.0,-31.807871
3310.0,-31.792305
3320.0,-31.786072
3330.0,-31.778294
3340.0,-31.770052
3350.0,-31.762699
3360.0,-31.756302
3370.0,-31.75029
3380.0,-31.744419
3390.0,-31.738565
