data_set_T_morris_lecar_with_hopf_bifurcation_figure_12,data_set_V_morris_lecar_with_hopf_bifurcation_figure_12,data_set_W_morris_lecar_with_hopf_bifurcation_figure_12,data_set_Z_morris_lecar_with_hopf_bifurcation_figure_12
0.0,-60.898998,0.014873,0.0
10.0,-42.364632,0.0078452993,1.5506067000000002e-26
20.0,-32.755814,0.014304543,9.6630848e-23
30.0,-26.278198,0.027456952,2.4520921e-20
40.0,-20.108583,0.048245255,5.0924026e-18
50.0,-5.6899858,0.1003281,8.3567745e-13
60.0,15.653814,0.41983017,0.00044688265
70.0,-38.898071,0.32051605,0.00045099293
80.0,-47.818932,0.092830464,0.00045054214
90.0,-40.660408,0.033348121,0.00045009184
100.0,-33.823959,0.02279746,0.00044964196
110.0,-28.349159,0.027626233,0.00044919254
120.0,-23.502518,0.040357467,0.00044874358
130.0,-17.596468,0.062704302,0.00044829506
140.0,5.9320016,0.15007421,0.000447848
150.0,7.3382621,0.45766887,0.00086607959
160.0,-45.572174,0.24310581,0.00086737855
170.0,-46.420994,0.069927253,0.00086651114
180.0,-38.986732,0.028369339,0.00086564507
190.0,-32.494507,0.022928929,0.00086477987
200.0,-27.255444,0.029893272,0.00086391554
210.0,-22.44787,0.044145152,0.00086305203
220.0,-15.830009,0.069915496,0.00086218945
230.0,16.51726,0.21423145,0.00086908165
240.0,-1.4022876,0.45974249,0.0012736501
250.0,-47.881573,0.19179155,0.0012720481
260.0,-44.921925,0.05652589,0.0012707895
270.0,-37.499409,0.026219059,0.0012695192
280.0,-31.403177,0.023838663,0.0012682503
290.0,-26.400585,0.032090284,0.0012669826
300.0,-21.6462,0.047396027,0.0012657164
310.0,-14.502151,0.075671278,0.0012644513
320.0,19.92046,0.25792366,0.0013271472
330.0,-8.1073685,0.44803846,0.0016683766
340.0,-48.531662,0.16723561,0.001666816
350.0,-44.197853,0.050609119,0.0016651534
360.0,-36.893295,0.025037659,0.0016634893
370.0,-30.938059,0.024135763,0.0016618266
380.0,-26.04866,0.033002242,0.0016601656
390.0,-21.310059,0.048841327,0.0016585063
400.0,-13.762569,0.078825414,0.0016568486
410.0,20.950184,0.28466293,0.0017759725
420.0,-12.967616,0.43598694,0.002066483
430.0,-48.661598,0.15375663,0.0020644341
440.0,-43.669346,0.047485199,0.0020623708
450.0,-36.460281,0.024542231,0.0020603093
460.0,-30.628801,0.024468975,0.0020582501
470.0,-25.824705,0.033682931,0.0020561928
480.0,-21.132143,0.049718887,0.0020541376
490.0,-13.542222,0.080080569,0.0020520845
500.0,20.958599,0.28956521,0.0021796802
510.0,-14.150486,0.43226877,0.0024486955
520.0,-48.718353,0.15019731,0.002446248
530.0,-43.577042,0.046660475,0.002443803
540.0,-36.397625,0.024353404,0.0024413604
550.0,-30.601637,0.024462737,0.0024389203
560.0,-25.839882,0.03367864,0.0024364826
570.0,-21.22883,0.049550083,0.0024340472
580.0,-14.100291,0.078661211,0.0024316146
590.0,20.159399,0.26876998,0.0025091823
600.0,-10.054029,0.4422681,0.0028193311
610.0,-48.60231,0.16120721,0.0028165318
620.0,-43.916653,0.049438648,0.0028137169
630.0,-36.749634,0.024815125,0.0028109045
640.0,-30.910749,0.024149368,0.002808095
650.0,-26.147003,0.032905523,0.0028052884
660.0,-21.645332,0.048095997,0.0028024844
670.0,-15.222834,0.074540615,0.0027996833
680.0,17.111925,0.22546172,0.0028085171
690.0,-2.976594,0.45607555,0.0031728044
700.0,-48.103352,0.18484491,0.0031695797
710.0,-44.842442,0.054721925,0.0031664118
720.0,-37.514942,0.025544845,0.0031632469
730.0,-31.507282,0.023472968,0.0031600851
740.0,-26.672945,0.031497855,0.0031569267
750.0,-22.241255,0.045861647,0.0031537714
760.0,-16.473658,0.069709897,0.0031506191
770.0,9.558444,0.17264237,0.0031475518
780.0,4.4334426,0.45925137,0.0035302988
790.0,-46.539513,0.22278327,0.0035319463
800.0,-46.075233,0.06384632,0.0035285556
810.0,-38.625366,0.026980694,0.0035250252
820.0,-32.346085,0.022761138,0.0035215023
830.0,-27.386166,0.029736161,0.0035179823
840.0,-22.989408,0.04302546,0.0035144666
850.0,-17.712322,0.064578511,0.0035109543
860.0,0.45380551,0.13270812,0.0035074451
870.0,10.614426,0.44430822,0.0038853674
880.0,-43.530056,0.27032176,0.0038823483
890.0,-46.944923,0.077585362,0.003878444
900.0,-39.641918,0.030339189,0.0038745704
910.0,-33.254852,0.022722814,0.0038706979
920.0,-28.191971,0.028137268,0.0038668299
930.0,-23.841724,0.040250469,0.0038629652
940.0,-19.130682,0.059134997,0.0038591041
950.0,-8.5197325,0.10120774,0.0038552468
960.0,17.987751,0.38657326,0.0041957088
970.0,-33.521694,0.3538706,0.0042369771
980.0,-48.347809,0.10590751,0.0042329947
990.0,-41.631451,0.036202051,0.0042287642
1000.0,-34.813728,0.022725742,0.0042245374
1010.0,-29.451931,0.025845833,0.0042203148
1020.0,-25.012922,0.036371019,0.0042160968
1030.0,-20.644207,0.052887507,0.0042118826
1040.0,-13.598866,0.082563989,0.004207673
1050.0,20.134855,0.2768544,0.0042894185
1060.0,-11.806402,0.43691975,0.0045729424
1070.0,-48.709835,0.15536986,0.004568371
1080.0,-43.863838,0.047657307,0.0045638052
1090.0,-36.713024,0.024261422,0.0045592436
1100.0,-30.97234,0.023910651,0.0045546866
1110.0,-26.363005,0.032484252,0.0045501343
1120.0,-22.167414,0.046801131,0.0045455862
1130.0,-16.982389,0.069227844,0.0045410432
1140.0,2.8450851,0.14512904,0.0045365044
1150.0,8.8189888,0.44933057,0.0048850882
1160.0,-44.795731,0.25417161,0.0048796441
1170.0,-46.588333,0.072926037,0.0048747719
1180.0,-39.376793,0.029086672,0.0048698997
1190.0,-33.108864,0.02244029,0.0048650322
1200.0,-28.141428,0.028163698,0.0048601697
1210.0,-23.885323,0.040301178,0.0048553119
1220.0,-19.469309,0.058409829,0.0048504588
1230.0,-10.5746,0.095118396,0.0048456108
1240.0,19.765743,0.35249758,0.0050918786
1250.0,-26.901615,0.38700658,0.0051570963
