Time,cLc,cLm,cLn,cP7c,cP7m,cP7n,cP9c,cP9m,cP9n,cPn,cTc,cTm,cTn,cXc,cXm,cXn,cYc,cYm,cYn,q1,n1,g1,m1,k1,p1,r1,r2,m2,k2,m3,k3,n2,g2,g3,m4,k4,p2,p3,r5,r6,m10,k8,m11,k9,q2,n4,n5,g5,g6,m12,k10,r3,r4,m5,m6,k5,m7,m8,k6,n3,g4,m9,k7,p4,r7,r8,m13,k11,m14,k12,p5,k13,q3,m15,g7,g8,n6,g9,m16,k14,p6,r9,r10,m17,k15,m18,k16,n7,g10,m19,k17,p7,r11,r12,m20,k18,m21,k19,q4,n8,ld,lmax,a,b,c,d,e,f,h,i,j,k,Day_in_hours,cytoplasm,nucleus,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31a,R31b,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45
0.0,0.0731,0.1114,0.2366,0.0266,0.0204,1.5103,0.734,0.002,1.1162,0.0,5.2235,3.6732,4.5333,2.4188,0.652,14.7289,49.2611,0.2992,17.4355,7.9798,2.3023,16.3389,8.0568,22.3951,1.2294,31.5166,9.1138,10.4609,32.7881,12.7853,29.0823,7.5433,16.7487,11.5922,8.5185,4.0551,1.0494,8.583,27.818,4.2863,9.2511,13.4324,7.9066,14.605,2.5505,1.5293,2.6296,0.5061,7.8469,8.4753,16.1162,29.4222,33.6178,9.3024,10.899,16.9133,0.7527,13.7459,43.7049,0.6703,11.3625,2.6345,8.6873,14.6828,9.1917,25.8963,6.8544,48.5862,3.2581,23.2876,0.5,1.2,1.0,1.2,0.4444,11.0459,11.3117,14.5219,9.531,50.9418,6.7738,31.0318,0.4557,5.4062,49.4094,8.671,42.4837,0.0833,5.6855,6.1155,18.6089,10.4532,34.6266,22.838,3.4152,16.2407,0.028,26.5795,7.4548,2.0738,1.0,1.0,2.2802,3.1075,1.6808,1.0164,1.4943,1.9491,2.2116,1.1065,2.5579,3.3953,24.0,1.0,1.0,0.0,0.058959495103917715,0.039878591518005914,0.13695516,2.30386346,2.15632508,0.023270355008338104,0.1031758347004833,4.00107989232879,4.048775823919878,3.8546560800000003,153.68686169999998,152.39957274,2.571777605615987,1.2918037669316018,0.18910940233222348,0.18392106474789333,5.596116,67.28617840000001,63.13248407,1.4116635131725042,3.969997877541002,0.15120477391317938,0.1544774882122885,4.39309376,452.79325287000006,451.51493865000003,3.450839050643196,1.3949478932104875,0.0,0.0,0.0,0.0003019734960801111,0.003815227757043456,0.13818552,0.82544588,0.68824371,0.002908910915122583,0.297672666727281,4.4237194417355035e-05,0.000657195514456582,0.020906400000000002,25.4159244,25.491775600000004,0.14767605907615453,0.001128463985384013
0.01,0.07282745445180669,0.11159118169439446,0.23697841287895,0.02657907790857612,0.020364906785324013,1.5086973094886946,0.7334911796675192,0.00199388174118634,1.115430012705672,0.0,5.22345278544582,3.672722386657385,4.533255601257681,2.4191058314412635,0.652051808586618,14.730738948006735,49.257740723880666,0.29916736365960384,17.434330797690702,7.9798,2.3023,16.3389,8.0568,22.3951,1.2294,31.5166,9.1138,10.4609,32.7881,12.7853,29.0823,7.5433,16.7487,11.5922,8.5185,4.0551,1.0494,8.583,27.818,4.2863,9.2511,13.4324,7.9066,14.605,2.5505,1.5293,2.6296,0.5061,7.8469,8.4753,16.1162,29.4222,33.6178,9.3024,10.899,16.9133,0.7527,13.7459,43.7049,0.6703,11.3625,2.6345,8.6873,14.6828,9.1917,25.8963,6.8544,48.5862,3.2581,23.2876,0.5,1.2,1.0,1.2,0.4444,11.0459,11.3117,14.5219,9.531,50.9418,6.7738,31.0318,0.4557,5.4062,49.4094,8.671,42.4837,0.0833,5.6855,6.1155,18.6089,10.4532,34.6266,22.838,3.4152,16.2407,0.028,26.5795,7.4548,2.0738,1.0,1.0,2.2802,3.1075,1.6808,1.0164,1.4943,1.9491,2.2116,1.1065,2.5579,3.3953,24.0,1.0,1.0,0.0,0.05910211020651133,0.039946690760419096,0.13719019877508856,2.2952737509758108,2.159773859296174,0.02318378625590785,0.10333951809845138,4.00067348867921,4.04849957534719,3.85415487255826,153.68547254394403,152.39808015196047,2.571759844831616,1.29179230409264,0.18910805093480684,0.18393465894946462,5.596560673098943,67.29468601903307,63.14036635284126,1.4118147635448635,3.970244648438413,0.1512063943095502,0.154460945104245,4.392614567141231,452.76237541169394,451.4846606362377,3.450722196181558,1.3948943986510902,0.0,0.0,0.0,0.00030321039098208166,0.0038086672127439413,0.13794780558242778,0.8247966298433524,0.6875133639339981,0.00290662415652562,0.2973676173758969,4.447787422388341e-05,0.0006551852837218083,0.02084244461696905,25.39830568187532,25.47419063017214,0.14757811139779906,0.0011277168904716645
0.02,0.07265641553426036,0.11178310818426349,0.23725696168627303,0.026555445498095822,0.02032988974138118,1.5070980264038032,0.7329829084214704,0.0019877856191078754,1.1146598243475379,0.0,5.223400568508307,3.672243489023762,4.533211487485286,2.4194088335145136,0.6521034679954671,14.732581190740103,49.25438310367313,0.2991349090840776,17.43315686523441,7.9798,2.3023,16.3389,8.0568,22.3951,1.2294,31.5166,9.1138,10.4609,32.7881,12.7853,29.0823,7.5433,16.7487,11.5922,8.5185,4.0551,1.0494,8.583,27.818,4.2863,9.2511,13.4324,7.9066,14.605,2.5505,1.5293,2.6296,0.5061,7.8469,8.4753,16.1162,29.4222,33.6178,9.3024,10.899,16.9133,0.7527,13.7459,43.7049,0.6703,11.3625,2.6345,8.6873,14.6828,9.1917,25.8963,6.8544,48.5862,3.2581,23.2876,0.5,1.2,1.0,1.2,0.4444,11.0459,11.3117,14.5219,9.531,50.9418,6.7738,31.0318,0.4557,5.4062,49.4094,8.671,42.4837,0.0833,5.6855,6.1155,18.6089,10.4532,34.6266,22.838,3.4152,16.2407,0.028,26.5795,7.4548,2.0738,1.0,1.0,2.2802,3.1075,1.6808,1.0164,1.4943,1.9491,2.2116,1.1065,2.5579,3.3953,24.0,1.0,1.0,0.0,0.05924492733908323,0.04001505413654903,0.13742615320173354,2.2898831858270703,2.162312497416355,0.023129458362164942,0.10346000235308618,4.000269555231614,4.048222549661881,3.853652317381536,153.6839362067651,152.39659714398283,2.5717402022034164,1.2917809148061332,0.1891067082039282,0.18394821385768748,5.597004065805095,67.30311493070674,63.1482627578693,1.411964608884559,3.9704918304400647,0.15120813567400856,0.15444449406617328,4.392138043099695,452.73151317403233,451.4542601291698,3.450605391303546,1.3948406845824788,0.0,0.0,0.0,0.00030412283457122423,0.003802120899270117,0.13771060713016783,0.82406327360781,0.6867845706322131,0.0029040411610954183,0.29706319442315593,4.465562724034022e-05,0.000653182324974715,0.020778720633658446,25.38070597674689,25.45660106844907,0.14748026355547184,0.001126969558913722
0.03,0.07255288530960226,0.11197577913655929,0.23746974207929886,0.026529844334068083,0.020294946069343997,1.5055014112503187,0.7324750074954157,0.00198171104589269,1.1138896151629734,0.0,5.223344519331744,3.6717633341509766,4.533166492537984,2.4197097996666717,0.6521549785125882,14.734425930401915,49.25102600296158,0.29910263662282094,17.431979367387328,7.9798,2.3023,16.3389,8.0568,22.3951,1.2294,31.5166,9.1138,10.4609,32.7881,12.7853,29.0823,7.5433,16.7487,11.5922,8.5185,4.0551,1.0494,8.583,27.818,4.2863,9.2511,13.4324,7.9066,14.605,2.5505,1.5293,2.6296,0.5061,7.8469,8.4753,16.1162,29.4222,33.6178,9.3024,10.899,16.9133,0.7527,13.7459,43.7049,0.6703,11.3625,2.6345,8.6873,14.6828,9.1917,25.8963,6.8544,48.5862,3.2581,23.2876,0.5,1.2,1.0,1.2,0.4444,11.0459,11.3117,14.5219,9.531,50.9418,6.7738,31.0318,0.4557,5.4062,49.4094,8.671,42.4837,0.0833,5.6855,6.1155,18.6089,10.4532,34.6266,22.838,3.4152,16.2407,0.028,26.5795,7.4548,2.0738,1.0,1.0,2.2802,3.1075,1.6808,1.0164,1.4943,1.9491,2.2116,1.1065,2.5579,3.3953,24.0,1.0,1.0,0.0,0.0593880012905091,0.040083681514224714,0.13766302287048598,2.2866202651486107,2.164251735362314,0.023096573296464112,0.10355203741757435,3.9998670904877534,4.047944762232797,3.853148442858035,153.68228711668243,152.39508451284345,2.5717191178853174,1.2917692979965745,0.18910533864443124,0.1839617295489164,5.597446180573544,67.31148720712747,63.15616986548173,1.4121134417178363,3.9707393163612554,0.15121000821874062,0.15442813527627575,4.391664193005555,452.70065571142203,451.42376729167245,3.4504885964824976,1.3947868042657725,0.0,0.0,0.0,0.00030482096548423675,0.003795588293448615,0.13747390568452236,0.823268823405934,0.6860569931067702,0.0029012429803679947,0.2967592572301818,4.479174800776016e-05,0.0006511864450765817,0.020715221904925467,25.363119094540764,25.439011031091987,0.14738248115002942,0.001126222165577246
0.04,0.07249432788127762,0.11216919469201157,0.2376393551602518,0.026502814682567818,0.020260073883198185,1.5039069261862057,0.7319673773997871,0.0019756576111778644,1.1131194863229665,0.0,5.22328525252516,3.6712819407994632,4.533120004998948,2.420009302096523,0.6522063401573768,14.736272588018945,49.247668628758284,0.2990705466660926,17.430799125414442,7.9798,2.3023,16.3389,8.0568,22.3951,1.2294,31.5166,9.1138,10.4609,32.7881,12.7853,29.0823,7.5433,16.7487,11.5922,8.5185,4.0551,1.0494,8.583,27.818,4.2863,9.2511,13.4324,7.9066,14.605,2.5505,1.5293,2.6296,0.5061,7.8469,8.4753,16.1162,29.4222,33.6178,9.3024,10.899,16.9133,0.7527,13.7459,43.7049,0.6703,11.3625,2.6345,8.6873,14.6828,9.1917,25.8963,6.8544,48.5862,3.2581,23.2876,0.5,1.2,1.0,1.2,0.4444,11.0459,11.3117,14.5219,9.531,50.9418,6.7738,31.0318,0.4557,5.4062,49.4094,8.671,42.4837,0.0833,5.6855,6.1155,18.6089,10.4532,34.6266,22.838,3.4152,16.2407,0.028,26.5795,7.4548,2.0738,1.0,1.0,2.2802,3.1075,1.6808,1.0164,1.4943,1.9491,2.2116,1.1065,2.5579,3.3953,24.0,1.0,1.0,0.0,0.059531372533337804,0.04015257292998159,0.13790080795435902,2.2847747341030744,2.1657975550595028,0.023077973178647397,0.10362540013220164,3.999465445081498,4.047666223637951,3.852643268674957,153.68054335684576,152.39352170405365,2.571696823058008,1.2917572958064534,0.18910392364536383,0.18397520602953576,5.597887017570765,67.31981876572108,63.1640851940256,1.4122615451055953,3.970987028422455,0.15121201086216474,0.15441186893346268,4.391193022588904,452.6697957349576,451.39320339147,3.450371784130123,1.3947327952553625,0.0,0.0,0.0,0.0003053781631977918,0.0037890690427508887,0.13723768847000786,0.822430044666508,0.685330386263054,0.002898288664293268,0.2964557035085612,4.490046305456204e-05,0.0006491975092110763,0.020651944141164454,25.34554159027147,25.421422828643912,0.147284745038038,0.0011254748086375946
0.05,0.07246578254710136,0.11236335533978516,0.23778080535724372,0.026474750362289117,0.020225271902883587,1.502314180080747,0.7314599624467133,0.001969625022765624,1.1123494953047253,0.0,5.2232230957903,3.670799322374408,4.533071699981874,2.4203077535370947,0.652257552811997,14.738120742330148,49.244310429151106,0.29903863956894866,17.429616719474815,7.9798,2.3023,16.3389,8.0568,22.3951,1.2294,31.5166,9.1138,10.4609,32.7881,12.7853,29.0823,7.5433,16.7487,11.5922,8.5185,4.0551,1.0494,8.583,27.818,4.2863,9.2511,13.4324,7.9066,14.605,2.5505,1.5293,2.6296,0.5061,7.8469,8.4753,16.1162,29.4222,33.6178,9.3024,10.899,16.9133,0.7527,13.7459,43.7049,0.6703,11.3625,2.6345,8.6873,14.6828,9.1917,25.8963,6.8544,48.5862,3.2581,23.2876,0.5,1.2,1.0,1.2,0.4444,11.0459,11.3117,14.5219,9.531,50.9418,6.7738,31.0318,0.4557,5.4062,49.4094,8.671,42.4837,0.0833,5.6855,6.1155,18.6089,10.4532,34.6266,22.838,3.4152,16.2407,0.028,26.5795,7.4548,2.0738,1.0,1.0,2.2802,3.1075,1.6808,1.0164,1.4943,1.9491,2.2116,1.1065,2.5579,3.3953,24.0,1.0,1.0,0.0,0.05967507102255322,0.040221728544403285,0.13813950905473188,2.283875082223975,2.1670867038648476,0.023068906045725847,0.10368658091073521,3.999064198700182,4.047386941360795,3.8521368088997043,153.67871456896137,152.39189779565066,2.5716734409770274,1.2917448243538867,0.18910245331689182,0.1839886432699192,5.598326575785371,67.3281210878949,63.17200693784971,1.4124091232143725,3.9712349100347932,0.15121413895424834,0.1543956952187972,4.390724537062959,452.63892817162827,451.36258345253566,3.450254935039106,1.394678684080088,0.0,0.0,0.0,0.0003058433167348099,0.003782562907927888,0.13700194681575284,0.8215591582924835,0.6846045718627963,0.00289522125645321,0.2961524588736047,4.499126908283479e-05,0.0006472154213862234,0.020588884287973622,25.327971535657365,25.403837773769318,0.14718704450555337,0.0011247275438866305
0.06,0.07245730973941586,0.11255826182580808,0.2379040617320365,0.026445938487505833,0.02019053925128,1.5007228887033082,0.7309527313378708,0.0019636130672165664,1.1115796752494531,0.0,5.223158227187076,3.670315488821213,4.533021402076131,2.420605451603595,0.6523086162875162,14.739970085922918,49.24095102178425,0.29900691563155,17.428432560156693,7.9798,2.3023,16.3389,8.0568,22.3951,1.2294,31.5166,9.1138,10.4609,32.7881,12.7853,29.0823,7.5433,16.7487,11.5922,8.5185,4.0551,1.0494,8.583,27.818,4.2863,9.2511,13.4324,7.9066,14.605,2.5505,1.5293,2.6296,0.5061,7.8469,8.4753,16.1162,29.4222,33.6178,9.3024,10.899,16.9133,0.7527,13.7459,43.7049,0.6703,11.3625,2.6345,8.6873,14.6828,9.1917,25.8963,6.8544,48.5862,3.2581,23.2876,0.5,1.2,1.0,1.2,0.4444,11.0459,11.3117,14.5219,9.531,50.9418,6.7738,31.0318,0.4557,5.4062,49.4094,8.671,42.4837,0.0833,5.6855,6.1155,18.6089,10.4532,34.6266,22.838,3.4152,16.2407,0.028,26.5795,7.4548,2.0738,1.0,1.0,2.2802,3.1075,1.6808,1.0164,1.4943,1.9491,2.2116,1.1065,2.5579,3.3953,24.0,1.0,1.0,0.0,0.05981911898596325,0.04029114860946031,0.13837912708864847,2.283608048133274,2.168210037813434,0.02306621474214632,0.10373989192089289,3.9986630800629417,4.047106920885388,3.851629073968981,153.67680599194358,152.39020689071498,2.5716490386071027,1.2917318383481693,0.18910092231875839,0.18400204122178368,5.598764853595752,67.33640245270881,63.1799337792914,1.4125563232595022,3.9714829199047315,0.15121638744477553,0.1543796142855125,4.3902587408349225,452.6080495069343,451.3319181075858,3.4501380358972047,1.3946244895140638,0.0,0.0,0.0,0.00030624899219261964,0.003776069725057818,0.13676667478032045,0.8206650739565835,0.6838794203820975,0.0028920721378785067,0.29584946927400757,4.507050088190986e-05,0.0006452401114868963,0.020526040114228213,25.310407846943917,25.386256623347013,0.1470893735325864,0.0011239804035089256
0.07,0.07246231190361631,0.11275391508545822,0.23801574186551835,0.026416588403054168,0.02015587532014304,1.4991328457362925,0.7304456670584075,0.001957621583763691,1.1108100450415455,0.0,5.223090738250262,3.6698304478442414,4.532969022318657,2.420902610774893,0.6523595303543229,14.74182039360314,49.237590143682,0.2989753751070584,17.427246938660254,7.9798,2.3023,16.3389,8.0568,22.3951,1.2294,31.5166,9.1138,10.4609,32.7881,12.7853,29.0823,7.5433,16.7487,11.5922,8.5185,4.0551,1.0494,8.583,27.818,4.2863,9.2511,13.4324,7.9066,14.605,2.5505,1.5293,2.6296,0.5061,7.8469,8.4753,16.1162,29.4222,33.6178,9.3024,10.899,16.9133,0.7527,13.7459,43.7049,0.6703,11.3625,2.6345,8.6873,14.6828,9.1917,25.8963,6.8544,48.5862,3.2581,23.2876,0.5,1.2,1.0,1.2,0.4444,11.0459,11.3117,14.5219,9.531,50.9418,6.7738,31.0318,0.4557,5.4062,49.4094,8.671,42.4837,0.0833,5.6855,6.1155,18.6089,10.4532,34.6266,22.838,3.4152,16.2407,0.028,26.5795,7.4548,2.0738,1.0,1.0,2.2802,3.1075,1.6808,1.0164,1.4943,1.9491,2.2116,1.1065,2.5579,3.3953,24.0,1.0,1.0,0.0,0.059963532981639464,0.040360833444527476,0.13861966320606234,2.283765699341514,2.169227868213961,0.023067803630309445,0.10378819557280775,3.99826191511481,4.04682616640065,3.851120071967747,153.67482031894684,152.38844599850415,2.571623650364299,1.2917183148173605,0.18909932794190112,0.1840153998261715,5.599201849031154,67.34466882653598,63.18786475310114,1.4127032513287094,3.97173102778348,0.1512187516540598,0.15436362626301375,4.389795637621917,452.5771573236819,451.3012148976275,3.4500210775430795,1.394570224871324,0.0,0.0,0.0,0.000306616849439913,0.003769589380483653,0.13653186824358493,0.8197542880058963,0.6831548378020285,0.0028888641895741126,0.29554669547938217,4.514237618171856e-05,0.0006432715267039943,0.020463409939398616,25.292849934964657,25.368679808658815,0.14699172884833667,0.0011232334058582625
0.08,0.07247641336720496,0.11295031619453326,0.23812023516615838,0.026386852646360676,0.02012127968033911,1.4975439017741423,0.7299387601604159,0.0019516504468109568,1.1100406160072898,0.0,5.2230206815379665,3.6693442057051215,4.532914510715211,2.4211993853564526,0.6524102947650402,14.743671499684515,49.234227616085974,0.2989440182028346,17.426060061966222,7.9798,2.3023,16.3389,8.0568,22.3951,1.2294,31.5166,9.1138,10.4609,32.7881,12.7853,29.0823,7.5433,16.7487,11.5922,8.5185,4.0551,1.0494,8.583,27.818,4.2863,9.2511,13.4324,7.9066,14.605,2.5505,1.5293,2.6296,0.5061,7.8469,8.4753,16.1162,29.4222,33.6178,9.3024,10.899,16.9133,0.7527,13.7459,43.7049,0.6703,11.3625,2.6345,8.6873,14.6828,9.1917,25.8963,6.8544,48.5862,3.2581,23.2876,0.5,1.2,1.0,1.2,0.4444,11.0459,11.3117,14.5219,9.531,50.9418,6.7738,31.0318,0.4557,5.4062,49.4094,8.671,42.4837,0.0833,5.6855,6.1155,18.6089,10.4532,34.6266,22.838,3.4152,16.2407,0.028,26.5795,7.4548,2.0738,1.0,1.0,2.2802,3.1075,1.6808,1.0164,1.4943,1.9491,2.2116,1.1065,2.5579,3.3953,24.0,1.0,1.0,0.0,0.06010832539661129,0.040430783418915595,0.1388611187295592,2.284210129528852,2.170180199257334,0.023072282818647774,0.10383339045797382,3.9978605929159987,4.046544681261733,3.8506098094669547,153.67275909634637,152.38661343832183,2.5715972960022757,1.2917042408502843,0.18909766866331662,0.18402871901946266,5.599637559968341,67.3529245018458,63.19579914909773,1.4128499837431376,3.9719792114153685,0.1512212280425237,0.15434773125748508,4.38933523046858,452.5462499787775,451.27047918269585,3.4499040537439307,1.3945158996140181,0.0,0.0,0.0,0.00030696127792649905,0.003763121794032075,0.13629752429868106,0.8188315339513352,0.6824307560384767,0.002885614083618429,0.2952441090862321,4.520969935330299e-05,0.0006413096257841518,0.020400992450604297,25.27529747257066,25.351107588374486,0.14689410863850644,0.0011224865619560388
0.09,0.07249670859621651,0.11314746633268431,0.23822045674599018,0.026356842451568687,0.020086752021487634,1.4959559487893737,0.7294320058225141,0.0019456995541531146,1.10927139484855,0.0,5.222948083005593,3.668856767744153,4.532857843877112,2.421495886317962,0.6524609092604946,14.745523281337402,49.23086331931401,0.298912845096176,17.42487207797772,7.9798,2.3023,16.3389,8.0568,22.3951,1.2294,31.5166,9.1138,10.4609,32.7881,12.7853,29.0823,7.5433,16.7487,11.5922,8.5185,4.0551,1.0494,8.583,27.818,4.2863,9.2511,13.4324,7.9066,14.605,2.5505,1.5293,2.6296,0.5061,7.8469,8.4753,16.1162,29.4222,33.6178,9.3024,10.899,16.9133,0.7527,13.7459,43.7049,0.6703,11.3625,2.6345,8.6873,14.6828,9.1917,25.8963,6.8544,48.5862,3.2581,23.2876,0.5,1.2,1.0,1.2,0.4444,11.0459,11.3117,14.5219,9.531,50.9418,6.7738,31.0318,0.4557,5.4062,49.4094,8.671,42.4837,0.0833,5.6855,6.1155,18.6089,10.4532,34.6266,22.838,3.4152,16.2407,0.028,26.5795,7.4548,2.0738,1.0,1.0,2.2802,3.1075,1.6808,1.0164,1.4943,1.9491,2.2116,1.1065,2.5579,3.3953,24.0,1.0,1.0,0.0,0.06025350556961519,0.04050099893884369,0.1391034951094021,2.2848497661435174,2.171093598691605,0.023078729387642907,0.10387673745858617,3.9974590432103034,4.046262468291405,3.8500982920707147,153.67062308780717,152.384708423892,2.5715699852668465,1.2916896104046276,0.18909594376976518,0.1840419987349412,5.600071984182826,67.36117256559307,63.203736440796504,1.412996575387427,3.9722274543007687,0.15122381378788363,0.15433192935986653,4.388877521978133,452.51532637213865,451.2397147929345,3.449786960321439,1.3944615205021764,0.0,0.0,0.0,0.0003072918473425994,0.0037566669077299143,0.13606364084315292,0.8179002635885892,0.6817071258633176,0.0028823339777274545,0.29494168956339284,4.5274336846232447e-05,0.0006393543751592346,0.02033878657947334,25.25775029281387,25.333540115551184,0.14679651197941923,0.0011217398783370353
