AK1,AK2,AKHSDHI,AKHSDHII,ASA,ASADH,AdoMet,Asp,AspP,CGS,Cys,Cysta,DHDPS1,DHDPS2,Gly,HSK,Hser,Ile,IleTRNA,LKR,Lys,LysTRNA,PHser,Phosphate,Sacc,TD,THA,TS1,Thr,ThrTRNA,Val,Time
0.25,0.25,0.63,0.63,0.0,11.6,20.0,1500.0,0.0,0.7,15.0,0.0,1.6,1.6,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.36,0.0,7.4,0.0,0.0,100.0,0.0
0.25,0.25,0.63,0.63,0.0016114527372697574,11.6,20.0,1500.0,0.03100509607522622,0.7,15.0,0.0,1.6,1.6,0.0,4.0,5.073546443670759e-06,2.2839526932871316e-18,0.0,0.0,1.7446824108648807e-05,0.0,1.0242157189252703e-08,10000.0,0.0,0.36,0.0,7.4,3.0536614538586254e-13,0.0,100.0,0.01
0.25,0.25,0.63,0.63,0.006077674799901745,11.6,20.0,1500.0,0.05877906926071987,0.7,15.0,0.0,1.6,1.6,0.0,4.0,3.875655926905338e-05,1.4222964704889868e-16,0.0,0.0,0.00013354296144235355,0.0,1.5791694806979278e-07,10000.0,0.0,0.36,0.0,7.4,9.47433345043613e-12,0.0,100.0,0.02
0.25,0.25,0.63,0.63,0.012906315601320212,11.6,20.0,1500.0,0.0837323384383879,0.7,15.0,0.0,1.6,1.6,0.0,4.0,0.00012498448600694353,1.577958681519239e-15,0.0,0.0,0.00043153561149500316,0.0,7.70779043172398e-07,10000.0,0.0,0.36,0.0,7.4,6.978230004111367e-11,0.0,100.0,0.03
0.25,0.25,0.63,0.63,0.021675925496356382,11.6,20.0,1500.0,0.10622001246406432,0.7,15.0,0.0,1.6,1.6,0.0,4.0,0.0002832675531190395,8.638762966452322e-15,0.0,0.0,0.000980066357228399,0.0,2.349821376034819e-06,10000.0,0.0,0.36,0.0,7.4,2.853255483960209e-10,0.0,100.0,0.04
0.25,0.25,0.63,0.63,0.03202610713196763,11.6,20.0,1500.0,0.12654945433076845,0.7,15.0,0.0,1.6,1.6,0.0,4.0,0.0005293375981065198,3.2118566218932926e-14,0.0,0.0,0.0018352809455441934,0.0,5.536477430971438e-06,10000.0,0.0,0.36,0.0,7.4,8.451884921823343e-10,0.0,100.0,0.05
0.25,0.25,0.63,0.63,0.04364902460054236,11.6,20.0,1500.0,0.14498680685448084,0.7,15.0,0.0,1.6,1.6,0.0,4.0,0.0008757046859790891,9.350076833027325e-14,0.0,0.0,0.003042645570631971,0.0,1.1084626067467028e-05,10000.0,0.0,0.36,0.0,7.4,2.042110559448867e-09,0.0,100.0,0.06
0.25,0.25,0.63,0.63,0.05628208129012507,11.6,20.0,1500.0,0.1617626241129126,0.7,15.0,0.0,1.6,1.6,0.0,4.0,0.001332136112795978,2.299261812824691e-13,0.0,0.0,0.004638510627683399,0.0,1.9836719735741784e-05,10000.0,0.0,0.36,0.0,7.4,4.287322334881905e-09,0.0,100.0,0.07
0.25,0.25,0.63,0.63,0.06970160802744375,11.6,20.0,1500.0,0.17707672961336343,0.7,15.0,0.0,1.6,1.6,0.0,4.0,0.001906068349529616,4.997481204896565e-13,0.0,0.0,0.006651456246293698,0.0,3.270346868673098e-05,10000.0,0.0,0.36,0.0,7.4,8.122110450023442e-09,0.0,100.0,0.08
0.25,0.25,0.63,0.63,0.08371742109381,11.6,20.0,1500.0,0.19110240848763657,0.7,15.0,0.0,1.6,1.6,0.0,4.0,0.0026029612790966,9.885382238128968e-13,0.0,0.0,0.009103450013417724,0.0,5.064657915355703e-05,10000.0,0.0,0.36,0.0,7.4,1.422660593158385e-08,0.0,100.0,0.09
