Time,Asp,AK1,Lys,AdoMet,AspP,AK2,AKHSDHI,AKHSDHII,Thr,ASADH,ASA,DHDPS1,DHDPS2,Hser,PHser,HSK,TS1,Phosphate,Cys,CGS,Cysta,TD,Ile,Val,LysTRNA,ThrTRNA,IleTRNA,LKR,Sacc,THA,Gly,V_Lys_RS,V_Thr_RS,V_Ile_RS,V_AA_RS,c1,Vak1,Vak2,VakI,VakII,Vasadh,Vdhdps1,Vdhdps2,Vhsdh1,Vhsdh2,Vhsk,Vts1,Vcgs,Vtd,VlysTRNA,VthrTRNA,VileTRNA,VlysKR,Vtha
0.0,1500.0,0.25,0.0,20.0,0.0,0.25,0.63,0.63,0.0,11.6,0.0,1.6,1.6,0.0,0.0,4.0,7.4,10000.0,15.0,0.7,0.0,0.36,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,1.0,1.4125,0.7875,0.2268,0.8505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1500.0,0.25,1.7446824108648807e-05,20.0,0.03100509607522622,0.25,0.63,0.63,3.0536614538586254e-13,11.6,0.0016114527372697574,1.6,1.6,5.073546443670759e-06,1.0242157189252703e-08,4.0,7.4,10000.0,15.0,0.7,0.0,0.36,2.2839526932871316e-18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,1.0,1.4000979615698461,0.7808337523655027,0.22387001842089113,0.8462026936839736,0.31939384712232605,0.0025783243796237637,0.0025783243796308913,0.0008527807885631551,0.0006497377436671662,4.058835684030082e-06,1.5173917063614473e-10,1.4339020064643737e-11,1.3631544730024903e-15,3.0008516524743565e-07,1.3130744251592048e-15,4.9104982905673334e-20,0.0,0.0
0.02,1500.0,0.25,0.00013354296144235355,20.0,0.05877906926071987,0.25,0.63,0.63,9.47433345043613e-12,11.6,0.006077674799901745,1.6,1.6,3.875655926905338e-05,1.5791694806979278e-07,4.0,7.4,10000.0,15.0,0.7,0.0,0.36,1.4222964704889868e-16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,1.0,1.3889883722920204,0.7748610851559764,0.22124537795486196,0.8423532210004643,0.5974382467157776,0.009724279678108592,0.009724279679683544,0.0032163055041079373,0.0024505184793203816,3.100516158285823e-05,2.3395644378806488e-09,2.2108372722400494e-10,4.229342452274689e-14,2.2969266672729062e-06,4.07396338368715e-14,3.0579374115513213e-18,0.0,0.0
0.03,1500.0,0.25,0.00043153561149500316,20.0,0.0837323384383879,0.25,0.63,0.63,6.978230004111367e-11,11.6,0.012906315601320212,1.6,1.6,0.00012498448600694353,7.70779043172398e-07,4.0,7.4,10000.0,15.0,0.7,0.0,0.36,1.577958681519239e-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,1.0,1.3790070645863735,0.7694924415072832,0.21888729401757234,0.8388946978924395,0.8397315632724474,0.020650104923657098,0.020650104958581095,0.006830022216217631,0.005203826450452278,9.998669617799558e-05,1.1419212821547919e-08,1.0790906586854606e-09,3.115081873835314e-13,7.42228439851259e-06,3.000638901765794e-13,3.3926111652663635e-17,0.0,0.0
0.04,1500.0,0.25,0.000980066357228399,20.0,0.10622001246406432,0.25,0.63,0.63,2.853255483960209e-10,11.6,0.021675925496356382,1.6,1.6,0.0002832675531190395,2.349821376034819e-06,4.0,7.4,10000.0,15.0,0.7,0.0,0.36,8.638762966452322e-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,1.0,1.3700119948182599,0.7646501895791821,0.2167622088221459,0.8357779062724807,1.0511055609005526,0.03468148046104417,0.03468148076358012,0.011470899772664762,0.008739733160130674,0.00022660945741619478,3.4812973439285544e-08,3.2897499101291716e-09,1.2736932480398373e-12,1.6856480525549885e-05,1.2268998580993893e-12,1.8573340377872486e-16,0.0,0.0
0.05,1500.0,0.25,0.0018352809455441934,20.0,0.12654945433076845,0.25,0.63,0.63,8.451884921823343e-10,11.6,0.03202610713196763,1.6,1.6,0.0005293375981065198,5.536477430971438e-06,4.0,7.4,10000.0,15.0,0.7,0.0,0.36,3.2118566218932926e-14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,1.0,1.3618802175840674,0.7602670717519108,0.2148410765657424,0.8329602456297556,1.235730649385133,0.05124176968519416,0.0512417712526584,0.016948215894206472,0.012912926395608386,0.00042345406775956323,8.202378415260922e-08,7.751068312764604e-09,3.77292142910194e-12,3.156451507323735e-05,3.6343105163533207e-12,6.905491737070568e-16,0.0,0.0
0.06,1500.0,0.25,0.003042645570631971,20.0,0.14498680685448084,0.25,0.63,0.63,2.042110559448867e-09,11.6,0.04364902460054236,1.6,1.6,0.0008757046859790891,1.1084626067467028e-05,4.0,7.4,10000.0,15.0,0.7,0.0,0.36,9.350076833027325e-14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,1.0,1.3545052753894298,0.7562848238031334,0.21309874675225154,0.830404828569969,1.3972066659265332,0.06983843289544073,0.0698384387671646,0.023099063818505603,0.017599286718935507,0.0007005199310271125,1.6422047844812292e-07,1.5518476131307885e-08,9.115981537379741e-12,5.232713529781239e-05,8.781075405450808e-12,2.0102665191008655e-15,0.0,0.0
0.07,1500.0,0.25,0.004638510627683399,20.0,0.1617626241129126,0.25,0.63,0.63,4.287322334881905e-09,11.6,0.05628208129012507,1.6,1.6,0.001332136112795978,1.9836719735741784e-05,4.0,7.4,10000.0,15.0,0.7,0.0,0.36,2.299261812824691e-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,1.0,1.3477949460331293,0.7526529673062395,0.21151343202132974,0.8280797002979504,1.5386412028567538,0.09005131068895746,0.09005132828502231,0.029784477418459642,0.02269293517616984,0.0010656074949349202,2.9388412086666394e-07,2.7771406467040882e-08,1.913860690291282e-11,7.976758268495333e-05,1.8435486039201803e-11,4.943412897573028e-15,0.0,0.0
0.08,1500.0,0.25,0.006651456246293698,20.0,0.17707672961336343,0.25,0.63,0.63,8.122110450023442e-09,11.6,0.06970160802744375,1.6,1.6,0.001906068349529616,3.270346868673098e-05,4.0,7.4,10000.0,15.0,0.7,0.0,0.36,4.997481204896565e-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,1.0,1.3416692993085269,0.749327760038916,0.21006624905153715,0.8259571652755878,1.6627171669462941,0.11152252350425992,0.11152256831317817,0.036886090967479114,0.028103688356645184,0.001524647102367548,4.845070248746631e-07,4.578485300040708e-08,3.625710104890464e-11,0.00011437461712579166,3.492507493226415e-11,1.0744584590527347e-14,0.0,0.0
0.09,1500.0,0.25,0.009103450013417724,20.0,0.19110240848763657,0.25,0.63,0.63,1.422660593158385e-08,11.6,0.08371742109381,1.6,1.6,0.0026029612790966,5.064657915355703e-05,4.0,7.4,10000.0,15.0,0.7,0.0,0.36,9.885382238128968e-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,1.0,1.3360590201038824,0.746271285912407,0.20874082239791833,0.8240132061836137,1.771751065132641,0.1339477627438316,0.13394786355667562,0.044303259241489146,0.03375486418498182,0.002081981929109762,7.50337015604911e-07,7.090520323375607e-08,6.35075688785903e-11,0.00015652234449722033,6.117440549710751e-11,2.1253571811976232e-14,0.0,0.0
