Ba,Bn,Cy,M,Ma,Time
0.0,0.0,0.0,477000.0,0.0,0.0
48.57389599518576,0.12016255700359563,1.384368110536065e-12,476999.0845781727,1.1631252308090128,0.01
95.6343799141541,0.4681318236531032,4.0190582628718754e-11,476995.9021245662,4.597389469905216,0.02
141.277814080186,1.0261467777297755,2.837733505557843e-10,476990.5358186191,10.223845505840423,0.03
185.59600499017623,1.7777308405707022,1.1159450074753142e-09,476983.0639287885,17.96830769289796,0.04
228.67647713727658,2.707614131193636,3.1798431837781716e-09,476973.56003521476,27.76113805381875,0.05
270.6027547416479,3.8016557243924423,7.394428214113635e-09,476962.09325459006,39.537028733624055,0.06
311.4546303101542,5.046771075431184,1.495301619905866e-08,476948.72845221043,53.23479904742393,0.07
351.30841118806796,6.430866045633433,2.7306621034049576e-08,476933.5264335899,68.79721190589171,0.08
390.2371515215827,7.9427745770184055,4.613945796017131e-08,476916.54412580875,86.17079988785227,0.09
428.3108654606778,9.572200531531836,7.33422510304613e-08,476897.83474676474,105.30570279625347,0.1
465.5967304601171,11.309661828369496,1.1098500398114682e-07,476877.4479679852,126.15551161047549,0.11
502.1592722439422,13.14643889664833,1.6128836310383084e-07,476855.4300654727,148.67712432020247,0.12
538.060529284417,15.074527634780186,2.2659665905377622e-07,476831.8240578611,172.83061395902214,0.13
573.3602233465297,17.08659093287653,3.093532245600633e-07,476806.66984873026,198.57909249608045,0.14
608.1158782394633,19.175921966017047,4.1207748406709676e-07,476780.00433610677,225.8886068735029,0.15
642.382959415206,21.336402668778206,5.373478262190748e-07,476751.86153587105,254.72802109910043,0.16
676.2149979500817,23.562466125632845,6.877853826552974e-07,476722.2726945525,285.0689088142629,0.17
709.6637068068172,25.849060796785224,8.660396313173874e-07,476691.26639706234,316.8854507544876,0.18
742.7790826151522,28.191618586127802,1.0747804208163341e-06,476658.8686644979,350.1543417738506,0.19
775.6095034575181,30.586024255878904,1.3166889731000572e-06,476625.10304819903,384.8547015795239,0.2
808.2018198712718,33.0285867875044,1.5944526380705999e-06,476589.99071877706,420.9679902527196,0.21
840.601443878877,35.51601143432203,1.9107603103434213e-06,476553.5505533379,458.4779255335873,0.22
872.8524244294625,38.04537599614462,2.2683029469192436e-06,476515.79921160743,497.3704108025221,0.23
904.9975279887495,40.61410617067415,2.6697733598322665e-06,476476.7512145492,537.6334606386818,0.24
