Time,M,Ma,Bn,Ba,Cy,J,c,b,d,k,e1,e2,Amax,kc,alpha,delta,g,f1,f2,Wmax,W,parameter_1,compartment1
0.0,477000.0,0.0,0.0,0.0,0.0,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,4936.392163467182,9.0,1.0
0.01,476999.0845781727,1.1631252308090128,0.12016255700359563,48.57389599518576,1.384368110536065e-12,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,5036.057943556555,8.98001111111111,1.0
0.02,476995.9021245662,4.597389469905216,0.4681318236531032,95.6343799141541,4.0190582628718754e-11,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,5137.621805554327,8.960044444444446,1.0
0.03,476990.5358186191,10.223845505840423,1.0261467777297755,141.277814080186,2.837733505557843e-10,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,5241.117469296173,8.940100000000001,1.0
0.04,476983.0639287885,17.96830769289796,1.7777308405707022,185.59600499017623,1.1159450074753142e-09,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,5346.579204192209,8.920177777777779,1.0
0.05,476973.56003521476,27.76113805381875,2.707614131193636,228.67647713727658,3.1798431837781716e-09,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,5454.041837221255,8.900277777777776,1.0
0.06,476962.09325459006,39.537028733624055,3.8016557243924423,270.6027547416479,7.394428214113635e-09,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,5563.540761023331,8.8804,1.0
0.07,476948.72845221043,53.23479904742393,5.046771075431184,311.4546303101542,1.495301619905866e-08,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,5675.111942091671,8.860544444444443,1.0
0.08,476933.5264335899,68.79721190589171,6.430866045633433,351.30841118806796,2.7306621034049576e-08,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,5788.791929064566,8.84071111111111,1.0
0.09,476916.54412580875,86.17079988785227,7.9427745770184055,390.2371515215827,4.613945796017131e-08,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,5904.617861118524,8.820900000000002,1.0
0.1,476897.83474676474,105.30570279625347,9.572200531531836,428.3108654606778,7.33422510304613e-08,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,6022.627476463297,8.801111111111112,1.0
0.11,476877.4479679852,126.15551161047549,11.309661828369496,465.5967304601171,1.1098500398114682e-07,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,6142.85912093965,8.781344444444445,1.0
0.12,476855.4300654727,148.67712432020247,13.14643889664833,502.1592722439422,1.6128836310383084e-07,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,6265.351756721016,8.761600000000003,1.0
0.13,476831.8240578611,172.83061395902214,15.074527634780186,538.060529284417,2.2659665905377622e-07,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,6390.144971119838,8.741877777777777,1.0
0.14,476806.66984873026,198.57909249608045,17.08659093287653,573.3602233465297,3.093532245600633e-07,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,6517.2789854991615,8.722177777777777,1.0
0.15,476780.00433610677,225.8886068735029,19.175921966017047,608.1158782394633,4.1207748406709676e-07,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,6646.794664291106,8.702499999999999,1.0
0.16,476751.86153587105,254.72802109910043,21.336402668778206,642.382959415206,5.373478262190748e-07,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,6778.73352412237,8.682844444444445,1.0
0.17,476722.2726945525,285.0689088142629,23.562466125632845,676.2149979500817,6.877853826552974e-07,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,6913.137743048197,8.663211111111112,1.0
0.18,476691.26639706234,316.8854507544876,25.849060796785224,709.6637068068172,8.660396313173874e-07,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,7050.050169895383,8.6436,1.0
0.19,476658.8686644979,350.1543417738506,28.191618586127802,742.7790826151522,1.0747804208163341e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,7189.514333715421,8.624011111111113,1.0
0.2,476625.10304819903,384.8547015795239,30.586024255878904,775.6095034575181,1.3166889731000572e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,7331.574453348766,8.604444444444447,1.0
0.21,476589.99071877706,420.9679902527196,33.0285867875044,808.2018198712718,1.5944526380705999e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,7476.275447100817,8.584899999999998,1.0
0.22,476553.5505533379,458.4779255335873,35.51601143432203,840.601443878877,1.9107603103434213e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,7623.662942530688,8.565377777777776,1.0
0.23,476515.79921160743,497.3704108025221,38.04537599614462,872.8524244294625,2.2683029469192436e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,7773.783286354059,8.545877777777777,1.0
0.24,476476.7512145492,537.6334606386818,40.61410617067415,904.9975279887495,2.6697733598322665e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,7926.683554460263,8.526399999999999,1.0
0.25,476436.4190161573,579.2571329914425,43.21995343562976,937.078311533896,3.1178681729804957e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,8082.411562045098,8.506944444444443,1.0
0.26,476394.813074298,622.2334622579062,45.8609732855413,969.135194940092,3.6152903393101544e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,8241.015873860095,8.487511111111113,1.0
0.27,476351.9419124378,666.5564011713581,48.535506838004004,1001.2075254876044,4.164754745509158e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,8402.545814579264,8.468100000000002,1.0
0.28,476307.81218217156,712.2217619146437,51.242162055184984,1033.3336440725955,4.768993056284793e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,8567.051479283846,8.44871111111111,1.0
0.29,476262.42872109625,759.2271617296738,53.97979663543312,1065.5509481619133,5.430760131380446e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,8734.583744066484,8.429344444444446,1.0
0.3,476215.794609521,807.5719696555506,56.747501297495,1097.8959540002706,6.1528406232984015e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,8905.19427675556,8.41,1.0
0.31,476167.91121965344,857.257260540346,59.54458565121658,1130.4043546180724,6.938057489301348e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,9078.935547760231,8.390677777777777,1.0
0.32,476118.7782654968,908.2857683828792,62.370563714145966,1163.1110789636664,7.789279893383748e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,9255.86084103768,8.371377777777777,1.0
0.33,476068.39384822064,960.661844059741,65.22514091539641,1196.0503486966038,8.709432046038066e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,9436.024265183083,8.3521,1.0
0.34,476016.75449739734,1014.3914170723831,68.10820234670726,1229.2557335617773,9.701502533043139e-06,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,9619.48076464326,8.332844444444445,1.0
0.35000000000000003,475963.855213916,1069.4819556627167,71.0198005153746,1262.760207316528,1.0768553454911022e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,9806.28613105501,8.313611111111111,1.0
0.36,475909.689506922,1125.9424327520956,73.96014478682402,1296.5962020500056,1.1913730366679814e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,9996.49701470888,8.294400000000001,1.0
0.37,475854.2494257822,1183.7832967065956,76.92959241852836,1330.7956603022335,1.3140272886972021e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,10190.170936139544,8.275211111111112,1.0
0.38,475797.52560805395,1243.0164265711248,79.92863454027875,1365.390093951346,1.4451523650026386e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,10387.366297843262,8.256044444444443,1.0
0.39,475739.5072731145,1303.6551401494205,82.95789850526155,1400.4106237991937,1.5850944718214155e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,10588.142396123678,8.236899999999999,1.0
0.4,475680.1823005099,1365.7141196880639,86.01812476686314,1435.8880485164664,1.734211887128073e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,10792.55943306675,8.217777777777778,1.0
