data_generator_T,data_generator_VVS
0.0,-71.813271
0.5,-71.487167
1.0,-71.170616
1.5,-70.863281
2.0,-70.564819
2.5,-70.274895
3.0,-69.993179
3.5,-69.719337
4.0,-69.453049
4.5,-69.193993
5.0,-68.941849
5.5,-68.696304
6.0,-68.457062
6.5,-68.223801
7.0,-67.996246
7.5,-67.774101
8.0,-67.557076
8.5,-67.344894
9.0,-67.137299
9.5,-66.934006
10.0,-66.734756
10.5,-66.539307
11.0,-66.347389
11.5,-66.158768
12.0,-65.973198
12.5,-65.790443
13.0,-65.610268
13.5,-65.432426
14.0,-65.256699
14.5,-65.082855
15.0,-64.91066
15.5,-64.739876
16.0,-64.570274
16.5,-64.401627
17.0,-64.233673
17.5,-64.066177
18.0,-63.898888
18.5,-63.731529
19.0,-63.563831
19.5,-63.3955
20.0,-63.226227
20.5,-63.055683
21.0,-62.883511
21.5,-62.709332
22.0,-62.532715
22.5,-62.353207
23.0,-62.170284
23.5,-61.983368
24.0,-61.791805
24.5,-61.594841
25.0,-61.391621
25.5,-61.181126
26.0,-60.962173
26.5,-60.733341
27.0,-60.492912
27.5,-60.238789
28.0,-59.968346
28.5,-59.678253
29.0,-59.364197
29.5,-59.020447
30.0,-58.639153
30.5,-58.209179
31.0,-57.713997
31.5,-57.127594
32.0,-56.405663
32.5,-55.463688
33.0,-54.109146
33.5,-51.735851
34.0,-44.211712
34.5,-7.868886
35.0,-53.09494
35.5,-54.678669
36.0,-53.634888
36.5,-51.282185
37.0,-42.97736
37.5,-14.233385
38.0,-52.965218
38.5,-54.271534
39.0,-53.139896
39.5,-50.403427
40.0,-37.667431
40.5,-33.074715
41.0,-53.826298
41.5,-54.421944
42.0,-53.437424
42.5,-51.266243
43.0,-43.717995
43.5,-9.1369324
44.0,-52.972527
44.5,-54.944069
45.0,-54.553974
45.5,-53.584187
46.0,-51.682121
46.5,-45.899471
47.0,8.8284225
47.5,-52.021473
48.0,-55.391075
48.5,-55.440235
49.0,-55.097736
49.5,-54.506275
50.0,-53.529205
