Time,Carrier_Cytosol,Carrier_RanGTP_Cytosol,RanGAP_Cytosol,RanBP1_Cytosol,RanBP1_Carrier_RanGTP_Cytosol,NTF2_Nucleus,RanGDP_Nucleus,RCC1_Nucleus,RanGTP_Nucleus,NTF2_RanGDP_Nucleus,Carrier_Nucleus,RanGDP_Cytosol,Carrier_RanGTP_Nucleus,NTF2_RanGDP_Cytosol,FRanGTP_Cytosol,FCarrier_RanGTP_Cytosol,FRanGDP_Cytosol,FNTF2_RanGDP_Cytosol,FRanBP1_Carrier_RanGTP_Cytosol,FCarrier_RanGTP_Nucleus,FRanGDP_Nucleus,FNTF2_RanGDP_Nucleus,FRanGTP_Nucleus,NTF2_Cytosol,Pipet_Cytosol,RanGTP_Cytosol,RanGAP_Kcat_FRanGTP_dephosphorylation,Vmax_RanGTP_dephosphorylation_FRanGTP_dephosphorylation,RanGAP_Kcat_dephosphorylationF,Vmax_dephosphorylation_dephosphorylationF,RanGAP_Kcat_RanGTP_dephosphorylation,Vmax_RanGTP_dephosphorylation_RanGTP_dephosphorylation,RanGAP_Kcat_dephosphorylation,Vmax_dephosphorylation_dephosphorylation,kinj,start,tau,ar_for_Microinj,Cytosol,EC,Nucleus,Nuc_membrane,PM,Carrier_FRanGTP_binding,FRanGTP_dephosphorylation,dephosphorylationF,FRanGTP_Carrier_binding,NTF2_FRanGDP_Unbinding,RanBP1_bindingF,NTF2_FRanGDP_unbinding,Microinj,FRanGDP_to_FRanGTP,RanGTP_dephosphorylation,RanGTP_Carrier_binding,NTF2_RanGDP_Unbinding,dephosphorylation,RanGDP_to_RanGTP,NTF2_RAN_Nuc_Exchange,NTF2_RanGDP_unbinding,Carrier_RanGTP_binding,NTF2_FRAN_Nuc_Exchange,RanBP1_binding,Carrier_RanGTP_flux,NTF2_flux,NTF2_RanGDP_flux,Carrier_flux,FRanGDP_flux,Carrier_FRanGTP_flux,FNTF2_RanGDP_flux,FRanGTP_flux,RanGDP_flux,RanGTP_flux
0.0,11.8952664327711,0.00182967434742422,0.5,2.91577340630959,0.0842265936904004,0.560888580955963,0.0466849733424111,0.4,0.0118032373274648,0.9391114190440372,10.821132858063601,1.75546095870568,11.5694219089212,1.47617820113791,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023821798862085,0.0,0.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,25.0,1.0,0.4,0.0,1.0,1.40845070422535,0.408450704225352,0.245070422535211,1.40845070422535,0.0,0.0,0.0,0.0,2.3821798862084997,0.0,0.0,0.0,0.0,0.0,0.4913735569150202,0.49137828400818595,0.4913782837597305,0.0233122951432536,0.15631612633742037,-0.1105791637223081,0.0,0.0,0.49137828359743924,-0.49137733925971133,-0.49137784528091427,0.49137784528090966,0.49137916628516715,0.0,0.0,0.0,0.0,0.0,-0.0
0.01,11.895266381902868,0.0018296731214300075,0.5,2.9157734105872852,0.08422658936531201,0.5611877458911598,0.04708963679427107,0.4,0.011805230676112678,0.9386045858494043,10.821112324468562,1.7652090547246866,11.569441320689403,1.4664630990383194,0.0,8.023546596919395e-11,0.9822235380277126,0.01769014213235596,4.7394620134828665e-11,1.2596462482378772e-06,2.043943630879058e-06,0.000207668255492988,3.624521351885388e-07,0.01584675875970546,0.0,0.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,25.0,1.0,0.4,0.0,1.0,1.40845070422535,0.408450704225352,0.245070422535211,1.40845070422535,0.0,0.0,3.3066014043910343e-10,0.0001596853877950023,1.5122805901920646,2.3371146515838256e-08,0.0001652048419480416,0.0,1.0442760355200491e-06,0.0,0.49223676719987636,-0.8688735425288163,0.49137826266006185,0.02351551704409939,0.15623941655953177,-0.12094276331561074,0.0,6.284239325222662e-05,0.4913779290705297,-0.4913781639002453,-0.49894815344059135,0.48295293522476224,0.491388536428191,0.0,-5.350484209911544e-08,0.015995218155739892,-0.0,0.0,-0.0
0.02,11.895266217322371,0.0018296758798939951,0.5,2.9157734088292084,0.08422658997466838,0.5612459215298458,0.04730102794132585,0.4,0.01180507297273989,0.9380190645463502,10.821083692205478,1.7791375376573508,11.569461366941578,1.4526793029717602,0.0,9.455823905822996e-10,0.9677313615923567,0.03195843000687303,1.1961162190168387e-09,1.0235422922021554e-05,1.2812014362141285e-05,0.0007350139072309485,1.4085599608196718e-06,0.015362266780742428,0.0,0.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,25.0,1.0,0.4,0.0,1.0,1.40845070422535,0.408450704225352,0.245070422535211,1.40845070422535,0.0,0.0,8.344996853648675e-09,0.0006183858292629218,1.4067586598701074,2.7511234092219394e-07,0.0004568380976475536,0.0,6.547662325508972e-06,0.0,0.49214507024601306,-0.8985397081168602,0.4913782656327681,0.023625318971023164,0.15616996476480885,-0.12649850658423933,0.0,0.0002222790892604963,0.4913787327497754,-0.49137901532363654,-0.49944465565140467,0.4708774540538136,0.4914015594138463,0.0,-4.347482295261747e-07,0.028567201392600192,-0.0,0.0,-0.0
0.03,11.895265900156886,0.001829678510952978,0.5,2.915773394614942,0.08422659838739596,0.5612170076454895,0.04740558194743916,0.4,0.011804751694311206,0.9372530443961387,10.821044260080349,1.7927994730986023,11.569478208978536,1.439280784883644,0.0,3.585834225163115e-09,0.9539594783516757,0.04538613442428336,6.997654364872129e-09,3.355431441554482e-05,3.555675461157073e-05,0.0015299479325852248,3.0348128901844534e-06,0.015333080401804767,0.0,0.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,25.0,1.0,0.4,0.0,1.0,1.40845070422535,0.408450704225352,0.245070422535211,1.40845070422535,0.0,0.0,4.8820843611593016e-08,0.0013276404822340753,1.3492484021022895,1.0420491759405934e-06,0.0007472051321243069,0.0,1.8178137699683275e-05,0.0,0.49197717709130434,-0.8492881156757011,0.4913783066737242,0.02368505321168347,0.15609194330706908,-0.129621534300859,0.0,0.0004623166836646959,0.49137949309983975,-0.49137973064124946,-0.49944490496453436,0.45931961837266705,0.4914194531625495,0.0,-1.4251944057328758e-06,0.04012528634988579,-0.0,0.0,-0.0
0.04,11.895265373680225,0.0018296805346309927,0.5,2.9157733636237966,0.08422661298806117,0.5611551397828126,0.0474478374535046,0.4,0.011804279905021357,0.9362807946784562,10.82099018606865,1.8059458544928064,11.569490039085984,1.4265096043427077,0.0,8.887668262258993e-09,0.9407311620356253,0.0581588452033948,2.3388134363829192e-08,7.699336844431529e-05,7.124375154832648e-05,0.0025640655076340692,5.186145882165014e-06,0.015331550177948777,0.0,0.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,25.0,1.0,0.4,0.0,1.0,1.40845070422535,0.408450704225352,0.245070422535211,1.40845070422535,0.0,0.0,1.6317302157017448e-07,0.002260746056745858,1.296889588462438,2.579748571200022e-06,0.00098529911215614,0.0,3.6439612529233126e-05,0.0,0.4917377490627123,-0.7974790621752654,0.49137837790213706,0.0237167455126652,0.1559996164738781,-0.13146304472945378,0.0,0.0007740791253029246,0.49138007018776897,-0.4913802330839544,-0.4993897003234327,0.4485244372185744,0.4914439493180955,0.0,-3.27020771141672e-06,0.05086526288083649,-0.0,0.0,-0.0
0.05,11.895264565490185,0.0018296816875652629,0.5,2.9157733104616814,0.08422663130544789,0.561087754942368,0.04745125254323181,0.4,0.011803671447148244,0.9350991766415309,10.820918146024358,1.8185837252680428,11.569495175948454,1.4143511022906072,0.0,1.76462436762519e-08,0.9280136443154967,0.07031719487609997,5.823286234952626e-08,0.00014572079774850482,0.00011977586096188136,0.003813068384651311,7.814804697926498e-06,0.015331702638642612,0.0,0.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,25.0,1.0,0.4,0.0,1.0,1.40845070422535,0.408450704225352,0.245070422535211,1.40845070422535,0.0,0.0,4.062757288139074e-07,0.0033944767121019456,1.2470099367345748,5.116128202937088e-06,0.0011486426480195135,0.0,6.129682680197861e-05,0.0,0.4914319901232009,-0.7476792657980615,0.4913784672623327,0.023731871256234195,0.1558908850835853,-0.1326172999109334,0.0,0.0011498948354950733,0.4913803874716043,-0.49138045124268914,-0.49932790850421027,0.43848137033172224,0.49147653544144193,0.0,-6.189293800849066e-06,0.06084653802317132,-0.0,0.0,-0.0
0.06,11.895263389865587,0.0018296817352551008,0.5,2.9157732287635136,0.08422665028769434,0.5610297868532059,0.04742837935016536,0.4,0.011802939311975288,0.9337152121835371,10.820825269562153,1.8307345847545666,11.569492065076338,1.402776417282488,0.0,3.0576670560864544e-08,0.9157837291658589,0.08189172430365285,1.2094878367130033e-07,0.0002443545920212304,0.00018052744342978252,0.005255000927753868,1.0876707732374884e-05,0.015331858213456593,0.0,0.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,25.0,1.0,0.4,0.0,1.0,1.40845070422535,0.408450704225352,0.245070422535211,1.40845070422535,0.0,0.0,8.438284859392373e-07,0.004707451874418936,1.1993373182170162,8.854989352773379e-06,0.0012291813415115027,0.0,9.244733046482188e-05,0.0,0.4910648958164128,-0.7000847352133848,0.49137855986599727,0.02373646648547345,0.1557653887442954,-0.1333940061095876,0.0,0.0015827828668434243,0.49138037693759223,-0.4913803190945752,-0.4992747294923693,0.4291575870095481,0.4915184854206544,0.0,-1.037858891856802e-05,0.07011714233194981,-0.0,0.0,-0.0
0.07,11.8952617498725,0.0018296804613992168,0.5,2.915773111431168,0.08422666639151219,0.5609895767574776,0.04738607720239047,0.4,0.011802095522733083,0.9321406361783467,10.820709099811165,1.8424199494156848,11.569479272466326,1.3917570226085108,0.0,4.8320231992952533e-08,0.9040198779659098,0.09291085679208104,2.221773112064105e-07,0.0003770045240551692,0.00025262278770926656,0.006869787025262071,1.4330910741475296e-05,0.015332120403691423,0.0,0.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,25.0,1.0,0.4,0.0,1.0,1.40845070422535,0.408450704225352,0.245070422535211,1.40845070422535,0.0,0.0,1.55007346332111e-06,0.006179882478621177,1.1537770196501729,1.3977994662713503e-05,0.0012264110160307743,0.0,0.00012946268418990528,0.0,0.4906411847259731,-0.6545721066608432,0.4913786384274281,0.02373373471093111,0.15562361969631727,-0.1339546552052368,0.0,0.0020663303692118836,0.4913799759901248,-0.491379775734073,-0.49923770023393577,0.4205162507711691,0.49157087884571593,0.0,-1.6012644005418538e-05,0.07872144931930292,-0.0,0.0,-0.0
0.08,11.895259539274939,0.0018296776661463393,0.5,2.9157729508480683,0.08422667565580215,0.5609719219852861,0.0473282547929965,0.4,0.011801151163545897,0.9303891123291002,10.820567558371303,1.8536602042581085,11.569455477663887,1.3812658947785674,0.0,7.14496018621147e-08,0.8927015094145498,0.10340162921461887,3.7349612060049343e-07,0.0005473099837765541,0.00033508679579308324,0.008638965643185724,1.8139351951710635e-05,0.015332475811892489,0.0,0.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,25.0,1.0,0.4,0.0,1.0,1.40845070422535,0.408450704225352,0.245070422535211,1.40845070422535,0.0,0.0,2.6057846245372834e-06,0.007793442984792983,1.110228356997303,2.0646333585541536e-05,0.001143656139633066,0.0,0.0001718645084015194,0.0,0.49016529717857393,-0.6110447124209046,0.49137868362266357,0.023725416762611966,0.15546646527851637,-0.1343841312240324,0.0,0.0025946262208849016,0.4913791269441309,-0.49137876507835926,-0.4992212222019118,0.4125201357332955,0.49163461791387225,0.0,-2.3246031620948885e-05,0.08670108632909583,-0.0,0.0,-0.0
0.09,11.89525664426762,0.0018296731651244208,0.5,2.9157727390659725,0.08422667376811434,0.5609796460491699,0.047257274692447636,0.4,0.011800116428408832,0.928474841613798,10.820398913250127,1.8644747391878693,11.569419466920262,1.3712773745832028,0.0,1.004736302209057e-07,0.8818089841875553,0.11338973409517066,5.871659049656685e-07,0.0007584750850709086,0.00042692404738914233,0.010545512291223628,2.226667092552173e-05,0.015332891127227353,0.0,0.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,25.0,1.0,0.4,0.0,1.0,1.40845070422535,0.408450704225352,0.245070422535211,1.40845070422535,0.0,0.0,4.096500719933613e-06,0.009531177211227641,1.0685937797179466,2.9002244246828354e-05,0.0009860860314143188,0.0,0.0002191641056424016,0.0,0.4896414041694934,-0.5694146179146853,0.49137867441370164,0.0237124919875191,0.15529497758573865,-0.13472739085395635,0.0,0.0031622169808733776,0.4913777767429769,-0.4913772355766852,-0.49922790918616294,0.40513277266402237,0.49171044289009225,0.0,-3.221483703566711e-05,0.09409513638619052,-0.0,0.0,-0.0
