G,Ii,Ip,x1,x2,x3,Time
12342.61665,243.2865183,93.36441699,110.420253,112.7601171,104.5878705,0.0
12341.664615901984,243.28019068171042,93.34255261464004,110.40603581861072,112.75816082501896,104.59467614053837,0.01
12340.712756904904,243.27385144382575,93.32069296411069,110.39181285235432,112.75619526848581,104.601475145749,0.02
12339.761085008586,243.26749980841947,93.29883836315219,110.37758371893254,112.75421980701269,104.6082670661212,0.03
12338.809605704631,243.26113543541777,93.27698896065526,110.36334825568595,112.75223416630473,104.61505170043259,0.04
12337.858319693458,243.25475829962699,93.2551447759893,110.3491064558927,112.75023832391983,104.62182902814514,0.05
12336.907227252677,243.2483684038951,93.23330581708748,110.33485832678956,112.74823227981763,104.6285990447355,0.06
12335.956328627666,243.2419657538934,93.21147209101956,110.3206038772073,112.7462160361397,104.63536174709286,0.07
12335.005624052863,243.23555035623602,93.1896436045583,110.30634311650658,112.74418959575858,104.64211713258041,0.08
12334.055113758855,243.22912221785305,93.16782036436847,110.29207605422309,112.74215296179402,104.6488651987224,0.09
12333.104797951848,243.22268134507786,93.14600237640785,110.27780269898997,112.7401061371311,104.65560594334183,0.1
12332.154676851187,243.216227744699,93.12418964701045,110.26352306003193,112.73804912487518,104.66233936413543,0.11
12331.204750701894,243.20976142432255,93.10238218324777,110.24923714767152,112.73598192851259,104.66906545853564,0.12
12330.255019739783,243.20328239129492,93.0805799919202,110.23494497186489,112.73390455141846,104.67578422407679,0.13
12329.305484198056,243.1967906528965,93.05878307974763,110.22064654247065,112.73181699694291,104.68249565832322,0.14
12328.3561443052,243.19028621627498,93.03699145330881,110.20634186916041,112.72971926837991,104.68919975889062,0.15
12327.407000288304,243.1837690885456,93.01520511913711,110.19203096155634,112.72761136901285,104.69589652341091,0.16
12326.458052373502,243.17723927680552,92.99342408373354,110.17771382925037,112.72549330212084,104.70258594952742,0.17
12325.509300786707,243.17069678815594,92.97164835358777,110.16339048183447,112.72336507098905,104.70926803488736,0.18
12324.560745753608,243.16414162970264,92.94987793517818,110.14906092890105,112.72122667890883,104.71594277714185,0.19
12323.612387499708,243.15757380855635,92.9281128349734,110.13472518004404,112.71907812917773,104.72261017394534,0.2
12322.664226250276,243.15099333183124,92.90635305943057,110.12038324485657,112.71691942509884,104.72927022295637,0.21
12321.716262230266,243.14440020664568,92.88459861499194,110.10603513293049,112.71475056998217,104.73592292183865,0.22
12320.768495664337,243.13779444011973,92.86284950808684,110.09168085385457,112.71257156714252,104.7425682682605,0.23
12319.820926776843,243.1311760393759,92.8411057451306,110.07732041721498,112.71038241990014,104.74920625989513,0.24
12318.873555791813,243.1245450115388,92.81936733252411,110.06295383259454,112.70818313158077,104.75583689442091,0.25
12317.926382933045,243.1179013637347,92.79763427665779,110.04858110957393,112.70597370551408,104.76246016951985,0.26
12316.979408424038,243.11124510309216,92.77590658390851,110.03420225773115,112.70375414503512,104.76907608287878,0.27
12316.032632487982,243.10457623674225,92.75418426063922,110.0198172866415,112.70152445348442,104.77568463218945,0.28
12315.086055347787,243.09789477181815,92.73246731320016,110.00542620587771,112.6992846342075,104.78228581514813,0.29
12314.139677226049,243.09120071545536,92.71075574792742,109.99102902500968,112.69703469055541,104.78887962945608,0.3
12313.193498345065,243.0844940747917,92.68904957114353,109.97662575360452,112.69477462588449,104.79546607281938,0.31
12312.24751892684,243.07777485696715,92.66734878915794,109.96221640122667,112.69250444355617,104.80204514294877,0.32
12311.301739193099,243.0710430691238,92.64565340826715,109.9478009774379,112.69022414693694,104.8086168375596,0.33
12310.356159365267,243.06429871840587,92.6239634347545,109.93337949179727,112.68793373939843,104.81518115437188,0.34
12309.410779664482,243.05754181195982,92.6022788748901,109.91895195386113,112.68563322431741,104.82173809111036,0.35000000000000003
12308.465600311589,243.05077235693432,92.58059973493084,109.90451837318304,112.68332260507584,104.8282876455045,0.36
