value_component_environment_variable_time,value_component_membrane_variable_V,value_component_membrane_variable_tau,value_component_calcium_current_variable_i_Ca,value_component_calcium_current_variable_g_Ca,value_component_calcium_current_variable_V_Ca,value_component_calcium_current_m_gate_variable_m_infinity,value_component_calcium_current_m_gate_variable_V_m,value_component_calcium_current_m_gate_variable_theta_m,value_component_potassium_current_variable_i_K,value_component_potassium_current_variable_V_K,value_component_potassium_current_variable_g_K,value_component_potassium_current_n_gate_variable_n,value_component_potassium_current_n_gate_variable_n_infinity,value_component_potassium_current_n_gate_variable_V_n,value_component_potassium_current_n_gate_variable_theta_n,value_component_potassium_current_n_gate_variable_lambda,value_component_slow_current_variable_i_s,value_component_slow_current_variable_g_s,value_component_slow_current_s_gate_variable_s,value_component_slow_current_s_gate_variable_s_infinity,value_component_slow_current_s_gate_variable_V_s,value_component_slow_current_s_gate_variable_theta_s,value_component_slow_current_s_gate_variable_tau_s,value_component_ATP_sensitive_potassium_current_variable_i_K_ATP,value_component_ATP_sensitive_potassium_current_variable_g_K_ATP,value_component_ATP_sensitive_potassium_current_variable_p
0.0,-64.0,20.0,-7.985786297735338,3.6,25.0,0.02492442664711404,-20.0,12.0,1.1,-75.0,10.0,0.01,0.0002264279882000822,-17.0,5.6,0.9,0.44,4.0,0.01,0.005220125693558397,-22.0,8.0,20000.0,6.6,1.2,0.5
0.1,-64.00075288806678,20.0,-7.985365317631064,3.6,25.0,0.02492290189348169,-20.0,12.0,1.0951030230309067,-75.0,10.0,0.00995616347088717,0.00022639755518604458,-17.0,5.6,0.9,0.43996883290200384,4.0,0.009999976098924907,0.005219637009519129,-22.0,8.0,20000.0,6.599548267159929,1.2,0.5
0.2,-64.00148468181995,20.0,-7.984956152477909,3.6,25.0,0.024921419947294212,-20.0,12.0,1.0902272548378933,-75.0,10.0,0.009912494762232101,0.00022636797875914377,-17.0,5.6,0.9,0.4399385096312913,4.0,0.009999952195913493,0.0052191620609752685,-22.0,8.0,20000.0,6.599109190908032,1.2,0.5
0.30000000000000004,-64.00219320414529,20.0,-7.984560017766783,3.6,25.0,0.02491998520959201,-20.0,12.0,1.0853747987048388,-75.0,10.0,0.0098690113297311,0.00022633934655889976,-17.0,5.6,0.9,0.43990911725918425,4.0,0.009999928290816003,0.005218702257007148,-22.0,8.0,20000.0,6.598684077512829,1.2,0.5
0.4,-64.00287771707596,20.0,-7.984177324245882,3.6,25.0,0.024918599166678806,-20.0,12.0,1.0805463588790327,-75.0,10.0,0.009825719229810409,0.00022631168804461904,-17.0,5.6,0.9,0.439880685297508,4.0,0.009999904383634524,0.005218258072491322,-22.0,8.0,20000.0,6.598273369754423,1.2,0.5
0.5,-64.00353801068745,20.0,-7.983808187456169,3.6,25.0,0.024917262235679895,-20.0,12.0,1.0757421275804129,-75.0,10.0,0.009782620343033292,0.00022628501134101868,-17.0,5.6,0.9,0.4398532221389374,4.0,0.009999880474429646,0.005217829639671526,-22.0,8.0,20000.0,6.5978771935875296,1.2,0.5
0.6000000000000001,-64.00417429986858,20.0,-7.983452485506155,3.6,25.0,0.024915973973836984,-20.0,12.0,1.070961891419569,-75.0,10.0,0.009739713238695383,0.00022625930742147896,-17.0,5.6,0.9,0.4398267191867116,4.0,0.00999985656332873,0.005217416815280027,-22.0,8.0,20000.0,6.597495420078851,1.2,0.5
0.7000000000000001,-64.00478661236092,20.0,-7.983110201202279,3.6,25.0,0.024914734317638465,-20.0,12.0,1.0662056079485625,-75.0,10.0,0.009696997869520208,0.00022623457483479783,-17.0,5.6,0.9,0.43980117532735785,4.0,0.009999832650400997,0.005217019577640308,-22.0,8.0,20000.0,6.597128032583449,1.2,0.5
0.8,-64.00537491819861,20.0,-7.982781349673788,3.6,25.0,0.024913543320684135,-20.0,12.0,1.0614732514278193,-75.0,10.0,0.009654474286574807,0.00022621081447333252,-17.0,5.6,0.9,0.4397765917493321,4.0,0.00999980873557168,0.005216637942653899,-22.0,8.0,20000.0,6.596775049080833,1.2,0.5
0.9,-64.00594028789622,20.0,-7.9824653309986235,3.6,25.0,0.02491239880912179,-20.0,12.0,1.0567639230712025,-75.0,10.0,0.009612135559967634,0.00022618798280231518,-17.0,5.6,0.9,0.4397529256579604,4.0,0.009999784819565328,0.005216271212548165,-22.0,8.0,20000.0,6.596435827262266,1.2,0.5
1.0,-64.00648284475459,20.0,-7.982162074828962,3.6,25.0,0.02491130052712464,-20.0,12.0,1.052077491063031,-75.0,10.0,0.009569980891520655,0.00022616607456250166,-17.0,5.6,0.9,0.4397301721184229,4.0,0.0099997609024654,0.005215919304228379,-22.0,8.0,20000.0,6.596110293147248,1.2,0.5
