T,IKCA,O,VM
0.0,0.0,0.0,-65.0
0.017999999,1.0865855e-05,6.3089086e-05,-65.0
0.035999998,2.1679076e-05,0.00012587255,-65.0
0.054000001,3.2439915e-05,0.0001883519,-65.0
0.071999997,4.314863e-05,0.0002505286,-65.0
0.090000004,5.3805466e-05,0.0003124041,-65.0
0.108,6.4410684e-05,0.00037397986,-65.0
0.126,7.4964526e-05,0.00043525736,-65.0
0.14399999,8.5467247e-05,0.000496238,-65.0
0.162,9.5919095e-05,0.00055692327,-65.0
0.18000001,0.00010632031,0.0006173146,-65.0
0.198,0.00011667114,0.00067741331,-65.0
0.21600001,0.00012697182,0.00073722098,-65.0
0.234,0.00013722261,0.0007967389,-65.0
0.252,0.00014742375,0.00085596851,-65.0
0.27000001,0.00015757547,0.00091491116,-65.0
0.28799999,0.00016767802,0.00097356836,-65.0
0.30599999,0.00017773162,0.0010319414,-65.0
0.324,0.00018773653,0.0010900316,-65.0
0.34200001,0.00019769298,0.0011478405,-65.0
0.36000001,0.00020760119,0.0012053694,-65.0
0.37799999,0.00021746141,0.0012626195,-65.0
0.396,0.00022727385,0.0013195924,-65.0
0.414,0.00023703877,0.0013762892,-65.0
0.43200001,0.00024675639,0.0014327114,-65.0
0.44999999,0.00025642692,0.0014888603,-65.0
0.46799999,0.00026605063,0.0015447371,-65.0
0.486,0.00027562771,0.0016003434,-65.0
0.50400001,0.0002851584,0.0016556802,-65.0
0.52200001,0.00029464293,0.0017107491,-65.0
0.54000002,0.00030408151,0.0017655512,-65.0
0.55800003,0.00031347436,0.0018200878,-65.0
0.57599998,0.00032282172,0.0018743601,-65.0
0.59399998,0.00033212377,0.0019283696,-65.0
0.61199999,0.0003413808,0.0019821175,-65.0
0.63,0.00035059298,0.002035605,-65.0
0.648,0.00035976054,0.0020888336,-65.0
0.66600001,0.00036888366,0.002141804,-65.0
0.68400002,0.00037796263,0.002194518,-65.0
0.70200002,0.00038699759,0.0022469766,-65.0
0.72000003,0.00039598878,0.0022991812,-65.0
0.73799998,0.00040493644,0.0023511329,-65.0
0.75599998,0.00041384075,0.0024028327,-65.0
0.77399999,0.00042270191,0.0024542823,-65.0
0.792,0.00043152017,0.0025054826,-65.0
0.81,0.0004402957,0.0025564348,-65.0
0.82800001,0.00044902871,0.0026071405,-65.0
0.84600002,0.00045771943,0.0026576002,-65.0
0.86400002,0.00046636804,0.0027078157,-65.0
0.88200003,0.00047497477,0.0027577879,-65.0
0.89999998,0.0004835398,0.002807518,-65.0
0.91799998,0.00049206335,0.0028570071,-65.0
0.93599999,0.0005005456,0.0029062566,-65.0
0.954,0.00050898676,0.0029552674,-65.0
0.972,0.00051738706,0.003004041,-65.0
0.99000001,0.00052574661,0.0030525783,-65.0
1.008,0.00053406571,0.0031008804,-65.0
1.026,0.00054234453,0.0031489485,-65.0
1.044,0.00055058318,0.0031967838,-65.0
1.062,0.00055878196,0.0032443872,-65.0
1.08,0.00056694105,0.0032917603,-65.0
1.098,0.00057506055,0.0033389037,-65.0
1.1160001,0.00058314076,0.0033858188,-65.0
1.1339999,0.00059118186,0.0034325067,-65.0
1.152,0.00059918396,0.0034789685,-65.0
1.17,0.00060714729,0.003525205,-65.0
1.188,0.00061507209,0.0035712176,-65.0
1.206,0.00062295847,0.0036170075,-65.0
1.224,0.00063080667,0.0036625755,-65.0
1.242,0.00063861685,0.0037079228,-65.0
1.26,0.00064638915,0.0037530502,-65.0
1.278,0.00065412384,0.0037979591,-65.0
1.296,0.00066182105,0.0038426507,-65.0
1.314,0.000669481,0.0038871255,-65.0
1.332,0.00067710382,0.003931385,-65.0
1.35,0.00068468973,0.00397543,-65.0
1.368,0.00069223886,0.0040192618,-65.0
1.386,0.00069975149,0.0040628812,-65.0
1.404,0.00070722768,0.0041062892,-65.0
1.4220001,0.00071466761,0.0041494872,-65.0
1.4400001,0.00072207156,0.0041924757,-65.0
1.4579999,0.00072943966,0.004235256,-65.0
1.476,0.00073677202,0.0042778291,-65.0
1.494,0.00074406888,0.0043201959,-65.0
1.512,0.0007513304,0.0043623578,-65.0
1.53,0.00075855671,0.0044043153,-65.0
1.548,0.00076574809,0.0044460692,-65.0
1.566,0.00077290455,0.0044876211,-65.0
1.584,0.00078002643,0.0045289719,-65.0
1.602,0.00078711373,0.0045701219,-65.0
1.62,0.00079416676,0.0046110731,-65.0
1.638,0.00080118555,0.0046518259,-65.0
1.656,0.00080817041,0.0046923808,-65.0
1.674,0.0008151214,0.0047327396,-65.0
1.692,0.00082203874,0.0047729029,-65.0
1.71,0.00082892255,0.0048128716,-65.0
1.728,0.00083577301,0.0048526465,-65.0
1.7460001,0.00084259035,0.0048922291,-65.0
1.7640001,0.00084937457,0.0049316199,-65.0
1.7819999,0.00085612602,0.0049708197,-65.0
1.8,0.0008628447,0.0050098295,-65.0
1.818,0.00086953084,0.0050486503,-65.0
1.836,0.00087618461,0.0050872834,-65.0
1.854,0.00088280614,0.0051257294,-65.0
1.872,0.0008893956,0.005163989,-65.0
1.89,0.00089595316,0.0052020629,-65.0
1.908,0.00090247893,0.0052399528,-65.0
1.926,0.0009089731,0.0052776593,-65.0
1.944,0.00091543578,0.0053151827,-65.0
1.962,0.00092186721,0.0053525246,-65.0
