Time,Cyclin_Cdk1_MPF,Cyclin_Cdk1_preMPF,Cyclin_total,Cdc25,Cdc25_phosphorylated,Wee1,Wee1_phosphorylated,Cyclin,Cdk1,IE,IE_phosphorylated,APC_active,Cdk1_total,Cdc25_total,Wee1_total,IE_total,APC_total,ppase,k1,v2,v2_,k3,v25,v25_,vwee,vwee_,ka,KKa,kb,KKb,kc,KKc,kd,KKd,ke,KKe,kf,KKf,kg,KKg,kh,KKh,k25,kwee,k2,nuclear,R1_Dephosphorylation,R2_Phosphorylation,R3_Dephosphorylation,R4_Phosphorylation,R5_Dephosphorylation,R6_Phosphorylation,R7_Protein_Complex__Formation_by_binding,R8_Synthesis,R9_Dephosphorylation,R10_Phosphorylation,R11_Inactivation,R12_Activation,R13_Degradation,R14_Degradation,R15_Degradation
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,100.0,0.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,0.25,0.005,0.017,0.17,0.01,1.0,0.02,0.1,0.1,1.0,0.13,0.01,0.13,1.0,0.02,0.1,0.1,1.0,0.02,0.01,0.15,0.01,0.017,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1485148514851485,0.0,0.065,0.0,0.0,0.0,0.0
2.0,0.3045880210516531,0.2355917535627386,1.5786873113629651,0.9952913564320843,0.004708643567915702,0.9952913564320843,0.004708643567915701,1.0385075367485734,100.0,0.29128922761303,0.70871077238697,0.9829740188069549,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,0.25,0.005,0.017,0.17,0.01,1.0,0.02,0.1,0.1,1.0,0.13,0.01,0.13,1.0,0.02,0.1,0.1,1.0,0.02,0.01,0.15,0.01,0.017720422465891107,0.9953384428677635,0.24582863460770396,1.0,0.0004686576151265498,0.005535583255454308,0.004174785402611834,0.303168166589726,0.0004686576151265497,0.005535583255454308,0.5192537683742867,1.0,0.1479129295710732,0.005889570635845747,0.06444190454990743,0.05804209310482496,0.07487645733299048,0.25529488978871173,0.0579151991031627
4.0,0.49076490039081416,0.7874133066947349,2.554858096436531,0.9824213032401854,0.017578696759814657,0.9824213032401854,0.01757869675981465,1.2766798893509819,100.0,0.5698565598170864,0.43014344018291356,0.9597619572769724,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,0.25,0.005,0.017,0.17,0.01,1.0,0.02,0.1,0.1,1.0,0.13,0.01,0.13,1.0,0.02,0.1,0.1,1.0,0.02,0.01,0.15,0.01,0.019689540604251644,0.9825970902077835,0.24014167953285825,1.0,0.0017275024345329692,0.008908507095771725,0.015503806274494035,0.4822241631001267,0.0017275024345329685,0.008908507095771725,0.6383399446754909,1.0,0.14659202009377523,0.009646026869262423,0.06366541302769704,0.04478790960088419,0.11785310743562599,0.3065840528545684,0.18909075395619526
6.0,0.5645258283638839,1.2922253458273774,3.2022698986471205,0.9679633977802925,0.032036602219707486,0.9679633977802925,0.03203660221970747,1.3455187244558595,100.0,0.8383166839189495,0.1616833160810505,0.8996815049520881,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,0.25,0.005,0.017,0.17,0.01,1.0,0.02,0.1,0.1,1.0,0.13,0.01,0.13,1.0,0.02,0.1,0.1,1.0,0.02,0.01,0.15,0.01,0.021901600139615247,0.9682837638024896,0.2254219687132616,1.0,0.0031042118226042633,0.01023331586257708,0.02830180281458725,0.5466211938518997,0.003104211822604262,0.01023331586257708,0.6727593622279298,1.0,0.14126298329831966,0.011157423386614072,0.0615674760947474,0.019113544848061267,0.1272565236192715,0.3033094798073964,0.2912959814775827
8.0,0.6164128147592807,1.7171279055375976,3.7268705926305277,0.9540820339440748,0.04591796605592519,0.9540820339440748,0.045917966055925186,1.3933298723336494,100.0,0.9991136858715647,0.0008863141284353415,0.7932320010480501,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,0.25,0.005,0.017,0.17,0.01,1.0,0.02,0.1,0.1,1.0,0.13,0.01,0.13,1.0,0.02,0.1,0.1,1.0,0.02,0.01,0.15,0.01,0.024025448806556556,0.9545412136046341,0.1993418402567723,1.0,0.004390207219508643,0.01115868353915857,0.04125476858880323,0.5883914362817723,0.004390207219508642,0.01115868353915857,0.6966649361668247,1.0,0.012212317015365173,0.012206087143505368,0.05750519736206926,0.00010990543787141378,0.1228768648519719,0.27774894083572327,0.3422954366461218
10.0,0.6727251887330802,2.129642700956678,4.249033268078747,0.9407717818948145,0.05922821810518557,0.9407717818948145,0.05922821810518555,1.4466653783889882,100.0,0.9990291250174146,0.000970874982585357,0.6831623819892007,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,0.25,0.005,0.017,0.17,0.01,1.0,0.02,0.1,0.1,1.0,0.13,0.01,0.13,1.0,0.02,0.1,0.1,1.0,0.02,0.01,0.15,0.01,0.026061917370093397,0.9413640640758664,0.17237478358735417,1.0,0.005591638996470161,0.012161760830558475,0.05550257210015547,0.6332793176719765,0.005591638996470159,0.012161760830558475,0.7233326891944941,1.0,0.013274351190672724,0.013321162690236222,0.05276443355015875,0.00012235208246928108,0.11596085882162668,0.24936863152311967,0.3670966996957958
12.0,0.7345931320131495,2.5689042334668453,4.804984759262432,0.9277032168915728,0.0722967831084272,0.9277032168915728,0.0722967831084272,1.501487393782437,100.0,0.9989303567495189,0.0010696432504811303,0.5827699737477408,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,0.25,0.005,0.017,0.17,0.01,1.0,0.02,0.1,0.1,1.0,0.13,0.01,0.13,1.0,0.02,0.1,0.1,1.0,0.02,0.01,0.15,0.01,0.028061407815589363,0.928426184722657,0.14777864356819648,1.0,0.006742236314357831,0.013262280403019387,0.07208706933450713,0.6820154988784355,0.006742236314357831,0.013262280403019387,0.7507436968912184,1.0,0.014494278084815054,0.014546244436370346,0.04786551289434608,0.00013579885079984216,0.10855717662341631,0.22188777038791502,0.37962918307832794
14.0,0.8018057034662809,3.05632612459395,5.413818781660538,0.9146128232164217,0.0853871767835783,0.9146128232164217,0.0853871767835783,1.555686953600307,100.0,0.9988210133093736,0.0011789866906264466,0.4922982883501832,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,0.25,0.005,0.017,0.17,0.01,1.0,0.02,0.1,0.1,1.0,0.13,0.01,0.13,1.0,0.02,0.1,0.1,1.0,0.02,0.01,0.15,0.01,0.03006423804788748,0.9154666949842575,0.12561308064579488,1.0,0.007866978586997269,0.014455598457617737,0.09188611616176992,0.7340264173718037,0.007866978586997269,0.014455598457617737,0.7778434768001535,1.0,0.015819681021917095,0.01587715510774808,0.042886048979040206,0.00015030771805189092,0.10071728449176823,0.19541463076220633,0.3839145399684696
16.0,0.8747092458804733,3.605469025685463,6.088315614157369,0.9012790542666669,0.09872094573333315,0.9012790542666669,0.09872094573333315,1.6081373425914325,100.0,0.99869996639569,0.0013000336043099896,0.4118190193422937,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,0.25,0.005,0.017,0.17,0.01,1.0,0.02,0.1,0.1,1.0,0.13,0.01,0.13,1.0,0.02,0.1,0.1,1.0,0.02,0.01,0.15,0.01,0.03210430469719997,0.9022662637240002,0.10589565973886196,1.0,0.008985079070049275,0.015747001168677242,0.11575107617692282,0.7892206431254124,0.008985079070049275,0.015747001168677242,0.8040686712957162,1.0,0.017257031923526386,0.017320751929600954,0.03792020916352192,0.00016617906361037402,0.09262791267219514,0.17029476484442002,0.38180352114299393
18.0,0.953942487950624,4.225438464991885,6.837346233225425,0.8874990798535723,0.11250092014642768,0.8874990798535723,0.1125009201464277,1.6579652802829163,100.0,0.9985654449754896,0.0014345550245103656,0.3412046833516774,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,0.25,0.005,0.017,0.17,0.01,1.0,0.02,0.1,0.1,1.0,0.13,0.01,0.13,1.0,0.02,0.1,0.1,1.0,0.02,0.01,0.15,0.01,0.034212640782403436,0.8886240890550366,0.08859514742116097,1.0,0.010112433896380084,0.017146812540117903,0.14456340835091752,0.8476962743660185,0.010112433896380084,0.017146812540117903,0.8289826401414582,1.0,0.01881868190019656,0.0188896815711268,0.03307221439524851,0.0001837036744314281,0.0845146753512946,0.14688767842583145,0.3743533437250001
20.0,1.0403903582713874,4.921996396221705,7.666819495855124,0.8730750650295207,0.12692493497047935,0.8730750650295206,0.1269249349704794,1.7044327413620317,100.0,0.9984150392566449,0.0015849607433551529,0.2801177636647645,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,0.25,0.005,0.017,0.17,0.01,1.0,0.02,0.1,0.1,1.0,0.13,0.01,0.13,1.0,0.02,0.1,0.1,1.0,0.02,0.01,0.15,0.01,0.036419515050483346,0.8743443143792254,0.07362885209786729,1.0,0.0112629449426287,0.018669451357821425,0.1792567218306212,0.9096593944895529,0.011262944942628703,0.018669451357821425,0.8522163706810159,1.0,0.020521788271025177,0.020601465467263803,0.028446843181183897,0.00020322190840082482,0.07660274781321115,0.12549542622450752,0.36240094468364376
