Time,Ras2_GDP,Cdc25,Ras2_GDP_Cdc25,Ras2_Cdc25,GDP,GTP,Ras2_GTP_Cdc25,Ras2_GTP,Ira2,Ras2_GTP_Ira2,CYR1,Ras2_GTP_CYR1,ATP,cAMP,PKA,cAMP_PKA,IIcAMP_PKA,IIIcAMP_PKA,IVcAMP_PKA,C,R_2cAMP,R,R_C,Pde1,Pde1f,cAMP_Pde1f,AMP,PPA2,Pde2,cAMP_Pde2,Cdc25f,Ira2P,Ras2_GTP_Ira2P,K0,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32,K33,K34,K35,K36,K37,K38,compartment01,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38
0.0,20000.0,300.0,0.0,0.0,1500000.0,5000000.0,0.0,0.0,200.0,0.0,200.0,0.0,24000000.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,4000.0,6500.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.01,0.25,0.001,2.1e-06,0.001,1e-05,1e-05,1e-05,1e-05,0.1,0.1,0.1,0.1,1.0,1.0,0.75,1.0,1e-06,0.1,0.1,7.5,0.0001,0.0001,1.0,1.7,1.0,0.01,0.001,1.25,2.5,10.0,1.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,19699.998230483987,0.015227638246077816,296.5813645632161,6.896544795061128e-05,1500000.0,5000000.0,3.403338832544241,0.01687363867619643,199.999887714344,0.0001122856561217675,199.99998877003222,1.1229967855929974e-05,24000000.0,1.4093856853655985e-06,2499.99999999993,7.036504502429307e-11,1.0659399064876916e-24,1.2355867435907552e-38,1.0742704397304901e-52,1.5486234381174915e-55,1.5475191834061656e-55,1.104254711323153e-58,4.585952906502343e-117,1400.0,1.5466123009739901e-61,1.0175177951801946e-71,5.181153351303187e-12,4000.0,6499.999999998181,1.8215681996387578e-09,1.6364131737175244e-60,2.19452951415484e-59,2.2397652662905143e-64,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.01,0.25,0.001,2.1e-06,0.001,1e-05,1e-05,1e-05,1e-05,0.1,0.1,0.1,0.1,1.0,1.0,0.75,1.0,1e-06,0.1,0.1,7.5,0.0001,0.0001,1.0,1.7,1.0,0.01,0.001,1.25,2.5,10.0,1.0,299.98444650218323,296.5813645632161,444.8720468448241,103.44817192591692,344.8272397530564,3.403338832544241,3.403338832544241,0.0002569456656561466,0.033747258405716976,2.8071414030441875e-05,0.0033747275457488668,0.0005659903799388707,2.245992310221687e-06,3.523464213413898e-08,9.91714872073445e-22,1.5023204456636974e-35,1.7414182694443047e-49,1.0742704397304902e-53,1.2355867435907554e-39,1.0659399064876917e-25,7.0365045024293074e-12,1.0742704397304901e-52,1.5475191834061656e-55,1.2825560457050245e-113,-2.2929764532511714e-117,2.168072813364488e-58,2.1797732378030927e-68,1.0175177951801947e-72,7.63138346385146e-71,6.1864492038959606e-62,9.161006954873827e-07,1.8215681996387578e-09,3.0966659393858882e-09,2.3581877495050435e-57,6.5456526948700975e-59,3.097245137352997e-56,4.6287122607622075e-61,5.599413165726286e-64,2.1945295141548398e-58
0.02,19699.947436685303,0.015227638915420694,293.2411372929755,6.870850733653511e-05,1500000.0,5000000.0,6.743566359056065,0.06680729203820535,199.99910578268944,0.0008942173106863992,199.99991055569916,8.944430090229298e-05,24000000.0,2.2530226618267008e-05,2499.9999999977445,2.2558452230538967e-09,1.042432492054672e-21,3.4566062577099684e-34,9.264423786573289e-47,2.149403773525041e-49,2.146971910158845e-49,2.4318633661966014e-52,4.5762419562681844e-104,1400.0,3.406874363881745e-55,7.594697215420971e-64,3.3060116783867965e-10,4000.0,6499.999999941856,5.81464957058583e-08,3.549600957371417e-54,4.815269852261078e-53,3.952580172744092e-57,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.01,0.25,0.001,2.1e-06,0.001,1e-05,1e-05,1e-05,1e-05,0.1,0.1,0.1,0.1,1.0,1.0,0.75,1.0,1e-06,0.1,0.1,7.5,0.0001,0.0001,1.0,1.7,1.0,0.01,0.001,1.25,2.5,10.0,1.0,299.98368621861124,293.2411372929755,439.86170593946326,103.06276100480267,343.5425366826755,6.743566359056065,6.743566359056065,0.0010173173200748507,0.13361398667404056,0.0002235543276715998,0.013361452432109542,0.004507992765475566,1.78887801978164e-05,5.632556654561671e-07,5.082470409113939e-19,2.3486240280236586e-31,7.787812231632545e-44,9.264423786573289e-48,3.4566062577099686e-35,1.0424324920546721e-22,2.2558452230538968e-10,9.264423786573289e-47,2.146971910158845e-49,3.920292222000213e-101,-2.2881209781340922e-104,3.0091652829350577e-52,7.675765147821999e-61,7.594697215420971e-65,5.696022911565728e-63,1.362749745552698e-55,1.4644647301742557e-05,5.81464957058583e-08,9.884904269995912e-08,3.2730344546682e-51,1.4198403829485667e-52,4.298788326709466e-50,4.0211892407846467e-54,9.881450431860229e-57,4.815269852261078e-52
0.03,19699.863649445233,0.015227640702636274,289.9796094934591,6.845762052902256e-05,1500000.0,5000000.0,10.00509440767219,0.14828984714637677,199.99701069658659,0.002989303413520393,199.999700955052,0.00029904494806463135,24000000.0,0.00011320308818338454,2499.9999999829624,1.703751729761432e-08,5.830912029063113e-20,1.3459292144331506e-31,2.2951304460811698e-43,7.04746540386507e-46,7.036931013346168e-46,1.053439051890619e-48,4.745007302000903e-97,1400.0,1.4761102125309485e-51,1.7199326418029171e-59,3.733807528426005e-09,4000.0,6499.999999562734,4.372673767517717e-07,1.5174749034738276e-50,2.0790601501480016e-49,4.1607625262339562e-53,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.01,0.25,0.001,2.1e-06,0.001,1e-05,1e-05,1e-05,1e-05,0.1,0.1,0.1,0.1,1.0,1.0,0.75,1.0,1e-06,0.1,0.1,7.5,0.0001,0.0001,1.0,1.7,1.0,0.01,0.001,1.25,2.5,10.0,1.0,299.98244554467703,289.9796094934591,434.9694142401887,102.68643079353384,342.2881026451128,10.00509440767219,10.00509440767219,0.0022581045121938784,0.2965752614592911,0.0007473258533800982,0.029657925083945724,0.015071865382457418,5.9808095676842257e-05,2.8300772045653264e-06,1.9286995730677733e-17,6.600772486155892e-29,1.5236334355006944e-40,2.29513044608117e-44,1.3459292144331506e-32,5.830912029063113e-21,1.703751729761432e-09,2.2951304460811698e-43,7.036931013346168e-46,5.568056454959668e-94,-2.3725036510004516e-97,9.866451565411097e-49,1.6710023455753549e-56,1.7199326418029172e-60,1.2899494813521878e-58,5.904440850123794e-52,7.358200731424997e-05,4.372673767517717e-07,7.433545404780119e-07,1.0731627103431672e-47,6.0698996138953106e-49,1.4094720137606264e-46,3.8537938984196284e-50,1.040190631558489e-52,2.0790601501480016e-48
0.04,19699.747655497795,0.01522764412396962,286.7949220469495,6.821264451890827e-05,1500000.0,5000000.0,13.18978209573642,0.25986109214409486,199.9929902815957,0.007009718404428718,199.99929866418006,0.0007013358199851327,24000000.0,0.00035450319745710263,2499.999999928719,7.128146395549848e-08,1.0224670809489784e-18,9.966000671353507e-30,7.121170018340248e-41,3.0789529616231528e-43,3.0725371468892716e-43,6.415814733881199e-46,1.3882490494570602e-91,1400.0,8.99301969563651e-49,4.157912718852989e-56,2.0782812722697796e-08,4000.0,6499.9999981784495,1.8215508342757107e-06,9.056070557546065e-48,1.2596999088361107e-46,5.603941875473817e-50,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.01,0.25,0.001,2.1e-06,0.001,1e-05,1e-05,1e-05,1e-05,0.1,0.1,0.1,0.1,1.0,1.0,0.75,1.0,1e-06,0.1,0.1,7.5,0.0001,0.0001,1.0,1.7,1.0,0.01,0.001,1.25,2.5,10.0,1.0,299.9807466299253,286.7949220469495,430.1923830704243,102.31896677836241,341.06322259454134,13.18978209573642,13.18978209573642,0.003957072232836354,0.5197039687573881,0.0017524296011071794,0.051972036178926845,0.035347325327250684,0.0001402622478304216,8.862579936174872e-06,2.5269506891647425e-16,3.624678494910431e-27,3.53297910385445e-38,7.121170018340249e-42,9.966000671353507e-31,1.0224670809489785e-19,7.128146395549848e-09,7.121170018340248e-41,3.0725371468892716e-43,1.4815493832081733e-88,-6.941245247285301e-92,4.310534146272414e-46,3.188054236897843e-53,4.1579127188529895e-57,3.1184345391397417e-55,3.597207878254604e-49,0.00023042707828254219,1.8215508342757107e-06,3.096636418268708e-06,4.688519997403966e-45,3.622428223018426e-46,6.157690097313895e-44,4.091837426049606e-47,1.4009854688684543e-49,1.2596999088361107e-45
0.05,19699.60022460019,0.01522764967449364,283.6852598601879,6.797343968352769e-05,1500000.0,5000000.0,16.299444516152334,0.40011106750096204,199.9864626483772,0.013537351622901888,199.9986453696013,0.001354630398764998,24000000.0,0.0008570070528138653,2499.9999997841937,2.1580655240631306e-07,9.34111133714268e-18,2.7168815942842315e-28,5.848018074492627e-39,2.9486756958168876e-41,2.941481430016181e-41,7.194265800706513e-44,1.8742090649754858e-87,1400.0,1.0086342162414075e-46,1.4853113542622296e-53,7.847442796338623e-08,4000.0,6499.999994508964,5.491036888120686e-06,1.0024725771073405e-45,1.4073888395442895e-44,1.2932014432300567e-47,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.01,0.25,0.001,2.1e-06,0.001,1e-05,1e-05,1e-05,1e-05,0.1,0.1,0.1,0.1,1.0,1.0,0.75,1.0,1e-06,0.1,0.1,7.5,0.0001,0.0001,1.0,1.7,1.0,0.01,0.001,1.25,2.5,10.0,1.0,299.97861094778796,283.6852598601879,425.52788979028185,101.96015952529153,339.8671984176384,16.299444516152334,16.299444516152334,0.006092751166792328,0.8001679705598348,0.003384337905725472,0.08002167149757751,0.06827337209775589,0.00027090774164497257,2.142517631849716e-05,1.8494773745565536e-15,8.005398297050833e-26,2.3283866879617653e-36,5.848018074492627e-40,2.7168815942842315e-29,9.34111133714268e-19,2.1580655240631306e-08,5.848018074492627e-39,2.941481430016181e-41,1.5910167536842436e-84,-9.371045324877429e-88,4.1281459741436423e-44,8.644066370282716e-51,1.4853113542622296e-54,1.1139835156966722e-52,4.03453686496563e-47,0.0005570545838584269,5.491036888120686e-06,9.334762709805165e-06,4.4901400499593335e-43,4.009890308429362e-44,5.896952219036616e-42,7.038898137237573e-45,3.2330036080751417e-47,1.4073888395442895e-43
0.06,19699.42210989508,0.015227657824320246,280.6488508192356,6.773986970632242e-05,1500000.0,5000000.0,19.335853782524985,0.567678596157945,199.9768751894686,0.023124810531545578,199.99768564390106,0.0023143560989652007,24000000.0,0.001759124612526136,2499.999999467476,5.325242614695937e-07,5.680886922870463e-17,4.059768481129207e-27,2.165829070372202e-37,1.2851828592680717e-39,1.281522562204489e-39,3.660297063582697e-42,5.357184092858869e-84,1400.0,5.1328861851818454e-45,1.9329859570338326e-51,2.3184849347578046e-07,4000.0,6499.999986508656,1.349134512781566e-05,5.032201316872386e-44,7.131500789435377e-43,1.1686761570836257e-45,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.01,0.25,0.001,2.1e-06,0.001,1e-05,1e-05,1e-05,1e-05,0.1,0.1,0.1,0.1,1.0,1.0,0.75,1.0,1e-06,0.1,0.1,7.5,0.0001,0.0001,1.0,1.7,1.0,0.01,0.001,1.25,2.5,10.0,1.0,299.9760592263311,280.6488508192356,420.97327622885336,101.60980455948362,338.6993485316121,19.335853782524985,19.335853782524985,0.008644415416483664,1.1352259177161013,0.005781202632886394,0.11353440542116774,0.11664354738784612,0.00046281770074674933,4.397811530378565e-05,9.36776535118466e-15,9.993388006999299e-25,7.141638656312238e-35,2.1658290703722022e-38,4.059768481129208e-28,5.680886922870464e-18,5.325242614695937e-08,2.165829070372202e-37,1.281522562204489e-39,3.528113284459303e-81,-2.6785920464294346e-84,1.7992560029753002e-42,9.029386421648771e-49,1.9329859570338328e-52,1.4497394677753745e-50,2.0531544740727384e-45,0.001143430995768693,1.349134512781566e-05,2.293528671728662e-05,1.9570324822615718e-41,2.0128805267489544e-42,2.5700685224349552e-40,5.0605004458074395e-43,2.921690392709064e-45,7.131500789435377e-42
0.07,19699.21404826473,0.015227669019513794,277.68396476970344,6.751180149839613e-05,1500000.0,5000000.0,22.300740048930162,0.7612498679594268,199.96370361902262,0.036296380977512956,199.99636684460026,0.0036331553997674695,24000000.0,0.003225496755267141,2499.9999988588415,1.1411592412424401e-06,2.607576064586556e-16,3.9844236778794163e-26,4.5559776289207464e-36,3.1246632143131584e-38,3.1144161528283736e-38,1.0247061484782504e-40,4.317208363789414e-81,1400.0,1.4373091484771411e-43,1.1791972128921201e-49,5.783204647812503e-07,4000.0,6499.999971213458,2.87865422570259e-05,1.388773123568626e-42,1.987363075826658e-41,5.223342685766042e-44,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.01,0.25,0.001,2.1e-06,0.001,1e-05,1e-05,1e-05,1e-05,0.1,0.1,0.1,0.1,1.0,1.0,0.75,1.0,1e-06,0.1,0.1,7.5,0.0001,0.0001,1.0,1.7,1.0,0.01,0.001,1.25,2.5,10.0,1.0,299.97311147153175,277.68396476970344,416.5259471545552,101.2677022475942,337.55900749198065,22.300740048930162,22.300740048930162,0.01159206103043473,1.5222234297665893,0.009074095244378239,0.15224720785281703,0.18311103214828042,0.0007264992095609539,8.063741884487051e-05,3.680805429870604e-14,8.410728135436198e-24,1.2851745644609627e-33,4.555977628920747e-37,3.984423677879416e-27,2.607576064586556e-17,1.1411592412424401e-07,4.5559776289207464e-36,3.1144161528283736e-38,2.4013962057228797e-78,-2.158604181894707e-81,4.3745285000384217e-41,4.636035994728796e-47,1.17919721289212e-50,8.8439790966909e-49,5.749236593908565e-44,0.0020965728816385518,2.87865422570259e-05,4.893712183694403e-05,4.758133722501087e-40,5.555092494274505e-41,6.24819228896179e-39,1.8910998488256047e-41,1.3058356714415106e-43,1.987363075826658e-40
0.08,19698.976760677564,0.015227683682886566,274.78891252088573,6.728910512190918e-05,1500000.0,5000000.0,25.195792505780876,0.9795570732867088,199.9464510510931,0.05354894890704238,199.9946390160267,0.005360983973327089,24000000.0,0.005445454469674561,2499.999997794428,2.2055728841128053e-06,9.739122452504429e-16,2.8727400120861757e-25,6.341409289587538e-35,4.947449315384386e-37,4.929040324488052e-37,1.8408990896332383e-39,1.3828693421936166e-78,1400.0,2.582791178820221e-42,4.115810647653734e-48,1.2744945960349866e-06,4000.0,6499.999944602082,5.5397917844013085e-05,2.4590122775903345e-41,3.55266339881094e-40,1.3900670330479786e-42,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.01,0.25,0.001,2.1e-06,0.001,1e-05,1e-05,1e-05,1e-05,0.1,0.1,0.1,0.1,1.0,1.0,0.75,1.0,1e-06,0.1,0.1,7.5,0.0001,0.0001,1.0,1.7,1.0,0.01,0.001,1.25,2.5,10.0,1.0,299.9697869881314,274.78891252088573,412.18336878132857,100.93365768286377,336.44552560954594,25.195792505780876,25.195792505780876,0.014916385261344136,1.9585896040567294,0.013387237226760594,0.19590616326757093,0.2701935922556853,0.0010719097196085394,0.00013613636162176064,1.201034671998509e-13,5.303394788969813e-23,1.564337493902762e-32,6.341409289587538e-36,2.872740012086176e-26,9.73912245250443e-17,2.2055728841128055e-07,6.341409289587538e-35,4.929040324488052e-37,6.830816205523279e-76,-6.914346710968083e-79,6.92642904153814e-40,1.40644717689426e-45,4.115810647653735e-49,3.0868579857403007e-47,1.0331164715280884e-42,0.003539545375121781,5.5397917844013085e-05,9.417646033482224e-05,7.533819321178712e-39,9.836049110361339e-40,9.892249323662682e-38,4.35004570164007e-40,3.475167582619947e-42,3.55266339881094e-39
0.09,19698.710952527,0.015227702214757537,271.96204487373035,6.70716537153072e-05,1500000.0,5000000.0,28.02266035185587,1.2213770831448727,199.92464711376064,0.0753528862394788,199.99245479411726,0.007545205882760546,24000000.0,0.008631538609614933,2499.999996060299,3.9397014394435306e-06,3.108420158486606e-15,1.6430698747375342e-24,6.5521613390889915e-34,5.810810886938734e-36,5.786281602667535e-36,2.452928427119968e-38,2.952520291502e-76,1400.0,3.442453607211693e-41,1.00438696399874e-46,2.555225153390128e-06,4000.0,6499.999901470673,9.852932746468067e-05,3.2234501699954587e-40,4.7062569003372934e-39,2.6218701381430705e-41,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.01,0.25,0.001,2.1e-06,0.001,1e-05,1e-05,1e-05,1e-05,0.1,0.1,0.1,0.1,1.0,1.0,0.75,1.0,1e-06,0.1,0.1,7.5,0.0001,0.0001,1.0,1.7,1.0,0.01,0.001,1.25,2.5,10.0,1.0,299.96610439966395,271.96204487373035,407.94306731059555,100.6074805729608,335.358268576536,28.02266035185587,28.02266035185587,0.01859876651405928,2.4418338234057297,0.0188382215598697,0.24426620108742178,0.38027837649113144,0.0015084726235115732,0.00021578846490031653,3.4005685084912363e-13,2.683044861288251e-22,1.4182221062092197e-31,6.552161339088992e-35,1.6430698747375343e-25,3.1084201584866062e-16,3.939701439443531e-07,6.5521613390889915e-34,5.786281602667535e-36,1.0690127406892662e-73,-1.476260145751e-76,8.135135241714227e-39,2.971367122245592e-44,1.00438696399874e-47,7.53290222999055e-46,1.376981442884677e-41,0.005610500011203738,9.852932746468067e-05,0.00016749985668995714,8.848529781257417e-38,1.2893800679981835e-38,1.161724316016025e-36,7.185142906830492e-39,6.554675345357676e-41,4.706256900337294e-38
