value_component_environment_variable_time,value_component_x_7_variable_x_7,value_component_x_8_variable_x_8,value_component_x_9_variable_x_9,value_component_x_10_variable_x_10,value_component_x_11_variable_x_11,value_component_x_12_variable_x_12,value_component_model_parameters_variable_k_t,value_component_model_parameters_variable_k_onSAv,value_component_model_parameters_variable_k_offSAv,value_component_model_parameters_variable_k_exSAv,value_component_model_parameters_variable_k_di,value_component_model_parameters_variable_k_de,value_component_model_parameters_variable_B_maxSAv
0.0,76.0,999.293,0.0,0.0,0.0,0.0,0.03294,2.294e-06,0.006799,0.011,0.003179,0.0164,129.0
0.1,76.1568892907989,999.275566011487,0.017405304085733077,2.8660089492199614e-05,3.942505272463935e-09,2.0338812981569203e-08,0.03294,2.294e-06,0.006799,0.011,0.003179,0.0164,129.0
0.2,76.31323936611955,999.2581083437411,0.03477711774281999,0.0001143609061737531,2.882773173493939e-08,1.4871808759138275e-07,0.03294,2.294e-06,0.006799,0.011,0.003179,0.0164,129.0
0.30000000000000004,76.46905176514205,999.240627137129,0.05211544091797278,0.0002568637640262217,9.06273136036789e-08,4.6753316863804145e-07,0.03294,2.294e-06,0.006799,0.011,0.003179,0.0164,129.0
0.4,76.62432829777157,999.2231225526428,0.06942027918918597,0.00045589215376360445,2.072003956272873e-07,1.0689167940508057e-06,0.03294,2.294e-06,0.006799,0.011,0.003179,0.0164,129.0
0.5,76.77907065371897,999.2055947389496,0.08669163977836472,0.0007111892024042573,3.949170842539765e-07,2.037319969098841e-06,0.03294,2.294e-06,0.006799,0.011,0.003179,0.0164,129.0
0.6000000000000001,76.93328071785204,999.1880438615954,0.10392953187242061,0.0010224687513646212,6.71904456261737e-07,3.4662576541970708e-06,0.03294,2.294e-06,0.006799,0.011,0.003179,0.0164,129.0
0.7000000000000001,77.08696022665305,999.1704700727108,0.12113396420019314,0.0013894670915425076,1.054844958316983e-06,5.441792172506614e-06,0.03294,2.294e-06,0.006799,0.011,0.003179,0.0164,129.0
0.8,77.24011113825712,999.1528735435866,0.1383049471007634,0.0018118868933606246,1.5625033074221205e-06,8.060727977893296e-06,0.03294,2.294e-06,0.006799,0.011,0.003179,0.0164,129.0
0.9,77.39273533805616,999.1352544390113,0.15544249117670283,0.0022894417650828084,2.2129032692042717e-06,1.1416047063526288e-05,0.03294,2.294e-06,0.006799,0.011,0.003179,0.0164,129.0
1.0,77.5448346167465,999.1176129149112,0.17254660815198575,0.0028218593404267375,3.0230584465721345e-06,1.5595520139598305e-05,0.03294,2.294e-06,0.006799,0.011,0.003179,0.0164,129.0
