Time,N,Na,Nan,MF,F,Bp,BN,A,K,B,MAx,Rasa,ERKa,Xa,MDusp,Dusp,Rasi,ERKi,Xi,Rast,ERKt,Xt,D,AK,Kt,Fgf,KdN,vsN,vdN,KdNa,VdNa,kt1,kt2,KdNan,VdNan,KdMF,KIG1,vsFK,vsF,vmF,KA,KdF,vdF,ksF,kd1,vsB,kd2,v0,vMB,vmd,KaB,KaXa,Kmd,n,m,vMXa,ksAx,vdAx,KdAx,d1,a1,K1,K2,kt3,kt4,ksDusp,vdDusp,KdDusp,kcDusp,KaFgf,KaRas,KdRas,KdErk,KaErk,KaX,KIF,KID,KdX,KaMDusp,KdMDusp,q,r,kc,j,p,epsilon,theta,eta,VMsMDusp,VMdMDusp,VMK,VMP,VMaRas,VMdRas,VMaErk,VMaX,VMdX,cytosol,n_synth,N_degradation,N_activation,Na_degradation,Na_transport,Nan_degradation,MF_transkription,MF_degradation,F_translation,F_degradation,AK_dissoc,B_synth,B_degradation,B_phosphorylation,BP_dephosphorylation,B_shuttling,Bp_degradation,MAx_trans_basal,MAx_trans_BN,MAx_trans_Xa,MAx_degradation,A_translation,A_degradation,Ras_activation,Ras_inactivation,Erk_activation,Erk_inactivation,X_activation,X_inactivation,MDusp_transkription,MDusp_degradation,Dusp_translation,Dusp_degradation
0.0,0.5,0.2,0.0,0.1,0.001,0.1,0.001,0.1,3.0,0.1,0.1,0.5,0.2,0.1,0.1,0.1,1.5,1.8,1.9,2.0,2.0,2.0,2.0,0.0,3.0,1.0,1.4,0.23,2.82,0.001,0.01,0.1,0.1,0.001,0.1,0.768,2.5,1.3636363636363635,3.0,1.92,0.05,0.37,0.39,0.3,0.0,0.087,7.062,0.06,1.64,0.8,0.7,0.05,0.48,2.0,2.0,0.5,0.02,0.6,0.63,0.1,1.8,0.28,0.03,0.7,1.5,0.5,2.0,0.5,1.35,0.5,0.103,0.1,0.05,0.05,0.05,0.5,0.5,0.05,0.5,0.5,2.0,2.0,3.45,2.0,2.0,0.3,1.5,0.3,0.9,0.5,5.08,1.0,4.968,0.41,3.3,1.6,0.5,1.0,0.069,0.22263157894736843,0.5174979300082799,0.0029850746268656717,0.006000000000000001,0.0,0.0,0.06635944700460829,0.009,0.00031536388140161726,-0.81,0.1305,0.0,0.0,1.153846153846154,-0.10274999999999998,1.0593000000000001,0.09,5.020397917555271e-06,0.6000000000000001,0.20689655172413798,0.003,0.1232876712328767,1.1157080474111043,0.1025,0.24081081081081077,0.032400000000000005,0.04676923076923077,0.09999999999999998,0.010384615384615386,0.025,0.015,0.1
0.01,0.49333426555639265,0.20504980043392454,5.2781666595706525e-05,0.09933835245358438,0.0010864122325159322,0.07931126760676042,0.0020763260886349825,0.09112709636139334,2.992280904296446,0.11144540275314455,0.1047839060101887,0.5101279384900618,0.20210949881760415,0.09947103614465068,0.09985347017781838,0.09915342567095123,1.4898720615099381,1.7978905011823958,1.9005289638553493,2.0,2.0,2.0,2.0,0.00771909570355378,3.0,1.0,1.4,0.23,2.82,0.001,0.01,0.1,0.1,0.001,0.1,0.768,2.5,1.365552878792666,3.0,1.92,0.05,0.37,0.39,0.3,0.0,0.087,7.062,0.06,1.64,0.8,0.7,0.05,0.48,2.0,2.0,0.5,0.02,0.6,0.63,0.1,1.8,0.28,0.03,0.7,1.5,0.5,2.0,0.5,1.35,0.5,0.103,0.1,0.05,0.05,0.05,0.5,0.5,0.05,0.5,0.5,2.0,2.0,3.45,2.0,2.0,0.3,1.5,0.3,0.9,0.5,5.08,1.0,4.968,0.41,3.3,1.6,0.5,1.0,0.069,0.22043692772763437,0.5105985542302529,0.0029854404129793758,0.006149910563019866,0.0015040630437567057,4.5651545239526166e-07,0.06597066859939953,0.008940451720822595,0.0003425353961080071,-0.7350723854711515,0.1305,0.0,0.0011164032673503653,1.0883315509441869,-0.11234593919137305,0.8401442577584132,0.09,2.1643441953304664e-05,0.598723065730274,0.21502077249375542,0.0031435171803056608,0.11373083488205582,1.1152209265919417,0.10284029377438458,0.24568085410582094,0.03219291201350444,0.04726286624697947,0.09982305473053742,0.010279215727383462,0.024969465496686594,0.014978020526672757,0.09929352458587652
0.02,0.4867589299663795,0.2100295818482115,9.430476747791547e-05,0.0986805918889527,0.0011719604398031304,0.06140516896654442,0.0032433350264431263,0.08306080855603576,2.985274772357745,0.1220604040774702,0.10947548212783548,0.5202476311416284,0.2042697387767426,0.09894883236470423,0.0997062016081285,0.09831367714578527,1.4797523688583716,1.7957302612232575,1.9010511676352957,2.0,2.0,2.0,2.0,0.014725227642255145,3.0,1.0,1.4,0.23,2.82,0.001,0.01,0.1,0.1,0.001,0.1,0.768,2.5,1.3672970473229846,3.0,1.92,0.05,0.37,0.39,0.3,0.0,0.087,7.062,0.06,1.64,0.8,0.7,0.05,0.48,2.0,2.0,0.5,0.02,0.6,0.63,0.1,1.8,0.28,0.03,0.7,1.5,0.5,2.0,0.5,1.35,0.5,0.103,0.1,0.05,0.05,0.05,0.5,0.5,0.05,0.5,0.5,2.0,2.0,3.45,2.0,2.0,0.3,1.5,0.3,0.9,0.5,5.08,1.0,4.968,0.41,3.3,1.6,0.5,1.0,0.069,0.21825684681343732,0.5037927246955608,0.002985783983583127,0.006298058312422007,0.0025853337282427218,1.4591833793523366e-06,0.06558358576387692,0.008881253270005742,0.0003694227637629011,-0.6672814240093805,0.1305,0.0,0.002270958658705516,1.0076864852525942,-0.12086592047184665,0.650464954862605,0.09,5.280965476356086e-05,0.5974477573671442,0.2228601231711842,0.0032842644638350644,0.10483639936937804,1.1147279758676456,0.10316921084025647,0.250546406984752,0.0319873542340223,0.04776837001785969,0.09964713800752663,0.010175628075757488,0.024938762015657902,0.014955930241219275,0.09859077026096141
0.03,0.4802729170894095,0.21494029238021853,0.0001279059291969397,0.09802670500264919,0.0012566509440178001,0.0461595490377237,0.004489605326378465,0.07572690895890452,2.97891387231358,0.13169063697164152,0.11407767859142258,0.5303591300439889,0.20648066005440982,0.09843349663211197,0.09955821410439963,0.09748071608224235,1.469640869956011,1.7935193399455902,1.9015665033678881,2.0,2.0,2.0,2.0,0.021086127686420042,3.0,1.0,1.4,0.23,2.82,0.001,0.01,0.1,0.1,0.001,0.1,0.768,2.5,1.3688844495073211,3.0,1.92,0.05,0.37,0.39,0.3,0.0,0.087,7.062,0.06,1.64,0.8,0.7,0.05,0.48,2.0,2.0,0.5,0.02,0.6,0.63,0.1,1.8,0.28,0.03,0.7,1.5,0.5,2.0,0.5,1.35,0.5,0.103,0.1,0.05,0.05,0.05,0.5,0.5,0.05,0.5,0.5,2.0,2.0,3.45,2.0,2.0,0.3,1.5,0.3,0.9,0.5,5.08,1.0,4.968,0.41,3.3,1.6,0.5,1.0,0.069,0.21609144298402921,0.49707932929330945,0.0029861072708250403,0.006444371593530647,0.0034020371527262315,2.687364328430212e-06,0.0651981997268239,0.008822403450238428,0.0003960283541755408,-0.6059137177808291,0.1305,0.0,0.003426450424551432,0.9091351568046917,-0.12817355683587203,0.48896810295660714,0.09,0.00010118997568518099,0.5961747128676788,0.23042982297245262,0.0034223303577426774,0.09657307550247143,1.1142290878622307,0.10348731363795483,0.2554074814614908,0.03178326370090453,0.0482857281358544,0.09947232147613871,0.010073856944572092,0.02490789345279418,0.014933732115659945,0.0978917445785724
0.04,0.4738751608151525,0.21978286959555343,0.00015573087808877183,0.0973766762210344,0.001340490030583718,0.0334857290125548,0.005802247604795941,0.06905822832293286,2.9731372124319173,0.14016076719239715,0.1185933298208651,0.5404624807616997,0.20874220354193207,0.09792513605732049,0.09940952748402232,0.0966545040943753,1.4595375192383004,1.7912577964580678,1.9020748639426794,2.0,2.0,2.0,2.0,0.02686278756808269,3.0,1.0,1.4,0.23,2.82,0.001,0.01,0.1,0.1,0.001,0.1,0.768,2.5,1.3703292479063343,3.0,1.92,0.05,0.37,0.39,0.3,0.0,0.087,7.062,0.06,1.64,0.8,0.7,0.05,0.48,2.0,2.0,0.5,0.02,0.6,0.63,0.1,1.8,0.28,0.03,0.7,1.5,0.5,2.0,0.5,1.35,0.5,0.103,0.1,0.05,0.05,0.05,0.5,0.5,0.05,0.5,0.5,2.0,2.0,3.45,2.0,2.0,0.3,1.5,0.3,0.9,0.5,5.08,1.0,4.968,0.41,3.3,1.6,0.5,1.0,0.069,0.21394081870172432,0.4904572662065082,0.002986411989274822,0.00658881416152394,0.004042399862491434,3.987965798567358e-06,0.06481451031040912,0.008763900859893096,0.0004223545177240915,-0.5503334706839227,0.1305,0.0,0.00455224637305163,0.7911792823375958,-0.13411374844122612,0.35471432742999304,0.09,0.0001690058373757683,0.594904585477665,0.23774403872429783,0.0035577998946259527,0.08890876749959091,1.1137241528680435,0.10379512794352658,0.2602640862886131,0.03158058069284149,0.04881492681269719,0.09929867769671155,0.009973906441913118,0.024876863711514534,0.014911429122603348,0.09719645466290193
0.05,0.4675646049971323,0.2245582403291641,0.00017923611298916985,0.09673048889613281,0.0014234839469545774,0.023303315575048774,0.0071668182908519295,0.06299393060125205,2.9678898102105435,0.14729736201037466,0.12302515924223718,0.5505577226639381,0.21105431078365794,0.09742385688357205,0.09926016156442857,0.09583500275686374,1.449442277336062,1.788945689216342,1.9025761431164279,2.0,2.0,2.0,2.0,0.032110189789456456,3.0,1.0,1.4,0.23,2.82,0.001,0.01,0.1,0.1,0.001,0.1,0.768,2.5,1.3716443198973698,3.0,1.92,0.05,0.37,0.39,0.3,0.0,0.087,7.062,0.06,1.64,0.8,0.7,0.05,0.48,2.0,2.0,0.5,0.02,0.6,0.63,0.1,1.8,0.28,0.03,0.7,1.5,0.5,2.0,0.5,1.35,0.5,0.103,0.1,0.05,0.05,0.05,0.5,0.5,0.05,0.5,0.5,2.0,2.0,3.45,2.0,2.0,0.3,1.5,0.3,0.9,0.5,5.08,1.0,4.968,0.41,3.3,1.6,0.5,1.0,0.069,0.2118050721078971,0.483925443846851,0.0029866996657022062,0.006731370126485248,0.004559802172310575,5.287717062470056e-06,0.06443251662757657,0.008705744000651952,0.00044840358510414303,-0.49997289232031006,0.1305,0.0,0.005623042191303019,0.6557748422489416,-0.13853688895647656,0.24685202188649166,0.09,0.0002578376250436593,0.5936380434066828,0.24481597297896673,0.0036907547772671153,0.08181101599538945,1.1132130587675466,0.10409314581704861,0.2651162271120946,0.03137924867054804,0.049355952403430485,0.09912628011134504,0.009875780285583615,0.024845676702077102,0.014889024234664285,0.09650490721100198
0.06,0.4613402033939799,0.22926732062652794,0.00019944986863417092,0.09608812587794546,0.0015056389021381447,0.015494000520019592,0.00856760063091694,0.057478877302500245,2.963122055138177,0.15297621606267106,0.1273757814086729,0.5606448892233625,0.21341692391513736,0.09692976447962805,0.09911013615920741,0.09502217360927222,1.4393551107766376,1.7865830760848627,1.903070235520372,2.0,2.0,2.0,2.0,0.03687794486182305,3.0,1.0,1.4,0.23,2.82,0.001,0.01,0.1,0.1,0.001,0.1,0.768,2.5,1.3728413761039988,3.0,1.92,0.05,0.37,0.39,0.3,0.0,0.087,7.062,0.06,1.64,0.8,0.7,0.05,0.48,2.0,2.0,0.5,0.02,0.6,0.63,0.1,1.8,0.28,0.03,0.7,1.5,0.5,2.0,0.5,1.35,0.5,0.103,0.1,0.05,0.05,0.05,0.5,0.5,0.05,0.5,0.5,2.0,2.0,3.45,2.0,2.0,0.3,1.5,0.3,0.9,0.5,5.08,1.0,4.968,0.41,3.3,1.6,0.5,1.0,0.069,0.20968429702407046,0.4774827807972674,0.0029869716640996326,0.006872036122736813,0.004988533673223551,6.553332517104318e-06,0.06405221741643798,0.00864793132901509,0.00047417786731513616,-0.45432401667769967,0.1305,0.0,0.006618968229513499,0.5108585860635011,-0.1413479254462415,0.16412794750856755,0.09,0.00036846174228470597,0.5923757694611553,0.25165793956404353,0.003821273442260187,0.07524738763644641,1.112695690953453,0.10438182827016254,0.2699639066112991,0.031179214213250258,0.04990879139184677,0.09895520300762557,0.009779481819501437,0.024814336340873537,0.014866520423881112,0.09581710849485373
0.07,0.45520091961128506,0.2339110157477533,0.00021711762796329957,0.09544956981189258,0.0015869610665866748,0.009844139563215825,0.00998846935594968,0.0524630640312767,2.958789147233783,0.15718595415381395,0.13164770220012817,0.570724008288565,0.2158299856033523,0.0964429633327337,0.09895947107439772,0.094215978160274,1.429275991711435,1.7841700143966477,1.9035570366672663,2.0,2.0,2.0,2.0,0.041210852766217165,3.0,1.0,1.4,0.23,2.82,0.001,0.01,0.1,0.1,0.001,0.1,0.768,2.5,1.373931067442052,3.0,1.92,0.05,0.37,0.39,0.3,0.0,0.087,7.062,0.06,1.64,0.8,0.7,0.05,0.48,2.0,2.0,0.5,0.02,0.6,0.63,0.1,1.8,0.28,0.03,0.7,1.5,0.5,2.0,0.5,1.35,0.5,0.103,0.1,0.05,0.05,0.05,0.5,0.5,0.05,0.5,0.5,2.0,2.0,3.45,2.0,2.0,0.3,1.5,0.3,0.9,0.5,5.08,1.0,4.968,0.41,3.3,1.6,0.5,1.0,0.069,0.20757858295576745,0.471128205754979,0.0029872292068107128,0.0070108169435937,0.005351601759148453,7.771917328023381e-06,0.06367361121463944,0.008590461283070332,0.000499679655759958,-0.41293166219827326,0.1305,0.0,0.007527016166044838,0.37059927775315615,-0.14257119581061786,0.10427897039314524,0.09,0.0005007817482228415,0.5911184606392417,0.258281429116633,0.0039494310660038445,0.06918580670028045,1.1121719322469892,0.1046616076836358,0.2748071246261991,0.030980426949701156,0.0504734303764112,0.09878552148006442,0.009685014030377323,0.02478284654975573,0.014843920661159657,0.09513306436353859
0.08,0.44914572704382527,0.23849022020150695,0.0002327927960825444,0.09481480328796298,0.0016674565722845575,0.006014655519432306,0.011414328613023111,0.04790111845191716,2.954850600028832,0.16006886503630277,0.13584331847543932,0.5807951023333257,0.21829343898873982,0.0959635570418237,0.09880818610494613,0.09341637789185801,1.4192048976666745,1.7817065610112601,1.9040364429581762,2.0,2.0,2.0,2.0,0.04514939997116807,3.0,1.0,1.4,0.23,2.82,0.001,0.01,0.1,0.1,0.001,0.1,0.768,2.5,1.3749230822124363,3.0,1.92,0.05,0.37,0.39,0.3,0.0,0.087,7.062,0.06,1.64,0.8,0.7,0.05,0.48,2.0,2.0,0.5,0.02,0.6,0.63,0.1,1.8,0.28,0.03,0.7,1.5,0.5,2.0,0.5,1.35,0.5,0.103,0.1,0.05,0.05,0.05,0.5,0.5,0.05,0.5,0.5,2.0,2.0,3.45,2.0,2.0,0.3,1.5,0.3,0.9,0.5,5.08,1.0,4.968,0.41,3.3,1.6,0.5,1.0,0.069,0.20548801509902342,0.4648606574748353,0.0029874733924522023,0.0071477228221627324,0.005665010295865419,8.941066155433412e-06,0.06329669644719756,0.008533332295916667,0.0005249112224044029,-0.3753873412235137,0.1305,0.0,0.008342609538187292,0.2505086651260762,-0.1423900689088159,0.06371324591734642,0.09,0.0006539195329805384,0.5898668276871714,0.2646971677375247,0.00407529955426318,0.0635948303274311,1.1116416628140873,0.10493289000193515,0.2796458782733731,0.03078283948434608,0.05104985605660466,0.09861731138923267,0.009592379564659003,0.024751211255392515,0.014821227915741919,0.09445278024552453
0.09,0.44317360881834833,0.24300581780156894,0.00024689278784187233,0.09418380891585537,0.0017471315129299295,0.003578087442022939,0.012832621458471671,0.043751853469792615,2.951269801307841,0.16189439445918008,0.13996491888454987,0.5908581886835649,0.22080722762916008,0.09549164831102401,0.09865630103134804,0.09262333426350207,1.4091418113164351,1.7791927723708398,1.904508351688976,2.0,2.0,2.0,2.0,0.04873019869215911,3.0,1.0,1.4,0.23,2.82,0.001,0.01,0.1,0.1,0.001,0.1,0.768,2.5,1.375826233770458,3.0,1.92,0.05,0.37,0.39,0.3,0.0,0.087,7.062,0.06,1.64,0.8,0.7,0.05,0.48,2.0,2.0,0.5,0.02,0.6,0.63,0.1,1.8,0.28,0.03,0.7,1.5,0.5,2.0,0.5,1.35,0.5,0.103,0.1,0.05,0.05,0.05,0.5,0.5,0.05,0.5,0.5,2.0,2.0,3.45,2.0,2.0,0.3,1.5,0.3,0.9,0.5,5.08,1.0,4.968,0.41,3.3,1.6,0.5,1.0,0.069,0.2034126743495886,0.4586790847131167,0.0029877052111829576,0.007282767750411812,0.005940192859785374,1.0063546333479428e-05,0.06292147147108766,0.008476542802426983,0.0005498748199639891,-0.3413239847171166,0.1305,0.0,0.009069330190416489,0.1598402878752841,-0.1411157159005778,0.03790268027334899,0.09,0.0008264638528497786,0.588621594616868,0.27091517204498,0.004198947566536496,0.058443873541906007,1.111104760079423,0.10519605672846154,0.28448016205120674,0.03058640731923994,0.05163805521972334,0.09845064931859927,0.009501580745737419,0.024719434388659846,0.014798445154702205,0.0937762611510518
