T,GABA,H,HG,N,NG,NMDA,Q,U,V,VGABA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-60.0,-40.0
1.0,3.9387583e-08,0.018197613,0.14806806,0.00057088485,0.053671222,0.0,2.4171888e-05,50.01088,-55.733833,-36.980827
2.0,0.98608881,0.031858712,0.11761919,0.0012102062,0.26012927,0.0,3.8035494e-05,50.034328,-50.14502,34.435806
3.0,0.99999934,0.039096694,0.046585646,0.0031270292,0.59420729,0.0,4.3438795e-05,51.325516,-32.165577,16.567556
4.0,0.93185061,0.01362765,0.079617649,0.045354187,0.63567889,0.0,4.3414435e-05,61.165165,11.138277,-41.687931
5.0,0.84317327,0.0042113978,0.45440471,0.095528767,0.57344145,0.0,4.3246891e-05,71.324463,3.0834732,-70.997192
6.0,0.76293474,0.0016624744,0.81369776,0.12827058,0.501378,0.0,4.3106436e-05,82.362556,-3.2161734,-78.483505
7.0,0.69033188,0.0011162875,0.94924182,0.14879951,0.43501702,0.0,4.3002936e-05,93.68586,-9.2012939,-80.543816
8.0,0.62463814,0.001322328,0.98591137,0.15742128,0.37698916,0.0,4.2977757e-05,104.72839,-17.022306,-80.818863
9.0,0.56519598,0.0031584213,0.99480909,0.14722688,0.3271772,0.0,4.3388754e-05,113.30607,-35.271889,-80.34639
10.0,0.51141047,0.024650082,0.99679017,0.042824704,0.28477022,0.0,9.007068e-05,113.58991,-73.986382,-79.514252
11.0,0.46274331,0.082548082,0.9970153,0.0008921827,0.24882518,0.0,0.00037487579,113.36571,-82.52858,-78.501793
12.0,0.41870746,0.14951031,0.99672383,2.4488367e-05,0.21844286,0.0,0.00079381978,113.15105,-83.961975,-77.404312
13.0,0.37886217,0.21374513,0.99622005,1.8011486e-05,0.19282213,0.0,0.0012393792,112.93873,-84.159866,-76.27636
14.0,0.34280866,0.27331883,0.99558073,1.7977105e-05,0.17127033,0.0,0.0016866224,112.72746,-84.141487,-75.150116
15.0,0.31018612,0.32825312,0.99482429,1.8118842e-05,0.15319708,0.0,0.0021309925,112.51704,-84.08493,-74.044594
16.0,0.28066799,0.37886918,0.99395436,1.828956e-05,0.13810238,0.0,0.0025716943,112.30742,-84.021553,-72.970795
17.0,0.25395888,0.4255105,0.99296832,1.8467284e-05,0.12556374,0.0,0.0030086029,112.09859,-83.956825,-71.934753
18.0,0.22979151,0.46849951,0.99186504,1.8647952e-05,0.11522392,0.0,0.0034417091,111.89053,-83.891762,-70.939461
19.0,0.20792395,0.50813282,0.99064249,1.883091e-05,0.10678022,0.0,0.003871026,111.68326,-83.826523,-69.985992
