Time,P1,P2,Target,Kd,Ksp,dsp1ksp,dsp1p2kd,h,k0,ka,ks,ku,s,univ,___r1,___r2,___r3,___r4,___r5,___r6
0.0,10.0,10.0,10.0,1e-05,0.001,9.99998989900021,9.989999949498886,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5284156010180654,1.0,1.5284156010180654,1.0,1.5284156010180654,1.0
0.01,10.005284143885557,10.005284143885557,10.005284143885557,1e-05,0.001,10.005274037494324,9.995281448966733,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5289416271653031,1.0005284143885558,1.5289416271653031,1.0005284143885558,1.5289416271653031,1.0005284143885558
0.02,10.010568264956214,10.010568264956214,10.010568264956214,1e-05,0.001,10.010558153173479,10.000562926326912,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5294678637617898,1.0010568264956214,1.5294678637617898,1.0010568264956214,1.5294678637617898,1.0010568264956214
0.03,10.015852365337308,10.015852365337308,10.015852365337308,1e-05,0.001,10.015842248163011,10.005844383704812,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5299943109253205,1.0015852365337308,1.5299943109253205,1.0015852365337308,1.5299943109253205,1.0015852365337308
0.04,10.021136447152443,10.021136447152443,10.021136447152443,1e-05,0.001,10.021126324586628,10.011125823224132,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5305209687738486,1.0021136447152443,1.5305209687738486,1.0021136447152443,1.5305209687738486,1.0021136447152443
0.05,10.026420512526327,10.026420512526327,10.026420512526327,1e-05,0.001,10.02641038456891,10.016407247005308,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5310478374253256,1.0026420512526328,1.5310478374253256,1.0026420512526328,1.5310478374253256,1.0026420512526328
0.06,10.0317045635823,10.0317045635823,10.0317045635823,1e-05,0.001,10.031694430233213,10.021688657171124,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5315749169982602,1.00317045635823,1.5315749169982602,1.00317045635823,1.5315749169982602,1.00317045635823
0.07,10.03698860244374,10.03698860244374,10.03698860244374,1e-05,0.001,10.036978463702951,10.026970055841383,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5321022076111885,1.0036988602443742,1.5321022076111885,1.0036988602443742,1.5321022076111885,1.0036988602443742
0.08,10.042272631233116,10.042272631233116,10.042272631233116,1e-05,0.001,10.042262487100611,10.032251445142876,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5326297093836667,1.0042272631233116,1.5326297093836667,1.0042272631233116,1.5326297093836667,1.0042272631233116
0.09,10.047556652071899,10.047556652071899,10.047556652071899,1e-05,0.001,10.047546502547572,10.03753282718552,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5331574224338884,1.0047556652071898,1.5331574224338884,1.0047556652071898,1.5331574224338884,1.0047556652071898
0.1,10.052840667080565,10.052840667080565,10.052840667080565,1e-05,0.001,10.052830512164393,10.042814204098411,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5336853468822862,1.0052840667080565,1.5336853468822862,1.0052840667080565,1.5336853468822862,1.0052840667080565
0.11,10.0581246783786,10.0581246783786,10.0581246783786,1e-05,0.001,10.058114518070536,10.04809557799378,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5342134828479275,1.0058124678378602,1.5342134828479275,1.0058124678378602,1.5342134828479275,1.0058124678378602
0.12,10.063408688084488,10.063408688084488,10.063408688084488,1e-05,0.001,10.063398522384466,10.053376950989556,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.534741830450772,1.0063408688084488,1.534741830450772,1.0063408688084488,1.534741830450772,1.0063408688084488
0.13,10.068692698315724,10.068692698315724,10.068692698315724,1e-05,0.001,10.068682527223718,10.058658325200883,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5352703898108202,1.0068692698315724,1.5352703898108202,1.0068692698315724,1.5352703898108202,1.0068692698315724
0.14,10.073976711188807,10.073976711188807,10.073976711188807,1e-05,0.001,10.073966534704727,10.06393970274429,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5357991610485333,1.0073976711188808,1.5357991610485333,1.0073976711188808,1.5357991610485333,1.0073976711188808
0.15,10.079260728819454,10.079260728819454,10.079260728819454,1e-05,0.001,10.079250546943221,10.069221085734354,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.536328144284494,1.0079260728819455,1.536328144284494,1.0079260728819455,1.536328144284494,1.0079260728819455
0.16,10.084544753323012,10.084544753323012,10.084544753323012,1e-05,0.001,10.084534566054586,10.074502476282856,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5368573396393264,1.0084544753323013,1.5368573396393264,1.0084544753323013,1.5368573396393264,1.0084544753323013
0.17,10.089828786813346,10.089828786813346,10.089828786813346,1e-05,0.001,10.089818594152632,10.079783876503704,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5373867472341862,1.0089828786813346,1.5373867472341862,1.0089828786813346,1.5373867472341862,1.0089828786813346
0.18,10.095112831403307,10.095112831403307,10.095112831403307,1e-05,0.001,10.095102633350296,10.085065288506218,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.537916367190087,1.0095112831403308,1.537916367190087,1.0095112831403308,1.537916367190087,1.0095112831403308
