Time,species_1,species_2,species_3,species_4,species_5,species_6,parameter_1,parameter_2,parameter_13,compartment_1,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14
0.0,0.01,0.0,0.002,0.0,0.0,0.0,0.084,0.032,2.0,1.0,7.000000000000001e-07,0.0,0.0,0.00016800000000000002,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.01,0.01
0.01,0.010096777427519797,7.084297714673365e-09,0.0020303072691648626,1.3465336267553588e-20,0.0,0.0,0.084,0.032,2.0,1.0,7.174846212181601e-07,4.075823497814355e-18,1.2236085295217887e-22,0.00017054581060984848,0.0003230968776806335,5.950810080325627e-10,1.1310882464745015e-21,0.0,0.0,0.0,0.0,0.0032,0.01,0.01
0.02,0.01019352371542889,1.433838988977431e-08,0.002060589090913067,1.1079574926451046e-19,0.0,0.0,0.084,0.032,2.0,1.0,7.351632318091742e-07,1.6945413024084325e-17,1.0164591879268504e-21,0.00017308948363669763,0.00032619275889372444,1.204424750741042e-09,9.306842938218879e-21,0.0,0.0,0.0,0.0,0.0032,0.01,0.01
0.03,0.010290238871752518,2.1764071285251873e-08,0.002090845486611447,3.8481135011538467e-19,0.0,0.0,0.084,0.032,2.0,1.0,7.530354825405097e-07,3.961523261686261e-17,3.563820641924009e-21,0.00017563102087536154,0.00032928764389608054,1.8281819879611573e-09,3.2324153409692316e-20,0.0,0.0,0.0,0.0,0.0032,0.01,0.01
0.04,0.010386922904516857,2.93631316643532e-08,0.002121076477608892,9.38611328898281e-19,0.0,0.0,0.084,0.032,2.0,1.0,7.711010246627708e-07,7.31511341764547e-17,8.774355159515304e-21,0.00017817042411914693,0.00033238153294453944,2.466503059805669e-09,7.88433516274556e-20,0.0,0.0,0.0,0.0,0.0032,0.01,0.01
0.05,0.010483575821748982,3.713735581557601e-08,0.002151282085236407,1.886150168419524e-18,0.0,0.0,0.084,0.032,2.0,1.0,7.893595099091146e-07,1.1868048415625752e-16,1.7796238471647623e-20,0.0001807076951598582,0.00033547442629596743,3.119537888508385e-09,1.5843661414724002e-19,0.0,0.0,0.0,0.0,0.0032,0.01,0.01
0.06,0.010580197631476884,4.508852355566085e-08,0.002181462330807086,3.353770657241537e-18,0.0,0.0,0.084,0.032,2.0,1.0,8.078105904946413e-07,1.773943314769951e-16,3.193520072783722e-20,0.00018324283578779525,0.0003385663242072603,3.7874359786755116e-09,2.8171673520828913e-19,0.0,0.0,0.0,0.0,0.0032,0.01,0.01
0.07,0.010676788341729427,5.321840977711883e-08,0.002211617235616204,5.483846952771898e-18,0.0,0.0,0.084,0.032,2.0,1.0,8.264539191158234e-07,2.50549617238556e-16,5.269488589186511e-20,0.00018577584779176114,0.0003416572269353417,4.470346421277982e-09,4.606431440328395e-19,0.0,0.0,0.0,0.0,0.0032,0.01,0.01
0.08,0.010773347960536408,6.152878437104872e-08,0.0022417468209410827,8.42810110919957e-18,0.0,0.0,0.084,0.032,2.0,1.0,8.452891489498607e-07,3.3947142501492723e-16,8.171897930639084e-20,0.00018830673295905097,0.00034474713473716507,5.168417887168092e-09,7.079604931727639e-19,0.0,0.0,0.0,0.0,0.0032,0.01,0.01
0.09,0.010869876495928526,7.002141226291805e-08,0.0022718511080411542,1.2350514764768294e-17,0.0,0.0,0.084,0.032,2.0,1.0,8.643159336541004e-07,4.455552734905746e-16,1.208237131387558e-19,0.00019083549307545697,0.00034783604786971283,5.881798630085116e-09,1.0374432402405367e-18,0.0,0.0,0.0,0.0,0.0032,0.01,0.01
