data_set_value_component_environment_variable_time,data_set_value_component_r_variable_r,data_set_value_component_c1_variable_c1,data_set_value_component_c2_variable_c2,data_set_value_component_e_PI3K_variable_e_PI3K,data_set_value_component_e_PI3K_variable_kappa_PI3K,data_set_value_component_e_PI3K_variable_alpha_PI3K,data_set_value_component_m_3PI_variable_m_3PI,data_set_value_component_m_3PI_variable_k_3PI,data_set_value_component_e_GEF_variable_e_GEF,data_set_value_component_e_GEF_variable_K_GR,data_set_value_component_e_GEF_variable_K_GP,data_set_value_component_m_Ras_variable_m_Ras,data_set_value_component_m_Ras_variable_k_Ras,data_set_value_component_m_Ras_variable_gamma,data_set_value_component_x1_variable_x1,data_set_value_component_x1_variable_kd_x1,data_set_value_component_x2_variable_x2,data_set_value_component_x2_variable_kd_x2,data_set_value_component_x2_variable_K_x2,data_set_value_component_y_variable_y,data_set_value_component_y_variable_Vmax_yph1_KM_yph1,data_set_value_component_yp_variable_yp,data_set_value_component_ypp_variable_ypp,data_set_value_component_ypp_variable_Vmax_yph2_KM_yph2,data_set_value_component_z_variable_z,data_set_value_component_z_variable_Vmax_zph1_KM_zph1,data_set_value_component_z_variable_Vmax_y1_KM_y1,data_set_value_component_zp_variable_zp,data_set_value_component_zpp_variable_zpp,data_set_value_component_zpp_variable_Vmax_zph2_KM_zph2,data_set_value_component_zpp_variable_Vmax_y2_KM_y2,data_set_value_component_f_GEF_variable_f_GEF,data_set_value_component_f_GEF_variable_n,data_set_value_component_f_GEF_variable_Kf,data_set_value_component_f_GEF_variable_Zf,data_set_value_component_f_GEF_variable_k_FB_f,data_set_value_component_w_variable_w,data_set_value_component_w_variable_kd_w,data_set_value_component_e_ph_variable_e_ph,data_set_value_component_e_ph_variable_k_FB_ph,data_set_value_component_e_ph_variable_p,data_set_value_component_e_ph_variable_Wph,data_set_value_component_e_ph_variable_Kph,data_set_value_component_model_parameters_variable_L,data_set_value_component_model_parameters_variable_kt,data_set_value_component_model_parameters_variable_ke,data_set_value_component_model_parameters_variable_kxR0,data_set_value_component_model_parameters_variable_k_minusx,data_set_value_component_model_parameters_variable_KDL,data_set_value_component_model_parameters_variable_KM_x11,data_set_value_component_model_parameters_variable_KM_x12,data_set_value_component_model_parameters_variable_KM_x21,data_set_value_component_model_parameters_variable_KM_x22,data_set_value_component_model_parameters_variable_KM_y1,data_set_value_component_model_parameters_variable_KM_y2,data_set_value_component_model_parameters_variable_KM_zph1,data_set_value_component_model_parameters_variable_KM_zph2,data_set_value_component_model_parameters_variable_KM_yph1,data_set_value_component_model_parameters_variable_KM_yph2,data_set_value_component_model_parameters_variable_Vmax_x11_KM_x11,data_set_value_component_model_parameters_variable_Vmax_x21_KM_x21,data_set_value_component_model_parameters_variable_Vmax_x12_KM_x12,data_set_value_component_model_parameters_variable_Vmax_x22_KM_x22
0.0,0.5,0.3333333333333333,0.0,0.0,0.3,80.0,0.0,1.0,0.0,495.0,5.09,0.0,1.0,0.1,0.0,0.745,0.0,2.85,6.77,1.0,4.4,0.0,0.0,6.77,1.0,0.451,11.8,0.0,0.0,0.228,31.9,1.0,1.03,3.76,0.272,0.976,0.0,0.0333,1.0,2.34,1.98,0.385,4.64,1.0,0.005,0.2,0.3,0.07,1.5,30.3,45.5,21.6,15.7,31.9,8.81,14.0,31.5,44.0,12.7,1.18,0.405,4.71,2.41
0.1,0.49609605408235746,0.3307307027215716,0.0032629089708480184,0.0,0.3,80.0,0.0,1.0,0.6176112855418096,495.0,5.09,0.04298796273351482,1.0,0.1,0.0012232669522656914,0.745,0.0,2.85,6.77,0.9999646937588144,4.4,3.530368544280016e-05,2.5557427950378243e-09,6.77,0.9999999996403781,0.451,11.8,2.667425169633475e-10,9.287935996454279e-11,0.228,31.9,0.9999999999983019,1.03,3.76,0.272,0.976,3.125339043672121e-14,0.0333,1.0,2.34,1.98,0.385,4.64,1.0,0.005,0.2,0.3,0.07,1.5,30.3,45.5,21.6,15.7,31.9,8.81,14.0,31.5,44.0,12.7,1.18,0.405,4.71,2.41
0.2,0.49228212504354374,0.3281880833623625,0.006388535262506882,0.0,0.3,80.0,0.0,1.0,0.7597496552655434,495.0,5.09,0.11178000073399279,1.0,0.1,0.006683540550989285,0.745,0.0,2.85,6.77,0.9996300007340588,4.4,0.00036971219308734593,2.870728537801048e-07,6.77,0.9999999145476063,0.451,11.8,4.89844868001299e-08,3.646790696259327e-08,0.228,31.9,0.9999999983172557,1.03,3.76,0.272,0.976,2.5898759535251052e-11,0.0333,1.0,2.34,1.98,0.385,4.64,1.0,0.005,0.2,0.3,0.07,1.5,30.3,45.5,21.6,15.7,31.9,8.81,14.0,31.5,44.0,12.7,1.18,0.405,4.71,2.41
0.30000000000000004,0.4885551725840265,0.325703448389351,0.009382068864834668,0.0,0.3,80.0,0.0,1.0,0.8228245272328416,495.0,5.09,0.18326112124374733,1.0,0.1,0.016858396134216438,0.745,0.0,2.85,6.77,0.9986751916345502,4.4,0.001321049924857487,3.7584405922749496e-06,6.77,0.9999982403621274,0.451,11.8,8.064514461780803e-07,9.531864264427484e-07,0.228,31.9,0.9999999238469073,1.03,3.76,0.272,0.976,1.0650402360173653e-09,0.0333,1.0,2.34,1.98,0.385,4.64,1.0,0.005,0.2,0.3,0.07,1.5,30.3,45.5,21.6,15.7,31.9,8.81,14.0,31.5,44.0,12.7,1.18,0.405,4.71,2.41
0.4,0.4849122788628661,0.3232748525752441,0.01224849733148002,0.0,0.3,80.0,0.0,1.0,0.8584163632469097,495.0,5.09,0.25224605520287474,1.0,0.1,0.03138855267468527,0.745,0.0,2.85,6.77,0.9969008620842758,4.4,0.0030782065233461164,2.0931392378160535e-05,6.77,0.9999863645532255,0.451,11.8,5.142897450016726e-06,8.492549324394704e-06,0.228,31.9,0.9999989936932465,1.03,3.76,0.272,0.976,1.3203624985247642e-08,0.0333,1.0,2.34,1.98,0.385,4.64,1.0,0.005,0.2,0.3,0.07,1.5,30.3,45.5,21.6,15.7,31.9,8.81,14.0,31.5,44.0,12.7,1.18,0.405,4.71,2.41
0.5,0.4813506429914483,0.3209004286609655,0.014992614150704525,0.0,0.3,80.0,0.0,1.0,0.8812480433235772,495.0,5.09,0.31702594057481376,1.0,0.1,0.04971871635865511,0.745,0.0,2.85,6.77,0.9942221662375625,4.4,0.00570409454534393,7.37392170934789e-05,6.77,0.9999375174992634,0.451,11.8,2.002297121661556e-05,4.2459529519932454e-05,0.228,31.9,0.9999931173664325,1.03,3.76,0.272,0.976,8.602436198486992e-08,0.0333,1.0000000000000044,2.34,1.98,0.385,4.64,1.0,0.005,0.2,0.3,0.07,1.5,30.3,45.5,21.6,15.7,31.9,8.81,14.0,31.5,44.0,12.7,1.18,0.405,4.71,2.41
0.6000000000000001,0.4778675756385908,0.3185783837590605,0.017619026991666214,0.0,0.3,80.0,0.0,1.0,0.897106413948494,495.0,5.09,0.3770480593428898,1.0,0.1,0.07125785331871536,0.745,0.0,2.85,6.77,0.9906343440960095,4.4,0.009170125662030681,0.00019553024195981337,6.77,0.999793523343744,0.451,11.8,5.66361961666928e-05,0.00014984046008923926,0.228,31.9,0.9999688586596673,1.03,3.76,0.272,0.976,3.7421319976737815e-07,0.0333,1.0000000000001021,2.34,1.98,0.385,4.64,1.0,0.005,0.2,0.3,0.07,1.5,30.3,45.5,21.6,15.7,31.9,8.81,14.0,31.5,44.0,12.7,1.18,0.405,4.71,2.41
0.7000000000000001,0.4744604939230264,0.3163069959486843,0.020132165552553313,0.0,0.3,80.0,0.0,1.0,0.9087069523602008,495.0,5.09,0.4322359926904825,1.0,0.1,0.09543589991363514,0.745,0.0,2.85,6.77,0.9861816965798489,4.4,0.013390625294396719,0.0004276781257544143,6.77,0.9994536322075982,0.451,11.8,0.00012861592984569903,0.00041775186255606526,0.228,31.9,0.9998929510118397,1.03,3.76,0.272,0.976,1.2560734455916752e-06,0.0333,1.0000000000013367,2.34,1.98,0.385,4.64,1.0,0.005,0.2,0.3,0.07,1.5,30.3,45.5,21.6,15.7,31.9,8.81,14.0,31.5,44.0,12.7,1.18,0.405,4.71,2.41
0.8,0.4711269165757205,0.3140846110504803,0.022536289032736953,0.0,0.3,80.0,0.0,1.0,0.9174557393726762,495.0,5.09,0.4827284403644717,1.0,0.1,0.12172571069226223,0.745,0.0,2.85,6.77,0.9809351325128746,4.4,0.018250333993267254,0.0008145334938581498,6.77,0.9987682335880176,0.451,11.8,0.00025372582076788053,0.0009780405912145046,0.228,31.9,0.9996984695504016,1.03,3.76,0.272,0.976,3.467867875123781e-06,0.0333,1.0000000000116822,2.34,1.98,0.385,4.64,1.0,0.005,0.2,0.3,0.07,1.5,30.3,45.5,21.6,15.7,31.9,8.81,14.0,31.5,44.0,12.7,1.18,0.405,4.71,2.41
0.9,0.467864459355107,0.31190963957007134,0.02483549325056087,0.0,0.3,80.0,0.0,1.0,0.9241001813486822,495.0,5.09,0.5287595084355348,1.0,0.1,0.14965067028653573,0.745,0.0,2.85,6.77,0.974977698732624,4.4,0.02362393584296618,0.001398365424409872,6.77,0.9975384869478783,0.451,11.8,0.0004491960846331189,0.0020123169674886535,0.228,31.9,0.9992695784045471,1.03,3.76,0.272,0.976,8.266812808718157e-06,0.0333,1.0000000000751292,2.34,1.98,0.385,4.64,1.0,0.005,0.2,0.3,0.07,1.5,30.3,45.5,21.6,15.7,31.9,8.81,14.0,31.5,44.0,12.7,1.18,0.405,4.71,2.41
