value_component_environment_variable_time,value_component_NatP_variable_NatP,value_component_MisP_variable_MisP,value_component_MCom_variable_MCom,value_component_Hsp90_variable_Hsp90,value_component_HCom_variable_HCom,value_component_HSF1_variable_HSF1,value_component_DiH_variable_DiH,value_component_TriH_variable_TriH,value_component_HSE_TriH_variable_HSE_TriH,value_component_HSE_variable_HSE,value_component_AggP_variable_AggP,value_component_ROS_variable_ROS,value_component_ATP_variable_ATP,value_component_ADP_variable_ADP,value_component_v1_variable_v1,value_component_v1_variable_k1,value_component_v2_variable_v2,value_component_v2_variable_k2,value_component_v3_variable_v3,value_component_v3_variable_k3,value_component_v4_variable_v4,value_component_v4_variable_k4,value_component_v5_variable_v5,value_component_v5_variable_k5,value_component_v6_variable_v6,value_component_v6_variable_k6,value_component_v7_variable_v7,value_component_v7_variable_k7,value_component_v7b_variable_v7b,value_component_v7b_variable_k7,value_component_v8_variable_v8,value_component_v8_variable_k8,value_component_v9_variable_v9,value_component_v9_variable_k9,value_component_v10_variable_v10,value_component_v10_variable_k10,value_component_v11_variable_v11,value_component_v11_variable_k11,value_component_v12_variable_v12,value_component_v12_variable_k12,value_component_v13_variable_v13,value_component_v13_variable_k13,value_component_v14_variable_v14,value_component_v14_variable_k14,value_component_v15_variable_v15,value_component_v15_variable_k15,value_component_v16_variable_v16,value_component_v16_variable_k16,value_component_v17_variable_v17,value_component_v17_variable_k17,value_component_v18_variable_v18,value_component_v18_variable_k18,value_component_v19_variable_v19,value_component_v19_variable_k19,value_component_v20_variable_v20,value_component_v20_variable_k20,value_component_v21_variable_v21,value_component_v21_variable_k21
0.0,6000000.0,0.0,0.0,300000.0,5900.0,100.0,0.0,0.0,0.0,1.0,0.0,100.0,10000.0,1000.0,10.0,10.0,12000.000000000002,2e-05,0.0,50.0,0.0,1e-05,0.0,4e-06,0.0,6e-07,0.0,1e-07,0.0,1e-07,15000000000.0,500.0,5900.0,1.0,100.0,0.01,0.0,100.0,0.0,0.5,0.0,0.5,0.0,0.05,0.0,0.08,0.0,1000.0,24.060000000000002,8.02e-09,12000.0,12.0,200.0,0.02,0.1,0.1,0.001,1e-05
0.1,5998803.581578206,0.0008034016399144266,1197.4176178873051,298700.0839223565,5999.999959191553,4.0174076144261725e-05,3.1697405483208695e-07,1.408204894539542e-10,3.933469350049983e-13,0.9999999999996066,6.429366343859506e-15,100.00989999505035,10683.384801632492,316.61519836750597,10.0,10.0,11998.794925671726,2e-05,11998.806863289901,50.0,0.011974176178873053,1e-05,51.16989272057687,4e-06,5.149829321681043e-06,6e-07,6.454541950171899e-14,1e-07,5.165363464267348e-25,1e-07,5999.999957897058,500.0,5999.999959191553,1.0,1.613956394044939e-11,0.01,1.2734139814579652e-09,100.0,7.04102447269771e-11,0.5,1.5848702741604347e-07,0.5,7.041024472694941e-12,0.05,3.146775480039986e-14,0.08,3.933469350049983e-10,1000.0,25.592846053316073,8.02e-09,3799.3823804100716,12.0,213.66769603264984,0.02,0.1,0.1,0.0010000989999505035,1e-05
0.2,5997612.522825617,0.0008065482012651755,2389.4763668053365,297505.4420055413,5999.9999590610305,4.0335396336269596e-05,3.014049847701169e-07,2.5433997068818945e-10,1.3795309490212014e-12,0.9999999999986208,1.290920552423808e-14,100.01979998020037,10885.705243377624,114.29475662237338,10.0,10.0,11997.600097835266,2e-05,11997.623955808516,50.0,0.023894763668053366,1e-05,104.04454166023906,4e-06,5.267907590129467e-06,6e-07,6.5052000096409e-14,1e-07,1.0411896495336687e-24,1e-07,5999.999957745289,500.0,5999.9999590610305,1.0,1.626944197603951e-11,0.01,1.2157289518429966e-09,100.0,1.2716998534409472e-10,0.5,1.5070249238505846e-07,0.5,1.2716998534391934e-11,0.05,1.1036247592169612e-13,0.08,1.3795309490212013e-09,1000.0,25.973223530784253,8.02e-09,1371.5370794684807,12.0,217.7141048675525,0.02,0.1,0.1,0.0010001979998020038,1e-05
0.30000000000000004,5996426.856000034,0.0008097061403573966,3576.1431886996074,296316.1747394826,5999.999958928432,4.0497282761344045e-05,2.866059849356657e-07,3.563117741817521e-10,2.894023112458243e-12,0.9999999999971061,1.9439893744902086e-14,100.02969995545043,10943.446823354172,56.553176645820905,10.0,10.0,11996.415584209768,2e-05,11996.451308688716,50.0,0.03576143188699608,1e-05,156.5413312729375,4e-06,5.316585653726711e-06,6e-07,6.556240337324719e-14,1e-07,1.5740601333142564e-24,1e-07,5999.999957592329,500.0,5999.999958928432,1.0,1.6400299110522536e-11,0.01,1.1606763613033166e-09,100.0,1.7815588709087605e-10,0.5,1.4330299246783286e-07,0.5,1.781558870903605e-11,0.05,2.3152184899665947e-13,0.08,2.894023112458243e-09,1000.0,26.00661681531323,8.02e-09,678.6381197498508,12.0,218.86893646708344,0.02,0.1,0.1,0.0010002969995545044,1e-05
0.4,5995246.530391974,0.0008128754998083518,4757.468793057283,295132.2515430788,5999.999958793832,4.065973763333195e-05,2.7253870638254554e-07,4.476078959834429e-10,4.8773050789930516e-12,0.9999999999951227,2.602181456957784e-14,100.03959992080051,10957.769273177846,42.23072682215342,10.0,10.0,11995.24128653961,2e-05,11995.28882413222,50.0,0.04757468793057283,1e-05,208.52498143466232,4e-06,5.3443813048314255e-06,6e-07,6.607665781886778e-14,1e-07,2.1152495524165836e-24,1e-07,5999.999957438056,500.0,5999.999958793832,1.0,1.6532142644113907e-11,0.01,1.1081352296441993e-09,100.0,2.2380394799172144e-10,0.5,1.3626935319127277e-07,0.5,2.2380394799062988e-11,0.05,3.901844063194441e-13,0.08,4.877305078993052e-09,1000.0,25.936608762210003,8.02e-09,506.76872186584103,12.0,219.15538546355694,0.02,0.1,0.1,0.0010003959992080052,1e-05
0.5,5994071.498920762,0.0008160563526906522,5933.500260550861,293953.6313151497,5999.999958657298,4.0822764668281057e-05,2.5916672305709535e-07,5.290417316012144e-10,7.274527639635725e-12,0.9999999999927254,3.265535480535303e-14,100.04949987625062,10959.069533905444,40.93046609455201,10.0,10.0,11994.077113790205,2e-05,11994.136411560688,50.0,0.05933500260550861,1e-05,260.1025677392918,4e-06,5.365930987633273e-06,6e-07,6.659479707667701e-14,1e-07,2.664860973827555e-24,1e-07,5999.999957282505,500.0,5999.999958657298,1.0,1.6664981151618562e-11,0.01,1.0579902145209373e-09,100.0,2.645208658006072e-10,0.5,1.2958336152854767e-07,0.5,2.645208657986829e-11,0.05,5.81962211170858e-13,0.08,7.274527639635725e-09,1000.0,25.83609544832038,8.02e-09,491.16559313462415,12.0,219.18139067810887,0.02,0.1,0.1,0.0010004949987625063,1e-05
0.6000000000000001,5992901.724231276,0.0008192487597429199,7104.2749463085365,292780.2784467453,5999.9999585188925,4.098636690255803e-05,2.4645543471796445e-07,6.013717783470379e-10,1.0035191011117095e-11,0.9999999999899646,3.934090454368466e-14,100.05939982180075,10956.477148718388,43.522851281607565,10.0,10.0,11992.922994352328,2e-05,11992.99399973414,50.0,0.07104274946308538,1e-05,311.3513044297681,4e-06,5.38564818914351e-06,6e-07,6.711685303403125e-14,1e-07,3.2229987254578258e-24,1e-07,5999.999957125703,500.0,5999.9999585188925,1.0,1.6798822718711044e-11,0.01,1.010131287247993e-09,100.0,3.0068588917351894e-10,0.5,1.2322771735898223e-07,0.5,3.0068588917050146e-11,0.05,8.028152808893676e-13,0.08,1.0035191011117096e-08,1000.0,25.726880251785317,8.02e-09,522.2742153792908,12.0,219.12954297436775,0.02,0.1,0.1,0.0010005939982180075,1e-05
0.7000000000000001,5991737.174560881,0.0008224527715471452,8269.8246129595,291612.1616555455,5999.999958378678,4.1150546828392826e-05,2.3437197479380726e-07,6.653051108371501e-10,1.3112845542657732e-11,0.9999999999868869,4.6078856985125127e-14,100.06929975745098,10952.732576649056,47.26742335094062,10.0,10.0,11991.778867779905,2e-05,11991.861528522879,50.0,0.08269824612959502,1e-05,362.3087097661428,4e-06,5.404863158207832e-06,6e-07,6.764285614255805e-14,1e-07,3.7897683637140686e-24,1e-07,5999.999956967692,500.0,5999.999958378678,1.0,1.693367504275751e-11,0.01,9.64453492401547e-10,100.0,3.3265255541857504e-10,0.5,1.1718598739690363e-07,0.5,3.326525554142129e-11,0.05,1.0490276434126186e-12,0.08,1.3112845542657732e-08,1000.0,25.61547918214819,8.02e-09,567.2090802112874,12.0,219.05465153298113,0.02,0.1,0.1,0.0010006929975745098,1e-05
0.8,5990577.820713765,0.0008256684337519035,9430.178456318217,290449.25184793817,5999.999958236712,4.131530667498321e-05,2.2288512292039102e-07,7.215006457221871e-10,1.6464811580167876e-11,0.9999999999835351,5.286960833967713e-14,100.07919968320124,10948.658039179218,51.34196082077751,10.0,10.0,11990.644678739389,2e-05,11990.738942884964,50.0,0.09430178456318218,1e-05,412.99119666665246,4e-06,5.423976800936575e-06,6e-07,6.817283624943215e-14,1e-07,4.365276671089779e-24,1e-07,5999.9999568084995,500.0,5999.999958236712,1.0,1.7069545656479125e-11,0.01,9.208567206747285e-10,100.0,3.6075032286109356e-10,0.5,1.1144256146019551e-07,0.5,3.607503228551539e-11,0.05,1.31718492641343e-12,0.08,1.6464811580167877e-08,1000.0,25.503836880472512,8.02e-09,616.1035298493301,12.0,218.97316078358435,0.02,0.1,0.1,0.0010007919968320126,1e-05
0.9,5989423.6346188,0.0008288957900281865,10585.364547511464,289291.5209422887,5999.999958093053,4.148064856588114e-05,2.1196522191989158e-07,7.705722077761274e-10,2.0051917322468406e-11,0.9999999999799479,5.97135577929897e-14,100.08909959905162,10944.50002188256,55.49997811743749,10.0,10.0,11989.520374125499,2e-05,11989.626189995703,50.0,0.10585364547511465,1e-05,463.40609008749635,4e-06,5.443109995261109e-06,6e-07,6.870682307264514e-14,1e-07,4.949631666221397e-24,1e-07,5999.99995664816,500.0,5999.999958093053,1.0,1.720644205446137e-11,0.01,8.792454878648028e-10,100.0,3.852861038880637e-10,0.5,1.0598261095994579e-07,0.5,3.852861038803379e-11,0.05,1.6041533857974726e-12,0.08,2.0051917322468407e-08,1000.0,25.39253147941221,8.02e-09,665.99973740925,12.0,218.89000043765122,0.02,0.1,0.1,0.0010008909959905163,1e-05
