value_component_environment_variable_time,value_component_R_variable_R,value_component_B_variable_B,value_component_C_variable_C,value_component_C_variable_f,value_component_pi_L_variable_pi_L,value_component_pi_L_variable_k1,value_component_pi_L_variable_k2,value_component_pi_L_variable_k3,value_component_pi_L_variable_k4,value_component_pi_L_variable_K,value_component_pi_L_variable_ko,value_component_pi_L_variable_Io,value_component_pi_L_variable_IL,value_component_pi_L_variable_rL,value_component_pi_L_variable_KOP,value_component_pi_L_variable_KLP,value_component_model_parameters_variable_DA,value_component_model_parameters_variable_DB,value_component_model_parameters_variable_DC,value_component_model_parameters_variable_DR,value_component_model_parameters_variable_kB,value_component_model_parameters_variable_pi_C,value_component_model_parameters_variable_pi_P,value_component_model_parameters_variable_f0,value_component_model_parameters_variable_dB,value_component_model_parameters_variable_IP,value_component_model_parameters_variable_kP,value_component_model_parameters_variable_P,value_component_model_parameters_variable_P_0,value_component_model_parameters_variable_P_s,value_component_model_parameters_variable_C_s,value_component_model_parameters_variable_SP,value_component_model_parameters_variable_k5,value_component_model_parameters_variable_k6
0.0,0.00077,0.00073,0.00091,0.0,0.060220660789903895,0.01,10.0,0.00058,0.017,10.0,0.35,0.0,0.0,1000.0,200000.0,3000000.0,0.7,0.034999999999999996,0.0021,0.0007,0.189,0.19627749576988154,0.01937984496124031,0.05,0.7,0.0,86.0,0.0,2.9069767441860463,150.0,0.005,250.0,0.02,3.0
0.1,0.000770011743107881,0.0007299338147706076,0.000910138049001462,0.0,0.06021433380701456,0.01,10.0,0.00058,0.017,10.0,0.35,0.0,0.0,1000.0,200000.0,3000000.0,0.7,0.034999999999999996,0.0021,0.0007,0.189,0.1962962691197156,0.01937984496124031,0.05,0.7,0.0,86.0,0.0,2.9069767441860463,150.0,0.005,250.0,0.02,3.0
0.2,0.0007700257781708618,0.0007298678887412207,0.0009102716816939223,0.0,0.0602078591764522,0.01,10.0,0.00058,0.017,10.0,0.35,0.0,0.0,1000.0,200000.0,3000000.0,0.7,0.034999999999999996,0.0021,0.0007,0.189,0.1963144410582122,0.01937984496124031,0.05,0.7,0.0,86.0,0.0,2.9069767441860463,150.0,0.005,250.0,0.02,3.0
0.30000000000000004,0.0007700413110624999,0.0007298021321047044,0.000910402428256084,0.0,0.060201288173726025,0.01,10.0,0.00058,0.017,10.0,0.35,0.0,0.0,1000.0,200000.0,3000000.0,0.7,0.034999999999999996,0.0021,0.0007,0.189,0.1963322197332121,0.01937984496124031,0.05,0.7,0.0,86.0,0.0,2.9069767441860463,150.0,0.005,250.0,0.02,3.0
0.4,0.0007700584507749157,0.0007297366243463399,0.0009105299519488948,0.0,0.060194619352524376,0.01,10.0,0.00058,0.017,10.0,0.35,0.0,0.0,1000.0,200000.0,3000000.0,0.7,0.034999999999999996,0.0021,0.0007,0.189,0.19634955941069718,0.01937984496124031,0.05,0.7,0.0,86.0,0.0,2.9069767441860463,150.0,0.005,250.0,0.02,3.0
0.5,0.0007700776274364465,0.0007296716791481796,0.0009106529238596884,0.0,0.060187846889779247,0.01,10.0,0.00058,0.017,10.0,0.35,0.0,0.0,1000.0,200000.0,3000000.0,0.7,0.034999999999999996,0.0021,0.0007,0.189,0.1963662794637205,0.01937984496124031,0.05,0.7,0.0,86.0,0.0,2.9069767441860463,150.0,0.005,250.0,0.02,3.0
0.6000000000000001,0.0007700985674801294,0.0007296070970045437,0.00091077218919342,0.0,0.06018097457367596,0.01,10.0,0.00058,0.017,10.0,0.35,0.0,0.0,1000.0,200000.0,3000000.0,0.7,0.034999999999999996,0.0021,0.0007,0.189,0.1963824948820804,0.01937984496124031,0.05,0.7,0.0,86.0,0.0,2.9069767441860463,150.0,0.005,250.0,0.02,3.0
0.7000000000000001,0.0007701212709059643,0.0007295428779154321,0.0009108877479500894,0.0,0.06017400245648034,0.01,10.0,0.00058,0.017,10.0,0.35,0.0,0.0,1000.0,200000.0,3000000.0,0.7,0.034999999999999996,0.0021,0.0007,0.189,0.19639820572682815,0.01937984496124031,0.05,0.7,0.0,86.0,0.0,2.9069767441860463,150.0,0.005,250.0,0.02,3.0
0.8,0.0007701447918277308,0.0007294798600360814,0.0009109996206401315,0.0,0.06016706949785867,0.01,10.0,0.00058,0.017,10.0,0.35,0.0,0.0,1000.0,200000.0,3000000.0,0.7,0.034999999999999996,0.0021,0.0007,0.189,0.1964134148454574,0.01937984496124031,0.05,0.7,0.0,86.0,0.0,2.9069767441860463,150.0,0.005,250.0,0.02,3.0
0.9,0.0007701695836400283,0.0007294176416109215,0.0009111077974322156,0.0,0.06016010913874703,0.01,10.0,0.00058,0.017,10.0,0.35,0.0,0.0,1000.0,200000.0,3000000.0,0.7,0.034999999999999996,0.0021,0.0007,0.189,0.19642812095840997,0.01937984496124031,0.05,0.7,0.0,86.0,0.0,2.9069767441860463,150.0,0.005,250.0,0.02,3.0
1.0,0.0007701958660878665,0.0007293560279226317,0.0009112122735614285,0.0,0.06015308914973231,0.01,10.0,0.00058,0.017,10.0,0.35,0.0,0.0,1000.0,200000.0,3000000.0,0.7,0.034999999999999996,0.0021,0.0007,0.189,0.19644232347315338,0.01937984496124031,0.05,0.7,0.0,86.0,0.0,2.9069767441860463,150.0,0.005,250.0,0.02,3.0
