Time,E1,E2,KKK,P_KKK,KK,P_KK,PP_KK,K,P_K,PP_K,KPase,KKPase,E1_KKK,E2_P_KKK,P_KKK_KK,P_KKK_P_KK,PP_KK_K,PP_KK_P_K,KKPase_PP_KK,KKPase_P_KK,KPase_PP_K,KPase_P_K,K_PP_norm,KK_PP_norm,KKK_P_norm,rel_K_PP_max,K_PP_norm_max,compartment,r1a,r1b,r2a,r2b,r3a,r3b,r4a,r4b,r5a,r5b,r6a,r6b,r7a,r7b,r8a,r8b,r9a,r9b,r10a,r10b
0.0,3e-05,0.0003,0.003,0.0,1.2,0.0,0.0,1.2,0.0,0.0,0.12,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.900049,4e-12,3.6000000000000003e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2.9717361448756285e-05,0.00029999994448006464,0.002999411815736248,8.341041771967528e-08,1.1999996538962339,1.23965388292262e-07,1.578214072868684e-15,1.1999999999999973,3.942354856937751e-16,3.802915691141363e-32,0.11999999999999997,0.00029999994136630675,2.8263855124371947e-07,5.551993531517105e-11,2.2207972741281988e-07,1.3841893970463898e-14,2.112872520172296e-15,3.8652786084730985e-31,5.282180555472062e-19,5.86336927513216e-11,2.5261050224180717e-33,4.355713727461005e-17,3.379605161152642e-32,3.0763456759137703e-15,0.00010183964948097666,3.7549124116049705e-32,0.900049,4e-12,1.8695528950138614e-16,1.695831307462317e-16,6.678052155074369e-20,3.331196118910263e-20,2.6712205313211066e-16,1.3324783644769194e-16,1.1357822122572724e-19,3.518021565079296e-20,3.305488289867893e-23,8.305136382278338e-24,1.5769256839680175e-27,3.1693083332832375e-28,6.307704037666288e-24,1.2677235121033778e-24,1.6309875076824597e-25,2.613428236476603e-26,2.2568352496761606e-39,2.319167165083859e-40,1.6738332304027695e-41,1.515663013450843e-42
0.02,2.970375264402953e-05,0.00029999985712921663,0.0029989596673487425,1.724592148803402e-07,1.1999987118946516,7.16133199230451e-07,4.7289879340021425e-14,1.199999999999854,3.7853190551519604e-14,4.164497313422834e-28,0.11999999999999293,0.000299999511131785,2.9624735597047123e-07,1.4287078322185327e-10,5.71482883010511e-07,2.4971399441315796e-13,1.0114559896442946e-13,2.0337890630154642e-27,2.52863670737934e-17,4.888681896381997e-10,5.146793015785116e-29,7.083401797726995e-15,3.8993138458344536e-28,1.2371730389293889e-13,0.00024800528465549073,4.332335068240122e-28,0.900049,4e-12,1.785730110111098e-16,1.7774841358228274e-16,1.2122848936576375e-19,8.572246993311196e-20,4.849136130367779e-16,3.4288972980630663e-16,5.660375249145862e-19,2.933209137829198e-19,3.441866805082245e-22,1.4982839664789479e-22,4.157594248967407e-26,1.517182024427604e-26,1.6630406145341755e-22,6.068735937865768e-23,1.3919490386092146e-23,4.250041078636197e-24,5.9400178174555264e-36,1.2202734378092784e-36,1.6901511294957355e-37,3.0880758094710696e-38
0.03,2.970313715019126e-05,0.000299999768206165,0.002998514278265475,2.614516037545847e-07,1.1999972336762779,1.8377130470592605e-06,3.0050887899746835e-13,1.199999999998696,4.2377855041486754e-13,5.932704161991335e-26,0.11999999999989994,0.0002999985657439316,2.9686284980874164e-07,2.3179383489794285e-10,9.271741964708072e-07,1.1422502494102607e-12,7.800797242054366e-13,1.9278394295791187e-25,1.9501914885877481e-16,1.4342558733494824e-09,9.958618318483539e-27,1.0007144793754544e-13,5.773804994866406e-26,9.006530186266304e-13,0.0003962482219195774,6.414989622638775e-26,0.900049,4e-12,1.7814341353125972e-16,1.7811770988524499e-16,1.7466538115525629e-19,1.390763009387657e-19,6.986602871004275e-16,5.563045178824843e-16,1.3446915894570643e-18,8.605535240096894e-19,1.2365419439313164e-21,6.853501496461564e-22,2.435974414549639e-25,1.170114893152649e-25,9.743947846630187e-22,4.680478345232619e-22,1.4337083543643955e-22,6.004286876252726e-23,3.937265027386288e-34,1.1567036577474712e-34,2.2501808986444533e-35,5.975170991090123e-36
0.04,2.9703145526128274e-05,0.00029999967924546273,0.002998069403250786,3.5040318118055647e-07,1.1999952233703528,3.490697180558903e-06,1.06644413261666e-12,1.1999999999942306,2.127158401475115e-12,1.6599459676885737e-24,0.11999999999942866,0.00029999708981738783,2.9685447387172606e-07,3.2075453717678724e-10,1.2830149830203935e-06,3.1630838141396207e-12,3.071391582217663e-12,4.080408387808862e-24,7.678414183997868e-16,2.910181844325267e-09,3.3595931970194286e-25,5.713083177824465e-13,1.6632544061587632e-24,3.4488362968806704e-12,0.0005445277158461576,1.8479598401406626e-24,0.900049,4e-12,1.780956828057269e-16,1.7811268432303565e-16,2.2803064553695447e-19,1.9245272230607235e-19,9.121195848695402e-16,7.698089898122361e-16,2.4426868758105667e-18,1.74610910659516e-18,2.9947552979395834e-21,1.8978502884837723e-21,8.190156939114333e-25,4.60704851039872e-25,3.2760968872047587e-21,1.8428349493305978e-21,6.78251042033726e-22,3.4278499066946792e-22,6.625737352912162e-33,2.4482450326853175e-33,5.951984726655561e-34,2.015755918211657e-34
0.05,2.9703187598792288e-05,0.0002999995903203494,0.0029976247435134266,4.3931548428046756e-07,1.1999926821620492,5.674191131353342e-06,2.791744216851571e-12,1.1999999999823059,7.064433680335864e-12,1.980675568593955e-23,0.11999999999794343,0.0002999950831419618,2.9681240120771815e-07,4.096796505052788e-10,1.638711812636387e-06,6.783548858707506e-12,8.573288877978905e-12,3.9611189164738734e-23,2.143290930130675e-15,4.916855894978084e-09,4.53956187379166e-24,2.0565160959180155e-12,2.028859796644267e-23,9.472646988166849e-12,0.0006927466600982836,2.2541659361259966e-23,0.900049,4e-12,1.780685997048128e-16,1.7808744072463088e-16,2.8137007091893743e-19,2.4580779030316725e-19,1.1254743776063194e-15,9.832270875818322e-16,3.858804223868062e-18,2.9501135369868503e-18,5.900910783857208e-21,4.0701293152245036e-21,2.0640635957035074e-24,1.2859745580784048e-24,8.256398913902605e-21,5.143973326787343e-21,2.1570185089522915e-21,1.2339096575508094e-21,5.512165399079319e-32,2.376671349884324e-32,6.783505604813052e-33,2.723737124274996e-33
0.06,2.9703232814804995e-05,0.0002999995014347622,0.002997180285106517,5.28187905512522e-07,1.1999896110964383,8.38716380104486e-06,6.065421049631215e-12,1.1999999999566295,1.8291235746722697e-11,1.4400921248868493e-22,0.11999999999437502,0.0002999925466991776,2.967671851950206e-07,4.985652377326365e-10,1.9942484666839894e-06,1.2473199173867631e-11,1.9454205830002305e-11,2.4329591292520874e-22,4.86344175897523e-15,7.453295959079887e-09,3.6177938960980706e-23,5.624934912658845e-12,1.5015595954138808e-22,2.127040860136317e-11,0.0008408996054327436,1.668308720318428e-22,0.900049,4e-12,1.7804346406883753e-16,1.7806031111701235e-16,3.346852906309297e-19,2.991391426395819e-19,1.3387309172768606e-15,1.1965490800103937e-15,5.592368937586475e-18,4.471977575447932e-18,1.0236074420736734e-20,7.483919504320579e-21,4.36025937454153e-24,2.918065055385138e-24,1.7441497539176213e-20,1.1672523498001383e-20,5.404832210420036e-21,3.374960947595307e-21,2.977986375326299e-31,1.4597754775512526e-31,4.741765861474015e-32,2.1706763376588424e-32
0.07,2.9703275942733775e-05,0.0002999994125891534,0.0029967360242298974,6.170206557643005e-07,1.1999860112114076,1.1628576694529246e-05,1.161850546492513e-11,1.1999999999085995,4.011549727521799e-11,7.339926360578416e-22,0.1199999999871664,0.00029998948153980837,2.967240572662409e-07,5.874108465439173e-10,2.349622667534355e-06,2.0699924422233844e-11,3.845137035514459e-11,1.0800320873710006e-21,9.612532736713179e-15,1.0518450579177136e-08,1.97566453367947e-22,1.2833538514870748e-11,7.762992411881572e-22,4.173290696157207e-11,0.0009889860201281206,8.625077536758079e-22,0.900049,4e-12,1.7801707386118175e-16,1.7803443435974454e-16,3.879768292123072e-19,3.5244650792635037e-19,1.5518910216619872e-15,1.409773600520613e-15,7.642732427044628e-18,6.3110703475062814e-18,1.6280333417315286e-20,1.2419954653340307e-20,8.174198080733371e-24,5.767519642027907e-24,3.269800401430611e-20,2.3070822213086754e-20,1.1555315581122881e-20,7.700123108922449e-21,1.2163092448586368e-30,6.480192524226004e-31,2.337765932493167e-31,1.185398720207682e-31
0.08,2.970331911973257e-05,0.00029999932378323624,0.0029962919618400923,7.058137638561964e-07,1.1999818835413136,1.5397391097751662e-05,2.034490114980683e-11,1.1999999998268356,7.836946303987233e-11,3.2200268446069854e-21,0.11999999997415926,0.00029998588873604234,2.9668088026745287e-07,6.762167636039966e-10,2.704835095308138e-06,3.192977938648545e-11,6.895430808312092e-11,4.0440450392004404e-21,1.723781728719527e-14,1.4111246719882549e-08,9.326312579305849e-22,2.5840701938387726e-11,3.460548418781308e-21,7.443037254521585e-11,0.0011370062953821617,3.84484446822485e-21,0.900049,4e-12,1.7799073711323158e-16,1.7800852816047172e-16,4.412445493326408e-19,4.0573005816239795e-19,1.7649538619412872e-15,1.6229010571848828e-15,1.0009252178772305e-17,8.46674803192953e-18,2.43128946251887e-20,1.915786763189127e-20,1.4070042638369764e-23,1.0342690372317162e-23,5.628294065510818e-20,4.137258484987255e-20,2.2112921088005584e-20,1.5504421163032635e-20,3.951248891318305e-30,2.4264270235202643e-30,9.860341303201706e-31,5.595787547583509e-31
0.09,2.970336268601636e-05,0.0002999992350169629,0.002995848098087731,7.945672380138199e-07,1.1999772291202044,1.969256904013482e-05,3.324267492765702e-11,1.1999999996981427,1.3988577797077444e-10,1.0482202078467516e-20,0.11999999995279835,0.0002999817693620175,2.9663731398366204e-07,7.649830370073105e-10,3.059885476970825e-06,4.6627688814192566e-11,1.1476969208101318e-10,1.192336781872133e-20,2.86907846341978e-14,1.8230609291622446e-08,3.160620392865967e-21,4.720160996975997e-11,1.1369018726111238e-20,1.2336754817102317e-10,0.0012849604977424388,1.2631555311001109e-20,0.900049,4e-12,1.7796466204865147e-16,1.7798238839019724e-16,4.94488432090362e-19,4.589898222043863e-19,1.977919084303575e-15,1.835931286182495e-15,1.2691281240799851e-17,1.0938365574973468e-17,3.461166747794999e-20,2.797661328851554e-20,2.267431499198104e-23,1.7214470780518682e-23,9.070302436400763e-20,6.88618152486079e-20,3.88242074177044e-20,2.832096598185598e-20,1.1446689085106644e-29,7.154020691232799e-30,3.1350847599657186e-30,1.8963722357195802e-30
