Time,EC,Z,Y,X,beta,extracellular,cytosol,intravesicular1,intravesicular2,vin,v2i,v3i,v4,v5,v6,v2s,v3s
0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.027,0.0,0.0,0.0,0.0,0.25,0.0,0.1625
0.01,-0.00025640972044520087,0.0019329484690674603,0.002391897702870062,0.49593156354850754,1.0,1.0,1.0,1.0,1.0,0.027,0.403061718045397,0.0002589800379520242,0.001195948851435031,0.0019329484690674603,0.24796578177425377,0.007938446903578686,0.16239709927060142
0.02,-0.0005065578580506273,0.002003599655937277,0.006580755825496055,0.4919222023766169,1.0,1.0,1.0,1.0,1.0,0.027,0.42891360616032026,0.0020865328650103744,0.0032903779127480275,0.002003599655937277,0.24596110118830844,0.008526009909555009,0.162293316875112
0.03,-0.0007564731657366576,0.0020132651922846476,0.010807375520598503,0.48793583245285327,1.0,1.0,1.0,1.0,1.0,0.027,0.4324830996174622,0.005585287261127616,0.005403687760299251,0.0020132651922846476,0.24396791622642663,0.008607995525841168,0.16218771919432268
0.04,-0.00100628212223058,0.0020255887430464157,0.015009383647809288,0.4839713097313746,1.0,1.0,1.0,1.0,1.0,0.027,0.43704518364673645,0.010638228083041667,0.007504691823904644,0.0020255887430464157,0.2419856548656873,0.008713086160786532,0.16208024297850662
0.05,-0.0012559488793710868,0.0020416554490553557,0.019185437807303418,0.480028855623012,1.0,1.0,1.0,1.0,1.0,0.027,0.4430111242587673,0.01710702970814931,0.009592718903651709,0.0020416554490553557,0.240014427811506,0.00885103762844055,0.16197085991206578
0.06,-0.0015054379066936022,0.0020610605376102566,0.023335683218677065,0.47610869415040596,1.0,1.0,1.0,1.0,1.0,0.027,0.4502435016877556,0.024833865178906466,0.011667841609338533,0.0020610605376102566,0.23805434707520298,0.009019071639616854,0.16185954178086576
0.07,-0.001754718119432474,0.0020833357568196963,0.027460364916806538,0.4722110174458059,1.0,1.0,1.0,1.0,1.0,0.027,0.4585807907380577,0.03365117419424591,0.013730182458403269,0.0020833357568196963,0.23610550872290295,0.00921387107235622,0.1617462595002474
0.08,-0.0020037632083605246,0.0021080057246054217,0.031559774602408136,0.46833598288134665,1.0,1.0,1.0,1.0,1.0,0.027,0.4678569191216237,0.043389191699123864,0.015779887301204068,0.0021080057246054217,0.23416799144067332,0.009431996230283034,0.16163098295444295
0.09,-0.0022525515633686675,0.002134608312647255,0.03563423024878307,0.46448371300193797,1.0,1.0,1.0,1.0,1.0,0.027,0.4779080083571361,0.05388210602281388,0.017817115124391537,0.002134608312647255,0.23224185650096899,0.009670013594276761,0.1615136809040894
0.1,-0.002501066050789354,0.002162709408077623,0.03968406027283744,0.460654296369874,1.0,1.0,1.0,1.0,1.0,0.027,0.48857750855812726,0.06497278903658743,0.01984203013641872,0.002162709408077623,0.230327148184937,0.009924596004068515,0.16139432091506364
0.11,-0.002749293705048706,0.002191912656107794,0.04370959201165511,0.4568477890372855,1.0,1.0,1.0,1.0,1.0,0.027,0.49971986894320136,0.07651610440158839,0.021854796005827556,0.002191912656107794,0.22842389451864276,0.010192597360924597,0.16127286930379137
0.12,-0.0029972253059979068,0.0022218649144471847,0.04771114349996427,0.4530642168915861,1.0,1.0,1.0,1.0,1.0,0.027,0.5112028980336074,0.08838093212717035,0.023855571749982134,0.0022218649144471847,0.22653210844579305,0.010471104331821423,0.16114929111037657
0.13,-0.003244854940825969,0.002252258245785673,0.05168901841534271,0.4493035782796972,1.0,1.0,1.0,1.0,1.0,0.027,0.5229090000608276,0.10045111987268619,0.025844509207671354,0.002252258245785673,0.2246517891398486,0.01075746778853253,0.16102355008437128
0.14,-0.003492179557274704,0.002282829211036501,0.055643503510180506,0.4455658468360574,1.0,1.0,1.0,1.0,1.0,0.027,0.5347354671192177,0.11262558406132649,0.027821751755090253,0.002282829211036501,0.2227829234180287,0.011049316349055248,0.16089560868265906
0.15,-0.003739198515052868,0.002313356404090555,0.059574867582573375,0.4418509745283886,1.0,1.0,1.0,1.0,1.0,0.027,0.5465941032527956,0.12481779323353827,0.029787433791286688,0.002313356404090555,0.2209254872641943,0.011344556846667976,0.16076542808177868
0.16,-0.003985913194314346,0.0023436569562003354,0.06348336181944829,0.43815889441866535,1.0,1.0,1.0,1.0,1.0,0.027,0.5584104058477648,0.13695484141150005,0.031741680909724145,0.0023436569562003354,0.21907944720933267,0.011641365664944675,0.16063296818852402
0.17,-0.004232326630167258,0.002373582451697641,0.06736922079755414,0.4344895233809152,1.0,1.0,1.0,1.0,1.0,0.027,0.570122444349057,0.14897626854498028,0.03368461039877707,0.002373582451697641,0.2172447616904576,0.011938173135818037,0.16049818765702234
0.18,-0.004478443194355358,0.002403014668399366,0.07123266394487986,0.43084276458107595,1.0,1.0,1.0,1.0,1.0,0.027,0.5816795842572398,0.16083275803605754,0.03561633197243993,0.002403014668399366,0.21542138229053798,0.012233643744878557,0.16036104390549522
0.19,-0.0047242682944887695,0.0024318612345808296,0.0750738970734238,0.42721850998648403,1.0,1.0,1.0,1.0,1.0,0.027,0.5930410916149744,0.17248478076697996,0.0375369485367119,0.0024318612345808296,0.21360925499324201,0.012526652349512037,0.16022149314254325
0.2,-0.00496980815711091,0.002460052045180657,0.07889311392009432,0.4236166421918358,1.0,1.0,1.0,1.0,1.0,0.027,0.6041749569565976,0.18390134166928962,0.03944655696004716,0.002460052045180657,0.2118083210959179,0.012816264732000468,0.1600794903755798
