E_1_task1,I_2_task1,T_3_task1,_1_task1
10.0,0.0,50.0,0.0
12.403969461413155,0.3373562502357919,59.854186974566545,1.0
15.268878724301791,0.49206109576193674,71.6485939108188,2.0
18.685831327774885,0.7119546227746716,85.76443311960936,3.0
22.763807035830155,1.0229193918977852,102.65747179821585,4.0
27.633152837588224,1.4603594278373362,122.87246395445273,5.0
33.449747308847485,2.072318921981632,147.06031139850722,6.0
40.39996469498544,2.9233832036821497,175.99844216033702,7.0
48.7065872769246,4.099462091751025,210.61496998097695,8.0
58.63583966477875,5.713501717040704,252.0172784649365,9.0
70.50574762694012,7.9121050793237,301.52575917101143,10.0
84.69605604744821,10.882959215845098,360.71351658075884,11.0
101.65997535946866,14.862884040171794,431.45292770162877,12.0
121.93806341989793,20.1462624639013,515.970002438219,13.0
146.17458832774705,27.093615829605557,616.9075139746282,14.0
175.1367534762921,36.140181768072964,737.3978270159847,15.0
209.73719951529515,47.804544165090334,881.1462280388928,16.0
251.06021776580118,62.697633897520724,1052.5252864826575,17.0
300.392114020289,81.53269388706157,1256.680310419423,18.0
359.25612182032773,105.13703038309217,1499.6451575893868,19.0
429.45251602772885,134.46657249116137,1788.4677588488792,20.0
513.102179792509,170.62302239312402,2131.334325176255,21.0
612.7001162537573,214.8772110251108,2537.7114158568716,22.0
731.1635468906541,268.6920258683131,3018.4416894039978,23.0
871.899262963796,333.7549314821202,3585.869541751559,24.0
1038.8556756727467,412.0059434778412,4253.872226771144,25.0
1236.58736064276,505.67167537954685,5037.867448300849,26.0
1470.3104516498202,617.2955102520974,5954.710514353865,27.0
1745.9483177470872,749.7636038158669,7022.466049349624,28.0
2070.1615145303563,906.322977195125,8260.014352197331,29.0
2450.352308180155,1090.5871008952583,9686.44953678321,30.0
2894.6335124546595,1306.523785836629,11320.23364251703,31.0
3411.749876513003,1558.4195457151611,13178.079788468262,32.0
4010.940685458143,1850.8147892905347,15273.565919202356,33.0
4701.730741083324,2188.4034368213174,17615.487221931806,34.0
5493.642000811309,2575.892745354293,20206.023140190668,35.0
6395.822939609578,3017.8224021568676,23038.810708484936,36.0
7416.59332369764,3518.3403120874277,26097.074288842385,37.0
8562.8941455112,4080.930144591296,29351.877629471364,38.0
9839.720359206505,4708.128886317122,32760.97009575638,39.0
11249.501388313916,5401.216256018611,36268.14902388616,40.0
12791.479581281026,6159.900874460625,39803.3086361238,41.0
14461.146893076488,6982.032371836496,43283.52302661388,42.0
16249.769830495998,7863.354900870527,46615.08194188099,43.0
18144.053004613696,8797.326666701505,49696.55709189543,44.0
20125.992497357896,9775.031331479104,52422.85660370519,45.0
22172.946356857155,10785.192655232246,54690.122526109626,46.0
24257.97352822412,11814.319887581147,56401.358086947286,47.0
26350.44171959309,12847.007117234123,57472.4182497094,48.0
28416.915532930074,13866.305486067895,57838.10179310753,49.0
30422.32196201981,14854.323573668971,57457.828955433884,50.0
32331.324469873092,15792.860763058838,56320.453008569675,51.0
34109.87461706083,16664.150137947647,54447.606067280554,52.0
35726.82807249423,17451.646225148223,51895.02983797855,53.0
37155.52197013085,18140.774685398752,48751.2150134868,54.0
38375.15767596412,18719.61519206062,45133.224721768325,55.0
39371.87000569395,19179.395075708355,41179.46084849911,56.0
40139.34552135262,19514.83923078323,37039.76253974561,57.0
40678.87773077062,19724.158773259427,32863.818312369425,58.0
40998.84339395897,19808.903990913303,28789.413375946755,59.0
41113.651096813424,19773.46112849367,24932.201687386365,60.0
41042.27802776631,19624.462599750106,21378.686680351006,61.0
40806.62049470306,19370.118641231566,18183.601057790183,62.0
40429.86369803332,19019.679385973926,15371.160553638241,63.0
39935.04482699339,18582.79395178168,12939.874518340624,64.0
39343.9517647277,18069.410331737046,10869.144300703134,65.0
38676.391321734875,17489.459762189195,9126.17448957719,66.0
37949.80253291287,16852.989210865257,7672.092591450489,67.0
37179.14919432427,16170.155795620702,6466.637626576889,68.0
36377.00944194152,15451.224647423654,5471.327348644495,69.0
35553.781986486974,14706.637748782414,4651.267548815417,70.0
34717.95141405795,13946.818854443249,3975.977177178911,71.0
33876.36571508251,13181.999458199978,3419.5191928726217,72.0
33034.5023469408,12421.933869272772,2960.2314663289026,73.0
32196.707608638444,11675.60707438166,2580.2639573279325,74.0
31366.40873010967,10950.957694628267,2265.029735262544,75.0
30546.28253775693,10254.679333534665,2002.6888008639733,76.0
29738.40144104432,9592.044737480439,1783.6646068309376,77.0
28944.35300458306,8966.965192812364,1600.2232466355345,78.0
28165.334994467452,8381.974848029447,1446.1229629345237,79.0
27402.232858636027,7838.363910943647,1316.3234291188032,80.0
26655.681758087998,7336.390779643269,1206.7497232960004,81.0
25926.116495531925,6875.429819234947,1114.1020012928443,82.0
25213.811634744354,6454.197872478373,1035.7028788658781,83.0
24518.913783621712,6070.9114132227,969.375641240443,84.0
23841.46725049627,5723.463814364905,913.3485081850472,85.0
23181.43525659156,5409.566264234413,866.1768210372271,86.0
22538.71697675597,5126.845494878138,826.6816633265472,87.0
21913.16121657509,4872.927818852757,793.9016157261573,88.0
21304.57776463388,4645.5046238987225,767.0537446783773,89.0
20712.74651635669,4442.369230718249,745.5032023891102,90.0
20137.425054625142,4261.448438256893,728.7387955538434,91.0
19578.35504570662,4100.8127706896385,716.3532234085487,92.0
19035.267451195203,3958.682243761342,708.0277853800928,93.0
18507.88720299282,3833.4260336285734,703.5194731531402,94.0
