value_component_environment_variable_time,value_component_membrane_variable_V,value_component_membrane_variable_E_R,value_component_membrane_variable_Cm,value_component_membrane_variable_i_Stim,value_component_sodium_channel_variable_i_Na,value_component_sodium_channel_variable_g_Na,value_component_sodium_channel_variable_E_Na,value_component_sodium_channel_m_gate_variable_m,value_component_sodium_channel_m_gate_variable_alpha_m,value_component_sodium_channel_m_gate_variable_beta_m,value_component_sodium_channel_h_gate_variable_h,value_component_sodium_channel_h_gate_variable_alpha_h,value_component_sodium_channel_h_gate_variable_beta_h,value_component_potassium_channel_variable_i_K,value_component_potassium_channel_variable_g_K,value_component_potassium_channel_variable_E_K,value_component_potassium_channel_n_gate_variable_n,value_component_potassium_channel_n_gate_variable_alpha_n,value_component_potassium_channel_n_gate_variable_beta_n,value_component_leakage_current_variable_i_L,value_component_leakage_current_variable_g_L,value_component_leakage_current_variable_E_L
0.0,-75.0,-75.0,1.0,0.0,-1.0350000000000001,120.0,40.0,0.05,0.22356372458463003,4.0,0.6,0.07,0.04742587317756678,4.819668750000001,36.0,-87.0,0.325,0.05819767068693265,0.125,-3.1839,0.3,-64.387
0.1,-75.0544169350945,-75.0,1.0,0.0,-1.0953832178812921,120.0,40.0,0.05094695703174443,0.22272635853909467,4.0121109497070995,0.5999662111086015,0.07019071861323312,0.04718064019903012,4.789675082376273,36.0,-87.0,0.324862101923105,0.05801358563512586,0.12491500245035551,-3.200225080528348,0.3,-64.387
0.2,-75.0998872492841,-75.0,1.0,0.0,-1.1294009252447117,120.0,40.0,0.05146258209403841,0.22202875341640066,4.022258869866542,0.5999530652386964,0.07035047985569176,0.04697665045891005,4.762981430386745,36.0,-87.0,0.3247179733895326,0.05786010822658709,0.12484402356861153,-3.213866174785228,0.3,-64.387
0.30000000000000004,-75.13906965567956,-75.0,1.0,0.0,-1.1462425816964485,120.0,40.0,0.05171113824366782,0.22142914088170257,4.03102406097803,0.5999572196737298,0.07048844000642415,0.04680154248393286,4.738596655888979,36.0,-87.0,0.3245690630773106,0.05772810445115135,0.12478289242439804,-3.2256208967038686,0.3,-64.387
0.4,-75.17369819851586,-75.0,1.0,0.0,-1.15226918359118,120.0,40.0,0.051795866777104335,0.22090038855057478,4.038786441324507,0.5999762697929005,0.0706105913221714,0.046647302755813344,4.7158793422439755,36.0,-87.0,0.32441640441851355,0.05761163482326519,0.12472889099099019,-3.2360094595547593,0.3,-64.387
0.5,-75.20488934886313,-75.0,1.0,0.0,-1.1516917696583113,120.0,40.0,0.051781614500075776,0.2204250625105545,4.0457910860481485,0.6000084193934727,0.07072079851556448,0.046508787536886705,4.694421868352822,36.0,-87.0,0.3242607618762057,0.05750688093879035,0.12468027000011574,-3.2453668046589397,0.3,-64.387
0.6000000000000001,-75.23336258468798,-75.0,1.0,0.0,-1.1472423240833411,120.0,40.0,0.05170932490895099,0.21999193173753126,4.052195970689634,0.6000522601185662,0.07082155271719336,0.04638268383678731,4.6739667439971,36.0,-87.0,0.32410272800583373,0.05741138273172552,0.12463590226203554,-3.2539087754063942,0.3,-64.387
0.7000000000000001,-75.25957855257222,-75.0,1.0,0.0,-1.1406396567729524,120.0,40.0,0.051604461839165984,0.21959379277177898,4.058102061666396,0.600106641715989,0.07091444636389133,0.04626686492124562,4.6543539845097035,36.0,-87.0,0.32394278052875464,0.05732356303062782,0.12459506581830754,-3.261773565771666,0.3,-64.387
0.8,-75.28383425635336,-75.0,1.0,0.0,-1.132946585483265,120.0,40.0,0.05148274444663746,0.21922598237485966,4.063574198993474,0.6001705840355646,0.07100050252740395,0.046159951332847046,4.635484897315072,36.0,-87.0,0.32378132107259416,0.05724240185353254,0.12455729478200255,-3.2690502769060075,0.3,-64.387
0.9,-75.30632986239416,-75.0,1.0,0.0,-1.1248305709817539,120.0,40.0,0.05135410348133283,0.21888534093195103,4.0686558495377545,0.600243216252913,0.07108040742338406,0.04606100601512192,4.617296736292936,36.0,-87.0,0.323618701953979,0.057167209008665516,0.12452227480804386,-3.275798958718249,0.3,-64.387
1.0,-75.32720413488607,-75.0,1.0,0.0,-1.1167015023262439,120.0,40.0,0.051224711689240275,0.21856966261360042,4.073376932645692,0.6003237463460508,0.07115463374182546,0.045969372597524115,4.599749217160133,36.0,-87.0,0.3234552396718719,0.057097503476206256,0.12448978764794394,-3.282061240465822,0.3,-64.387
