Time,I,U,V,m,K,xi,gamma,compartment,Tumor_Growth,Conversion_Uninfected_to_Infected,Tumor_Cell_Death,Viral_Decay
0.0,100.0,75.0,10.0,0.1,100.0,0.01,0.1,1.0,2.1576155433883564,4.285714285714286,1.0,1.0
1.0,103.19941200720811,73.01353111005294,10.015609697586594,0.1,100.0,0.01,0.1,1.0,2.2964610394998393,4.149950720443159,1.031994120072081,1.0015609697586594
2.0,106.24467979096444,71.27747496041354,10.059414034118715,0.1,100.0,0.01,0.1,1.0,2.4133827964997137,4.03898675597708,1.0624467979096444,1.0059414034118717
3.0,109.15965811962644,69.74976766645929,10.127382383363116,0.1,100.0,0.01,0.1,1.0,2.5127779013094744,3.9482691602485005,1.0915965811962645,1.0127382383363117
4.0,111.96390869814859,68.39628618255007,10.216072471161224,0.1,100.0,0.01,0.1,1.0,2.5980442735553844,3.874144274801905,1.1196390869814858,1.0216072471161224
5.0,114.67352074595297,67.18921588955908,10.322539161360087,0.1,100.0,0.01,0.1,1.0,2.6718290858648976,3.8136636733399953,1.1467352074595298,1.0322539161360087
6.0,117.30177811545151,66.10575085310603,10.444256451901524,0.1,100.0,0.01,0.1,1.0,2.7362124884717374,3.7644333290903798,1.173017781154515,1.0444256451901524
7.0,119.8596774631454,65.12710582171393,10.579053765890775,0.1,100.0,0.01,0.1,1.0,2.7928414545676703,3.7244993500092995,1.198596774631454,1.0579053765890776
8.0,122.3563470740924,64.237732959954,10.72506202326207,0.1,100.0,0.01,0.1,1.0,2.8430297769106887,3.6922589939806496,1.223563470740924,1.072506202326207
9.0,124.79937632177662,63.424717659280994,10.880669197077689,0.1,100.0,0.01,0.1,1.0,2.8878322492837047,3.6663923155243783,1.2479937632177662,1.0880669197077688
10.0,127.19507018046072,62.67732443257028,11.044483863511216,0.1,100.0,0.01,0.1,1.0,2.928099420807817,3.645810122711073,1.2719507018046072,1.1044483863511216
11.0,129.54869494422155,61.98655423000651,11.215300525193385,0.1,100.0,0.01,0.1,1.0,2.9645236410952305,3.62960779912809,1.2954869494422157,1.1215300525193386
