value_component_environment_variable_time,value_component_R_variable_R,value_component_R_variable_b1,value_component_R_variable_b2,value_component_R_variable_b3,value_component_R_variable_g1,value_component_R_variable_g2,value_component_R_variable_f_T,value_component_L_variable_L,value_component_L_variable_b2,value_component_L_variable_g1,value_component_T_variable_T,value_component_T_variable_b3,value_component_T_variable_g2
0.0,0.1,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,10.0,0.0,1.0,10.0
0.1,0.09049882007557486,1.0,1.0,1.0,10.0,10.0,0.0004524286872326042,0.09048750898921488,1.0,10.0,0.04524286872326042,1.0,10.0
0.2,0.08198224988107305,1.0,1.0,1.0,10.0,10.0,0.0016376779943376232,0.16380071710515726,1.0,10.0,0.16376779943376232,1.0,10.0
0.30000000000000004,0.07441527098602736,1.0,1.0,1.0,10.0,10.0,0.0033351769159764228,0.2224955195875708,1.0,10.0,0.3335176915976423,1.0,10.0
0.4,0.06774740229666512,1.0,1.0,1.0,10.0,10.0,0.005368271874235248,0.26884326039975426,1.0,10.0,0.5368271874235249,1.0,10.0
0.5,0.061918000851672116,1.0,1.0,1.0,10.0,10.0,0.007597417330442915,0.3048458342724956,1.0,10.0,0.7597417330442915,1.0,10.0
0.6000000000000001,0.05686045200999726,1.0,1.0,1.0,10.0,10.0,0.009914182269582843,0.33225367466299727,1.0,10.0,0.9914182269582842,1.0,10.0
0.7000000000000001,0.05250546877886271,1.0,1.0,1.0,10.0,10.0,0.012235951549324477,0.3525858166071456,1.0,10.0,1.2235951549324477,1.0,10.0
0.8,0.04878354576752357,1.0,1.0,1.0,10.0,10.0,0.014501409419408228,0.3671504841212685,1.0,10.0,1.4501409419408229,1.0,10.0
0.9,0.045626837892171646,1.0,1.0,1.0,10.0,10.0,0.01666656871802458,0.37706596008870336,1.0,10.0,1.6666568718024581,1.0,10.0
1.0,0.04297045740428701,1.0,1.0,1.0,10.0,10.0,0.018701458609730753,0.38328086985012544,1.0,10.0,1.8701458609730752,1.0,10.0
