Time,MPF,Wee1,Cdc25_active_total,Cdc25_active,Cdc25Ps216_active,Cdc25_inactive,Cdc25Ps216_inactive,Chk1P,protein_14_3_3,Cdc25Ps216_14_3_3_inactive,p53,p21,p21_MPF,preMPF,Chk1,Rad3_ATM,Wee1_phosphorylated,k1,k1_0,k2,k2_0,k2_1,k_ctak1,k_ctak1_0,k3,k_3,k4,k5,k6,k7,k_Plk1,k7_0,k8,k8_0,k8_1,k9,k9_0,k9_1,k10,k11,k12,k13,k14,k14_0,k15,k16,k17,k18,k_Plk1_0,k18_0,k20,k21,k22,k23,k_23,kex,kin,nucleus,R2_Cdc25_Phosphorylation,R2__Cdc25_Dephosphorylation,R7__Cdc25_inactivation,R7_Cdc25_Activation,R18_Cdc25Ps216_activation,R18__Cdc25Ps216_inactivation,R2__Cdc25_Phosphorylation,R3___Cdc25_protein_14_3_3_unbinding,R12_14_3_3_degradation,R13_14_3_3_synthesis,R6_14_3_3_synthesis_mediated_by_p53,R3___protein_14_3_3_Cdc25_binding,R20_p21_synthesis_mediated_by_p53,R21_p21_natural_synthesis,R22_p21_degradation,R23_p21_MPF_complex_formation,R23__p21_MPF_unbinding,R9_MPF_activation,R9__MPF_inactivation,R15_MPF_degradation,R14_preMPF_synthesis,R1_Chk1_Phosphorylation,R1__Chk1_Dephosphorylation,R4_Rad3_ATM_natural_synthesis,R5_Rad3_ATM_degradation,R10_p53_synthesis,R11_p53_degradation,R16_Wee1_synthesis,R8_Wee1_Phosphorylation,R8__Wee1_Dephosphorylation,R17_Wee1P_degradation,Rex_Nuclear_export_of_iCdc25Ps216_14_3_3,Rin_nuclear_import_of_iCdc25
0.0,1e-08,0.001,1e-06,1e-06,0.0,1e-06,2e-05,1e-06,2.0,0.03,0.0,0.0,0.0,1e-06,0.999999,0.0,0.0,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,9.999999999999999e-14,0.0,1e-08,1e-14,2.0000000000000003e-13,0.0,9.999999999999999e-14,0.0,0.2,1.0,0.0,0.004,0.0,0.01,0.0,0.0,0.0,1e-12,1.0000000000000001e-11,1e-18,0.0005,0.0,9.999999999999999e-06,0.0,0.0,0.0,0.0,0.0002,1.0000000000000002e-12,0.0,0.0,0.03,1e-05
4.0,1.3802137132555305e-08,0.0017999999936832187,9.607904258617737e-07,9.607904156999944e-07,1.0161779212499199e-14,4.103920955471306e-05,1.0554951530777634e-18,1.3511345184430076e-23,4.63742620944908,0.0005498428138043845,0.0,0.032967995253775244,3.257391124717865e-11,0.0020009961652889506,1.0000000000000002,0.0,5.361231314072038e-12,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,1.298157095641469e-30,1.01617792124992e-16,9.607904156999944e-09,5.664287980858235e-13,1.4568088845526744e-26,1.01617792124992e-16,5.544949263898891e-29,0.0,0.46374262094490803,1.0,0.0,4.894780886829288e-16,0.0,0.01,0.0032967995253775245,4.5502879147803836e-11,3.257391124717865e-11,1.922537957795747e-09,2.4843846751414467e-11,1.90498989425862e-18,0.0005,0.0,1.3511345184430075e-22,0.0,0.0,0.0,0.0,0.0002,2.4843846751414465e-12,5.361231314072038e-14,5.361231314072038e-13,0.0005498428138043845,1e-05
8.0,2.4837439612064575e-08,0.0025999999773132477,9.23121946055202e-07,9.231219366746975e-07,9.38050449941923e-15,8.107687803412889e-05,1.4640299500250988e-19,-3.359780671442953e-40,6.405359272955953,1.0071185617679236e-05,0.0,0.055067103216193465,1.099327054902323e-10,0.004000985052627658,1.0000000000000002,0.0,1.7507796378433505e-11,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-3.1014872402246346e-47,9.38050449941923e-17,9.231219366746974e-09,2.0137420621074013e-12,3.636275547400231e-27,9.38050449941923e-17,-2.72400527720004e-45,0.0,0.6405359272955953,1.0,0.0,9.377637816278506e-17,0.0,0.01,0.005506710321619347,1.3677258507435322e-10,1.099327054902323e-10,3.693397107919418e-09,6.457734242788705e-11,6.1689840648295454e-18,0.0005,0.0,-3.3597806714429533e-39,0.0,0.0,0.0,0.0,0.0002,6.457734242788706e-12,1.7507796378433506e-13,1.7507796378433506e-12,1.0071185617679236e-05,1e-05
12.0,4.237132491514017e-08,0.0033999999383115607,8.86939205294924e-07,8.86939196635627e-07,8.659297041050764e-15,0.00012111306077452798,1.140893971951172e-19,-2.417640426626701e-56,7.590440215624432,1.8449829244193027e-07,0.0,0.0698805778562182,2.518375850473438e-10,0.006000967376837411,1.0000000000000002,0.0,4.472349355155794e-11,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-2.1443000577461006e-63,8.659297041050765e-17,8.86939196635627e-09,5.131720849544643e-12,4.8341189179267924e-27,8.659297041050765e-17,-2.928078319209954e-61,0.0,0.7590440215624432,1.0,0.0,8.659887486461669e-17,0.0,0.01,0.006988057785621821,2.9609326696035707e-10,2.518375850473438e-10,5.322493236212939e-09,1.4406250209765565e-10,1.795329175064378e-17,0.0005,0.0,-2.417640426626701e-55,0.0,0.0,0.0,0.0,0.0002,1.4406250209765569e-11,4.472349355155794e-13,4.472349355155794e-12,1.8449829244193027e-07,1e-05
16.0,6.566437670578331e-08,0.004199999858995515,8.521918415346144e-07,8.521918335410757e-07,7.993538646886383e-15,0.00016114780813795515,9.533787762234503e-20,9.924098932197303e-65,8.384823768901608,3.3790183697620447e-09,0.0,0.07981034731723258,4.6302789106687513e-10,0.0080009438725952,1.0000000000000002,0.0,9.674040529247169e-11,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,8.457236065272252e-72,7.993538646886383e-17,8.521918335410757e-09,1.0581670378881979e-11,6.260302310523533e-27,7.993538646886383e-17,1.5992467906678168e-69,0.0,0.8384823768901608,1.0,0.0,7.993913023644714e-17,0.0,0.01,0.007981034731723258,5.240696711258162e-10,4.6302789106687513e-10,6.818339092801992e-09,2.7579037290531823e-10,4.3118103681590174e-17,0.0005,0.0,9.924098932197303e-64,0.0,0.0,0.0,0.0,0.0002,2.7579037290531826e-11,9.67404052924717e-13,9.67404052924717e-12,3.3790183697620447e-09,1e-05
20.0,9.397645894283424e-08,0.004999999717555724,8.188338265027424e-07,8.188338191237763e-07,7.378966190441616e-15,0.0002011811661526798,8.275139875771149e-20,2.5268445223087495e-65,8.917314993133703,6.200621076940013e-11,0.0,0.08646647084079609,7.370535702551984e-10,0.010000915286487035,1.0000000000000002,0.0,1.8345725947251972e-10,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,2.0690657505340676e-72,7.378966190441617e-17,8.188338191237762e-09,1.8906293601018827e-11,7.776683427816177e-27,7.378966190441617e-17,5.083535276845853e-70,0.0,0.8917314993133703,1.0,0.0,7.379202888449263e-17,0.0,0.01,0.00864664708407961,8.125812746901849e-10,7.370535702551984e-10,8.18908773256395e-09,4.698822681710583e-10,8.831574835434209e-17,0.0005,0.0,2.5268445223087497e-64,0.0,0.0,0.0,0.0,0.0002,4.698822681710583e-11,1.834572594725197e-12,1.8345725947251973e-11,6.200621076940013e-11,1e-05
24.0,1.265675300600111e-07,0.005799999488993278,7.868228305493199e-07,7.868228237376755e-07,6.811644309866206e-15,0.00024121317714834967,7.325738446280395e-20,-1.575072677070248e-66,9.274254532068301,1.2185930486040642e-12,0.0,0.09092820378698271,1.0635791572018953e-09,0.012000882368889845,1.0000000000000002,0.0,3.1411294599757734e-10,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-1.2393031313644723e-73,6.811644309866205e-17,7.868228237376755e-09,3.052975604959453e-11,9.27200621011373e-27,6.811644309866205e-17,-3.799282846756711e-71,0.0,0.9274254532068302,1.0,0.0,6.794076298616296e-17,0.0,0.01,0.009092820378698272,1.1508558166111751e-09,1.0635791572018953e-09,9.442568234579334e-09,7.340916096712058e-10,1.6019339665491816e-16,0.0005,0.0,-1.575072677070248e-65,0.0,0.0,0.0,0.0,0.0002,7.340916096712059e-11,3.1411294599757736e-12,3.1411294599757735e-11,1.2185930486040642e-12,1e-05
28.0,1.6270249184700698e-07,0.006599999146023898,7.561196150418133e-07,7.561196087538731e-07,6.287940208263256e-15,0.0002812438803635954,6.685821773293055e-20,1.714899405157872e-68,9.513518242971305,4.329166154515957e-14,0.0,0.09391899257101967,1.431717036559349e-09,0.014000845865789344,1.0000000000000002,0.0,4.967597968894303e-10,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,1.29666906728022e-75,6.287940208263256e-17,7.561196087538731e-09,4.5759080151878494e-11,1.0877998625597551e-26,6.287940208263256e-17,4.823049631398215e-73,0.0,0.9513518242971305,1.0,0.0,6.360568740947825e-17,0.0,0.01,0.009391899257101967,1.5280854123065438e-09,1.431717036559349e-09,1.0586314186300402e-08,1.0738363072462063e-09,2.6472100853225374e-16,0.0005,0.0,1.714899405157872e-67,0.0,0.0,0.0,0.0,0.0002,1.0738363072462064e-10,4.967597968894303e-12,4.967597968894303e-11,4.329166154515957e-14,1e-05
32.0,2.016579734757308e-07,0.007399998659944927,7.26687457507867e-07,7.266874517033666e-07,5.8045003915394434e-15,0.00032127331252088776,5.88162199745607e-20,-2.3078019285007411e-69,9.673901368147531,-3.103788386999247e-14,0.0,0.09592377651411371,1.8313219716038403e-09,0.016000806510701456,1.0000000000000002,0.0,7.379412965159236e-10,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-1.6770507024583187e-76,5.804500391539444e-17,7.266874517033666e-09,6.478732513479736e-11,1.1860759727572708e-26,5.804500391539444e-17,-7.414351702115261e-74,-0.0,0.9673901368147532,1.0,0.0,5.689823108811689e-17,0.0,0.01,0.009592377651411372,1.934379437997507e-09,1.8313219716038403e-09,1.1627585401336966e-08,1.4922687334876176e-09,4.066593826633854e-16,0.0005,0.0,-2.307801928500741e-68,0.0,0.0,0.0,0.0,0.0002,1.4922687334876177e-10,7.379412965159235e-12,7.379412965159236e-11,-3.103788386999247e-14,1e-05
36.0,2.4272978046148854e-07,0.008199998001458016,6.984916147694899e-07,6.984916094112607e-07,5.358229166035328e-15,0.00036130150836340304,3.554970349901034e-20,-6.915835951820522e-69,9.781413681445908,6.152671333481511e-15,0.0,0.09726767697884482,2.2533494708850963e-09,0.01800076501686499,1.0000000000000002,0.0,1.0425137533915455e-09,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-4.8306533844113745e-76,5.3582291660353284e-17,6.984916094112606e-09,8.769863580545348e-11,8.628971725785791e-27,5.3582291660353284e-17,-2.4987019609866058e-73,0.0,0.9781413681445909,1.0,0.0,3.4772635617656527e-17,0.0,0.01,0.009726767697884484,2.360976187907399e-09,2.2533494708850963e-09,1.257338342371617e-08,1.990383714678549e-09,5.891774632288243e-16,0.0005,0.0,-6.915835951820522e-68,0.0,0.0,0.0,0.0,0.0002,1.990383714678549e-10,1.0425137533915454e-11,1.0425137533915455e-10,6.152671333481511e-15,1e-05
