data_generator_T,data_generator_VS
0.0,-63.144753
1.0,-63.618507
2.0,-64.054077
3.0,-64.469376
4.0,-64.860054
5.0,-65.224236
6.0,-65.561592
7.0,-65.872719
8.0,-66.15873
9.0,-66.421021
10.0,-66.661118
11.0,-66.880592
12.0,-67.080978
13.0,-67.263756
14.0,-67.430351
15.0,-67.582085
16.0,-67.7202
17.0,-67.845856
18.0,-67.960121
19.0,-68.063995
20.0,-68.158371
21.0,-68.244102
22.0,-68.321945
23.0,-68.392601
24.0,-68.456734
25.0,-68.514915
26.0,-68.567688
27.0,-68.615547
28.0,-68.658943
29.0,-68.698273
30.0,-68.733925
31.0,-68.766228
32.0,-68.795502
33.0,-68.822014
34.0,-68.846024
35.0,-68.867767
36.0,-68.887459
37.0,-68.905281
38.0,-68.92141
39.0,-68.936012
40.0,-68.949226
41.0,-68.961189
42.0,-68.972
43.0,-68.981789
44.0,-68.990639
45.0,-68.998642
46.0,-69.005882
47.0,-69.012428
48.0,-69.018349
49.0,-69.023697
50.0,-69.028534
51.0,-69.032906
52.0,-69.036858
53.0,-69.040428
54.0,-69.043648
55.0,-69.04657
56.0,-69.049202
57.0,-69.051575
58.0,-69.053726
59.0,-69.055664
60.0,-69.057419
61.0,-69.058998
62.0,-69.060432
63.0,-69.061722
64.0,-69.062889
65.0,-69.063934
66.0,-69.064888
67.0,-69.065742
68.0,-69.066513
69.0,-69.067215
70.0,-69.067841
71.0,-69.068413
72.0,-69.068924
73.0,-69.069389
74.0,-69.069801
75.0,-69.070183
76.0,-69.070518
77.0,-69.070824
78.0,-69.071098
79.0,-69.07135
80.0,-69.071579
81.0,-69.071777
82.0,-69.07196
83.0,-69.072128
84.0,-69.072273
85.0,-69.072403
86.0,-69.072525
87.0,-69.072639
88.0,-69.072731
89.0,-69.072823
90.0,-69.072899
91.0,-69.072975
92.0,-69.073036
93.0,-69.073097
94.0,-69.073151
95.0,-69.073196
96.0,-69.073235
97.0,-69.073273
98.0,-69.073311
99.0,-69.073341
100.0,-69.073372
101.0,-69.073395
102.0,-69.073418
103.0,-69.073441
104.0,-69.073456
105.0,-69.073471
106.0,-69.073486
107.0,-69.073502
108.0,-69.073517
109.0,-69.073524
110.0,-69.073532
111.0,-69.07354
112.0,-69.073547
113.0,-69.073555
114.0,-69.073563
115.0,-69.07357
116.0,-69.073578
117.0,-69.073578
118.0,-69.073586
119.0,-69.073586
120.0,-69.073593
121.0,-69.073593
122.0,-69.073593
123.0,-69.073601
124.0,-69.073601
125.0,-69.073601
126.0,-69.073608
127.0,-69.073608
128.0,-69.073608
129.0,-69.073608
130.0,-69.073608
131.0,-69.073608
132.0,-69.073616
133.0,-69.073616
134.0,-69.073616
135.0,-69.073616
136.0,-69.073616
137.0,-69.073616
138.0,-69.073616
139.0,-69.073616
140.0,-69.073616
141.0,-69.073616
142.0,-69.073616
143.0,-69.073616
144.0,-69.073616
145.0,-69.073616
146.0,-69.073616
147.0,-69.073616
148.0,-69.073616
149.0,-69.073624
150.0,-69.073624
151.0,-69.073624
152.0,-69.073624
153.0,-69.073624
154.0,-69.073624
155.0,-69.073624
156.0,-69.073624
157.0,-69.073624
158.0,-69.073624
159.0,-69.073624
160.0,-69.073624
161.0,-69.073624
162.0,-69.073624
163.0,-69.073624
164.0,-69.073624
165.0,-69.073624
166.0,-69.073624
167.0,-69.073624
168.0,-69.073624
169.0,-69.073624
170.0,-69.073624
171.0,-69.073624
172.0,-69.073624
173.0,-69.073624
174.0,-69.073624
