T,CAI,H_IHVA,H_INA,H_INAD,INE,INI,INNE,INNI,M_IHVA,M_IKCA,M_IKM,M_IKV,M_INA,M_INAD,M_INAPD,VD,VS
0.0,0.0,0.0,0.79180002,0.91000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0099999998,0.0,0.020400001,0.0,0.0,-63.2216,-63.144753
1.0,2.9982198e-07,0.0036879061,0.79212844,0.89604157,0.0,0.0,0.0,0.0,0.00021903477,6.0185355e-12,0.011361712,0.00030274218,0.019765759,0.019732915,0.0002641241,-63.630096,-63.618507
2.0,5.9926958e-07,0.0073808003,0.79387635,0.8847177,0.0,0.0,0.0,0.0,0.00024627929,4.8332612e-11,0.012501079,0.00047034398,0.01884656,0.018901106,0.00024516572,-64.025505,-64.054077
3.0,8.9834327e-07,0.011078998,0.79681396,0.87579548,0.0,0.0,0.0,0.0,0.00023051586,1.5965221e-10,0.01344005,0.00055758201,0.018008441,0.01810706,0.00022679336,-64.418213,-64.469376
4.0,1.1970434e-06,0.014782067,0.80071992,0.86902547,0.0,0.0,0.0,0.0,0.00020779537,3.6826919e-10,0.014201006,0.0005976602,0.017252963,0.017371537,0.00021028992,-64.796776,-64.860054
5.0,1.4953704e-06,0.018488893,0.80537581,0.86414415,0.0,0.0,0.0,0.0,0.00018641363,6.9863548e-10,0.014806257,0.00061065785,0.016576529,0.016701961,0.00019572387,-65.155014,-65.224236
6.0,1.7933247e-06,0.022197992,0.81057668,0.86088741,0.0,0.0,0.0,0.0,0.00016791539,1.1718657e-09,0.015276965,0.00060861156,0.015973063,0.016098484,0.00018298306,-65.490005,-65.561592
7.0,2.0909067e-06,0.025907699,0.81613773,0.85900009,0.0,0.0,0.0,0.0,0.00015225589,1.806174e-09,0.015632596,0.00059865694,0.015435618,0.015557632,0.00017188421,-65.800789,-65.872719
8.0,2.3881171e-06,0.029616298,0.82189798,0.85824347,0.0,0.0,0.0,0.0,0.00013905934,2.6172533e-09,0.015890699,0.00058496173,0.014957232,0.015074343,0.00016222704,-66.087563,-66.15873
9.0,2.6849559e-06,0.033322088,0.82772118,0.85839999,0.0,0.0,0.0,0.0,0.0001279253,3.6186067e-09,0.016066857,0.00056991016,0.01453134,0.014643074,0.00015381972,-66.351181,-66.421021
10.0,2.9814241e-06,0.037023429,0.83349609,0.8592754,0.0,0.0,0.0,0.0,0.00011849991,4.8218327e-09,0.016174767,0.00055482419,0.014151953,0.01425836,0.00014648924,-66.592857,-66.661118
11.0,3.277522e-06,0.040718775,0.8391344,0.86070043,0.0,0.0,0.0,0.0,0.00011048716,6.236875e-09,0.016226366,0.00054039969,0.013813705,0.013915094,0.00014008442,-66.813972,-66.880592
12.0,3.5732496e-06,0.044406664,0.84456903,0.8625297,0.0,0.0,0.0,0.0,0.00010364434,7.8722415e-09,0.016231978,0.0005269695,0.01351184,0.013608624,0.00013447527,-67.015976,-67.080978
