data_set_value_component_environment_variable_time,data_set_value_component_x_variable_x,data_set_value_component_y0_variable_y0,data_set_value_component_y1_variable_y1,data_set_value_component_L_variable_L,data_set_value_component_v_variable_v,data_set_value_component_R0_variable_R0,data_set_value_component_model_parameters_variable_a0,data_set_value_component_model_parameters_variable_a1,data_set_value_component_model_parameters_variable_k,data_set_value_component_model_parameters_variable_u,data_set_value_component_model_parameters_variable_lambda,data_set_value_component_model_parameters_variable_d,data_set_value_component_model_parameters_variable_beta,data_set_value_component_model_parameters_variable_gamma,data_set_value_component_model_parameters_variable_phi,data_set_value_component_model_parameters_variable_eta
0.0,1.0,0.0,0.0,0.0,1.0,15.909090909090903,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01
0.1,1.9027536129238591,0.014023993792094321,6.3272823792436915e-06,0.06828249494379651,0.9048375861760923,15.909090909090903,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01
0.2,2.759175741196179,0.03495082885330703,2.997589154054599e-05,0.16617460451734417,0.8187324989741274,15.909090909090903,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01
0.30000000000000004,3.5794929303983976,0.06132771753961525,7.668938825803602e-05,0.28499413918704986,0.7408247057531707,15.909090909090903,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01
0.4,4.371742079118437,0.09198904641359519,0.00015080695555626063,0.4179617824200321,0.6703365590328919,15.909090909090903,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01
0.5,5.1422671992812194,0.12599088265503147,0.0002555431828847772,0.559769560402787,0.606564748869426,15.909090909090903,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01
0.6000000000000001,5.896086187686358,0.16256313521535654,0.000393203112709431,0.7062616880779911,0.5488731905331872,15.909090909090903,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01
0.7000000000000001,6.637175149985317,0.20107277715532273,0.0005653557556803518,0.8541869191247206,0.4966864687226781,15.909090909090903,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01
0.8,7.368678648200294,0.24099701044905858,0.0007729681285241386,1.0010149262740728,0.44948406872723756,15.909090909090903,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01
0.9,8.093077143270301,0.2819019394046516,0.0010165162353689239,1.1447902012422544,0.40679507802476866,15.909090909090903,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01
1.0,8.812318150795084,0.32342605522463364,0.0012960753728880345,1.284017322856881,0.36819339696058245,15.909090909090903,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01
