species_1,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_2,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_3,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_4,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_5,species_50,species_51,species_52,species_53,species_6,species_7,species_8,species_9,Time
1.0,1.0,0.0,1.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,5.000244593414576e-12,1.0,7.154340606859334e-17,0.0999999999988098,1.1901856029698913e-12,1.0,1.0,1.0,0.9999999995456402,1.0,4.5414325626018233e-10,2.1650109604164372e-13,1.0,0.0,9.990011264129773e-06,1.0,1.0,1.0,4.9931967072024e-09,3.141181064472755e-13,1.0,7.483210051496997e-17,0.09991004052136594,1.7681462403878376e-31,3.630574331295955e-14,8.649080672324932e-18,5.3169432354734146e-33,2.590353595924641e-14,6.170973288681268e-18,5.547551020248719e-33,8.99594786339534e-05,1.0,4.494603904732646e-19,1.1686397391833277e-25,2.5974287748569606e-20,6.75381069851565e-27,1.8532216539709753e-20,4.818730105120717e-27,1.5400615224564945e-08,1.7799975078326912e-09,1.2699982218806275e-09,6.755232407855639e-29,9.999994999660016e-07,2.082043279354539e-30,2.228246422739909e-30,9.999994999660016e-07,1.0,1.0,1.0,1.0,0.9999999999949998,0.01
1.0,1.0,1.999979309326736e-11,1.0,4.691188603363038e-16,0.09999999999220215,7.797851820569577e-12,1.0,1.0,1.0,0.9999999981832,1.0,1.815381353347121e-09,1.4187694721554922e-12,1.0,0.0,1.9960077438579446e-05,1.0,1.0,1.0,1.9953604206326602e-08,1.256287680343204e-12,1.0,4.903954087706799e-16,0.0998201620333811,4.822437933636523e-30,1.4519385919714104e-13,5.667777268667361e-17,1.449591746432223e-31,1.0359337144964551e-13,4.0438635568581675e-17,1.5118821956085805e-31,0.0001798379666183179,1.0,2.9470450827386004e-18,1.7000533198612906e-24,1.7030345489723895e-19,9.824795367641026e-26,1.215086447862322e-19,7.009825908373089e-26,3.080408723934965e-08,3.5599900318054017e-09,2.539992887861157e-09,1.3868502592032272e-27,1.999997999958141e-06,4.2742786686125707e-29,4.574420433125024e-29,1.999997999958141e-06,1.0,1.0,1.0,1.0,0.9999999999799998,0.02
1.0,1.0,4.499844654388892e-11,1.0,1.468659529551757e-15,0.0999999999756078,2.4392204279010966e-11,1.0,1.0,1.0,0.9999999959134972,1.0,4.082063932832787e-09,4.4389653880461005e-12,1.0,0.0,2.9910244143732076e-05,1.0,1.0,1.0,4.4853924212894784e-08,2.826396181615298e-12,1.0,1.5342925286721645e-15,0.09973036447040405,4.356661182850496e-29,3.266320469763461e-13,1.7731804014368532e-16,1.3094908181938948e-30,2.330464604831231e-13,1.265134331362244e-16,1.3656557302510431e-30,0.0002696355295941067,1.0,9.225973488129968e-18,9.135972894275071e-24,5.33122926003177e-19,5.279736473403054e-25,3.803742224854127e-19,3.767002989450493e-25,4.62128644255736e-08,5.339977571842171e-09,3.809983997887391e-09,1.0234816072964577e-26,2.9999954999595206e-06,3.1542611599448434e-28,3.3757522801877586e-28,2.9999954999595206e-06,1.0,1.0,1.0,1.0,0.9999999999550001,0.03
1.0,1.0,7.999584068146751e-11,1.0,3.3793493595810664e-15,0.09999999994392447,5.6075529647264357e-11,1.0,1.0,1.0,0.9999999927374601,1.0,7.252332815164792e-09,1.0207164095716436e-11,1.0,0.0,3.984056262580943e-05,1.0,1.0,1.0,7.966349661109478e-08,5.0244085602127745e-12,1.0,3.5279885103295705e-15,0.0996406477577884,2.842714574916364e-28,5.805831921897225e-13,4.077015430231342e-16,8.542061990687293e-30,4.1423632251738557e-13,2.9088817957268274e-16,8.906210935295963e-30,0.00035935224220735764,1.0,2.1228369946677538e-17,3.491075294246943e-23,1.2265982575990969e-18,2.017438614865999e-24,8.751571837926131e-19,1.4394084499324813e-24,6.16296836795548e-08,7.119960127928318e-09,5.079971551948857e-09,5.155258298302123e-26,3.999991999965339e-06,1.5886594752246082e-27,1.700213318040584e-27,3.999991999965339e-06,1.0,1.0,1.0,1.0,0.9999999999200008,0.04
1.0,1.0,1.2499160847478432e-10,1.0,6.476565625821023e-15,0.09999999989262516,1.0737483309623086e-10,1.0,1.0,1.0,0.9999999886559177,1.0,1.1324532996870222e-08,1.954939937451055e-11,1.0,0.0,4.975107848263673e-05,1.0,1.0,1.0,1.243550396110299e-07,7.85039007047918e-12,1.0,6.757062856196493e-15,0.0995510118287548,1.2290793728496103e-27,9.070140319635274e-13,7.80797227075565e-16,3.6925213480867864e-29,6.471392250526269e-13,5.57085662014576e-16,3.849345470845072e-29,0.00044898817123710326,1.0,4.068429501362011e-17,1.0044081531541954e-22,2.350594310849058e-18,5.804001837593137e-24,1.6771094240327515e-18,4.141057490867008e-24,7.705697628338156e-08,8.899937700072001e-09,6.3499555500513726e-09,1.8194008579899743e-25,4.99998749997558e-06,5.606103858229536e-27,5.999753497989574e-27,4.99998749997558e-06,1.0,1.0,1.0,1.0,0.999999999875002,0.05
1.0,1.0,1.7998536020150262e-10,1.0,1.1048036316244035e-14,0.09999999981699527,1.8300471979620785e-10,1.0,1.0,1.0,0.9999999836697352,1.0,1.62969381195518e-08,3.332666992483729e-11,1.0,0.0,5.9641839282000296e-05,1.0,1.0,1.0,1.7890010242700227e-07,1.1304496519079845e-11,1.0,1.1519272581762141e-14,0.0994614566135231,4.0577620632577655e-27,1.3058898596541109e-12,1.3309594776699626e-15,1.2189096503422228e-28,9.317304054835454e-13,9.496171554161687e-16,1.2705682924889113e-28,0.0005385433864630926,1.0,6.940190668774756e-17,2.394947606193726e-22,4.0094225593746686e-18,1.38384364641102e-23,2.8606554215762997e-18,9.873491185067369e-24,9.249727676941125e-08,1.0679910288284836e-08,7.619935992203226e-09,5.117336327718332e-25,5.999981999990848e-06,1.576611076998725e-26,1.6873163125164652e-26,5.999981999990848e-06,1.0,1.0,1.0,1.0,0.9999999998200036,0.06
1.0,1.0,2.449766755502846e-10,1.0,1.7402034801548957e-14,0.09999999971200126,2.87998727832632e-10,1.0,1.0,1.0,0.9999999777798387,1.0,2.2167702249664405e-08,5.24590635938293e-11,1.0,0.0,6.951289592886661e-05,1.0,1.0,1.0,2.4326826982404506e-07,1.538699563903227e-11,1.0,1.813297687370748e-14,0.09937198203735968,1.1259254787014925e-26,1.7771735745451975e-12,2.0948916597448162e-15,3.381813275613696e-28,1.267983393074369e-12,1.4946698920650102e-15,3.5249638931479303e-28,0.0006280179626185921,1.0,1.0931929468815054e-16,5.023204537154263e-22,6.314805762607365e-18,2.902311514117285e-23,4.505507482309725e-18,2.0707503499600786e-23,1.0795329421279213e-07,1.245987789258065e-08,8.889912878414286e-09,1.2392940169287695e-24,6.9999755000120655e-06,3.8176548296334185e-26,4.085716527809356e-26,6.9999755000120655e-06,1.0,1.0,1.0,1.0,0.999999999755006,0.07
1.0,1.0,3.199651307750744e-10,1.0,2.5848713964019647e-14,0.0999999995725989,4.274010784246162e-10,1.0,1.0,1.0,0.999999970987158,1.0,2.8934972578918933e-08,7.786957719858034e-11,1.0,0.0,7.936429945685995e-05,1.0,1.0,1.0,3.1742901914729505e-07,2.009827072474588e-11,1.0,2.6917811464779513e-14,0.09928258802512652,2.767574750053665e-26,2.3208279572615047e-12,3.109407164145028e-15,8.31174478633814e-28,1.6558716324281231e-12,2.2185096058784825e-15,8.663246362539972e-28,0.0007174119748412387,1.0,1.6238757954539677e-16,9.619334766180343e-22,9.379105573037033e-18,5.557435771162324e-23,6.691833751548839e-18,3.9651367580764707e-23,1.2342774721517932e-07,1.4239840512973776e-08,1.0159886208694775e-08,2.6959933854978412e-24,7.999968000040245e-06,8.30371767329474e-26,8.88676662008367e-26,7.999968000040245e-06,1.0,1.0,1.0,1.0,0.9999999996800091,0.08
1.0,1.0,4.049503147285256e-10,1.0,3.668875248245561e-14,0.09999999939394043,6.060595632541231e-10,1.0,1.0,1.0,0.9999999632925904,1.0,3.6596962309574834e-08,1.1044729310998554e-10,1.0,0.0,8.919609910108559e-05,1.0,1.0,1.0,4.013529268685781e-07,2.543893458035997e-11,1.0,3.8182453560718e-14,0.0991932745041019,6.758189480201546e-26,2.936817165395553e-12,4.409952568121324e-15,2.029319063918514e-27,2.0953695505911477e-12,3.146426832310614e-15,2.1151332922966506e-27,0.0008067254958523531,1.0,2.3050222497075657e-16,1.742568099278826e-21,1.3311161740672464e-17,1.0066108540048411e-22,9.497289556547071e-18,7.181998789809751e-23,1.389232564194184e-07,1.601979814947828e-08,1.142985598305473e-08,5.627274943658867e-24,8.999959500076403e-06,1.7327042160484333e-25,1.854363916266481e-25,8.999959500076403e-06,1.0,1.0,1.0,1.0,0.9999999995950131,0.09
