Time,RuBP,PGA,NADPH,CO2,O2,NADP,Rp,Nt,Rd,J,gm,Gamma,Vcmax,Kc,Ko,phi,TPU,v_c,Vj,Vp,Vc,chloroplast,PGA_prod_Vc,PGA_prod_Vo,PGA_cons,NADPH_prod
0.0,2.0,2.4,0.21,24.5,21.0,0.29000000000000004,3.2,0.5,0.0307674936008629,0.0307678189755062,0.0307740792044142,3.74116898182615,0.0307602623029146,27.2372124161502,16.5788431231261,0.2862921040003139,0.0307585098788555,0.0059382096181941485,0.005938209618194143,0.1106772284049837,0.008929444915419662,1.0,0.0059382096181941485,0.0017000625255877036,0.009689482625418097,0.0089226675028968
0.01,2.0,2.4000473840047802,0.2099364710058975,24.5,21.0,0.2900635289941025,3.2,0.5,0.0307674936008629,0.0307678189755062,0.0307740792044142,3.74116898182615,0.0307602623029146,27.2372124161502,16.5788431231261,0.2862921040003139,0.0307585098788555,0.0059382096181941485,0.005938209618194143,0.1106772284049837,0.008929444915419662,1.0,0.0059382096181941485,0.0017000625255877036,0.00968674261746634,0.008924622151487038
0.02,2.0,2.4000947954051575,0.2098729615552742,24.5,21.0,0.29012703844472576,3.2,0.5,0.0307674936008629,0.0307678189755062,0.0307740792044142,3.74116898182615,0.0307602623029146,27.2372124161502,16.5788431231261,0.2862921040003139,0.0307585098788555,0.0059382096181941485,0.005938209618194143,0.1106772284049837,0.008929444915419662,1.0,0.0059382096181941485,0.0017000625255877036,0.009684003506085507,0.00892657619876705
0.03,2.0,2.4001422341921668,0.20980947164211797,24.5,21.0,0.29019052835788206,3.2,0.5,0.0307674936008629,0.0307678189755062,0.0307740792044142,3.74116898182615,0.0307602623029146,27.2372124161502,16.5788431231261,0.2862921040003139,0.0307585098788555,0.0059382096181941485,0.005938209618194143,0.1106772284049837,0.008929444915419662,1.0,0.0059382096181941485,0.0017000625255877036,0.009681265290915106,0.008928529644921813
0.04,2.0,2.4001897003568478,0.20974600126041837,24.5,21.0,0.29025399873958163,3.2,0.5,0.0307674936008629,0.0307678189755062,0.0307740792044142,3.74116898182615,0.0307602623029146,27.2372124161502,16.5788431231261,0.2862921040003139,0.0307585098788555,0.0059382096181941485,0.005938209618194143,0.1106772284049837,0.008929444915419662,1.0,0.0059382096181941485,0.0017000625255877036,0.009678527971594835,0.008930482490136253
0.05,2.0,2.400237193890246,0.2096825504041674,24.5,21.0,0.2903174495958326,3.2,0.5,0.0307674936008629,0.0307678189755062,0.0307740792044142,3.74116898182615,0.0307602623029146,27.2372124161502,16.5788431231261,0.2862921040003139,0.0307585098788555,0.0059382096181941485,0.005938209618194143,0.1106772284049837,0.008929444915419662,1.0,0.0059382096181941485,0.0017000625255877036,0.0096757915477646,0.008932434734595223
0.06,2.0,2.4002847147834094,0.2096191190673599,24.5,21.0,0.29038088093264014,3.2,0.5,0.0307674936008629,0.0307678189755062,0.0307740792044142,3.74116898182615,0.0307602623029146,27.2372124161502,16.5788431231261,0.2862921040003139,0.0307585098788555,0.0059382096181941485,0.005938209618194143,0.1106772284049837,0.008929444915419662,1.0,0.0059382096181941485,0.0017000625255877036,0.009673056019064546,0.008934386378483492
0.07,2.0,2.4003322630273893,0.20955570724399059,24.5,21.0,0.2904442927560094,3.2,0.5,0.0307674936008629,0.0307678189755062,0.0307740792044142,3.74116898182615,0.0307602623029146,27.2372124161502,16.5788431231261,0.2862921040003139,0.0307585098788555,0.0059382096181941485,0.005938209618194143,0.1106772284049837,0.008929444915419662,1.0,0.0059382096181941485,0.0017000625255877036,0.009670321385134899,0.008936337421985824
0.08,2.0,2.400379838613237,0.20949231492805595,24.5,21.0,0.290507685071944,3.2,0.5,0.0307674936008629,0.0307678189755062,0.0307740792044142,3.74116898182615,0.0307602623029146,27.2372124161502,16.5788431231261,0.2862921040003139,0.0307585098788555,0.0059382096181941485,0.005938209618194143,0.1106772284049837,0.008929444915419662,1.0,0.0059382096181941485,0.0017000625255877036,0.00966758764561605,0.008938287865286939
0.09,2.0,2.40042744153201,0.20942894211355428,24.5,21.0,0.2905710578864457,3.2,0.5,0.0307674936008629,0.0307678189755062,0.0307740792044142,3.74116898182615,0.0307602623029146,27.2372124161502,16.5788431231261,0.2862921040003139,0.0307585098788555,0.0059382096181941485,0.005938209618194143,0.1106772284049837,0.008929444915419662,1.0,0.0059382096181941485,0.0017000625255877036,0.009664854800148585,0.008940237708571495
0.1,2.0,2.4004750717747685,0.20936558879448589,24.5,21.0,0.29063441120551414,3.2,0.5,0.0307674936008629,0.0307678189755062,0.0307740792044142,3.74116898182615,0.0307602623029146,27.2372124161502,16.5788431231261,0.2862921040003139,0.0307585098788555,0.0059382096181941485,0.005938209618194143,0.1106772284049837,0.008929444915419662,1.0,0.0059382096181941485,0.0017000625255877036,0.009662122848373275,0.00894218695202409
0.11,2.0,2.4005227293325766,0.20930225496485302,24.5,21.0,0.290697745035147,3.2,0.5,0.0307674936008629,0.0307678189755062,0.0307740792044142,3.74116898182615,0.0307602623029146,27.2372124161502,16.5788431231261,0.2862921040003139,0.0307585098788555,0.0059382096181941485,0.005938209618194143,0.1106772284049837,0.008929444915419662,1.0,0.0059382096181941485,0.0017000625255877036,0.009659391789931082,0.008944135595829258
0.12,2.0,2.400570414196502,0.20923894061865989,24.5,21.0,0.2907610593813401,3.2,0.5,0.0307674936008629,0.0307678189755062,0.0307740792044142,3.74116898182615,0.0307602623029146,27.2372124161502,16.5788431231261,0.2862921040003139,0.0307585098788555,0.0059382096181941485,0.005938209618194143,0.1106772284049837,0.008929444915419662,1.0,0.0059382096181941485,0.0017000625255877036,0.009656661624463153,0.00894608364017148
0.13,2.0,2.4006181263576165,0.20917564574991263,24.5,21.0,0.29082435425008735,3.2,0.5,0.0307674936008629,0.0307678189755062,0.0307740792044142,3.74116898182615,0.0307602623029146,27.2372124161502,16.5788431231261,0.2862921040003139,0.0307585098788555,0.0059382096181941485,0.005938209618194143,0.1106772284049837,0.008929444915419662,1.0,0.0059382096181941485,0.0017000625255877036,0.009653932351610824,0.008948031085235175
0.14,2.0,2.4006658658069964,0.2091123703526193,24.5,21.0,0.2908876296473807,3.2,0.5,0.0307674936008629,0.0307678189755062,0.0307740792044142,3.74116898182615,0.0307602623029146,27.2372124161502,16.5788431231261,0.2862921040003139,0.0307585098788555,0.0059382096181941485,0.005938209618194143,0.1106772284049837,0.008929444915419662,1.0,0.0059382096181941485,0.0017000625255877036,0.009651203971015621,0.0089499779312047
