CO2,NADP,NADPH,O2,PGA,RuBP,Time
24.5,0.29000000000000004,0.21,21.0,2.4,2.0,0.0
24.5,0.2900635289941025,0.2099364710058975,21.0,2.4000473840047802,2.0,0.01
24.5,0.29012703844472576,0.2098729615552742,21.0,2.4000947954051575,2.0,0.02
24.5,0.29019052835788206,0.20980947164211797,21.0,2.4001422341921668,2.0,0.03
24.5,0.29025399873958163,0.20974600126041837,21.0,2.4001897003568478,2.0,0.04
24.5,0.2903174495958326,0.2096825504041674,21.0,2.400237193890246,2.0,0.05
24.5,0.29038088093264014,0.2096191190673599,21.0,2.4002847147834094,2.0,0.06
24.5,0.2904442927560094,0.20955570724399059,21.0,2.4003322630273893,2.0,0.07
24.5,0.290507685071944,0.20949231492805595,21.0,2.400379838613237,2.0,0.08
24.5,0.2905710578864457,0.20942894211355428,21.0,2.40042744153201,2.0,0.09
24.5,0.29063441120551414,0.20936558879448589,21.0,2.4004750717747685,2.0,0.1
24.5,0.290697745035147,0.20930225496485302,21.0,2.4005227293325766,2.0,0.11
24.5,0.2907610593813401,0.20923894061865989,21.0,2.400570414196502,2.0,0.12
24.5,0.29082435425008735,0.20917564574991263,21.0,2.4006181263576165,2.0,0.13
24.5,0.2908876296473807,0.2091123703526193,21.0,2.4006658658069964,2.0,0.14
24.5,0.2909508855792101,0.20904911442078986,21.0,2.40071363253572,2.0,0.15
24.5,0.2910141220515642,0.20898587794843582,21.0,2.4007614265348702,2.0,0.16
24.5,0.2910773390704291,0.20892266092957093,21.0,2.4008092477955327,2.0,0.17
24.5,0.2911405366417892,0.2088594633582108,21.0,2.400857096308798,2.0,0.18
24.5,0.29120371477162693,0.20879628522837307,21.0,2.4009049720657605,2.0,0.19
24.5,0.29126687346592267,0.20873312653407733,21.0,2.4009528750575178,2.0,0.2
24.5,0.291330012730655,0.208669987269345,21.0,2.4010008052751717,2.0,0.21
24.5,0.29139313257180044,0.20860686742819953,21.0,2.401048762709827,2.0,0.22
24.5,0.29145623299533374,0.2085437670046663,21.0,2.4010967473525935,2.0,0.23
24.5,0.2915193140072275,0.20848068599277247,21.0,2.4011447591945836,2.0,0.24
