Time,CML,T_cell_naive,T_cell_effector,Source,Sink,sn,dn,alpha_n,alpha_e,de,gamma_e,Cmax,rc,dc,gamma_c,kn,eta,COMpartment,T_cell_naive_Source,T_cell_naive_Natural_Death,T_cell_naive_Activation,T_cell_effector_Recruitment,T_cell_effector_Natural_Death,T_cell_effector_Death_by_CML,CML_Growth,CML_death_by_T_cell_effector,CML_natural_death,T_cell_effector_Production_from_T_cell_Naive_activation
0.0,10000.0,1510.0,20.0,1.0,1.0,0.071,0.05,0.56,0.53,0.12,0.0077,190000.0,0.23,0.68,0.047,0.063,43.0,1.0,0.071,75.5,94.7226924225829,10.554615154834213,2.4,1540.0,6772.209652082813,9400.0,6800.000000000001,53.04470775664642
0.2,9818.174770507014,1476.3515698086012,0.6904329648938987,1.0,1.0,0.071,0.05,0.56,0.53,0.12,0.0077,190000.0,0.23,0.68,0.047,0.063,43.0,1.0,0.071,73.81757849043007,92.60457486688696,0.3643338230419095,0.08285195578726784,52.196694678186766,6690.511077207482,318.6032012824387,6676.358843944769,51.85856192545671
0.4,9759.353695674914,1443.4538163917707,0.6791374562344492,1.0,1.0,0.071,0.05,0.56,0.53,0.12,0.0077,190000.0,0.23,0.68,0.047,0.063,43.0,1.0,0.071,72.17269081958854,90.53867436517312,0.3583638899438621,0.0814964947481339,51.03515835397158,6663.916199837222,311.51330423852784,6636.360513058942,50.701657644496954
0.6000000000000001,9704.51589185142,1411.289895492527,0.6677812789490637,1.0,1.0,0.071,0.05,0.56,0.53,0.12,0.0077,190000.0,0.23,0.68,0.047,0.063,43.0,1.0,0.071,70.56449477462635,88.51904201630977,0.3523627841230344,0.08013375347388764,49.89980406058383,6639.0488508047865,304.5832195905766,6599.070806458966,49.570663529133476
0.8,9653.440517468447,1379.8434019349427,0.6563793783283121,1.0,1.0,0.071,0.05,0.56,0.53,0.12,0.0077,190000.0,0.23,0.68,0.047,0.063,43.0,1.0,0.071,68.99217009674713,86.54463247005094,0.3463383512032281,0.07876552539939745,48.78965849900665,6615.823557997316,297.8070064225081,6564.339551878545,48.464994183228534
1.0,9605.919828594631,1349.09829744795,0.6449508192307751,1.0,1.0,0.071,0.05,0.56,0.53,0.12,0.0077,190000.0,0.23,0.68,0.047,0.063,43.0,1.0,0.071,67.45491487239751,84.6144241980049,0.3403006103973809,0.07739409830769302,47.70416314446286,6594.158863260494,291.18125555711094,6532.025483444349,47.38407755088274
1.2000000000000002,9561.758294296249,1319.0389048263714,0.633513492173947,1.0,1.0,0.071,0.05,0.56,0.53,0.12,0.0077,190000.0,0.23,0.68,0.047,0.063,43.0,1.0,0.071,65.95194524131857,82.72741911281676,0.3342589612825785,0.07602161906087364,46.64277224023971,6573.977141765234,284.70263575211254,6501.9956401214495,46.32735470317739
1.4000000000000001,9520.771797672838,1289.6499021998231,0.6220841316847829,1.0,1.0,0.071,0.05,0.56,0.53,0.12,0.0077,190000.0,0.23,0.68,0.047,0.063,43.0,1.0,0.071,64.48249510999116,80.88264219202412,0.32822219376122014,0.07465009580217395,45.60495213677694,6555.2044362984025,278.36788966604104,6474.124822417531,45.29427962753351
1.6,9482.78676349757,1260.9163132470917,0.6106783553877266,1.0,1.0,0.071,0.05,0.56,0.53,0.12,0.0077,190000.0,0.23,0.68,0.047,0.063,43.0,1.0,0.071,63.045815662354585,79.07914084013034,0.32219850890746204,0.07328140264652719,44.590181214234036,6537.770236139431,272.1738333855844,6448.294999178348,44.284318870472994
1.8,9447.63930573534,1232.8234947567169,0.5993107026107927,1.0,1.0,0.071,0.05,0.56,0.53,0.12,0.0077,190000.0,0.23,0.68,0.047,0.063,43.0,1.0,0.071,61.64117473783585,77.31598408135825,0.316195539521064,0.07191728431329512,43.597949397568634,6521.607244966957,266.11735346567866,6424.394727900031,43.29695108556063
2.0,9415.17469878366,1205.3571325703185,0.5879946604793818,1.0,1.0,0.071,0.05,0.56,0.53,0.12,0.0077,190000.0,0.23,0.68,0.047,0.063,43.0,1.0,0.071,60.26785662851593,75.59226228704979,0.3102203640910732,0.07055935925752581,42.6277578678133,6506.651279937828,260.1954051671721,6402.318795172889,42.33166688074789
2.2,9385.24675331667,1178.5032357097773,0.5767427048273107,1.0,1.0,0.071,0.05,0.56,0.53,0.12,0.0077,190000.0,0.23,0.68,0.047,0.063,43.0,1.0,0.071,58.92516178548887,73.90708678240017,0.3042795285263391,0.06920912457927729,41.67911900444286,6492.841111827945,254.4050121050408,6381.967792255336,41.387968598144106
2.4000000000000004,9357.717213300715,1152.2481254669162,0.5655663377805538,1.0,1.0,0.071,0.05,0.56,0.53,0.12,0.0077,190000.0,0.23,0.68,0.047,0.063,43.0,1.0,0.071,57.61240627334581,72.25958913564979,0.2983790661011469,0.06786796053366645,40.75155587820652,6480.118300975487,248.74326315268914,6363.247705044487,40.46536991596389
