data_set_value_component_environment_variable_time,data_set_value_component_environment_variable_Metin,data_set_value_component_Met_variable_Met,data_set_value_component_AdoMet_variable_AdoMet,data_set_value_component_AdoHcy_variable_AdoHcy,data_set_value_component_Hcy_variable_Hcy,data_set_value_component_V_MATI_variable_V_MATI,data_set_value_component_V_MATI_variable_V_MATImax,data_set_value_component_V_MATI_variable_Km_MATI,data_set_value_component_V_MATI_variable_Ki_MATI,data_set_value_component_V_MATIII_variable_V_MATIII,data_set_value_component_V_MATIII_variable_V_MATIIImax,data_set_value_component_V_MATIII_variable_Km1_MATIII,data_set_value_component_V_MATIII_variable_Km2_MATIII,data_set_value_component_V_GNMT_variable_V_GNMT,data_set_value_component_V_GNMT_variable_V_GNMTmax,data_set_value_component_V_GNMT_variable_Km_GNMT,data_set_value_component_V_GNMT_variable_Ki_GNMT,data_set_value_component_V_METH_variable_V_METH,data_set_value_component_V_METH_variable_V_METHmax,data_set_value_component_V_METH_variable_Km1_METH,data_set_value_component_V_METH_variable_Km2_METH_A,data_set_value_component_V_MS_variable_V_MS,data_set_value_component_V_MS_variable_five_mTHF,data_set_value_component_V_MS_variable_V_MSmax,data_set_value_component_V_MS_variable_Kd_MS,data_set_value_component_V_MS_variable_Km_Hcy_MS,data_set_value_component_V_MS_variable_Km_five_mTHF_MS,data_set_value_component_V_AH_variable_V_AH,data_set_value_component_V_AH_variable_alpha1,data_set_value_component_V_AH_variable_alpha2,data_set_value_component_V_CBS_variable_V_CBS,data_set_value_component_V_CBS_variable_beta1,data_set_value_component_V_CBS_variable_beta2,data_set_value_component_V_BHMT_variable_V_BHMT,data_set_value_component_V_BHMT_variable_V_BHMTmax,data_set_value_component_V_BHMT_variable_Km_BHMT
0.0,200.0,53.5,137.6,13.2,0.88,144.76057723843883,561.0,41.0,50.0,256.295973428224,22870.0,16689.375062333565,21.1,2.0964706395330555,10600.0,4500.0,20.0,398.54545454545456,4521.0,4.3,10.0,84.1300191204589,5.2,500.0,1.0,0.1,25.0,439.9999999999999,100.0,10.0,199.19679999999997,1.7,30.0,116.14906832298146,2500.0,12.0
0.1,200.0,53.589042585889786,137.6896820495369,12.859717250952428,0.8843300395864572,144.88789355485557,561.0,41.0,50.0,257.06533717761243,22870.0,16686.445831792575,21.1,2.121356444192555,10600.0,4500.0,20.0,398.79225050613195,4521.0,4.214929312738107,10.0,84.13941124007123,5.2,500.0,1.0,0.1,25.0,401.6416855087856,100.0,10.0,199.80020442570873,1.7,30.0,117.75636921305458,2500.0,12.0
0.2,200.0,53.56515010168737,137.78113387364266,12.836739390150987,0.8827303535745442,144.78764012192372,561.0,41.0,50.0,256.916210318317,22870.0,16683.45899062023,21.1,2.1260841380261137,10600.0,4500.0,20.0,398.8162469954372,4521.0,4.209184847537747,10.0,84.13595191215157,5.2,500.0,1.0,0.1,25.0,400.94358544055456,100.0,10.0,199.54153587811425,1.7,30.0,117.26471093513047,2500.0,12.0
0.30000000000000004,200.0,53.537245443715655,137.84204831472107,12.840170185295364,0.8831143787501149,144.6968438131897,561.0,41.0,50.0,256.7192503874758,22870.0,16681.46961816768,21.1,2.1280236256174354,10600.0,4500.0,20.0,398.819063583994,4521.0,4.210042546323841,10.0,84.13678348545656,5.2,500.0,1.0,0.1,25.0,400.9026397794214,100.0,10.0,199.72494606235935,1.7,30.0,117.03655715995576,2500.0,12.0
0.4,200.0,53.51717069372176,137.87783340437426,12.843955427231053,0.8834770234247975,144.63612835071305,561.0,41.0,50.0,256.5735936570092,22870.0,16680.300972923716,21.1,2.129048667557278,10600.0,4500.0,20.0,398.81947522257127,4521.0,4.210988856807763,10.0,84.13756811253286,5.2,500.0,1.0,0.1,25.0,400.9185192983079,100.0,10.0,199.8663928130089,1.7,30.0,116.91172714665977,2500.0,12.0
0.5,200.0,53.50454708334714,137.89689082942215,12.846230849857466,0.8836902894047726,144.5999193856793,561.0,41.0,50.0,256.4803041874189,22870.0,16679.67862085992,21.1,2.1295778039079356,10600.0,4500.0,20.0,398.81951222757414,4521.0,4.211557712464367,10.0,84.1380292462443,5.2,500.0,1.0,0.1,25.0,400.93279558097413,100.0,10.0,199.9466871161773,1.7,30.0,116.84656215752636,2500.0,12.0
0.6000000000000001,200.0,53.49733006857173,137.90592495637173,12.847396870099999,0.8837981720846063,144.5802818688885,561.0,41.0,50.0,256.4260515292685,22870.0,16679.383599368834,21.1,2.129822992013059,10600.0,4500.0,20.0,398.8194684763032,4521.0,4.211849217525,10.0,84.1382624323986,5.2,500.0,1.0,0.1,25.0,400.9415149253936,100.0,10.0,199.98642228952258,1.7,30.0,116.81611685615599,2500.0,12.0
0.7000000000000001,200.0,53.49358431223022,137.9094879420306,12.84791493500125,0.8838452372142687,144.5707326560777,561.0,41.0,50.0,256.397336337955,22870.0,16679.267245844567,21.1,2.1299159213687733,10600.0,4500.0,20.0,398.8194103954714,4521.0,4.211978733750312,10.0,84.13836414526165,5.2,500.0,1.0,0.1,25.0,400.94625628585624,100.0,10.0,200.00320414658935,1.7,30.0,116.80441316800103,2500.0,12.0
0.8,200.0,53.49187139227391,137.91036638953497,12.848092309992404,0.8838606945731702,144.56679463406394,561.0,41.0,50.0,256.3838327249103,22870.0,16679.238559145524,21.1,2.129935613912467,10600.0,4500.0,20.0,398.8193612467142,4521.0,4.212023077498101,10.0,84.13839754798568,5.2,500.0,1.0,0.1,25.0,400.9485364260703,100.0,10.0,200.00828839501114,1.7,30.0,116.80178881290823,2500.0,12.0
0.9,200.0,53.491245187090755,137.910120344067,12.848112068472547,0.8838617544325728,144.5656788812541,561.0,41.0,50.0,256.3786146696604,22870.0,16679.246594037333,21.1,2.12992559560697,10600.0,4500.0,20.0,398.81932629785416,4521.0,4.212028017118136,10.0,84.13839983825692,5.2,500.0,1.0,0.1,25.0,400.949452414682,100.0,10.0,200.00818821903408,1.7,30.0,116.80288950153762,2500.0,12.0
