T,ACT,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,I1P,PP1,TA
26.0,132.39653,1.325905,2.1463206,0.81647032,0.3480148,3.2188849,1.3462837,1.3808573,0.21542241,4.942081,2.4341347,1.2846687,8.5917311,4.7270803,0.0075558838,0.0051573748,132.39656
27.0,132.39651,1.3259058,2.1463215,0.81647062,0.34801489,3.2188857,1.3462839,1.3808576,0.21542241,4.942081,2.4341345,1.2846686,8.5917292,4.7270784,0.0075558838,0.0051573748,132.39653
28.0,132.39651,1.3259066,2.1463225,0.81647086,0.34801498,3.2188861,1.346284,1.3808577,0.21542242,4.942081,2.4341342,1.2846684,8.5917273,4.727077,0.0075558838,0.0051573748,132.39653
29.0,132.3965,1.3259072,2.146323,0.81647104,0.34801507,3.2188866,1.3462842,1.3808578,0.21542244,4.942081,2.4341342,1.2846684,8.5917263,4.7270761,0.0075558838,0.0051573748,132.39651
30.0,132.39648,1.3259078,2.1463237,0.81647122,0.34801513,3.2188871,1.3462843,1.3808579,0.21542244,4.942081,2.434134,1.2846684,8.5917253,4.7270746,0.0075558838,0.0051573748,132.3965
31.0,132.39648,1.3259082,2.1463242,0.81647134,0.34801519,3.2188876,1.3462843,1.3808581,0.21542244,4.942081,2.434134,1.2846683,8.5917244,4.7270741,0.0075558838,0.0051573748,132.39648
32.0,132.39648,1.3259087,2.1463246,0.81647146,0.34801525,3.2188878,1.3462844,1.3808581,0.21542245,4.942081,2.434134,1.2846683,8.5917234,4.7270732,0.0075558838,0.0051573748,132.39648
33.0,132.39647,1.3259089,2.1463249,0.81647158,0.34801528,3.218888,1.3462845,1.3808582,0.21542245,4.942081,2.4341338,1.2846683,8.5917225,4.7270727,0.0075558838,0.0051573748,132.39648
34.0,132.39647,1.3259093,2.1463251,0.81647164,0.34801531,3.2188883,1.3462845,1.3808582,0.21542245,4.942081,2.4341338,1.2846682,8.5917215,4.7270722,0.0075558838,0.0051573748,132.39647
35.0,132.39647,1.3259095,2.1463253,0.8164717,0.34801534,3.2188885,1.3462845,1.3808583,0.21542245,4.942081,2.4341338,1.2846682,8.5917215,4.7270718,0.0075558838,0.0051573748,132.39647
36.0,132.39645,1.3259096,2.1463256,0.81647176,0.34801537,3.2188885,1.3462846,1.3808583,0.21542247,4.942081,2.4341338,1.2846682,8.5917215,4.7270713,0.0075558838,0.0051573748,132.39647
37.0,132.39645,1.3259099,2.1463258,0.81647182,0.34801537,3.2188888,1.3462846,1.3808583,0.21542247,4.942081,2.4341338,1.2846682,8.5917206,4.7270708,0.0075558838,0.0051573748,132.39647
38.0,132.39645,1.32591,2.1463261,0.81647187,0.3480154,3.2188888,1.3462846,1.3808584,0.21542247,4.942081,2.4341338,1.2846682,8.5917206,4.7270708,0.0075558838,0.0051573748,132.39645
39.0,132.39645,1.3259101,2.1463261,0.81647193,0.34801543,3.218889,1.3462846,1.3808584,0.21542247,4.942081,2.4341338,1.2846682,8.5917206,4.7270703,0.0075558838,0.0051573748,132.39645
40.0,132.39645,1.3259102,2.1463263,0.81647193,0.34801543,3.218889,1.3462846,1.3808584,0.21542247,4.942081,2.4341335,1.2846682,8.5917196,4.7270703,0.0075558838,0.0051573748,132.39645
41.0,132.39645,1.3259102,2.1463263,0.81647193,0.34801543,3.218889,1.3462847,1.3808584,0.21542247,4.942081,2.4341335,1.2846682,8.5917196,4.7270699,0.0075558838,0.0051573748,132.39645
42.0,132.39645,1.3259103,2.1463263,0.81647199,0.34801546,3.218889,1.3462847,1.3808584,0.21542247,4.942081,2.4341335,1.2846681,8.5917196,4.7270699,0.0075558838,0.0051573748,132.39645
43.0,132.39645,1.3259104,2.1463265,0.81647199,0.34801546,3.2188892,1.3462847,1.3808584,0.21542247,4.942081,2.4341335,1.2846681,8.5917196,4.7270699,0.0075558838,0.0051573748,132.39645
44.0,132.39645,1.3259104,2.1463265,0.81647199,0.34801546,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917196,4.7270699,0.0075558838,0.0051573748,132.39645
45.0,132.39645,1.3259104,2.1463265,0.81647205,0.34801546,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917196,4.7270694,0.0075558838,0.0051573748,132.39645
46.0,132.39645,1.3259106,2.1463265,0.81647205,0.34801546,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917196,4.7270694,0.0075558838,0.0051573748,132.39645
47.0,132.39645,1.3259106,2.1463265,0.81647205,0.34801546,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917196,4.7270694,0.0075558838,0.0051573748,132.39645
48.0,132.39645,1.3259106,2.1463265,0.81647205,0.34801549,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917196,4.7270694,0.0075558838,0.0051573748,132.39645
49.0,132.39645,1.3259106,2.1463268,0.81647205,0.34801549,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39645
50.0,132.39645,1.3259106,2.1463268,0.81647205,0.34801549,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39645
51.0,132.39644,1.3259107,2.1463268,0.81647205,0.34801549,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39645
52.0,132.39644,1.3259107,2.1463268,0.81647205,0.34801549,3.2188892,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
53.0,132.39644,1.3259107,2.1463268,0.81647205,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
54.0,132.39644,1.3259107,2.1463268,0.81647205,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
55.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
56.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
57.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
58.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
59.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
60.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
61.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
62.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
63.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
64.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
65.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
66.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
67.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
68.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
69.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
70.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
71.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
72.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
73.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
74.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
75.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
76.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
77.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
78.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
79.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
80.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
81.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
82.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
83.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
84.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
85.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
86.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
87.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
88.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
89.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
90.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
91.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
92.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
93.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
94.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
95.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
96.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
97.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
98.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
99.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
100.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
101.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
102.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
103.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
104.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
105.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
106.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
107.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
108.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
109.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
110.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
111.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
112.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
113.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
114.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
115.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
116.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
117.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
118.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
119.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
120.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
121.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
122.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
123.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
124.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
125.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
126.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
127.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
128.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
129.0,132.39644,1.3259107,2.1463268,0.81647211,0.34801549,3.2188895,1.3462847,1.3808585,0.21542247,4.942081,2.4341335,1.2846681,8.5917187,4.7270694,0.0075558838,0.0051573748,132.39644
