Time,myu,N,gamma,p,gamma_0,a,myu_0,myu_1,K,compartment,export_of_mature_naive_T_cells,peripheral_prolieferation,cell_removal_due_to_death_or_phenotypic_changes
0.0,0.18,1.0,18000000000.0,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,18000000000.0,0.17,0.18
2.0,0.21664605411868554,33054879933.958908,16483695781.019861,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,16483695781.019861,5619329588.773015,7161209307.059114
4.0,0.21892161072893893,60076915000.913506,15095123700.067333,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,15095123700.067333,10213075550.155296,13152134999.625538
6.0,0.21941308282969413,81946761573.12027,13823523713.82071,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,13823523713.82071,13930949467.430447,17980191584.668232
8.0,0.2195991976365979,99398093900.67694,12659042195.574137,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,12659042195.574137,16897675963.115082,21827741667.195873
10.0,0.2196894849201709,113056720467.71426,11592655579.496546,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,11592655579.496546,19219642479.511425,24837372686.31589
12.0,0.21973931375772768,123467065350.27438,10616100437.031307,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,10616100437.031307,20989401109.546646,27130568211.74981
14.0,0.21976863047210557,131104390980.48727,9721809443.598671,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,9721809443.598671,22287746466.68284,28812632454.66116
16.0,0.2197861029274936,136383955057.02142,8902852739.407026,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,8902852739.407026,23185272359.693645,29975297983.82117
18.0,0.21979599399863756,139668415620.7161,8152884229.97804,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,8152884229.97804,23743630655.521736,30698558241.57013
20.0,0.219800581788162,141274019369.00702,7466092410.268466,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,7466092410.268466,24016583292.731194,31052111648.85981
22.0,0.2198011483562644,141476142141.58942,6837155331.324817,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,6837155331.324817,24050944164.0702,31096618507.735447
24.0,0.2197984300578098,140514157798.78094,6261199360.507573,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,6261199360.507573,23887406825.792763,30884791285.0674
26.0,0.21979284022874238,138595700448.19687,5733761415.717942,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,5733761415.717942,23561269076.19347,30462342645.00117
28.0,0.21978458642440968,135900448226.53822,5250754380.980239,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,5250754380.980239,23103076198.5115,29868823808.361603
30.0,0.21977373509659284,132583534084.34027,4808435435.385307,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,4808435435.385307,22539200794.33785,29138378498.021885
32.0,0.21976024802511954,128778524807.58217,4403377049.975955,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,4403377049.975955,21892349217.28897,28300400552.023266
34.0,0.2197440026380053,124600004063.90941,4032440427.8293514,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,4032440427.8293514,21182000690.8646,27380103621.71518
36.0,0.21972480291046181,120145900640.29044,3692751181.5235896,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,3692751181.5235896,20424803108.849377,26399034338.687744
38.0,0.21970238438290707,115499588392.5856,3381677059.513139,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,3381677059.513139,19634930026.739555,25375534965.095394
40.0,0.21967641510161104,110731731282.25941,3096807548.81491,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,3096807548.81491,18824394317.9841,24325149766.08167
42.0,0.21964649353510232,105901890070.83261,2835935195.946155,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,2835935195.946155,18003321312.041546,23260978812.798252
44.0,0.2196121442170499,101059940957.53183,2597038501.3701873,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,2597038501.3701873,17180189962.78041,22193990328.132027
46.0,0.2195728116049383,96247338883.1863,2378266254.8989935,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,2378266254.8989935,16362047610.141672,21133298808.074516
48.0,0.21952785241592235,91498236511.96892,2177923190.667803,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,2177923190.667803,15554700207.034718,20086411361.31667
50.0,0.21947652657975913,86840466790.8344,1994456850.5220103,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,1994456850.5220103,14762879354.441849,19059444017.817257
52.0,0.21941798691307482,82296401460.4073,1826445554.0208788,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,1826445554.0208788,13990388248.269243,18057310738.6328
54.0,0.21935126776776503,77883709108.74646,1672587381.8375802,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,1672587381.8375802,13240230548.486898,17083890331.459366
56.0,0.21927527287683563,73616022377.3987,1531690087.187954,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,1531690087.187954,12514723804.15778,16142173394.911337
58.0,0.2191887626943725,69503523030.03108,1402661857.1116679,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,1402661857.1116679,11815598915.105286,15234391215.852337
60.0,0.21909034163059823,65553453039.58973,1284502852.0149496,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,1284502852.0149496,11144087016.730255,14362128421.509092
62.0,0.21897844576501255,61770560870.64023,1176297457.9148223,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,1176297457.9148223,10500995348.008839,13526421413.485897
64.0,0.21885133183450622,58157491117.22603,1077207191.3474967,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,1077207191.3474967,9886773489.928425,12727844387.158382
66.0,0.21870706852259814,54715123804.61406,986464201.9610548,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,986464201.9610548,9301571046.784391,11966584331.158167
68.0,0.2185435313394992,51442868699.24235,903365322.4440312,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,903365322.4440312,8745287678.8712,11242506187.766611
70.0,0.21835840268809653,48338919759.0381,827266619.682796,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,827266619.682796,8217616359.036478,10555209306.251627
72.0,0.2181491790260482,45400474509.73623,757578404.9246593,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,757578404.9246593,7718080666.65516,9904076241.691986
74.0,0.21791318730559556,42623922475.464226,693760664.2804645,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,693760664.2804645,7246066820.828918,9288314802.09502
76.0,0.2176476130474183,40005006200.481255,635318874.1576349,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,635318874.1576349,6800851054.081814,8706994109.481915
78.0,0.21734954240712712,37538957942.45818,581800169.1974719,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,581800169.1974719,6381622850.217892,8159075331.233676
