N_2_task1,_1_task1,gamma_3_task1,myu_1_task1
1.0,0.0,18000000000.0,0.18
33054879933.958908,2.0,16483695781.019861,0.21664605411868554
60076915000.913506,4.0,15095123700.067333,0.21892161072893893
81946761573.12027,6.0,13823523713.82071,0.21941308282969413
99398093900.67694,8.0,12659042195.574137,0.2195991976365979
113056720467.71426,10.0,11592655579.496546,0.2196894849201709
123467065350.27438,12.0,10616100437.031307,0.21973931375772768
131104390980.48727,14.0,9721809443.598671,0.21976863047210557
136383955057.02142,16.0,8902852739.407026,0.2197861029274936
139668415620.7161,18.0,8152884229.97804,0.21979599399863756
141274019369.00702,20.0,7466092410.268466,0.219800581788162
141476142141.58942,22.0,6837155331.324817,0.2198011483562644
140514157798.78094,24.0,6261199360.507573,0.2197984300578098
138595700448.19687,26.0,5733761415.717942,0.21979284022874238
135900448226.53822,28.0,5250754380.980239,0.21978458642440968
132583534084.34027,30.0,4808435435.385307,0.21977373509659284
128778524807.58217,32.0,4403377049.975955,0.21976024802511954
124600004063.90941,34.0,4032440427.8293514,0.2197440026380053
120145900640.29044,36.0,3692751181.5235896,0.21972480291046181
115499588392.5856,38.0,3381677059.513139,0.21970238438290707
110731731282.25941,40.0,3096807548.81491,0.21967641510161104
105901890070.83261,42.0,2835935195.946155,0.21964649353510232
101059940957.53183,44.0,2597038501.3701873,0.2196121442170499
96247338883.1863,46.0,2378266254.8989935,0.2195728116049383
91498236511.96892,48.0,2177923190.667803,0.21952785241592235
86840466790.8344,50.0,1994456850.5220103,0.21947652657975913
82296401460.4073,52.0,1826445554.0208788,0.21941798691307482
77883709108.74646,54.0,1672587381.8375802,0.21935126776776503
73616022377.3987,56.0,1531690087.187954,0.21927527287683563
69503523030.03108,58.0,1402661857.1116679,0.2191887626943725
65553453039.58973,60.0,1284502852.0149496,0.21909034163059823
61770560870.64023,62.0,1176297457.9148223,0.21897844576501255
58157491117.22603,64.0,1077207191.3474967,0.21885133183450622
54715123804.61406,66.0,986464201.9610548,0.21870706852259814
51442868699.24235,68.0,903365322.4440312,0.2185435313394992
48338919759.0381,70.0,827266619.682796,0.21835840268809653
45400474509.73623,72.0,757578404.9246593,0.2181491790260482
42623922475.464226,74.0,693760664.2804645,0.21791318730559556
40005006200.481255,76.0,635318874.1576349,0.2176476130474183
37538957942.45818,78.0,581800169.1974719,0.21734954240712712
35220615455.67541,80.0,532789833.0220562,0.21701602043368068
33044518895.938675,82.0,487908084.5975524,0.2166441270271237
31004991522.075775,84.0,446807135.3114531,0.21623107114117174
29096206795.92858,86.0,409168493.9590539,0.2157743023171093
27312243699.39824,88.0,374700498.7555059,0.2152716365366974
25647132402.737732,90.0,343136057.24900943,0.21472139106462484
24094892217.358627,92.0,314230576.62173814,0.21412252044849106
22649563013.73352,94.0,287760068.340399,0.21347474330986485
21305233784.71078,96.0,263519412.4693679,0.2127786491802627
20056065989.05725,98.0,241320768.19656423,0.21203577185567105
18896323348.618546,100.0,220992118.25523207,0.2112486250842553
17820385458.99699,102.0,202375935.96235615,0.21042067917660348
16822772108.10097,104.0,185327964.54459086,0.2095562901462936
15898165362.559834,106.0,169716099.2927039,0.2086605778736564
15041427611.937723,108.0,155419363.88234952,0.2077392585833397
14247623768.956856,110.0,142326972.92868194,0.20679845256878604
13512032008.209476,112.0,130337473.5105468,0.20584446652135066
12830171779.148693,114.0,119357959.01192157,0.20488360229495062
12197817772.7454,116.0,109303349.18866405,0.20392197388056402
11610983499.182705,118.0,100095730.88180688,0.20296530860785644
11065947938.410542,120.0,91663754.26858552,0.20201885174133868
10559241780.537357,122.0,83942079.97275135,0.20108725467217187
10087650211.423056,124.0,76870872.74982628,0.20017453219614317
9648210326.80838,126.0,70395337.82386811,0.1992840529880988
9238199653.123535,128.0,64465296.28282014,0.19841854704212686
8855121755.524529,130.0,59034796.24218431,0.19758013185607476
8496702696.615407,132.0,54061756.76392559,0.19677038104985256
8160863601.509817,134.0,49507641.77133568,0.19599035216322616
7845715986.964287,136.0,45337161.43302269,0.19524066987270836
7549543245.099438,138.0,41517998.7020518,0.1945215794695916
7270788399.6731415,140.0,38020558.89118888,0.1938330118507246
7008040042.433918,142.0,34817740.34370597,0.19317463901088433
6760019587.97382,144.0,31884724.42267728,0.19254592574384694
6525569023.047649,146.0,29198783.191392574,0.19194617473918177
6303638189.366407,148.0,26739103.294603966,0.191374562265834
6093275190.480984,150.0,24486624.67586209,0.19083017381055317
5893617170.791803,152.0,22423892.881162483,0.19031203315395187
5703878957.620481,154.0,20534923.804403298,0.18981911884823635
5523349011.8772955,156.0,18805079.82656705,0.18935039330349007
5351379133.483656,158.0,17220956.388829164,0.18890480998591255
5187379114.49781,160.0,15770278.120648365,0.188481328460659
5030811483.0987015,162.0,14441803.717935625,0.1880789252858612
4881184425.929209,164.0,13225238.834202912,0.18769659645863135
4738048757.089422,166.0,12111156.30968503,0.18733336706273854
4600993515.361319,168.0,11090923.1202904,0.18698829457609956
4469640835.227608,170.0,10156633.480308138,0.1866604680686286
4343644667.812663,172.0,9301047.580484461,0.18634901511018662
4222686452.362275,174.0,8517535.486749817,0.1860530993155822
4106472506.9729,176.0,7800025.764868049,0.1857719208464421
3994732390.668629,178.0,7142958.432900093,0.18550471806735377
3887215823.2475953,180.0,6541241.876910861,0.18525076472871058
3783691381.7055306,182.0,5990213.396059226,0.185009370635053
3683944855.0851383,184.0,5485603.071335002,0.18477988076465274
3587777105.715253,186.0,5023500.677961913,0.18456167271754756
3495003416.801283,188.0,4600325.385070617,0.1843541571313271
3405451943.0507936,190.0,4212798.007844843,0.18415677562634747
3318962332.970348,192.0,3857915.5971222697,0.18396899888012344
3235385264.675595,194.0,3532928.1695452845,0.18379032644769602
3154581131.244723,196.0,3235317.3979433267,0.18362028450113457
3076419368.592739,198.0,2962777.0968188066,0.1834584248118491
3000777851.1899385,200.0,2713195.3517185817,0.18330432371427152
