Time,D_1,E_1,RS_1,R_1,X_1,E2F_1,RP_1,aD_1,k_1,GF_1,dD_1,aE_1,af_1,theta_1,dE_1,pX_1,RT_1,pS_1,pD_1,qD_1,pE_1,qE_1,aX_1,f_1,g_1,dX_1,qX_1,unpho_RB,cell_1,_1,cyclinCDK4degradation_1,cyclin_1,cycECDK2degradation_1,pRBpdephosphorylation_1,pRBE2Fcomplexassociation_1,pRBE2FcomplexdeassociationviacycDCDK4_1,_7,cycleprogression_1,cyclebreak_1
0.0,0.1,0.6,1.0,0.5,0.7,0.5,1.0,0.4,0.05,6.3,0.4,0.16,0.9,1.5,0.2,0.48,2.5,0.6,0.48,0.6,0.096,0.6,0.08,0.2,0.528,1.04,0.8,1.5,1.0,0.0958174904942966,0.024,0.23199999999999998,0.08399999999999999,0.1344,0.15,0.028235294117647056,0.026181818181818178,0.30323200000000006,0.728
0.01,0.1007169172252797,0.6014808937528711,1.0009525966869661,0.4998422787047445,0.6957677270760417,0.4990474033130339,0.9992051246082894,0.4,0.05,6.3,0.4,0.16,0.9,1.5,0.2,0.48,2.5,0.6,0.48,0.6,0.096,0.6,0.08,0.2,0.528,1.04,0.8,1.5007948753917106,1.0,0.0958174904942966,0.024231720555478068,0.2318628260770769,0.08369819886522026,0.1337501710376579,0.14966699475220352,0.028436880558366417,0.026242413696938846,0.30166704690674234,0.7235984361590835
0.02,0.10143160638782969,0.6029633679675214,1.0018994860679873,0.4996815266619297,0.691562629247797,0.4981005139320127,0.998418987270083,0.4,0.05,6.3,0.4,0.16,0.9,1.5,0.2,0.48,2.5,0.6,0.48,0.6,0.096,0.6,0.08,0.2,0.528,1.04,0.8,1.501581012729917,1.0,0.0958174904942966,0.0244638172023847,0.23172647400620983,0.08339738641834521,0.13310349063084434,0.14933497513958394,0.028637797950930927,0.026302966639564208,0.3001178939988087,0.7192251344177089
0.03,0.10214397613484191,0.6044474810892714,1.0028404676353728,0.4995176541138662,0.6873856039400323,0.4971595323646272,0.997641878250761,0.4,0.05,6.3,0.4,0.16,0.9,1.5,0.2,0.48,2.5,0.6,0.48,0.6,0.096,0.6,0.08,0.2,0.528,1.04,0.8,1.502358121749239,1.0,0.0958174904942966,0.024696267633259137,0.2315909726605063,0.08309769936771602,0.13246012028345683,0.14900397799627518,0.028838019209143667,0.026363475556007668,0.2985849333420556,0.7148810280976337
0.04,0.10285402061937515,0.605933233304858,1.0037755463069495,0.4993506737027245,0.6832365934619524,0.49622445369305046,0.996873779990326,0.4,0.05,6.3,0.4,0.16,0.9,1.5,0.2,0.48,2.5,0.6,0.48,0.6,0.096,0.6,0.08,0.2,0.528,1.04,0.8,1.503126220009674,1.0,0.0958174904942966,0.02492906770892101,0.23145632133179928,0.08279915163771955,0.13182006468927546,0.1486740091556347,0.029037542366648527,0.026423940076721386,0.2970680726121459,0.7105660572004305
0.05,0.10356172967237894,0.6074206183205244,1.0047047628949977,0.4991806401639758,0.6791152899607461,0.49529523710500234,0.9961145969410266,0.4,0.05,6.3,0.4,0.16,0.9,1.5,0.2,0.48,2.5,0.6,0.48,0.6,0.096,0.6,0.08,0.2,0.528,1.04,0.8,1.5038854030589734,1.0,0.0958174904942966,0.025162211948775767,0.23132251414312033,0.08250172586777572,0.1311832873865261,0.14834507611694595,0.029236364749841363,0.026484360142960878,0.2955671012869276,0.706279901559176
0.06,0.10426710658998503,0.608909637611958,1.0056281069335986,0.49900753857091923,0.6750217754234411,0.4943718930664014,0.9953643544954822,0.4,0.05,6.3,0.4,0.16,0.9,1.5,0.2,0.48,2.5,0.6,0.48,0.6,0.096,0.6,0.08,0.2,0.528,1.04,0.8,1.5046356455045178,1.0,0.0958174904942966,0.025395698435422075,0.23118955260156182,0.08220545293065361,0.1305498159583917,0.1480171808986264,0.02943448665707398,0.02654473520564691,0.29408199249922506,0.7020226464403788
0.07,0.10497015113022935,0.6104002905026339,1.0065455816731297,0.49883137247714676,0.6709560279715409,0.4934544183268703,0.9946230458497236,0.4,0.05,6.3,0.4,0.16,0.9,1.5,0.2,0.48,2.5,0.6,0.48,0.6,0.096,0.6,0.08,0.2,0.528,1.04,0.8,1.5053769541502764,1.0,0.0958174904942966,0.025629524297598953,0.23105743623906932,0.08191035087766438,0.1299196610337222,0.1476903268493429,0.02963190761572713,0.02660506484356611,0.29261267020661563,0.6977942690904025
0.08,0.10567084885111931,0.611892565546883,1.0074572547241996,0.4986522288256828,0.6669175493749535,0.49254274527580044,0.9938905164501177,0.4,0.05,6.3,0.4,0.16,0.9,1.5,0.2,0.48,2.5,0.6,0.48,0.6,0.096,0.6,0.08,0.2,0.528,1.04,0.8,1.5061094835498823,1.0,0.0958174904942966,0.025863682722811317,0.23092615531971525,0.08161637805905606,0.12929275454513173,0.14736452263421904,0.029828624182603104,0.02666534922506469,0.291158836687085,0.6935942513499517
0.09,0.10636920697143645,0.6133864684657845,1.0083630922918727,0.4984700641583481,0.6629065886723193,0.4916369077081273,0.9931668435497791,0.4,0.05,6.3,0.4,0.16,0.9,1.5,0.2,0.48,2.5,0.6,0.48,0.6,0.096,0.6,0.08,0.2,0.528,1.04,0.8,1.5068331564502209,1.0,0.0958174904942966,0.026098172887086206,0.23079571470997032,0.08132358626968289,0.12866915178073615,0.14703976855672923,0.030024637435224023,0.026725587597963806,0.2897205436618434,0.6894228522192122
