Time,M,TF,CP,CP2,IC,CPtot,Dex,kms,n,J,kmd,kcps,kcpd,ka,kd,kp1,Jp,chk2,kicd,kcp2d,kica,chk2c,kp2,ICtot,system,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17
0.0,1.4,0.13,0.037,0.046,0.37,0.869,0.0,1.0,2.0,0.3,0.1,0.5,0.525,100.0,0.01,10.0,0.05,0.0,0.01,0.0525,20.0,0.0,0.1,1.0,1.0,0.0,0.15809167446211414,0.13999999999999999,0.7,0.019425,0.13689999999999997,0.00046,0.40261153427638735,0.0,0.0037,0.002415,0.1196,0.00500544069640914,0.0,0.019424999999999998,0.0,0.04026115342763873
0.01,1.4001750812083011,0.12943888683820612,0.03704802816412304,0.04613381919670273,0.370561113161794,0.8704378928811165,0.0,1.0,2.0,0.3,0.1,0.5,0.525,100.0,0.01,10.0,0.05,0.0,0.01,0.0525,20.0,0.0,0.1,1.0,1.0,0.0,0.15694361483441513,0.1400175081208301,0.7000875406041506,0.019450214786164596,0.13725563908496538,0.0004613381919670273,0.40250437808635664,0.0,0.0037056111316179402,0.0024220255078268933,0.1194302040483253,0.005012159924478616,0.0,0.019454458440994186,0.0,0.04025921966357546
0.02,1.4003385438223568,0.12887974233546115,0.037091282283099006,0.04627255331263172,0.37112025766453904,0.8718769042374406,0.0,1.0,2.0,0.3,0.1,0.5,0.525,100.0,0.01,10.0,0.05,0.0,0.01,0.0525,20.0,0.0,0.1,1.0,1.0,0.0,0.1558014244113489,0.14003385438223567,0.7001692719111784,0.01947292319862698,0.13757632214045343,0.0004627255331263172,0.4023452818115692,0.0,0.0037112025766453905,0.0024293090489131653,0.11927189496271731,0.005019385245463711,0.0,0.0194838135273883,0.0,0.04025702954035092
0.03,1.4004904552799429,0.1283224548421559,0.03713080924425753,0.04641577643279009,0.37167754515784435,0.8733174524255264,0.0,1.0,2.0,0.3,0.1,0.5,0.525,100.0,0.01,10.0,0.05,0.0,0.01,0.0525,20.0,0.0,0.1,1.0,1.0,0.0,0.15466488372589787,0.1400490455279943,0.7002452276399714,0.019493674853235204,0.13786969951334405,0.00046415776432790086,0.40214564499691896,0.0,0.0037167754515784433,0.0024368282627214794,0.11912372750520621,0.005027065860269107,0.0,0.01951307112078683,0.0,0.04025457811735919
0.04,1.4006308826000513,0.1277669249369199,0.03716741347293003,0.04656314351653079,0.3722330750630803,0.8747598506321522,0.0,1.0,2.0,0.3,0.1,0.5,0.525,100.0,0.01,10.0,0.05,0.0,0.01,0.0525,20.0,0.0,0.1,1.0,1.0,0.0,0.15353379927109267,0.14006308826000513,0.7003154413000257,0.019512892073288268,0.1381416624267741,0.0004656314351653079,0.4019142207300948,0.0,0.003722330750630803,0.0024445650346178664,0.11898459325007237,0.005035160586253924,0.0,0.019542236440811715,0.0,0.040251863746963844
0.05,1.400759890904425,0.1272130634385828,0.03720171401211412,0.046714372500742875,0.3727869365614174,0.8762043321364348,0.0,1.0,2.0,0.3,0.1,0.5,0.525,100.0,0.01,10.0,0.05,0.0,0.01,0.0525,20.0,0.0,0.1,1.0,1.0,0.0,0.15240799929634657,0.1400759890904425,0.7003799454522125,0.019530899856359914,0.13839675254391282,0.00046714372500742876,0.40165774140035126,0.0,0.0037278693656141743,0.002452504556289001,0.11885356864861182,0.005043635716212737,0.0,0.019571314169474413,0.0,0.04024888716526797
0.06,1.4008775436673981,0.1266607894886952,0.03723419230479373,0.04686922885227147,0.37333921051130503,0.8776510710319467,0.0,1.0,2.0,0.3,0.1,0.5,0.525,100.0,0.01,10.0,0.05,0.0,0.01,0.0525,20.0,0.0,0.1,1.0,1.0,0.0,0.15128732978112577,0.14008775436673981,0.7004387718336991,0.01954795096001671,0.13863850765903607,0.00046869228852271466,0.4013814403660776,0.0,0.0037333921051130505,0.002460634514744252,0.1187298705831007,0.0050524631853367825,0.0,0.019600308551843512,0.0,0.04024565078073929
0.07,1.4009839028050832,0.12611002974591132,0.037265215625352684,0.04702751811836635,0.3738899702540889,0.8791001923702632,0.0,1.0,2.0,0.3,0.1,0.5,0.525,100.0,0.01,10.0,0.05,0.0,0.01,0.0525,20.0,0.0,0.1,1.0,1.0,0.0,0.15017165269333901,0.14009839028050833,0.7004919514025416,0.019564238203310158,0.13886962956040297,0.0004702751811836635,0.4010893112645253,0.0,0.0037388997025408887,0.002468944701214233,0.11861283417567127,0.005061619672943199,0.0,0.019629223438339664,0.0,0.040242158308055435
0.08,1.4010790288758983,0.1255607170516589,0.037295068461318276,0.04718907567625098,0.37443928294834133,0.880551785710503,0.0,1.0,2.0,0.3,0.1,0.5,0.525,100.0,0.01,10.0,0.05,0.0,0.01,0.0525,20.0,0.0,0.1,1.0,1.0,0.0,0.14906084319177432,0.14010790288758984,0.7005395144379492,0.019579910942192094,0.13909221315344172,0.00047189075676250984,0.4007844489046079,0.0,0.0037443928294834134,0.0024774264730031766,0.11850188357830137,0.0050710853926545065,0.0,0.019658062354787918,0.0,0.040238414314840765
0.09,1.4011629811823392,0.12501278975265342,0.037323969645824344,0.04735376118191864,0.3749872102473468,0.8820059125043553,0.0,1.0,2.0,0.3,0.1,0.5,0.525,100.0,0.01,10.0,0.05,0.0,0.01,0.0525,20.0,0.0,0.1,1.0,1.0,0.0,0.14795478817754174,0.14011629811823392,0.7005814905911696,0.019595084064057782,0.1393078710122417,0.0004735376118191864,0.40046923678340857,0.0,0.0037498721024734685,0.0024860724620507286,0.11839651581265112,0.005080843430990289,0.0,0.019686828537985708,0.0,0.0402344239683774
