Time,CD95,FADD,p55free,Bid,PrNES_mCherry,PrER_mGFP,DISC,DISCp55,p30,p43,p18,p18inactive,tBid,PrNES,mCherry,PrER,mGFP,CD95L,kon_FADD,koff_FADD,kDISC,kD216,kD216trans_p55,kD216trans_p43,kD374,kD374trans_p55,kD374trans_p43,kdiss_p18,kBid,kD374probe,KDR,KDL,CD95act,cell,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19
0.0,116.0,93.0,155.0,236.0,973.0,5178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.00108871858684363,0.00130854998177646,0.000364965874405544,0.00639775937416746,0.000223246421372882,5.29906975294056e-05,0.000644612643975149,0.000543518631342483,0.00413530054938906,0.064713651554491,0.00052134055139547,0.00153710001025539,57.2050013008496,30.0060394758199,40.897086356118784,1.0,4.140863879919966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,116.0,92.95860084931122,154.99998829162402,236.0,973.0,5178.0,0.041387442312906454,1.170810102141353e-05,2.4970964492470824e-10,2.5159526148197053e-11,8.047017363975698e-16,1.042391123273372e-19,7.738820282232247e-15,9.407109883985967e-14,9.407109883985967e-14,1.2820323079279374e-17,1.2820323079279374e-17,16.6,0.00108871858684363,0.00130854998177646,0.000364965874405544,0.00639775937416746,0.000223246421372882,5.29906975294056e-05,0.000644612643975149,0.000543518631342483,0.00413530054938906,0.064713651554491,0.00052134055139547,0.00153710001025539,57.2050013008496,30.0060394758199,40.897086356118784,1.0,4.139020565428067,5.4157536884328035e-05,0.002341275454481465,7.490561306344803e-08,3.060318942414848e-14,1.560948427977132e-20,1.6096459426423904e-13,6.576316203002261e-20,3.3543204587874585e-26,7.547189955341517e-09,7.450692167085464e-14,1.2181366150539575e-18,1.6096599444101181e-13,1.5890789565988861e-18,2.5980341394268715e-23,5.20751877745262e-17,3.0956357790288348e-12,3.7629748297660246e-11,6.4047046907600975e-15
0.02,116.0,92.91722066884185,154.99995318248412,235.99999999999994,972.9999999999986,5178.0,0.08273251364236861,4.681531746711e-05,1.997115786076701e-09,2.0122018038404293e-10,1.2871820989363893e-14,3.3336210522522577e-18,1.238062677770798e-13,1.504956986763409e-12,1.504956986763409e-12,4.1000060303231234e-16,4.1000060303231234e-16,16.6,0.00108871858684363,0.00130854998177646,0.000364965874405544,0.00639775937416746,0.000223246421372882,5.29906975294056e-05,0.000644612643975149,0.000543518631342483,0.00413530054938906,0.064713651554491,0.00052134055139547,0.00153710001025539,57.2050013008496,30.0060394758199,40.897086356118784,1.0,4.137178095593119,0.00010825962921904218,0.004680152934771075,2.9951313617982865e-07,4.893042386126253e-13,4.991822601407326e-19,1.2873582953236779e-12,2.103112666607049e-18,2.145570079720174e-24,3.017774557100975e-08,1.191266442012112e-12,3.8955302927645747e-17,1.2873660871874101e-12,5.081877354430509e-17,1.6618118734932905e-21,8.329825383774786e-16,2.4758984293353318e-11,3.0096381278966003e-10,1.0244816003289063e-13
0.03,116.0,92.8758594495931,154.99989469655594,235.99999999999946,972.9999999999925,5178.0,0.12403524696297315,0.00010529602660677661,6.738415332918975e-09,6.789411599866799e-10,6.514235355837047e-14,2.5303233495215652e-17,6.266536386123248e-13,7.617439638907536e-12,7.617439638907536e-12,3.1120336802219077e-15,3.1120336802219077e-15,16.6,0.00108871858684363,0.00130854998177646,0.000364965874405544,0.00639775937416746,0.000223246421372882,5.29906975294056e-05,0.000644612643975149,0.000543518631342483,0.00413530054938906,0.064713651554491,0.00052134055139547,0.00153710001025539,57.2050013008496,30.0060394758199,40.897086356118784,1.0,4.135336470014446,0.00016230632015303722,0.007016633249624213,6.736586412860914e-07,2.47534800370306e-12,3.7882947098365745e-18,4.343702170812911e-12,1.5960864803389528e-17,2.4426650155309057e-23,6.78751501110719e-08,6.026514336916764e-12,2.956318358734875e-16,4.343667723955584e-12,3.8566656236316556e-16,1.8918948415672576e-20,4.215599569615844e-15,8.354247073488174e-11,1.0155206782447992e-09,5.184747572065858e-13
0.04,116.0,92.83451718257056,154.99981285780706,235.99999999999807,972.999999999976,5178.0,0.1652956752367208,0.00018712461561728037,1.5968168216556167e-08,1.6089422457446952e-09,2.058167878850684e-13,1.065967471337848e-16,1.980181864050325e-12,2.407057885575327e-11,2.407057885575327e-11,1.311028755851147e-14,1.311028755851147e-14,16.6,0.00108871858684363,0.00130854998177646,0.000364965874405544,0.00639775937416746,0.000223246421372882,5.29906975294056e-05,0.000644612643975149,0.000543518631342483,0.00413530054938906,0.064713651554491,0.00052134055139547,0.00153710001025539,57.2050013008496,30.0060394758199,40.897086356118784,1.0,4.1334956882915685,0.0002162976528187387,0.009350717210695225,1.1971782637029382e-06,7.817779320922892e-12,1.5954052342193257e-17,1.0293625335207169e-11,6.72191383044345e-17,1.3717676169701306e-22,1.2062289322588854e-07,1.9033266873955453e-11,1.245026098760879e-15,1.029328313351421e-11,1.6241925529217235e-15,1.0624356455421069e-19,1.3319155895258901e-14,1.9798373661465267e-10,2.406639122828837e-09,1.6381171894892093e-12
0.05,116.0,92.7931938587844,154.99970769019689,235.9999999999952,972.9999999999413,5178.0,0.20651383141297844,0.00029227548160219355,3.1179304327173313e-08,3.1417214260422697e-09,5.023289482943666e-13,3.2515651500052255e-16,4.833606224649911e-12,5.875606776344926e-11,5.875606776344926e-11,3.999085833107206e-14,3.999085833107206e-14,16.6,0.00108871858684363,0.00130854998177646,0.000364965874405544,0.00639775937416746,0.000223246421372882,5.29906975294056e-05,0.000644612643975149,0.000543518631342483,0.00413530054938906,0.064713651554491,0.00052134055139547,0.00153710001025539,57.2050013008496,30.0060394758199,40.897086356118784,1.0,4.131655750024209,0.00027023367033203986,0.011682405632527575,1.8699082022597428e-06,1.9072850411355047e-11,4.8658609595043754e-17,2.0099977704484693e-11,2.050174803051408e-16,5.230400972676992e-22,1.884044709647e-07,4.643500884641205e-11,3.7972320496296984e-15,2.0098573799644992e-11,4.953584420837031e-15,4.050803475792199e-19,3.250754052565557e-14,3.8660780494818723e-10,4.699504537537884e-09,3.998088267894575e-12
0.06,116.0,92.7518894692491,154.99957921767677,235.99999999999,972.9999999998782,5178.0,0.24768974842873429,0.000420723031376039,5.386314434941361e-08,5.4276741648742255e-09,1.041321775303498e-12,8.088799327844903e-16,1.002133310926513e-11,1.2181673472805782e-10,1.2181673472805782e-10,9.948379105606928e-14,9.948379105606928e-14,16.6,0.00108871858684363,0.00130854998177646,0.000364965874405544,0.00639775937416746,0.000223246421372882,5.29906975294056e-05,0.000644612643975149,0.000543518631342483,0.00413530054938906,0.064713651554491,0.00052134055139547,0.00153710001025539,57.2050013008496,30.0060394758199,40.897086356118784,1.0,4.129816654812286,0.00032411441579263624,0.014011699332561191,2.691684717914204e-06,3.9521432429213237e-11,1.210067763485368e-16,3.4724953268250615e-11,5.098590801014081e-16,1.5610872350238347e-21,2.7120338563654806e-07,9.621939169516147e-11,9.443155346959186e-15,3.472086389189061e-11,1.2318505519268834e-14,1.2089617197889572e-18,6.738773452309454e-14,6.679294479422139e-10,8.1191777071861e-09,8.287988154137512e-12
0.07,116.0,92.71060400498354,154.99942746418986,235.99999999998147,972.9999999997744,5178.0,0.28882345920824803,0.0005724416817187782,8.550939279618194e-08,8.617109375161047e-09,1.9286285530746966e-12,1.7478841702580504e-15,1.85628776862198e-11,2.2564554258763305e-10,2.2564554258763305e-10,2.149715137394703e-13,2.149715137394703e-13,16.6,0.00108871858684363,0.00130854998177646,0.000364965874405544,0.00639775937416746,0.000223246421372882,5.29906975294056e-05,0.000644612643975149,0.000543518631342483,0.00413530054938906,0.064713651554491,0.00052134055139547,0.00153710001025539,57.2050013008496,30.0060394758199,40.897086356118784,1.0,4.127978402255909,0.0003779399322835671,0.016338599131105542,3.6623441353804992e-06,7.316643122185025e-11,2.6139211970246263e-16,5.513019228316289e-11,1.1013927891061877e-15,3.934801670133905e-21,3.690031459743223e-07,1.781319418844872e-10,2.039857987549102e-14,5.5120435775056393e-11,2.660874404255948e-14,3.047070530958569e-18,1.2480859616171808e-13,1.060455149983657e-09,1.2890618671992269e-08,1.5350154947980142e-11
0.08,116.0,92.66933745701115,154.99925245367106,235.99999999996837,972.9999999996152,5178.0,0.32991499666319024,0.0007474058592497581,1.276061535009002e-07,1.2860267959766292e-08,3.289255279382357e-12,3.407026933648391e-15,3.166278631127963e-11,3.8488464546358405e-10,3.8488464546358405e-10,4.190287604523645e-13,4.190287604523645e-13,16.6,0.00108871858684363,0.00130854998177646,0.000364965874405544,0.00639775937416746,0.000223246421372882,5.29906975294056e-05,0.000644612643975149,0.000543518631342483,0.00413530054938906,0.064713651554491,0.00052134055139547,0.00153710001025539,57.2050013008496,30.0060394758199,40.897086356118784,1.0,4.1261409919553955,0.00043171026287139845,0.01866310585134042,4.781722842322825e-06,1.2473020722722847e-10,5.093380862510503e-16,8.227689989390024e-11,2.1461751574030835e-15,8.763945572862036e-21,4.817872670535046e-07,3.0366977935101813e-10,3.9747845680459885e-14,8.225653999571399e-11,5.184617165879283e-14,6.78623218490978e-18,2.128597200237198e-13,1.5826853866899729e-09,1.9238714431126376e-08,2.617952436796956e-11
0.09,116.0,92.6280898163597,154.99905421004703,235.99999999994932,972.9999999993836,5178.0,0.37096439369258843,0.0009455900004526777,1.8163993609001775e-07,1.8307340103071842e-08,5.267367230909393e-12,6.138209605329926e-15,5.071058935114064e-11,6.164248152951903e-10,6.164248152951903e-10,7.549357291296479e-13,7.549357291296479e-13,16.6,0.00108871858684363,0.00130854998177646,0.000364965874405544,0.00639775937416746,0.000223246421372882,5.29906975294056e-05,0.000644612643975149,0.000543518631342483,0.00413530054938906,0.064713651554491,0.00052134055139547,0.00153710001025539,57.2050013008496,30.0060394758199,40.897086356118784,1.0,4.12430442351125,0.00048542545060615216,0.0209852203193058,6.049657289515132e-06,1.996519995490798e-10,9.173345627466094e-16,1.1712595676049975e-10,3.865414245342657e-15,1.77602933834592e-20,6.095392703082628e-07,4.86075346123722e-10,7.158717092173703e-14,1.1708739945446343e-10,9.337101149819596e-14,1.3751297226984831e-17,3.4087056759061465e-13,2.2531167507488362e-09,2.7388304783867e-08,4.1923522823236324e-11
