RC_1_task1,_1_task1,alpha_2_task1,beta_3_task1
76.0,0.0,11.0,13.0
76.0,0.03,11.0,12.999999999999995
75.99999999999999,0.06,11.000000000000027,13.000000000000032
75.99999999999957,0.09,11.00000000000044,13.000000000000082
75.99999999999672,0.12,11.000000000003283,13.000000000000126
75.99999999998454,0.15,11.00000000001545,13.000000000000343
75.99999999994522,0.18,11.000000000054765,13.000000000000217
75.99999999984044,0.21,11.00000000015956,13.00000000000002
75.99999999959762,0.24,11.000000000402377,12.999999999999835
75.99999999909137,0.27,11.000000000908626,12.99999999999983
75.99999999811881,0.3,11.0000000018812,12.999999999999849
75.9999999963695,0.32999999999999996,11.000000003630511,12.999999999999835
75.99999999338854,0.36,11.00000000661147,12.999999999999835
75.99999998853282,0.39,11.000000011467169,12.999999999999842
75.9999999809198,0.42,11.000000019080208,12.999999999999837
75.99999996936869,0.44999999999999996,11.000000030631325,12.99999999999984
75.99999995233347,0.48,11.00000004766654,12.999999999999845
75.99999992782782,0.51,11.000000072172192,12.999999999999847
75.99999989334269,0.54,11.000000106657314,12.999999999999853
75.99999984575459,0.57,11.000000154245416,12.999999999999861
75.99999978122399,0.6,11.000000218776023,12.999999999999865
75.9999996950855,0.63,11.000000304914474,12.999999999999877
75.99999958173028,0.6599999999999999,11.000000418269678,12.999999999999902
75.9999994344792,0.69,11.000000565520722,12.99999999999994
75.99999924544709,0.72,11.00000075455277,13.000000000000005
75.99999900539774,0.75,11.000000994602013,13.000000000000108
75.99999870359035,0.78,11.000001296409259,13.000000000000272
75.99999832761729,0.8099999999999999,11.000001672382064,13.000000000000522
75.99999786323357,0.84,11.000002136765396,13.000000000000904
75.99999729417753,0.87,11.000002705820867,13.00000000000148
75.99999660198323,0.8999999999999999,11.000003398014314,13.000000000002329
75.99999576578477,0.9299999999999999,11.000004234211525,13.00000000000357
75.9999947621126,0.96,11.000005237881908,13.00000000000536
75.99999356468204,0.99,11.000006435309922,13.000000000007905
75.99999214417423,1.02,11.000007855814134,13.000000000011486
75.99999046800981,1.05,11.000009531973582,13.000000000016474
75.99998850011525,1.08,11.000011499861285,13.000000000023343
75.99998620068256,1.1099999999999999,11.000013799284591,13.000000000032724
75.99998352592232,1.14,11.000016474032135,13.000000000045413
75.99998042781029,1.17,11.000019572127142,13.000000000062434
75.99997685382799,1.2,11.000023146086773,13.000000000085087
75.99997274669758,1.23,11.000027253187277,13.000000000114996
75.99996804411104,1.26,11.000031955734592,13.000000000154204
75.99996267845444,1.29,11.000037321340162,13.000000000205247
75.99995657652696,1.3199999999999998,11.000043423201618,13.000000000271253
75.99994965925572,1.3499999999999999,11.000050340388047,13.000000000356073
75.99994184140593,1.38,11.000058158129518,13.000000000464402
75.99993303128718,1.41,11.000066968110675,13.00000000060197
75.99992313045479,1.44,11.00007686876933,13.000000000775719
75.99991203341258,1.47,11.000087965593274,13.000000000993984
75.9998996273081,1.5,11.000100371424972,13.000000001266768
75.99988579162273,1.53,11.000114206771052,13.000000001606049
75.99987039787268,1.56,11.000129600101163,13.000000002026
75.99985330928433,1.5899999999999999,11.00014668817203,13.000000002543473
75.99983438048928,1.6199999999999999,11.000165616332175,13.000000003178389
75.9998134572108,1.65,11.000186538834951,13.00000000395409
75.99979037594578,1.68,11.000209619156044,13.000000004898016
75.99976496365096,1.71,11.000235030306664,13.000000006042221
75.99973703742778,1.74,11.00026295514813,13.000000007423933
75.99970640420283,1.77,11.000293586710562,13.000000009086449
75.99967286041326,1.7999999999999998,11.000327128506708,13.000000011079873
75.99963619168982,1.8299999999999998,11.000363794848134,13.000000013461914
75.99959617254149,1.8599999999999999,11.000403811159293,13.000000016299076
75.99955256604204,1.89,11.00044741429017,13.000000019667644
75.99950512351535,1.92,11.000494852829688,13.000000023654824
75.99945358422632,1.95,11.000546387413278,13.00000002836027
75.99939767506989,1.98,11.00060229103257,13.000000033897404
75.99933711026259,2.01,11.000662849342294,13.000000040394971
75.99927159104058,2.04,11.000728360960274,13.000000047998999
75.99920080536127,2.07,11.000799137763682,13.0000000568749
75.99912442759002,2.1,11.000875505201098,13.000000067208736
75.99904211821605,2.13,11.000957802573605,13.000000079210189
75.99895352356425,2.16,11.001046383320322,13.000000093115293
75.99885827545954,2.19,11.00114161535396,13.00000010918635
75.99875599104466,2.2199999999999998,11.00124388123432,13.000000127720863
75.99864627234378,2.25,11.001353578610486,13.000000149045594
75.99852870618047,2.28,11.001471120288302,13.000000173531092
75.99840286370676,2.31,11.00159693470907,13.000000201584022
75.9982683002881,2.34,11.001731466052227,13.00000023365953
75.99812455517647,2.37,11.001875174561587,13.00000027026181
75.99797115123323,2.4,11.00202853681923,13.000000311947417
75.99780759476178,2.4299999999999997,11.002192045903469,13.00000035933463
75.99763337512502,2.46,11.002366211773866,13.000000413100995
75.99744796468488,2.4899999999999998,11.002551561316144,13.000000473998846
75.99725081835984,2.52,11.002748638790866,13.00000054284917
75.99704137360126,2.55,11.002958005838945,13.000000620559671
75.99681905001098,2.58,11.003180241867089,13.000000708121814
75.99658324920782,2.61,11.003415944169351,13.000000806622708
