data_generator_AUXP_A7,data_generator_T
0.0,0.0
0.0,1.0
0.13682753,2.0
0.16068193,3.0
0.14749728,4.0
0.12703194,5.0
0.10731825,6.0
0.090240918,7.0
0.075942092,8.0
0.06411285,9.0
0.054369666,10.0
0.0176301,11.0
0.0043793744,12.0
0.00091271312,13.0
0.00017535947,14.0
3.2602347e-05,15.0
5.9822191e-06,16.0
1.0916195e-06,17.0
1.9867794e-07,18.0
3.6106986e-08,19.0
6.5552914e-09,20.0
1.1891463e-09,21.0
2.1555689e-10,22.0
3.9047772e-11,23.0
7.0689678e-12,24.0
1.2789561e-12,25.0
2.3126401e-13,26.0
4.1795059e-14,27.0
7.549481e-15,28.0
1.3629961e-15,29.0
2.4596137e-16,30.0
4.436523e-17,31.0
0.045628816,32.0
0.054639269,33.0
0.051240191,34.0
0.045221522,35.0
0.014716425,36.0
0.003665071,37.0
0.00076701841,38.0
0.00014809631,39.0
2.7673308e-05,40.0
5.1027332e-06,41.0
9.3547618e-07,42.0
1.7100834e-07,43.0
3.1207154e-08,44.0
5.6878284e-09,45.0
1.0355844e-09,46.0
1.8837343e-10,47.0
3.4235777e-11,48.0
6.2171475e-12,49.0
1.1281655e-12,50.0
2.0457056e-13,51.0
3.7069648e-14,52.0
6.7129572e-15,53.0
1.2149075e-15,54.0
2.197452e-16,55.0
3.9724128e-17,56.0
7.17727e-18,57.0
1.2961180999999999e-18,58.0
2.3394831e-19,59.0
4.2207966999999997e-20,60.0
7.6116118e-21,61.0
0.046038788,62.0
0.055071827,63.0
0.051623657,64.0
0.045544907,65.0
0.014789254,66.0
0.0036806662,67.0
0.00076990511,68.0
0.00014860103,69.0
2.7759706e-05,70.0
5.1173952e-06,71.0
9.3795359e-07,72.0
1.7142573e-07,73.0
3.1277292e-08,74.0
5.699583e-09,75.0
1.0375487e-09,76.0
1.8870062e-10,77.0
3.4290088e-11,78.0
6.226126e-12,79.0
1.129643e-12,80.0
2.048124e-13,81.0
3.7108991e-14,82.0
6.7193112e-15,83.0
1.2159248e-15,84.0
2.1990635000000002e-16,85.0
3.9749321e-17,86.0
7.1811437e-18,87.0
1.2967004e-18,88.0
2.3403323e-19,89.0
4.2219796e-20,90.0
7.613141800000001e-21,91.0
0.046140071,92.0
0.055234492,93.0
0.051780637,94.0
0.045680899,95.0
0.014859656,96.0
0.0036991865,97.0
0.00077384937,98.0
0.00014935966,99.0
2.7899734e-05,100.0
5.1428315e-06,101.0
9.4254506e-07,102.0
1.7225238e-07,103.0
3.1425959e-08,104.0
5.7263025e-09,105.0
1.042349e-09,106.0
1.8956274e-10,107.0
3.4444878e-11,108.0
6.2539106e-12,109.0
1.134629e-12,110.0
2.0570693e-13,111.0
3.7269436e-14,112.0
6.7480828e-15,113.0
1.221083e-15,114.0
2.2083094e-16,115.0
3.9915018e-17,116.0
7.2108312e-18,117.0
1.3020186e-18,118.0
2.3498569999999996e-19,119.0
4.2390354e-20,120.0
7.643678e-21,121.0
0.046190463,122.0
0.055293158,123.0
0.051833909,124.0
0.04572618,125.0
0.014873774,126.0
0.003702549,127.0
0.00077452266,128.0
0.00014948419,129.0
2.7922053e-05,130.0
5.1467837e-06,131.0
9.4324184e-07,132.0
1.7237501e-07,133.0
3.1447524e-08,134.0
5.7300946e-09,135.0
1.0430158e-09,136.0
1.8967998e-10,137.0
3.4465489e-11,138.0
6.257534e-12,139.0
1.135266e-12,140.0
2.0581894e-13,141.0
3.7289131e-14,142.0
6.751545e-15,143.0
1.2216917e-15,144.0
2.2093796000000002e-16,145.0
3.9933832e-17,146.0
7.214139099999999e-18,147.0
1.3026002e-18,148.0
2.3508796e-19,149.0
4.2408332e-20,150.0
7.646838900000001e-21,151.0
0.046209086,152.0
0.055314839,153.0
0.051853593,154.0
0.04574291,155.0
0.01487899,156.0
0.0037037916,157.0
0.0007747715,158.0
0.0001495302,159.0
2.7930299e-05,160.0
5.1482439e-06,161.0
9.4349929e-07,162.0
1.7242033e-07,163.0
3.1455492e-08,164.0
5.7314957e-09,165.0
1.0432621e-09,166.0
1.8972329e-10,167.0
3.4473105e-11,168.0
6.2588732e-12,169.0
1.1355014e-12,170.0
2.6083624e-09,171.0
2.6431387e-08,172.0
9.8355173e-08,173.0
2.4314909e-07,174.0
4.8062907e-07,175.0
8.2491363e-07,176.0
1.2845603e-06,177.0
1.8631146e-06,178.0
2.5598404e-06,179.0
3.3705044e-06,180.0
4.2881416e-06,181.0
0.046942312,182.0
0.059036724,183.0
0.05879825,184.0
0.055368818,185.0
0.018691542,186.0
0.0046888366,187.0
0.00098313903,188.0
0.00019597549,189.0
4.5087712e-05,190.0
1.8020119e-05,191.0
1.3987239e-05,192.0
1.4161084e-05,193.0
1.5094268e-05,194.0
1.6159183e-05,195.0
1.7239952e-05,196.0
1.8313178e-05,197.0
1.9372315e-05,198.0
2.041414e-05,199.0
2.1436323e-05,200.0
2.2437007e-05,201.0
2.3414705e-05,202.0
2.4368257e-05,203.0
2.5296808e-05,204.0
2.6199761e-05,205.0
2.707676e-05,206.0
2.7927656e-05,207.0
2.875248e-05,208.0
2.9551413e-05,209.0
3.0324776e-05,210.0
3.1072996e-05,211.0
0.05061331,212.0
0.065736458,213.0
0.067712508,214.0
0.065778837,215.0
0.02251225,216.0
0.0056569576,217.0
0.0011939232,218.0
0.00024985432,219.0
6.956124e-05,220.0
3.6919955e-05,221.0
3.1509022e-05,222.0
3.1006915e-05,223.0
3.1368811e-05,224.0
3.1871503e-05,225.0
3.2387743e-05,226.0
3.2895972e-05,227.0
3.3393007e-05,228.0
3.3878732e-05,229.0
3.4353488e-05,230.0
3.4817673e-05,231.0
3.5271652e-05,232.0
3.5715795e-05,233.0
3.6150443e-05,234.0
3.657593e-05,235.0
3.6992584e-05,236.0
3.740071e-05,237.0
3.7800608e-05,238.0
3.8192567e-05,239.0
3.8576854e-05,240.0
3.8953742e-05,241.0
0.055092212,242.0
0.071600169,243.0
0.073805235,244.0
0.071732536,245.0
0.024527676,246.0
0.0061531956,247.0
0.0012976662,248.0
0.0002727242,249.0
7.7267083e-05,250.0
4.1794388e-05,251.0
3.5762212e-05,252.0
3.503068e-05,253.0
3.5236219e-05,254.0
3.5600533e-05,255.0
3.5986879e-05,256.0
3.637193e-05,257.0
3.6752004e-05,258.0
3.7126687e-05,259.0
3.7496036e-05,260.0
3.7860173e-05,261.0
3.8219197e-05,262.0
3.8573209e-05,263.0
3.8922302e-05,264.0
3.9266561e-05,265.0
3.9606075e-05,266.0
3.9940925e-05,267.0
4.0271188e-05,268.0
4.0596948e-05,269.0
4.0918272e-05,270.0
4.1235238e-05,271.0
0.057644397,272.0
0.074858882,273.0
0.077102877,274.0
0.074874461,275.0
0.02557721,276.0
0.0064099878,277.0
0.0013505836,278.0
0.00028370318,279.0
8.0418351e-05,280.0
4.3524677e-05,281.0
3.7220852e-05,282.0
3.6420224e-05,283.0
3.659249e-05,284.0
3.6930363e-05,285.0
3.7292113e-05,286.0
3.7653535e-05,287.0
3.8010789e-05,288.0
3.8363389e-05,289.0
3.8711365e-05,290.0
3.905479e-05,291.0
3.9393741e-05,292.0
3.9728278e-05,293.0
4.0058469e-05,294.0
4.0384362e-05,295.0
4.0706022e-05,296.0
4.1023504e-05,297.0
4.1336865e-05,298.0
4.1646159e-05,299.0
4.1951436e-05,300.0
4.2252756e-05,301.0
0.058995601,302.0
0.076577693,303.0
0.078835182,304.0
0.076518402,305.0
0.026125185,306.0
0.0065439227,307.0
0.0013781162,308.0
0.00028935482,309.0
8.1989769e-05,310.0
4.4359473e-05,311.0
3.791885e-05,312.0
3.7086935e-05,313.0
3.7246333e-05,314.0
3.7574609e-05,315.0
3.7927424e-05,316.0
3.8280152e-05,317.0
3.8628859e-05,318.0
3.8973063e-05,319.0
3.9312778e-05,320.0
3.9648079e-05,321.0
3.9979037e-05,322.0
4.0305713e-05,323.0
4.0628162e-05,324.0
4.0946437e-05,325.0
4.1260599e-05,326.0
4.15707e-05,327.0
4.1876785e-05,328.0
4.2178915e-05,329.0
4.2477139e-05,330.0
4.2771506e-05,331.0
0.059702754,332.0
0.077476777,333.0
0.079740815,334.0
0.077377379,335.0
0.026411422,336.0
0.0066138743,337.0
0.001392491,338.0
0.00029230129,339.0
8.2805404e-05,340.0
4.4790722e-05,341.0
3.8279013e-05,342.0
3.7431109e-05,343.0
3.7584112e-05,344.0
3.7907677e-05,345.0
3.8256112e-05,346.0
3.8604554e-05,347.0
3.8949041e-05,348.0
3.9289076e-05,349.0
3.9624683e-05,350.0
3.9955932e-05,351.0
4.0282888e-05,352.0
4.0605617e-05,353.0
4.0924169e-05,354.0
4.1238603e-05,355.0
4.1548974e-05,356.0
4.1855332e-05,357.0
4.2157728e-05,358.0
4.2456213e-05,359.0
4.2750842e-05,360.0
4.3041659e-05,361.0
0.060072251,362.0
0.077946529,363.0
0.080213957,364.0
0.077826113,365.0
0.026560949,366.0
0.0066504157,367.0
0.0014,368.0
0.00029384013,369.0
8.3231149e-05,370.0
4.5015695e-05,371.0
3.8466878e-05,372.0
3.761064e-05,373.0
3.7760325e-05,374.0
3.8081453e-05,375.0
3.8427614e-05,376.0
3.8773833e-05,377.0
3.911613e-05,378.0
3.9454004e-05,379.0
3.9787479e-05,380.0
4.0116622e-05,381.0
4.04415e-05,382.0
4.0762174e-05,383.0
4.1078703e-05,384.0
4.139114e-05,385.0
4.1699535e-05,386.0
4.2003947e-05,387.0
4.2304418e-05,388.0
4.2601008e-05,389.0
4.2893764e-05,390.0
4.3182736e-05,391.0
0.06026528,392.0
0.078191929,393.0
0.08046113,394.0
0.07806053,395.0
0.026639061,396.0
0.0066695046,397.0
0.0014039224,398.0
0.00029464398,399.0
8.3453531e-05,400.0
4.5133202e-05,401.0
3.8564998e-05,402.0
3.7704409e-05,403.0
3.7852362e-05,404.0
3.8172217e-05,405.0
3.8517192e-05,406.0
3.886225e-05,407.0
3.9203405e-05,408.0
3.9540155e-05,409.0
3.9872513e-05,410.0
4.0200557e-05,411.0
4.0524348e-05,412.0
4.0843952e-05,413.0
4.1159426e-05,414.0
4.1470816e-05,415.0
4.1778185e-05,416.0
4.2081578e-05,417.0
4.2381045e-05,418.0
4.2676646e-05,419.0
4.2968422e-05,420.0
4.3256427e-05,421.0
0.060366116,422.0
0.078320123,423.0
0.080590248,424.0
0.078182988,425.0
0.026679866,426.0
0.0066794762,427.0
0.0014059716,428.0
0.00029506389,429.0
8.3569706e-05,430.0
4.5194585e-05,431.0
3.8616254e-05,432.0
3.7753394e-05,433.0
3.7900441e-05,434.0
3.821963e-05,435.0
3.8563987e-05,436.0
3.8908442e-05,437.0
3.9248996e-05,438.0
3.9585157e-05,439.0
3.9916933e-05,440.0
4.0244402e-05,441.0
4.0567629e-05,442.0
4.0886673e-05,443.0
4.1201594e-05,444.0
4.1512441e-05,445.0
4.1819269e-05,446.0
4.212213e-05,447.0
4.2421074e-05,448.0
4.2716158e-05,449.0
4.3007425e-05,450.0
4.3294924e-05,451.0
4.3578708e-05,452.0
4.3858825e-05,453.0
4.4135319e-05,454.0
4.4408236e-05,455.0
4.4677628e-05,456.0
4.4943536e-05,457.0
4.5206009e-05,458.0
4.5465084e-05,459.0
4.5720812e-05,460.0
4.5973236e-05,461.0
4.6222394e-05,462.0
4.6468333e-05,463.0
4.6711091e-05,464.0
4.695071e-05,465.0
4.718723e-05,466.0
4.7420694e-05,467.0
4.7651141e-05,468.0
4.787861e-05,469.0
4.8103135e-05,470.0
4.8324757e-05,471.0
4.8543516e-05,472.0
4.8759444e-05,473.0
4.8972583e-05,474.0
4.9182967e-05,475.0
4.939063e-05,476.0
4.9595608e-05,477.0
4.9797938e-05,478.0
4.9997649e-05,479.0
5.019478e-05,480.0
5.0389361e-05,481.0
0.07012637,482.0
0.090728499,483.0
0.09308809,484.0
0.09003596,485.0
0.030629497,486.0
0.0076446789,487.0
0.0016043097,488.0
0.00033570957,489.0
9.4814219e-05,490.0
5.1135987e-05,491.0
4.3577504e-05,492.0
4.249467e-05,493.0
4.2554137e-05,494.0
4.2808926e-05,495.0
4.3093343e-05,496.0
4.3379187e-05,497.0
4.3661952e-05,498.0
4.3941069e-05,499.0
4.4216536e-05,500.0
4.4488421e-05,501.0
4.475678e-05,502.0
4.5021668e-05,503.0
4.528313e-05,504.0
4.5541208e-05,505.0
4.5795954e-05,506.0
4.6047404e-05,507.0
4.6295605e-05,508.0
4.6540594e-05,509.0
4.6782417e-05,510.0
4.6650206e-05,511.0
4.5860354e-05,512.0
4.454919e-05,513.0
4.2839216e-05,514.0
4.08376e-05,515.0
3.8636033e-05,516.0
3.6311427e-05,517.0
3.3927106e-05,518.0
3.1534193e-05,519.0
2.9173114e-05,520.0
2.6875055e-05,521.0
2.4663348e-05,522.0
2.2554743e-05,523.0
2.0560536e-05,524.0
1.8687575e-05,525.0
1.6939133e-05,526.0
1.5315642e-05,527.0
1.3815334e-05,528.0
1.2434769e-05,529.0
1.1169277e-05,530.0
1.0013317e-05,531.0
8.9607784e-06,532.0
8.005215e-06,533.0
7.1400327e-06,534.0
6.3586413e-06,535.0
5.6545655e-06,536.0
5.0215285e-06,537.0
4.4535163e-06,538.0
3.9448182e-06,539.0
3.4900547e-06,540.0
3.0841929e-06,541.0
0.076989524,542.0
0.093817085,543.0
0.089636959,544.0
0.080367528,545.0
0.026158923,546.0
0.0064316764,547.0
0.0013243665,548.0
0.00025185075,549.0
4.6725025e-05,550.0
8.8747356e-06,551.0
1.9527363e-06,552.0
6.6124693e-07,553.0
3.9192008e-07,554.0
3.1093785e-07,555.0
2.675412e-07,556.0
2.3420095e-07,557.0
2.0561394e-07,558.0
1.8050885e-07,559.0
1.5836993e-07,560.0
1.3884564e-07,561.0
1.2164008e-07,562.0
1.0649129e-07,563.0
9.3165163e-08,564.0
8.1452477e-08,565.0
7.1166433e-08,566.0
6.2140487e-08,567.0
5.4226401e-08,568.0
4.7292399e-08,569.0
4.1221497e-08,570.0
3.5909977e-08,571.0
0.061555024,572.0
0.073399723,573.0
0.068495758,574.0
0.060076885,575.0
0.019383496,576.0
0.0047796215,577.0
0.00099039613,578.0
0.00018942724,579.0
3.5086006e-05,580.0
6.4192996e-06,581.0
1.170906e-06,582.0
2.1536509e-07,583.0
4.1573315e-08,584.0
9.7588098e-09,585.0
3.720412e-09,586.0
2.3835629e-09,587.0
1.9269715e-09,588.0
1.6556072e-09,589.0
1.4407519e-09,590.0
1.2564599e-09,591.0
1.0956569e-09,592.0
9.5493913e-10,593.0
8.3180191e-10,594.0
7.2411549e-10,595.0
6.3000838e-10,596.0
5.4782673e-10,597.0
4.7610882e-10,598.0
4.1356399e-10,599.0
3.5905401e-10,600.0
3.1157607e-10,601.0
0.052191123,602.0
0.062292617,603.0
0.058202684,604.0
0.051150959,605.0
0.016567312,606.0
0.0041061011,607.0
0.0008553387,608.0
0.00016443162,609.0
3.0601106e-05,610.0
5.6212575e-06,611.0
1.0269152e-06,612.0
1.8712529e-07,613.0
3.4063291e-08,614.0
6.2088565e-09,615.0
1.1436373e-09,616.0
2.2173449e-10,617.0
5.2636888e-11,618.0
2.0384265e-11,619.0
1.3145127e-11,620.0
1.0612572e-11,621.0
