value_component_environment_variable_time,value_component_X1_variable_X1,value_component_X1_variable_a0,value_component_X1_variable_a1,value_component_X1_variable_a2,value_component_X1_variable_b1,value_component_X2_variable_X2,value_component_X2_variable_a3,value_component_X2_variable_a4,value_component_X2_variable_a5,value_component_X2_variable_b2,value_component_X3_variable_X3,value_component_X3_variable_a6,value_component_X3_variable_a7,value_component_X3_variable_b3
0.0,10.0,0.0014,0.000517,0.0164,0.0598,0.0,1.38,0.6,0.00498,0.053,0.0,0.0084,0.0081,0.0138
0.1,9.940569554917733,0.0014,0.000517,0.0164,0.0598,0.7342648444758217,1.38,0.6,0.00498,0.053,0.0011371004320783306,0.0084,0.0081,0.0138
0.2,9.881493443749687,0.0014,0.000517,0.0164,0.0598,1.4610973465782235,1.38,0.6,0.00498,0.053,0.002863972839096522,0.0084,0.0081,0.0138
0.30000000000000004,9.822769572474758,0.0014,0.000517,0.0164,0.0598,2.180555346024398,1.38,0.6,0.00498,0.053,0.005173870339691319,0.0084,0.0081,0.0138
0.4,9.764395821815098,0.0014,0.000517,0.0164,0.0598,2.892697335432013,1.38,0.6,0.00498,0.053,0.008059983621009924,0.0084,0.0081,0.0138
0.5,9.706370120635553,0.0014,0.000517,0.0164,0.0598,3.597580428666119,1.38,0.6,0.00498,0.053,0.011515683056497573,0.0084,0.0081,0.0138
0.6000000000000001,9.648690370475787,0.0014,0.000517,0.0164,0.0598,4.295262507093737,1.38,0.6,0.00498,0.053,0.015534244570808736,0.0084,0.0081,0.0138
0.7000000000000001,9.59135450670797,0.0014,0.000517,0.0164,0.0598,4.985800460310562,1.38,0.6,0.00498,0.053,0.02010908009512161,0.0084,0.0081,0.0138
0.8,9.53436047242233,0.0014,0.000517,0.0164,0.0598,5.6692509350390035,1.38,0.6,0.00498,0.053,0.02523363973944755,0.0084,0.0081,0.0138
0.9,9.47770623588244,0.0014,0.000517,0.0164,0.0598,6.345669836675993,1.38,0.6,0.00498,0.053,0.03090147667749143,0.0084,0.0081,0.0138
1.0,9.421389775423453,0.0014,0.000517,0.0164,0.0598,7.015112766103666,1.38,0.6,0.00498,0.053,0.03710618949870328,0.0084,0.0081,0.0138
