Time,L,mu1,r1,c1,t1,mu3,r3,c3,t3,mu5,r5,c5,t5,mu10,r10,c10,t10,LN
0.0,0.0,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.01,3.0202742372104803,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.02,6.126917540415747,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.03,9.322399885569837,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.04,12.609261612299923,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.05,15.990115907571045,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.06,19.467650634186022,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.07,23.044630502432714,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.08,26.72389935425903,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.09,30.508382054729893,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.1,34.40108760106206,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.11,38.40511060975702,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.12,42.52363448492714,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.13,46.759933601394096,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.14,51.117375598279786,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.15,55.599425190760186,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.16,60.20964494867986,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.17,64.95170105182933,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.18,69.82936275655065,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.19,74.84650876579343,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.2,80.00712684683117,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.21,85.31532076537134,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.22,90.77531029984563,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.23,96.39143535345552,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.24,102.1681621618976,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.25,108.11008222383894,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.26,114.2219204010302,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
0.27,120.50853541637622,297.78957,2.8195198,0.0,1.0,0.0,4.5867007,5.042901,3.0,0.0,1.8812956,2.497735,5.0,0.0,0.3757764,2.43e-07,10.0,1.0
