Time,a,b,c,d,Vthresh,i,v,u,cell
0.0,0.2,0.26,-65.0,0.0,30.0,0.0,-64.0,-16.64,1.0
0.01,0.2,0.26,-65.0,0.0,30.0,0.0,-63.995202879936315,-16.63999875330753,1.0
0.02,0.2,0.26,-65.0,0.0,30.0,0.0,-63.990411519480396,-16.639995018606648,1.0
0.03,0.2,0.26,-65.0,0.0,30.0,0.0,-63.985625918229,-16.639988803855086,1.0
0.04,0.2,0.26,-65.0,0.0,30.0,0.0,-63.98084607576618,-16.639980116991108,1.0
0.05,0.2,0.26,-65.0,0.0,30.0,0.0,-63.9760719916599,-16.639968965941286,1.0
0.06,0.2,0.26,-65.0,0.0,30.0,0.0,-63.97130366546016,-16.63995535860819,1.0
0.07,0.2,0.26,-65.0,0.0,30.0,0.0,-63.966541096717044,-16.63993930289559,1.0
0.08,0.2,0.26,-65.0,0.0,30.0,0.0,-63.9617842849683,-16.639920806691805,1.0
0.09,0.2,0.26,-65.0,0.0,30.0,0.0,-63.95703322973831,-16.639899877868213,1.0
0.1,0.2,0.26,-65.0,0.0,30.0,0.0,-63.952287930538006,-16.639876524279252,1.0
0.11,0.2,0.26,-65.0,0.0,30.0,0.0,-63.947548386864945,-16.639850753762417,1.0
0.12,0.2,0.26,-65.0,0.0,30.0,0.0,-63.94281459820326,-16.639822574138265,1.0
0.13,0.2,0.26,-65.0,0.0,30.0,0.0,-63.938086564023685,-16.639791993210405,1.0
0.14,0.2,0.26,-65.0,0.0,30.0,0.0,-63.93336428378354,-16.639759018765506,1.0
0.15,0.2,0.26,-65.0,0.0,30.0,0.0,-63.9286477569314,-16.639723658575345,1.0
0.16,0.2,0.26,-65.0,0.0,30.0,0.0,-63.92393698291582,-16.639685920400634,1.0
0.17,0.2,0.26,-65.0,0.0,30.0,0.0,-63.919231961161536,-16.63964581198057,1.0
0.18,0.2,0.26,-65.0,0.0,30.0,0.0,-63.9145326910794,-16.6396033410372,1.0
0.19,0.2,0.26,-65.0,0.0,30.0,0.0,-63.90983917206747,-16.6395585152759,1.0
0.2,0.2,0.26,-65.0,0.0,30.0,0.0,-63.90515140351097,-16.63951134238535,1.0
0.21,0.2,0.26,-65.0,0.0,30.0,0.0,-63.9004693847823,-16.63946183003755,1.0
0.22,0.2,0.26,-65.0,0.0,30.0,0.0,-63.89579311524105,-16.639409985887827,1.0
0.23,0.2,0.26,-65.0,0.0,30.0,0.0,-63.89112259423399,-16.63935581757481,1.0
0.24,0.2,0.26,-65.0,0.0,30.0,0.0,-63.886457821095085,-16.63929933272045,1.0
0.25,0.2,0.26,-65.0,0.0,30.0,0.0,-63.88179879515683,-16.639240538937973,1.0
0.26,0.2,0.26,-65.0,0.0,30.0,0.0,-63.87714551577148,-16.63917944384666,1.0
