Vthresh,a,b,c,d,i,u,v,Time
30.0,0.2,0.26,-65.0,0.0,0.0,-16.64,-64.0,0.0
30.0,0.2,0.26,-65.0,0.0,0.0,-16.63999875330753,-63.995202879936315,0.01
30.0,0.2,0.26,-65.0,0.0,0.0,-16.639995018606648,-63.990411519480396,0.02
30.0,0.2,0.26,-65.0,0.0,0.0,-16.639988803855086,-63.985625918229,0.03
30.0,0.2,0.26,-65.0,0.0,0.0,-16.639980116991108,-63.98084607576618,0.04
30.0,0.2,0.26,-65.0,0.0,0.0,-16.639968965941286,-63.9760719916599,0.05
30.0,0.2,0.26,-65.0,0.0,0.0,-16.63995535860819,-63.97130366546016,0.06
30.0,0.2,0.26,-65.0,0.0,0.0,-16.63993930289559,-63.966541096717044,0.07
30.0,0.2,0.26,-65.0,0.0,0.0,-16.639920806691805,-63.9617842849683,0.08
30.0,0.2,0.26,-65.0,0.0,0.0,-16.639899877868213,-63.95703322973831,0.09
30.0,0.2,0.26,-65.0,0.0,0.0,-16.639876524279252,-63.952287930538006,0.1
30.0,0.2,0.26,-65.0,0.0,0.0,-16.639850753762417,-63.947548386864945,0.11
30.0,0.2,0.26,-65.0,0.0,0.0,-16.639822574138265,-63.94281459820326,0.12
30.0,0.2,0.26,-65.0,0.0,0.0,-16.639791993210405,-63.938086564023685,0.13
30.0,0.2,0.26,-65.0,0.0,0.0,-16.639759018765506,-63.93336428378354,0.14
30.0,0.2,0.26,-65.0,0.0,0.0,-16.639723658575345,-63.9286477569314,0.15
30.0,0.2,0.26,-65.0,0.0,0.0,-16.639685920400634,-63.92393698291582,0.16
30.0,0.2,0.26,-65.0,0.0,0.0,-16.63964581198057,-63.919231961161536,0.17
30.0,0.2,0.26,-65.0,0.0,0.0,-16.6396033410372,-63.9145326910794,0.18
30.0,0.2,0.26,-65.0,0.0,0.0,-16.6395585152759,-63.90983917206747,0.19
30.0,0.2,0.26,-65.0,0.0,0.0,-16.63951134238535,-63.90515140351097,0.2
30.0,0.2,0.26,-65.0,0.0,0.0,-16.63946183003755,-63.9004693847823,0.21
30.0,0.2,0.26,-65.0,0.0,0.0,-16.639409985887827,-63.89579311524105,0.22
