Time,x,y,k,alpha,n,a,k1,beta,fy,gamma,Cytosol,ER,Extracellular,reaction_0000001,reaction_0000002,reaction_0000003,reaction_0000004,reaction_0000005
0.0,1.0,1.0,0.01,10.0,4.0,1.4,2.0,1.0,0.20654329147389294,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0
0.01,1.0194158515633611,0.9806818722200499,0.01,10.0,4.0,1.4,2.0,1.0,0.1940481633708058,1.0,1.0,1.0,1.0,1.0,0.00038733979343311245,1.9613637444400998,0.07516257551612276,0.9806818722200499
0.02,1.037771162847988,0.9626108950372083,0.01,10.0,4.0,1.4,2.0,1.0,0.1826772743835701,1.0,1.0,1.0,1.0,1.0,0.0007516026781077967,1.9252217900744166,0.13730072865612408,0.9626108950372083
0.03,1.0552028732771443,0.9456388869112876,0.01,10.0,4.0,1.4,2.0,1.0,0.17229239080511757,1.0,1.0,1.0,1.0,1.0,0.0010956398636585674,1.8912777738225752,0.18877041157112762,0.9456388869112876
0.04,1.071832741996505,0.9296334758321447,0.01,10.0,4.0,1.4,2.0,1.0,0.1627716606202648,1.0,1.0,1.0,1.0,1.0,0.001421992661643603,1.8592669516642895,0.23146010692555957,0.9296334758321447
0.05,1.0877592905033209,0.9144870253988142,0.01,10.0,4.0,1.4,2.0,1.0,0.15401430769684865,1.0,1.0,1.0,1.0,1.0,0.0017327226510450667,1.8289740507976284,0.2668640795313542,0.9144870253988142
0.06,1.1030648179166413,0.9001091605546991,0.01,10.0,4.0,1.4,2.0,1.0,0.14593501317344476,1.0,1.0,1.0,1.0,1.0,0.002029556573619422,1.8002183211093983,0.29618336530740175,0.9001091605546991
0.07,1.1178196345935523,0.8864222962105163,0.01,10.0,4.0,1.4,2.0,1.0,0.13846045630976156,1.0,1.0,1.0,1.0,1.0,0.00231397338383036,1.7728445924210325,0.3203938106137947,0.8864222962105163
0.08,1.1320847148224602,0.8733588422975267,0.01,10.0,4.0,1.4,2.0,1.0,0.13152703958652961,1.0,1.0,1.0,1.0,1.0,0.0025872587252493352,1.7467176845950534,0.3402944807764634,0.8733588422975267
0.09,1.1459119214023097,0.8608609854241739,0.01,10.0,4.0,1.4,2.0,1.0,0.12508010896585223,1.0,1.0,1.0,1.0,1.0,0.002850509359781358,1.7217219708483478,0.3565420213296339,0.8608609854241739
0.1,1.1593454452517111,0.8488791573519848,0.01,10.0,4.0,1.4,2.0,1.0,0.11907250835137967,1.0,1.0,1.0,1.0,1.0,0.0031046628789972632,1.6977583147039697,0.3696799965876201,0.8488791573519848
0.11,1.1724237992460311,0.8373699227874278,0.01,10.0,4.0,1.4,2.0,1.0,0.11346297475816698,1.0,1.0,1.0,1.0,1.0,0.003350538764586033,1.6747398455748557,0.380162095272485,0.8373699227874278
