data_generator_T,data_generator_X1
0.0,0.5
0.013,7.2984848
0.026000001,4.4049072
0.039000001,2.3810506
0.052000001,1.9210932
0.064999998,1.8734013
0.078000002,1.8403858
0.090999998,1.8075421
0.104,1.785138
0.117,1.7714679
0.13,1.7693633
0.14300001,1.8125159
0.156,1.9797009
0.169,2.3482523
0.182,2.9363732
0.19499999,3.7428372
0.208,4.8791494
0.221,6.7208762
0.234,10.349051
0.24699999,19.706041
0.25999999,40.157249
0.273,38.712177
0.28600001,28.080925
0.29899999,46.223476
0.31200001,55.087513
0.32499999,39.951683
0.338,27.358757
0.35100001,18.667461
0.36399999,12.762301
0.377,8.8483706
0.38999999,6.2914629
0.403,4.6431007
0.41600001,3.5907068
0.42899999,2.9423065
0.442,2.6681197
0.45500001,2.8760023
0.46799999,3.5951178
0.48100001,4.7294416
0.49399999,6.4968376
0.50700003,9.9972897
0.51999998,19.005844
0.53299999,39.574207
0.546,39.273106
0.55900002,28.46995
0.57200003,44.086246
0.58499998,56.03706
0.59799999,40.781452
0.611,27.956936
0.62400001,19.078381
0.63700002,13.036839
0.64999998,9.0290384
0.66299999,6.4086161
0.676,4.7182264
0.68900001,3.6383839
0.70200002,2.9696302
0.71499997,2.6719308
0.72799999,2.8502178
0.741,3.5439055
0.75400001,4.6553888
0.76700002,6.3706956
0.77999997,9.7199631
0.79299998,18.220472
0.80599999,38.565971
0.81900001,39.876236
0.83200002,28.959566
0.84500003,41.444019
0.85799998,56.88953
0.87099999,41.577927
0.884,28.546999
0.89700001,19.484348
0.91000003,13.308569
0.92299998,9.2079906
0.93599999,6.524755
0.949,4.7927384
0.96200001,3.685725
0.97500002,2.997184
0.98799998,2.6770918
1.001,2.8265014
1.0140001,3.4943221
1.027,4.5831647
1.04,6.2492075
1.053,9.4562969
1.066,17.480915
1.079,37.465233
1.092,40.457108
1.105,29.471764
1.118,38.854275
1.131,57.689255
1.1440001,42.375969
1.1569999,29.149948
1.17,19.898933
1.183,13.586482
1.196,9.3911552
1.209,6.6437187
1.222,4.8691015
1.235,3.7342849
1.248,3.0257981
1.261,2.6836798
1.274,2.8044081
1.2869999,3.4459403
1.3,4.5124869
1.313,6.1319361
1.326,9.2052536
1.339,16.784916
1.352,36.288895
1.365,41.008518
1.378,30.002666
1.391,36.391644
1.404,58.414391
1.4170001,43.174599
1.4299999,29.766199
1.443,20.32226
1.456,13.870717
1.469,9.5786276
1.482,6.7655745
1.495,4.9473624
1.508,3.78409
1.521,3.0554652
1.534,2.6916695
1.5470001,2.7839463
1.5599999,3.3987813
1.573,4.4432869
1.586,6.0186453
1.599,8.9660339
1.612,16.130041
1.625,35.054916
1.638,41.52261
1.651,30.549532
1.664,34.12307
1.677,59.040985
1.6900001,43.973213
1.7029999,30.39613
1.716,20.754446
1.729,14.161407
1.742,9.7705002
1.755,6.890389
1.768,5.0275655
1.781,3.8351667
1.794,3.08618
1.807,2.7010357
1.8200001,2.7651215
1.8329999,3.3528683
1.846,4.3755035
1.859,5.9091139
1.872,8.7379007
1.885,15.51384
1.898,33.781601
1.911,41.990807
1.924,31.110332
1.937,32.105946
1.95,59.543427
1.9630001,44.771763
1.976,31.040066
1.989,21.19561
2.0020001,14.458686
2.0150001,9.9668665
2.0280001,7.0182281
2.0409999,5.1097579
2.0539999,3.8875427
2.0669999,3.1179388
2.0799999,2.7117538
2.0929999,2.7479372
2.1059999,3.3082271
2.119,4.3090816
2.132,5.803133
2.145,8.5201683
2.158,14.9339
2.171,32.486691
2.184,42.4039
2.197,31.683565
2.21,30.384888
2.223,59.894806
2.2360001,45.570839
2.2490001,31.698261
2.2620001,21.645876
2.2750001,14.762691
2.2880001,10.167823
2.3010001,7.1491609
2.3139999,5.1939864
2.3269999,3.9412467
2.3399999,3.1507392
2.3529999,2.7237985
2.3659999,2.7323945
2.3789999,3.2648838
2.392,4.2439737
2.405,5.7005048
2.418,8.3122034
2.431,14.38788
2.444,31.18656
2.457,42.752193
2.47,32.268093
2.483,28.987944
2.4960001,60.067276
2.5090001,46.371746
2.5220001,32.370865
2.5350001,22.105371
2.5480001,15.073562
2.5610001,10.373467
2.5739999,7.2832565
2.5869999,5.2803001
2.5999999,3.996309
2.6129999,3.1845822
2.6259999,2.7371452
2.6389999,2.7184913
2.652,3.2228661
2.665,4.1801372
2.678,5.6010432
2.691,8.1134167
2.704,13.873537
2.717,29.895708
2.73,43.025639
2.743,32.863003
2.756,27.923063
2.7690001,60.032516
2.7820001,47.176498
2.7950001,33.057903
2.8080001,22.574236
2.8210001,15.391436
2.8340001,10.583899
2.8469999,7.4205866
2.8599999,5.3687472
2.8729999,4.0527606
2.8859999,3.2194695
2.8989999,2.7517688
2.9119999,2.7062232
2.925,3.1822016
2.938,4.1175361
2.951,5.5045719
2.964,7.9232612
2.977,13.388736
2.99,28.626446
3.003,43.214085
3.016,33.46751
3.029,27.176533
3.0420001,59.762405
3.0550001,47.987747
3.0680001,33.759251
3.0810001,23.052624
3.0940001,15.716454
3.1070001,10.799222
