I_2_task1,T_1_task1,V_3_task1,_1_task1
417520.0,3.3246,4450000.0,0.0
294818.64826325135,128930.62621685718,3377312.3886693357,3.1578947368421053
215139.53468792918,222208.2253116896,2463201.6939766263,6.315789473684211
160911.79758339524,294965.59017168573,1841551.6560309902,9.473684210526315
122749.94787532256,354980.43069692707,1404320.6422276762,12.631578947368421
95205.10092132831,406627.28613855207,1088868.6953106308,15.789473684210527
74919.48133314287,452538.72686341044,856633.395483493,18.94736842105263
59730.00001257588,494383.46441185666,682791.3829634102,22.105263157894736
48194.78192919388,533262.8159253838,550805.5786978494,25.263157894736842
39326.33675703062,569927.1054418171,449355.6449215747,28.42105263157895
32433.320174776225,604900.6862219904,370519.2569172999,31.578947368421055
27022.80008095179,638557.6387906852,308649.5956677761,34.73684210526316
22737.797367959192,671169.4696766927,259658.40193512483,37.89473684210526
19316.303375487492,702936.1201021536,220545.78411980308,41.05263157894737
16563.724952230546,734006.7004156329,189084.2099087689,44.21052631578947
14334.022103994655,764493.6486255447,163602.26290386473,47.36842105263158
12516.546179589983,794482.6053445841,142833.79818425482,50.526315789473685
11026.744021648732,824039.3930962043,125811.43287547113,53.68421052631579
9799.499135391849,853215.0275819049,111790.26833143707,56.8421052631579
8784.306868826732,882049.3559234205,100192.63316670683,60.0
