Time,NFkB,IKKIkBa,IKKIkBaNFkB,IKK,IkBa,IKKIkBb,IKKIkBbNFkB,IkBb,IKKIkBe,IKKIkBeNFkB,IkBe,IkBaNFkB,IkBbNFkB,IkBeNFkB,source,IkBat,sink,NFkBn,IkBan,IkBanNFkBn,IkBbn,IkBbnNFkBn,IkBbt,IkBen,IkBenNFkBn,IkBet,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36,k37,k38,k39,k40,k41,k42,k43,k44,k45,k46,k47,k48,k49,k50,k51,k52,k53,k54,k55,k56,k57,k58,k59,k60,k61,k62,k63,k64,compartment,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64
0.0,0.00025081,0.0,0.0,0.1,0.19028,0.0,0.0,0.021428,0.0,0.0,0.015307,0.082062,0.0090963,0.0064977,1.0,0.0054868,0.0,0.00020366,0.19326,0.0013739,0.021887,0.00030061,0.00063696,0.015635,0.00021473,0.000455,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.0204,0.5,0.0005,0.0075,0.5,0.0005,0.011,2.25e-05,2.25e-05,2.25e-05,0.09,8e-05,0.5,0.0005,0.5,0.0005,0.5,0.0005,1.54e-06,0.0165,0.00028,1.78e-07,0.00028,1.27e-07,0.00028,0.0225,0.00125,0.00408,0.000113,0.0003,0.0002,0.006,0.00175,0.00408,0.000113,0.00015,0.0001,0.009,0.00175,0.00408,0.000113,0.00015,0.0001,0.185,0.00125,0.0138,0.048,0.00175,0.0052,0.07,0.00175,0.0052,0.00012,0.00407,0.0015,0.0022,1.0,0.0,0.0,0.0,0.00042813,0.0,0.0,0.0,0.0,0.0,1.28568e-05,0.0,0.0,0.0,0.0,0.0,1.3776299999999999e-05,0.0,0.0,0.0015181469999999999,0.0,4.3662240000000006e-05,0.0,4.548390000000001e-05,0.0,2.38620634e-05,6.843770274000001e-10,4.1031e-05,1.96796658e-05,6.869499999999999e-07,1.895982e-05,1.846395e-06,1.536304e-06,3.8652e-05,5.7084e-05,2.2386144000000003e-05,2.68717834e-06,4.54815e-06,2.22875321e-06,1.50305e-07,1.5631719999999998e-06,2.0466675e-07,1.783488e-07,2.1887000000000003e-06,3.2141999999999997e-06,2.5987968000000003e-06,1.919574335e-06,3.2488500000000002e-06,1.59211205e-06,1.07365e-07,1.116596e-06,1.4619825000000003e-07,1.274e-07,1.5635e-06,2.29605e-06,1.8564000000000001e-06,1.62928e-08,2.2572900000000002e-05,1.54e-06,1.78e-07,1.27e-07,2.150164e-05,2.4213639999999997e-06,1.729691e-06,1.2e-05
0.01,0.00025081158502679695,4.280729287147008e-06,1.5176813643064948e-05,0.09997926487873116,0.1902757154063414,1.2855323597685205e-07,4.365453296315728e-07,0.021427881574919316,1.377464588023174e-07,4.5474575641721897e-07,0.015306869486486397,0.08204682108528213,0.00909585841389403,0.006497241640652964,1.0,0.005486800043803708,0.0,0.00020366000746753206,0.19325999438642064,0.001373900328935115,0.021886989470452187,0.00030061515261028347,0.0006369599965120051,0.015634992477948122,0.00021473368140203158,0.0004549999960000057,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.0204,0.5,0.0005,0.0075,0.5,0.0005,0.011,2.25e-05,2.25e-05,2.25e-05,0.09,8e-05,0.5,0.0005,0.5,0.0005,0.5,0.0005,1.54e-06,0.0165,0.00028,1.78e-07,0.00028,1.27e-07,0.00028,0.0225,0.00125,0.00408,0.000113,0.0003,0.0002,0.006,0.00175,0.00408,0.000113,0.00015,0.0001,0.009,0.00175,0.00408,0.000113,0.00015,0.0001,0.185,0.00125,0.0138,0.048,0.00175,0.0052,0.07,0.00175,0.0052,0.00012,0.00407,0.0015,0.0022,1.0,5.368282487899859e-10,3.0960699831852493e-07,7.588406821532475e-09,0.00042803158838851515,1.742256819868832e-08,5.35091160893376e-09,1.6121320437839062e-11,3.2740899722367955e-09,2.182726648157864e-10,1.2854063086613647e-05,1.9282985396527809e-10,2.249681629594911e-10,1.7274203832018807e-11,5.002203320589408e-09,2.273728782086095e-10,1.3773326029682318e-05,3.030422093650983e-10,2.4105630290405546e-10,0.001517551458682508,1.8971017053831184e-08,4.3651067407783036e-05,7.639543268552523e-10,4.5471261008037515e-05,7.958050737301333e-10,2.3861676886586106e-05,6.843770775876411e-10,4.102341054264107e-05,1.9679665949956817e-05,6.869501644675575e-07,1.8959824539304587e-05,1.846053474418848e-06,1.536304012265038e-06,3.865199887728413e-05,5.708271462190241e-05,2.238614417871913e-05,2.687180470786006e-06,4.547929206947015e-06,2.2287522194970437e-06,1.5030757630514174e-07,1.563198793573474e-06,2.0465681431261569e-07,1.783487990233614e-07,2.188698947045219e-06,3.2141822362378973e-06,2.5987967857689806e-06,1.9195700988519834e-06,3.248620820326482e-06,1.592111342406861e-06,1.073668407010158e-07,1.116615143290564e-06,1.461879369146917e-07,1.273999988800016e-07,1.5634992477948124e-06,2.2960304229729594e-06,1.8563999836800234e-06,1.6292800597402565e-08,2.2573042652411726e-05,1.54e-06,1.78e-07,1.27e-07,2.1501155840916577e-05,2.421350617965883e-06,1.7296762519729629e-06,1.199751178544774e-05
0.02,0.0002508163377749412,8.560317510786405e-06,3.034431859047799e-05,0.09995854063519874,0.1902714317941989,2.5707695368696064e-07,8.729365699528775e-07,0.02142776317735199,2.754598459809304e-07,9.093050903607369e-07,0.015306739003080034,0.08203164839062832,0.0090954169498871,0.006496783418281013,1.0,0.0054868000876072956,0.0,0.00020366001784760974,0.1932599887599992,0.0013739006578258612,0.021886978940772822,0.00030062030491710456,0.0006369599930240197,0.015634984955733407,0.00021473736258724837,0.00045499999200002253,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.0204,0.5,0.0005,0.0075,0.5,0.0005,0.011,2.25e-05,2.25e-05,2.25e-05,0.09,8e-05,0.5,0.0005,0.5,0.0005,0.5,0.0005,1.54e-06,0.0165,0.00028,1.78e-07,0.00028,1.27e-07,0.00028,0.0225,0.00125,0.00408,0.000113,0.0003,0.0002,0.006,0.00175,0.00408,0.000113,0.00015,0.0001,0.009,0.00175,0.00408,0.000113,0.00015,0.0001,0.185,0.00125,0.0138,0.048,0.00175,0.0052,0.07,0.00175,0.0052,0.00012,0.00407,0.0015,0.0022,1.0,1.0735337441230735e-09,6.19024099245751e-07,1.5172159295238995e-08,0.00042793322955115215,3.4840492268900665e-08,1.0700396888483006e-08,3.223955002505082e-11,6.547024274646581e-09,4.3646828497643875e-10,1.2851327617708523e-05,3.8561543053044096e-10,4.4988466895218113e-10,3.454491488649316e-11,1.0002355993968105e-08,4.5465254518036843e-10,1.3770353633685811e-05,6.06011661158047e-10,4.820547304666282e-10,0.0015169563139199869,3.793039823809749e-08,4.363990102940952e-05,1.5276389974175355e-09,4.5458629252002966e-05,1.5912839081312896e-09,2.3861591852907738e-05,6.843771473498639e-10,4.101582419531416e-05,1.9679666380045148e-05,6.869503289129306e-07,1.8959829077996885e-05,1.8457120887891374e-06,1.5363040245300427e-06,3.865199775199984e-05,5.708142953825966e-05,2.2386144357437766e-05,2.687216543426082e-06,4.54770847494355e-06,2.2287512608540256e-06,1.503101524585523e-07,1.5632255855689436e-06,2.0464688137245975e-07,1.783487980467255e-07,2.188697894077282e-06,3.214164476602798e-06,2.5987967715380004e-06,1.9195901100146945e-06,3.2483917091405067e-06,1.5921106575658877e-06,1.0736868129362419e-07,1.1166342854536914e-06,1.461776269113228e-07,1.273999977600063e-07,1.5634984955733408e-06,2.296010850462005e-06,1.856399967360092e-06,1.6292801427808782e-08,2.257347039974471e-05,1.54e-06,1.78e-07,1.27e-07,2.1500671792744474e-05,2.4213372390407746e-06,1.7296615073480439e-06,1.199502487622385e-05
0.03,0.00025082424986188983,1.2838765213736442e-05,4.550252086641061e-05,0.09993782726261782,0.19026714916004697,3.8557116778617286e-07,1.309173798080579e-06,0.02142764480694464,4.131401776786477e-07,1.3636780988344618e-06,0.015306608549523058,0.08201648191493635,0.009094975608252696,0.0064963253330499625,1.0,0.005486800131410762,0.0,0.0002036600339823889,0.19325998312073447,0.0013739009866764245,0.021886968410961473,0.0003006254569209551,0.0006369599895360441,0.015634977433355558,0.00021474104355600164,0.0004549999880000505,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.0204,0.5,0.0005,0.0075,0.5,0.0005,0.011,2.25e-05,2.25e-05,2.25e-05,0.09,8e-05,0.5,0.0005,0.5,0.0005,0.5,0.0005,1.54e-06,0.0165,0.00028,1.78e-07,0.00028,1.27e-07,0.00028,0.0225,0.00125,0.00408,0.000113,0.0003,0.0002,0.006,0.00175,0.00408,0.000113,0.00015,0.0001,0.009,0.00175,0.00408,0.000113,0.00015,0.0001,0.185,0.00125,0.0138,0.048,0.00175,0.0052,0.07,0.00175,0.0052,0.00012,0.00407,0.0015,0.0022,1.0,1.6101368269441844e-09,9.282514256747765e-07,2.2751260433205306e-08,0.0004278349234464191,5.225377441990732e-08,1.6048456517170553e-08,4.835529946416984e-11,9.818803485604343e-09,6.545868990402895e-10,1.284859359216698e-05,5.783567516792593e-10,6.747495436258025e-10,5.181278757702734e-11,1.500045908717908e-08,6.818390494172309e-10,1.37673828107887e-05,9.08908390893025e-10,7.229953109376335e-10,0.0015163615654259677,5.6878151083013265e-08,4.3628740862173465e-05,2.2910541466410134e-09,4.544600472832808e-05,2.3864366729603083e-09,2.386180748071454e-05,6.843772557881789e-10,4.1008240957468175e-05,1.9679667364902346e-05,6.869504933382122e-07,1.8959833616134657e-05,1.845370843086068e-06,1.536304036795013e-06,3.86519966241469e-05,5.708014474801409e-05,2.238614453615591e-05,2.687286467504454e-06,4.547487804126348e-06,2.228750365173943e-06,1.5031272846047757e-07,1.5632523759889665e-06,2.0463695118568568e-07,1.7834879707009233e-07,2.1886968410961473e-06,3.2141467210416954e-06,2.59879675730706e-06,1.9196343036818554e-06,3.2481626665249813e-06,1.5921100176955383e-06,1.0737052177800082e-07,1.1166534264912085e-06,1.4616731999362416e-07,1.2739999664001413e-07,1.5634977433355558e-06,2.2959912824284585e-06,1.8563999510402062e-06,1.6292802718591113e-08,2.2574182487570083e-05,1.54e-06,1.78e-07,1.27e-07,2.1500187855085306e-05,2.421323863184744e-06,1.7296467660961056e-06,1.1992539271514139e-05
0.04,0.00025083531292338553,1.711607293820112e-05,6.065142649106319e-05,0.09991712475420811,0.1902628675003689,5.140358929130388e-07,1.745257091103148e-06,0.021427526463344813,5.507874700194458e-07,1.8178648788006637e-06,0.015306478125558274,0.08200132165709872,0.009094534389263428,0.006495867385125021,1.0,0.005486800175214105,0.0,0.0002036600587032249,0.19325997746862247,0.0013739013154937297,0.02188695788101739,0.0003006306086226376,0.0006369599860480782,0.015634969910814058,0.00021474472430886446,0.00045499998400008973,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.0204,0.5,0.0005,0.0075,0.5,0.0005,0.011,2.25e-05,2.25e-05,2.25e-05,0.09,8e-05,0.5,0.0005,0.5,0.0005,0.5,0.0005,1.54e-06,0.0165,0.00028,1.78e-07,0.00028,1.27e-07,0.00028,0.0225,0.00125,0.00408,0.000113,0.0003,0.0002,0.006,0.00175,0.00408,0.000113,0.00015,0.0001,0.009,0.00175,0.00408,0.000113,0.00015,0.0001,0.185,0.00125,0.0138,0.048,0.00175,0.0052,0.07,0.00175,0.0052,0.00012,0.00407,0.0015,0.0022,1.0,2.1466577557365842e-09,1.2372891004176892e-06,3.032571324553159e-08,0.0004277366700328738,6.966241685847855e-08,2.13950911727514e-08,6.446917702634699e-11,1.3089428183273609e-08,8.72628545551574e-10,1.2845861008872716e-05,7.710538393695582e-10,8.995628125978178e-10,6.907847369830377e-11,1.99965136668073e-08,9.089324394003319e-10,1.376441355977067e-05,1.211732434042781e-09,9.638780725340302e-10,0.001515767212914122,7.581428311382899e-08,4.361758690336655e-05,3.054199909430509e-09,4.543338743344299e-05,3.1812635379011614e-09,2.3862322953577834e-05,6.843774219315167e-10,4.1000660828549366e-05,1.967966917812179e-05,6.869506577468648e-07,1.895983815381347e-05,1.8450297372847213e-06,1.5363040490599494e-06,3.8651995493724495e-05,5.707886025011066e-05,2.238614471487355e-05,2.6873901528036104e-06,4.5472671946317145e-06,2.2287495634415064e-06,1.503153043113188e-07,1.5632791648377155e-06,2.0462702375842716e-07,1.7834879609346189e-07,2.188695788101739e-06,3.2141289695017216e-06,2.5987967430761594e-06,1.9197026151896827e-06,3.2479336925625104e-06,1.5921094449297732e-06,1.0737236215443223e-07,1.1166725664060952e-06,1.46157016165313e-07,1.273999955200251e-07,1.563496991081406e-06,2.2959717188337407e-06,1.8563999347203663e-06,1.6292804696257995e-08,2.25751781631047e-05,1.54e-06,1.78e-07,1.27e-07,2.1499704027541684e-05,2.421310490357964e-06,1.7296320281880848e-06,1.1990054970504974e-05
0.05,0.0002508495186134122,2.1392241225770683e-05,7.579104148065128e-05,0.0998964331031941,0.1902585868116563,6.424711436888299e-07,2.1811865260805787e-06,0.021427408146200956,6.884017391084908e-07,2.27186552717966e-06,0.015306347730929145,0.08198616761600278,0.009094093293191045,0.006495409574670787,1.0,0.005486800219017329,0.0,0.0002036600948307143,0.1932599718036565,0.0013739016442874258,0.021886947350939514,0.00030063576002326275,0.0006369599825601222,0.015634962388108173,0.00021474840484663024,0.0004549999800001401,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.0204,0.5,0.0005,0.0075,0.5,0.0005,0.011,2.25e-05,2.25e-05,2.25e-05,0.09,8e-05,0.5,0.0005,0.5,0.0005,0.5,0.0005,1.54e-06,0.0165,0.00028,1.78e-07,0.00028,1.27e-07,0.00028,0.0225,0.00125,0.00408,0.000113,0.0003,0.0002,0.006,0.00175,0.00408,0.000113,0.00015,0.0001,0.009,0.00175,0.00408,0.000113,0.00015,0.0001,0.185,0.00125,0.0138,0.048,0.00175,0.0052,0.07,0.00175,0.0052,0.00012,0.00407,0.0015,0.0022,1.0,2.683116706773283e-09,1.5461372462052862e-06,3.789552074032564e-08,0.00042763846926912463,8.706642178888668e-08,2.6740301532213353e-08,8.058178855867567e-11,1.635889894560434e-08,1.0905932630402894e-09,1.28431298667108e-05,9.637067155332448e-10,1.1243245014554523e-09,8.634262243400034e-11,2.499052079897626e-08,1.1359327635898302e-09,1.376144587941291e-05,1.51448382603868e-09,1.204703043439859e-09,0.0015151732560982668,9.47388018508141e-08,4.360643915027834e-05,3.8170764206410124e-09,4.542077736377628e-05,3.975764672564405e-09,2.3863137456886038e-05,6.843776647365165e-10,4.099308380800139e-05,1.967967209225693e-05,6.869508221437129e-07,1.8959842691166477e-05,1.8446887713600626e-06,1.5363040613248518e-06,3.86519943607313e-05,5.707757604349689e-05,2.2386144893590702e-05,2.687527509303808e-06,4.5470466465955225e-06,2.2287488865235964e-06,1.5031788001163137e-07,1.5633059521209662e-06,2.0461709909679853e-07,1.783487951168342e-07,2.1886947350939516e-06,3.214111221930143e-06,2.598796728845299e-06,1.9197949800165347e-06,3.2477047873353937e-06,1.592108961318381e-06,1.0737420242331513e-07,1.1166917052024772e-06,1.4614671543009272e-07,1.2739999440003923e-07,1.5634962388108173e-06,2.2959521596393717e-06,1.8563999184005717e-06,1.6292807586457145e-08,2.2576456675207096e-05,1.54e-06,1.78e-07,1.27e-07,2.149922030971716e-05,2.421297120520708e-06,1.7296172935949933e-06,1.1987571972383292e-05
0.06,0.00025086685860416843,2.5667270617422656e-05,9.092137184739679e-05,0.09987575230280496,0.1902543070904094,7.708769347175679e-07,2.616962180044207e-06,0.021427289855162415,8.2598300103217e-07,2.7256801408496066e-06,0.015306217365379788,0.08197101979053069,0.009093652320306414,0.006494951901851253,1.0,0.005486800262820431,0.0,0.00020366014517472382,0.1932599661258271,0.0013739019730698708,0.02188693682072649,0.00030064091112424823,0.000636959979072176,0.015634954865236944,0.00021475208517031171,0.0004549999760002017,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.0204,0.5,0.0005,0.0075,0.5,0.0005,0.011,2.25e-05,2.25e-05,2.25e-05,0.09,8e-05,0.5,0.0005,0.5,0.0005,0.5,0.0005,1.54e-06,0.0165,0.00028,1.78e-07,0.00028,1.27e-07,0.00028,0.0225,0.00125,0.00408,0.000113,0.0003,0.0002,0.006,0.00175,0.00408,0.000113,0.00015,0.0001,0.009,0.00175,0.00408,0.000113,0.00015,0.0001,0.185,0.00125,0.0138,0.048,0.00175,0.0052,0.07,0.00175,0.0052,0.00012,0.00407,0.0015,0.0022,1.0,3.2195337743679483e-09,1.8547959856868948e-06,4.54606859236984e-08,0.0004275403211138292,1.044657914129102e-07,3.208408827177832e-08,9.669373749150344e-11,1.9627216350331553e-08,1.3084810900221036e-09,1.2840400164567643e-05,1.1563154020763517e-09,1.3490346357557438e-09,1.0360588036469205e-10,2.9982481549345674e-08,1.3628400704248033e-09,1.3758479768498071e-05,1.8171626022707741e-09,1.4454702518062974e-09,0.0015145796946923627,1.13651714809246e-07,4.359529760019605e-05,4.579683815077363e-09,4.5408174515754945e-05,4.7699402464868116e-09,2.386425017784189e-05,6.843780030877282e-10,4.098550989526535e-05,1.9679676378824076e-05,6.869509865349354e-07,1.895984722836422e-05,1.8443479452869407e-06,1.5363040735897207e-06,3.865199322516542e-05,5.707629212712282e-05,2.238614507230736e-05,2.687698447182781e-06,4.546826160153207e-06,2.2287483651695823e-06,1.5032045556212412e-07,1.5633327378460906e-06,2.0460717720689432e-07,1.7834879414020926e-07,2.1886936820726492e-06,3.214093478274362e-06,2.598796714614478e-06,1.9199113337826995e-06,3.2474759509256266e-06,1.5921085888272052e-06,1.0737604258515587e-07,1.1167108428856208e-06,1.461364177916532e-07,1.2739999328005648e-07,1.5634954865236945e-06,2.295932604806968e-06,1.856399902080823e-06,1.6292811613977908e-08,2.2578017274375157e-05,1.54e-06,1.78e-07,1.27e-07,2.1498736701216262e-05,2.4212837536333526e-06,1.729602562287916e-06,1.1985090276336595e-05
0.07,0.0002508873245858745,2.994116165352848e-05,0.00010604242359953851,0.09985508234627456,0.19025002833313703,8.992532805862182e-07,3.052584129996539e-06,0.021427171589879463,9.635312718583e-07,3.1793088166463603e-06,0.015306087028654975,0.08195587817955949,0.009093211470879544,0.00649449436682981,1.0,0.005486800306623417,0.0,0.00020366021253453415,0.19325996043512228,0.0013739023018560779,0.02188692629037665,0.0003006460619273129,0.0006369599755842395,0.015634947342199192,0.00021475576528113662,0.0004549999720002745,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.0204,0.5,0.0005,0.0075,0.5,0.0005,0.011,2.25e-05,2.25e-05,2.25e-05,0.09,8e-05,0.5,0.0005,0.5,0.0005,0.5,0.0005,1.54e-06,0.0165,0.00028,1.78e-07,0.00028,1.27e-07,0.00028,0.0225,0.00125,0.00408,0.000113,0.0003,0.0002,0.006,0.00175,0.00408,0.000113,0.00015,0.0001,0.009,0.00175,0.00408,0.000113,0.00015,0.0001,0.185,0.00125,0.0138,0.048,0.00175,0.0052,0.07,0.00175,0.0052,0.00012,0.00407,0.0015,0.0022,1.0,3.755928971123469e-09,2.163265441430586e-06,5.3021211799769256e-08,0.0004274422255256955,1.2186052792986092e-07,3.74264520669106e-08,1.128056248456735e-10,2.2894380974974043e-08,1.5262920649982696e-09,1.2837671901331013e-05,1.3488799208793274e-09,1.573693241025882e-09,1.2086889147567688e-10,3.497239698310996e-08,1.5896544083231802e-09,1.3755515225810286e-05,2.11976879808826e-09,1.686179725752025e-09,0.0015139865284105145,1.3255302949942315e-07,4.3584162250404736e-05,5.342022227493944e-09,4.5395578885804494e-05,5.56379042913113e-09,2.3865660305443785e-05,6.843784557985917e-10,4.0977939089779746e-05,1.967968230831633e-05,6.869511509280389e-07,1.8959851765613874e-05,1.8440072590400886e-06,1.5363040858545566e-06,3.8651992087024456e-05,5.7075008499941106e-05,2.2386145251023542e-05,2.6879028768136586e-06,4.546605735439772e-06,2.228748030012896e-06,1.5032303096365646e-07,1.563359522022027e-06,2.0459725809478976e-07,1.7834879316358704e-07,2.188692629037665e-06,3.214075738481919e-06,2.5987967003836973e-06,1.920051612248902e-06,3.2472471834149053e-06,1.5921083493392685e-06,1.0737788264056831e-07,1.1167299794619104e-06,1.4612612325367074e-07,1.2739999216007685e-07,1.5634947342199193e-06,2.2959130542982463e-06,1.8563998857611201e-06,1.6292817002762734e-08,2.2579859212728704e-05,1.54e-06,1.78e-07,1.27e-07,2.1498253201644482e-05,2.421270389656379e-06,1.729587834238012e-06,1.1982609881552947e-05
0.08,0.0002509109082670955,3.421391487384235e-05,0.00012115420274131927,0.09983442322684152,0.19024575053635642,1.0276001958643652e-06,3.4880524529116103e-06,0.02142705335000328,1.1010465676357757e-06,3.6327516513637988e-06,0.015305956720500138,0.081940742781961,0.009092770745179573,0.006494036969769242,1.0,0.005486800350426284,0.0,0.0002036602996985948,0.1932599547315271,0.0013739026306638085,0.021886915759888017,0.0003006512124344867,0.0006369599720963127,0.01563493981899353,0.00021475944518055499,0.0004549999680003585,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.0204,0.5,0.0005,0.0075,0.5,0.0005,0.011,2.25e-05,2.25e-05,2.25e-05,0.09,8e-05,0.5,0.0005,0.5,0.0005,0.5,0.0005,1.54e-06,0.0165,0.00028,1.78e-07,0.00028,1.27e-07,0.00028,0.0225,0.00125,0.00408,0.000113,0.0003,0.0002,0.006,0.00175,0.00408,0.000113,0.00015,0.0001,0.009,0.00175,0.00408,0.000113,0.00015,0.0001,0.185,0.00125,0.0138,0.048,0.00175,0.0052,0.07,0.00175,0.0052,0.00012,0.00407,0.0015,0.0022,1.0,4.292322228184436e-09,2.471545735922913e-06,6.057710137065964e-08,0.00042734418246348114,1.3925063353653838e-07,4.276739359230294e-08,1.2891804923988655e-10,2.6160393396837077e-08,1.7440262264558053e-09,1.283494507589004e-05,1.5414002937965478e-09,1.7983003427626393e-09,1.3813229716493024e-10,3.996026816500178e-08,1.8163758256818994e-09,1.375255225013517e-05,2.422302448798707e-09,1.9268314933626073e-09,0.00151339375696697,1.5144275342664908e-07,4.357303309818723e-05,6.104091792595318e-09,4.538299047034886e-05,6.357315389886648e-09,2.386736703051623e-05,6.84379041609804e-10,4.0970371390980506e-05,1.967969015017984e-05,6.869513153319043e-07,1.8959856303160557e-05,1.8436667125941229e-06,1.5363040981193595e-06,3.865199094630542e-05,5.707372516090692e-05,2.238614542973924e-05,2.6881407087684173e-06,4.546385372589787e-06,2.2287479115683458e-06,1.5032560621724335e-07,1.5633863046593307e-06,2.0458734176654038e-07,1.7834879218696756e-07,2.1886915759888016e-06,3.214058002500492e-06,2.598796686152956e-06,1.920215751318772e-06,3.247018484884621e-06,1.592108264652858e-06,1.073797225902775e-07,1.116749114938886e-06,1.4611583181980796e-07,1.2739999104010038e-07,1.5634939818993531e-06,2.2958935080750205e-06,1.856399869441463e-06,1.6292823975887585e-08,2.2581981744038596e-05,1.54e-06,1.78e-07,1.27e-07,2.1497769810608275e-05,2.4212570285503707e-06,1.7295731094165154e-06,1.1980130787220982e-05
0.09,0.000250937601374589,3.848553081750649e-05,0.000136256715272992,0.09981377493774915,0.1902414736965935,1.1559176951043652e-06,3.923367225734816e-06,0.02142693513518595,1.2385289043947367e-06,4.0860087417536685e-06,0.015305826440661361,0.0819256135966019,0.00909233014347476,0.006493579710831721,1.0,0.005486800394229036,0.0,0.0002036604094446401,0.193259949015024,0.001373902959513528,0.021886905229258312,0.00030065636264810605,0.0006369599686083957,0.015634932295618336,0.00021476312487023576,0.0004549999640004537,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.0204,0.5,0.0005,0.0075,0.5,0.0005,0.011,2.25e-05,2.25e-05,2.25e-05,0.09,8e-05,0.5,0.0005,0.5,0.0005,0.5,0.0005,1.54e-06,0.0165,0.00028,1.78e-07,0.00028,1.27e-07,0.00028,0.0225,0.00125,0.00408,0.000113,0.0003,0.0002,0.006,0.00175,0.00408,0.000113,0.00015,0.0001,0.009,0.00175,0.00408,0.000113,0.00015,0.0001,0.185,0.00125,0.0138,0.048,0.00175,0.0052,0.07,0.00175,0.0052,0.00012,0.00407,0.0015,0.0022,1.0,4.828733395486451e-09,2.7796369915690372e-06,6.8128357636496e-08,0.0004272461918859939,1.566361104272514e-07,4.810691352188311e-08,1.4503160689796644e-10,2.9425254193011117e-08,1.961683612867408e-09,1.28322196871352e-05,1.733876542656548e-09,2.022855966432639e-09,1.5539673625095644e-10,4.494609615929035e-08,2.043004370876834e-09,1.3749590840259808e-05,2.724763589668421e-09,2.167425582690789e-09,0.0015128013800761214,1.7032089409124e-07,4.35619101408241e-05,6.865892645035928e-09,4.537040926581042e-05,7.15051529806892e-09,2.3869369545695068e-05,6.843797791901144e-10,4.096280679830095e-05,1.967970017282503e-05,6.86951479756764e-07,1.8959860841286688e-05,1.843326305923543e-06,1.53630411038413e-06,3.86519898030048e-05,5.707244210897805e-05,2.2386145608454468e-05,2.688411853816233e-06,4.54616507173738e-06,2.228748040233391e-06,1.5032818132405304e-07,1.5634130857701514e-06,2.0457742822818214e-07,1.783487912103508e-07,2.188690522925831e-06,3.2140402702778923e-06,2.598796671922255e-06,1.9204036870376623e-06,3.2467898554158607e-06,1.5921083564824285e-06,1.0738156243511789e-07,1.1167682493252259e-06,1.4610554349371373e-07,1.2739998992012702e-07,1.5634932295618336e-06,2.295873966099204e-06,1.8563998531218513e-06,1.6292832755571208e-08,2.2584384123713007e-05,1.54e-06,1.78e-07,1.27e-07,2.1497286527715065e-05,2.4212436702760125e-06,1.7295583877947338e-06,1.1977652992529898e-05
