data_set_value_component_environment_variable_time,data_set_value_component_x_variable_x,data_set_value_component_y_variable_y,data_set_value_component_z_variable_z,data_set_value_component_model_parameters_variable_delta1,data_set_value_component_model_parameters_variable_delta2,data_set_value_component_model_parameters_variable_delta3,data_set_value_component_model_parameters_variable_beta
0.0,1.0,0.01,0.01,0.5,0.38,0.6,1.091
0.1,1.0955264356586414,0.1260275426963518,0.01338135575068473,0.5,0.38,0.6,1.091
0.2,1.1816898317629947,0.24781804670047192,0.023498383488482273,0.5,0.38,0.6,1.091
0.30000000000000004,1.2545645701593788,0.3738209234264099,0.04025136445659006,0.5,0.38,0.6,1.091
0.4,1.3110151098939864,0.5020525460069564,0.06344266406316883,0.5,0.38,0.6,1.091
0.5,1.349305664539448,0.6301984535624934,0.09276032572933897,0.5,0.38,0.6,1.091
0.6000000000000001,1.369382213390294,0.7557798202166123,0.12777001146496744,0.5,0.38,0.6,1.091
0.7000000000000001,1.3727260607826486,0.8763512573642825,0.16791833755797256,0.5,0.38,0.6,1.091
0.8,1.3618729906733154,0.989685902746592,0.21254738218393437,0.5,0.38,0.6,1.091
0.9,1.3398211461879492,1.093915082302548,0.2609177321636927,0.5,0.38,0.6,1.091
1.0,1.3095196822003448,1.187612847191943,0.31223714568692656,0.5,0.38,0.6,1.091
