Time,X1,APAP,NAPQI,GSH,NAPQIGSH,APAPconj_Glu,APAPconj_Sul,Vmax_2E1_APAP,Km_2E1_APAP,kNapqiGsh,kGsh,GSHmax,Vmax_PhaseIIEnzGlu_APAP,Km_PhaseIIEnzGlu_APAP,Vmax_PhaseIIEnzSul_APAP,Km_PhaseIIEnzSul_APAP,compartment,J0,J1,J2,J3,J4
0.0,0.0,0.1,0.0,10.0,0.0,0.0,0.0,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4388489208633094e-06,0.0,0.0,9.09090909090909e-05,5.833333333333333e-05
0.01,0.0,0.09999849319652536,1.4316686098899272e-08,9.999999999928296,7.170250504557902e-11,9.090846826076219e-07,5.833304034198822e-07,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4388287999731958e-06,1.4316686098796615e-08,7.170442017923051e-15,9.090784561525728e-05,5.8332747351261094e-05
0.02,0.0,0.0999969864115646,2.8490718393982565e-08,9.999999999714138,2.8585760609222894e-10,1.8181569123405771e-06,1.1666549470276047e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4388086792866827e-06,2.8490718393168123e-08,2.858620007373247e-14,9.090660033331278e-05,5.833216137050241e-05
0.03,0.0,0.09999547964511762,4.2523516623365515e-08,9.99999999935895,6.410455669922077e-10,2.7272166893135396e-06,1.749973630834308e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4387885588037691e-06,4.252351662063955e-08,6.410498798459231e-14,9.090535506325747e-05,5.8331575391057325e-05
0.04,0.0,0.09999397289718429,5.641648553898445e-08,9.999999998864135,1.1358616378446429e-09,3.63626401364537e-06,2.33328645485313e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.438768438524455e-06,5.64164855325763e-08,1.1358647356018992e-13,9.090410980509131e-05,5.8330989412925944e-05
0.05,0.0,0.09999246616776444,7.017101710791571e-08,9.999999998231084,1.7689138536098166e-09,4.545298885454997e-06,2.9165934190972056e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4387483184487405e-06,7.017101709550305e-08,1.768915680600003e-13,9.090286455881432e-05,5.8330403436108324e-05
0.06,0.0,0.09999095945685797,8.378848867254194e-08,9.999999997461176,2.538824873940979e-09,5.454321304861305e-06,3.499894523579674e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4387281985766248e-06,8.378848865126952e-08,2.5388242619328595e-13,9.090161932442652e-05,5.832981746060454e-05
0.07,0.0,0.09998945276446472,9.727026374106477e-08,9.999999996555774,3.444231192672114e-09,6.3633312719831666e-06,4.083189768313677e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4387080789081074e-06,9.72702637075627e-08,3.44422623754781e-13,9.090037410192784e-05,5.8329231486414676e-05
0.08,0.0,0.09998794609058458,1.1061769282139428e-07,9.999999995516227,4.483782303929502e-09,7.272328786939496e-06,4.666479153312349e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4386879594431883e-06,1.1061769277179583e-07,4.4837733526037485e-13,9.089912889131834e-05,5.832864551353881e-05
0.09,0.0,0.0999864394352174,1.2383211233938366e-07,9.999999994343874,5.65614178389549e-09,8.181313849849155e-06,5.249762678588833e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4386678401818672e-06,1.2383211226934266e-07,5.656126234043768e-13,9.0897883692598e-05,5.832805954197703e-05
